Heavyweights 2022,Club - Men ,9,7,2022
Montgomery,IL,2022-07-09,2022-07-10
https://play.usaultimate.org/events/Heavyweights-2022/schedule/Men/Club-Men/
Colonels,1
37,Matthew Krause
69,Logan Roy
98,Graham Schneider
99,Daniel Lang
b,r,e,a,k
Trident I,3
0,Alex Straczek
0,Brian Rathunde
0,Cal Tornabene
0,Daniel Vockeroth
0,Girolamo S Kelly
0,Grant Kern
0,Jacob  Cuthbert
0,Joe Cercello
0,Joshuah Kapilivsky
0,Justin Forman
0,Milan Rivas
0,Nathan Kinsinger
0,Nicholas Golini
0,Reid Martin
0,Reno Brinn
0,Ricky Ramirez
0,Ryan Smith
0,Samuel Tagle
0,Scott Klein
0,Scott Hearne
0,Seokhee Burningham
0,Tanner Graham
0,Trevor Scott
0,Tyler Barrett
0,Will Frolich
0,Zach Kieffer
b,r,e,a,k
STL Lounar,6
0,Jaime Befeler
0,Sean Eberle
01,Jeff Morrison
02,Ray Mauntel
04,Devin Belvin
06,Brandon Skoba
09,Nicholas Jeschke
11,Rusty McDonald
12,Landon Evans
13,Ryan Hays
15,Jesse Strod
17,Drew Law
18,Christian Piccioni
19,Joshua Gabella
20,John Marsh
22,Stephen Rashford
27,Sam Jordan-Wood
29,Mason Zetsch
30,Benjamin Emanuel-Prude
32,Wyatt Lien
33,Wesley Groth
39,Sandy Gu
44,Bryan Dunbar
54,Seth Fisher-Olvera
55,Steven Ladenberger
57,Dylan Doherty
b,r,e,a,k
Beacon,14
01,Gabe Ecenbarger
02,Christopher Hoxsey
03,Phouttasone (Preston) Saycocie
07,Ryan Lee
10,Dillon Lee
13,Branden Martz
15,Alex Bertoia
18,Malachi Neil
22,Chase Rospond 
23,Christopher Smith
24,Jakob Dabkowski
25,Brendan Schwalm
27,Colin Fremeau
29,James May
30,Austin Masselink
34,Colin Beauregard
35,Mitchell Savage
46,Anthony Heath
49,Nathan Zock
54,Aaron Schwieterman
61,Caleb Stanish
69,Hunter Noorman
81,Alec DenBraber
84,Michael Weber
88,Jesse Otten
b,r,e,a,k
HouSE,11
 ,Blake Kiefner
 ,David Ashmore
 ,Nick Lilla
0,Nick Waring
0,Taylor Zorn
0,Theodore Reimer
0,Tim Pecharich
0,Curtis Knaack
0,Benjamin Koh
0,Jack Dipaolo
0,Junior Zambrano
0,Kyle Baker
0,Luke Ehlert
0,Matthew Rodway
0,Nicholas Dunn
05,Justin Rummelhart
12,David Zickus
15,Ryan O'Reilly
16,Benjamin Tompkins
20,Brett Robinson
22,Jacob Stock
23,Glenn Kaboskey
26,Jimmy Chaudoin
29,Zachary Kozmer
34,Justin Brockmann
b,r,e,a,k
Knights of Ni,4
 ,Joe M Rogers
 ,Sam Resnick
0,Tate Halberg
0,Jordan Hazard
0,Kunal Rath
0,Matthew Racky
0,Max Seffren
0,Michael Ruble
0,Nick  Snyder
0,Sam Morgenstern
0,Andrew Dornbush
0,Ashton Robinson
0,Bif Reiser
0,Brian LaFrance
0,Dan Scal
0,Danny Gollin
0,Grant Kregness
0,Holden Fahnhorst
0,Jake Kretschmer
0,Jason Finkelstein
11,Justin Wollin
24,Brendan Gessner
b,r,e,a,k
MKE,5
 ,Alex Martinich
 ,Connor Wozniak
 ,Damon Woodward
 ,Elliot Shager
 ,Elliott Blackburn
 ,Eric Koo
 ,Francis Nuguid
 ,Gunnar Thompson
 ,Jason Moens
 ,Nathan Williams
 ,Nicholas Becker
 ,Patrick Guarasci
 ,Reid Lancaster
 ,Ryan Waller
 ,Easton Dobson
0,Elias Magallanes Jr.
0,Steven Wagner
0,Zach Thompson
0,Peter Kuenzle
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Jack Drolen
0,David Castillo
0,Blair Weber
0,Bryan Geenen
b,r,e,a,k
Flying Dutchmen,12
 ,David Hazlett
0,Derek Fitch
0,Derek Wright
0,Ernest Toh
0,Harrison Davis
0,Kenton Lawson
0,Lloyd Furuta
0,Lucas Nestor
0,Nate Dikeman
0,Shane Spiegel
0,Srikur Kanuparthy
0,Walker Branson
0,William Carter
0,Zachary Lewis
0,Aaron Lott
0,Aaron Ervin
0,Alex Breneman
0,Andrew Thompson
0,Asa Knapp
0,Austin Riegel
0,Ben Haywood
0,Benjamin Heindrichs
0,Brian Griffiths
0,Calum Ridenour
b,r,e,a,k
Mad Men B,13
0,Brian Shea
0,Erik Stewart
0,EVAN OGREN
0,Griffin Glassel
0,Haoyang Yan
0,Henry Lyne
0,Jack Hollander
0,Johnathan Mika
0,Maxwell Garland 
0,Nicholas Exley
0,Nick Rieger
0,Owen Schigiel
0,Robin Flick
0,Sam Pieper
0,Tadhg Young
0,Zachary Mullen
b,r,e,a,k
s,t,a,g,e,s
pools,M PP
pool,Pool A
Colonels,I-69,15,4,"07/09/2022, 09:30",Pool A,Final
Harvey Cats,Red Hots - u20,15,6,"07/09/2022, 09:30",Pool A,Final
Colonels,Red Hots - u20,15,4,"07/09/2022, 11:30",Pool A,Final
Harvey Cats,I-69,15,6,"07/09/2022, 11:30",Pool A,Final
Colonels,Harvey Cats,15,5,"07/09/2022, 13:30",Pool A,Final
I-69,Red Hots - u20,15,6,"07/09/2022, 13:30",Pool A,Final
pool,Pool B
Mallard,Timber,15,6,"07/09/2022, 09:30",Pool B,Final
Haymaker,Trident II,15,6,"07/09/2022, 09:30",Pool B,Final
Mallard,Trident II,15,1,"07/09/2022, 11:30",Pool B,Final
Haymaker,Timber,15,8,"07/09/2022, 11:30",Pool B,Final
Mallard,Haymaker,15,10,"07/09/2022, 13:30",Pool B,Final
Timber,Trident II,9,15,"07/09/2022, 13:30",Pool B,Final
pool,Pool C
Trident I,HouSE,15,3,"07/09/2022, 09:30",Pool C,Final
STL Lounar,Beacon,15,9,"07/09/2022, 09:30",Pool C,Final
Trident I,Beacon,15,10,"07/09/2022, 11:30",Pool C,Final
STL Lounar,HouSE,15,9,"07/09/2022, 11:30",Pool C,Final
Trident I,STL Lounar,15,8,"07/09/2022, 13:30",Pool C,Final
HouSE,Beacon,8,14,"07/09/2022, 13:30",Pool C,Final
pool,Pool D
Knights of Ni,Flying Dutchmen,15,11,"07/09/2022, 09:30",Pool D,Final
MKE,Mad Men B,14,12,"07/09/2022, 09:30",Pool D,Final
Knights of Ni,Mad Men B,15,4,"07/09/2022, 11:30",Pool D,Final
MKE,Flying Dutchmen,12,11,"07/09/2022, 11:30",Pool D,Final
Knights of Ni,MKE,15,5,"07/09/2022, 13:30",Pool D,Final
Flying Dutchmen,Mad Men B,15,3,"07/09/2022, 13:30",Pool D,Final
b,r,e,a,k
brackets,M BP
bracket,M CHAMPIONSHIP
STL Lounar,Trident I,8,15,"07/10/2022, 13:00",M FINALS,Final
Colonels,STL Lounar,11,12,"07/10/2022, 11:00",M SEMIS,Final
Mallard,Trident I,8,13,"07/10/2022, 11:00",M SEMIS,Final
Colonels,Haymaker,13,12,"07/10/2022, 09:00",M QUARTERS,Final
Knights of Ni,STL Lounar,12,15,"07/10/2022, 09:00",M QUARTERS,Final
Mallard,Harvey Cats,15,8,"07/10/2022, 09:00",M QUARTERS,Final
Trident I,MKE,15,4,"07/10/2022, 09:00",M QUARTERS,Final
bracket,M 3RD PLACE
Colonels,Mallard,15,11,"07/10/2022, 13:00",M 3RD,Final
bracket,M 5TH PLACE
Knights of Ni,Harvey Cats,13,14,"07/10/2022, 13:00",M 5TH,Final
Haymaker,Knights of Ni,9,14,"07/10/2022, 11:00",M 5TH SEMIS,Final
Harvey Cats,MKE,14,11,"07/10/2022, 11:00",M 5TH SEMIS,Final
bracket,M 7TH PLACE
Haymaker,MKE,13,7,"07/10/2022, 13:00",M 7TH,Final
bracket,M 9TH PLACE
I-69,Beacon,9,15,"07/10/2022, 13:00",M 9TH,Final
I-69,Flying Dutchmen,15,12,"07/10/2022, 11:00",M 9TH SEMIS,Final
Trident II,Beacon,7,15,"07/10/2022, 11:00",M 9TH SEMIS,Final
I-69,Timber,15,7,"07/10/2022, 09:00",M 9TH QUARTERS,Final
Flying Dutchmen,HouSE,15,10,"07/10/2022, 09:00",M 9TH QUARTERS,Final
Trident II,Red Hots - u20,12,10,"07/10/2022, 09:00",M 9TH QUARTERS,Final
Beacon,Mad Men B,15,3,"07/10/2022, 09:00",M 9TH QUARTERS,Final
bracket,M 11TH PLACE
Flying Dutchmen,Trident II,15,6,"07/10/2022, 13:00",M 11TH,Final
bracket,M 13TH PLACE
HouSE,Red Hots - u20,15,10,"07/10/2022, 13:00",M 13TH,Final
Timber,HouSE,12,15,"07/10/2022, 11:00",M 13TH SEMIS,Final
Red Hots - u20,Mad Men B,15,6,"07/10/2022, 11:00",M 13TH SEMIS,Final
bracket,M 15TH PLACE
Timber,Mad Men B,1,0,"07/10/2022, 13:00",M 15TH,Final
b,r,e,a,k
