2022 Founders Men's Sectional Championship,Club - Men ,10,9,2022
Manheim,PA,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-Founders-Mens-Sectional-Championship/schedule/Men/Club-Men/
Pittsburgh Temper,1
0,Peter Cauchy
0,Riley Robertson
0,Trey (George) Katzenbach
16,Trevor Griesman
b,r,e,a,k
Helots,7
0,Brian Nigro
0,David Hwang
0,William Litchholt
01,David Brewster
03,Tyler Mackey
05,Kevin Tam
07,Andres felipe sanchez
08,Henry Parra
12,Thomas Wu
13,Pete Isler
14,Chris Kelly
15,Sean Maxcy
17,Neal Vasireddi
22,Jeff Perosi
27,Jason Pon
38,TJ Stanton
42,Matt Bartley
43,William Suitt
51,Patrick Callahan
66,Oscar Sucre
70,Robert Patten
75,Edgar  Prieto
80,Stephen Snelson
86,Andres Castrillon
88,Andrzej Porter
98,Kyle Dew
b,r,e,a,k
Apollo 7,15
00,Andrew Nichols
00,Charles Aquilina
00,Evatt Holmstrom
00,Ian McHarris
00,Matthew Lubicky
00,Michael Greenwood
00,Nicolas LoPresto
00,William Hanna
00,Zane Thompson-Bradley
04,Brian  Murphy 
05,Evan Schwarzmann 
08,Daniel Wolfinger
17,Dan Graham
18,Zack LaBar
21,Raymond Wright
88,Robert Guio
99,John Simons
b,r,e,a,k
SUPA FC,10
0,Bobby Leiphart
0,Christian Becker
0,Christopher Cookerly
0,Cody Kemper
0,Daniel Naylor
0,David Naylor jr
0,Derek Rabold
0,Eric Grosh
0,Ian Hermanns
0,Jacob Farnham
0,Jesse Heindel
0,Joel Gatchell
0,Jon White
0,Josh Heindel
0,Josh Miller
0,Kevin Boyd
0,Mark Farnham
0,Sean Hermanns
0,Silas Angelino
0,Spencer Grogan
0,Steven Whiteford
0,Tim Hushon
20,Ryan Hushon
b,r,e,a,k
Garden State Ultimate,3
 ,Alex Greene
 ,Dmitry Suvorov
 ,Matt LaBar
 ,Wesley Chen
0,Matt Krauss
0,Vincent Calderon
0,Michael Dzelzgalvis 
0,Miles Eckardt
0,Noriaki To
0,Ethan Smith
0,Jack Waxman
0,Donovan Hugel
0,Dyllon Jeng
0,Alexander Jirele
0,Benjamin Harris
0,Brian DiNicola
11,Scott Xu
13,Eli Weaver
14,James Kennelly
16,Luke Barry
19,Drew Rasmussen
20,Andrew O'Connor
22,John Sickles
47,Matthew Ballman
67,Christopher McLaughlin
80,John Irvine
b,r,e,a,k
Pittsburgh Stealers,6
 ,Adam Assaad
 ,Alex Mullen
 ,Brandon Rishi
 ,Carter Monroe
 ,Dylan Staples
 ,Luke Gochis
 ,Evan Hake
 ,Hassan Saeed
 ,Kevin Snell
0,Lucas Jones
0,Jackson Vlcek
0,Jackson Trone
0,Joe Molder
0,Matt Reynolds
0,Max Barowski
0,Peter Zaccardi
0,Reid Duncan
0,Spencer Matonis
0,Steven Mogielski
0,Thomas Hansen
0,Wyatt Brooks
0,Eliot Duncan
0,Ethan Landis
0,Christopher Chang
0,Alexander  Pierce
0,Andrew Gardner
b,r,e,a,k
Rutger Colege,14
0,Alan Wu
0,Alec Bakholdin
0,Andrew Hu
0,Arthur Liaw
0,Christopher Iglesias
0,Cole Stevens
0,Colin DeVany
0,Connor Lennan
0,Daniel Han
0,Ethan Rizzi
0,Evan Ragone
0,Gerard Bryson
0,Gianluca Pagano
0,Javier Martinez
0,John Kellaher
0,Kevin Tsui
0,Liam Ullman
0,Luca Christiansen
0,Matthew Luo
0,Nathan Chon
0,Patrick Chirichella
0,Roger Zeng
0,Timothy Pupalaikis
0,Timothy  Chango Gasset 
0,William McGlynn
0,William Wu
b,r,e,a,k
Adelphos,11
 ,Iain Tracton
 ,Cortize Hicks
00,David Ellis
00,Derek McGraw
00,Graham Barton
00,Josh McGinnis
00,Logan Hall
00,Max Franklin
00,Michael Teitelman
00,Patrick Oniate
00,Ren Yagawara
00,Ryan Bukovsky
00,Scott Cousens
00,Seth Fickett
00,Steven Gaiko
00,Thomas Buonanno
00,Alan Guzzardo
00,Alex Khater
00,Alex Forde
00,Alexander Vasserman
00,Andrew Doughan
00,Anthony Bloomfield
00,Benjamin Eggler
00,Bryan DelleDonne
00,Chris Senf
00,Clarke Piatt
b,r,e,a,k
Rumspringa,4
 ,Robert Yu
 ,Will Hoehne
0,Zach Thurston
0,Owen Thomas
0,Richie McClatchy
0,Rob Allan
0,Samuel Esser
0,Steve Rosso
0,Vincent Reydams
0,Andrew Landes
0,Brett Sawyer
0,Colin McIntyre
0,David Kelly
0,Dustin Sullivan
0,Greg Strouse
0,Greg Esser
0,Greg Martin
0,Ian Coyne
0,Jake Rainwater
0,Jared Seyler
0,Jeff George
0,Matt Esser
0,Michael Reeves
0,Michael Martin
14,Adam Kracht
15,Morey Averill
b,r,e,a,k
CITYWIDE Special,5
00,Alex Howard
00,Andrew Yurchak
00,Cameron Rabinowitz
00,Chris Zaleski
00,Cole Salomon
00,David Brandolph
00,Drew Loughnane
00,Francesco Russo
00,Giovanni Ruggirello
00,Jeremy Long
00,Joseph Wheeler
00,Mike Alexander
00,Robert  McLean
00,Samuel Barnett
00,Tim Kreutzfeldt
00,Matt Carter
10,Josh Lane
14,Chris Dixon
16,Matthew Michelson
17,Jeffrey Zhou
19,Brian Carney
20,David Baer
23,Jordan Ciccarone
27,Matthew Brenfleck
29,Chris Vanni
80,Christopher Cruz
b,r,e,a,k
Delco Club,13
 ,Ethan Sarles
 ,Ian Shull
 ,Jacob Doss
 ,Aiden Kempf
 ,Brian Klee
 ,Seth Levin
 ,Simon Feeman
 ,Warner Brockman
11,Dylan Edelman
12,Patrick Allen
13,Ty Vesco
14,Mason Singer 
16,Peter Gaston
18,Samuel Wedegaertner
19,Aidan Bannon
21,Joel Prushan
b,r,e,a,k
Rebels,12
0,Andrew Cameron
0,Andrew Burgess
0,Andrew Healey
0,Brennan Appleman
0,Brian Rivera-Lau
0,Christian Obuchowski
0,Collin Westcott
0,Dillon Strieffler
0,Dylan Regan
0,Jacob Romero
0,Jay Spangler
0,Joey Rosta
0,Kayhan Durmus
0,Kevin Curtin
0,Lewin Levine
0,Mark Butler
0,Matthew Trotter
0,Nick Piotti
0,Patrick Irvine
0,Shawon Nixon
0,Stephen Rivera-Lau
0,Stephen Gordon
0,Stephen Burner
0,Tyler Flockton
0,Zachary Hunt
b,r,e,a,k
s,t,a,g,e,s
brackets,Pool Bracket A
bracket,Pool Bracket A
Pittsburgh Temper,JAWN,15,1,"09/10/2022, 11:00",Finals,Final
Pittsburgh Temper,Hardta Spelots,15,3,"09/10/2022, 09:00",Semis,Final
JAWN,Hazard,15,12,"09/10/2022, 09:00",Semis,Final
bracket,Placement A
Hardta Spelots,Hazard,5,15,"09/10/2022, 11:00",Placement,Final
b,r,e,a,k
brackets,Pool Bracket B
bracket,Pool Bracket B
Phantom,Helots,15,6,"09/10/2022, 11:00",Finals,Final
Phantom,Apollo 7,15,1,"09/10/2022, 09:00",Semis,Final
Helots,SUPA FC,14,13,"09/10/2022, 09:00",Semis,Final
bracket,Placement B
Apollo 7,SUPA FC,8,15,"09/10/2022, 11:00",Placement,Final
b,r,e,a,k
brackets,Pool Bracket C
bracket,Pool Bracket C
Garden State Ultimate,Pittsburgh Stealers,15,9,"09/10/2022, 11:00",Finals,Final
Garden State Ultimate,Rutger Colege,15,4,"09/10/2022, 09:00",Semis,Final
Pittsburgh Stealers,Adelphos,12,11,"09/10/2022, 09:00",Semis,Final
bracket,Placement C
Rutger Colege,Adelphos,11,13,"09/10/2022, 11:00",Placement,Final
b,r,e,a,k
brackets,Pool Bracket D
bracket,Pool Bracket D
Rumspringa,CITYWIDE Special,13,10,"09/10/2022, 11:00",Finals,Final
Rumspringa,Delco Club,15,5,"09/10/2022, 09:00",Semis,Final
CITYWIDE Special,Rebels,15,5,"09/10/2022, 09:00",Semis,Final
bracket,Placement D
Delco Club,Rebels,14,6,"09/10/2022, 11:00",Placement,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Pittsburgh Temper,Phantom,15,6,"09/11/2022, 12:00",Finals,Final
Pittsburgh Temper,Pittsburgh Stealers,15,7,"09/10/2022, 15:00",Semis,Final
Garden State Ultimate,Phantom,11,15,"09/10/2022, 15:00",Semis,Final
Pittsburgh Temper,Helots,15,2,"09/10/2022, 13:00",Quarters,Final
Pittsburgh Stealers,Rumspringa,15,14,"09/10/2022, 13:00",Quarters,Final
Garden State Ultimate,CITYWIDE Special,15,5,"09/10/2022, 13:00",Quarters,Final
JAWN,Phantom,3,15,"09/10/2022, 13:00",Quarters,Final
bracket,2nd Place
Garden State Ultimate,Rumspringa,0,0,"09/11/2022, 10:00",Second Quarters,Cancelled
CITYWIDE Special,Pittsburgh Stealers,0,0,"09/11/2022, 10:00",Second Quarters,Cancelled
Helots,Rumspringa,11,12,"09/10/2022, 15:00",1st Round,Final
CITYWIDE Special,JAWN,15,5,"09/10/2022, 15:00",1st Round,Final
bracket,4th Place
bracket,6th Place
Helots,SUPA FC,13,6,"09/11/2022, 12:00",6th Place Semi,Final
Helots,Hazard,12,6,"09/11/2022, 10:00",6th Place Quarter,Final
SUPA FC,JAWN,11,8,"09/11/2022, 10:00",6th Place Quarter,Final
Hazard,Delco Club,7,2,"09/10/2022, 15:00",6th Place Pre-Quarter,Final
Rebels,SUPA FC,4,15,"09/10/2022, 15:00",6th Place Pre-Quarter,Final
Hazard,Apollo 7,15,5,"09/10/2022, 13:00",1st Round,Final
Rutger Colege,Delco Club,9,15,"09/10/2022, 13:00",1st Round,Final
Adelphos,Rebels,11,13,"09/10/2022, 13:00",1st Round,Final
Hardta Spelots,SUPA FC,8,15,"09/10/2022, 13:00",1st Round,Final
bracket,10th Place
Delco Club,Rebels,0,0,"09/11/2022, 12:00",10th Place Semi,Cancelled
bracket,12th Place
Apollo 7,Rutger Colege,0,0,"09/11/2022, 10:00",Quarters,Cancelled
Adelphos,Hardta Spelots,0,0,"09/11/2022, 10:00",Quarters,Cancelled
bracket,14th Place
bracket,8th Place
SUPA FC,Hazard,6,10,"09/11/2022, 14:00",Game to Go,Final
Hazard,JAWN,10,9,"09/11/2022, 12:00",8th Place Semis,Final
b,r,e,a,k
