2022 South Central Men's Regional Championship,Club - Men ,25,9,2022
"https://play.usaultimate.org/events/2022-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
"
Johnny Bravo,1
0,Alex Atkins
02,Jay Froude
03,Jackson Cochran
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Matt Bristol
08,Cole Wallin
10,Calvin Stoughton
11,Seth Faris
12,Justin Abel
15,Dennison Bechis
18,Daniel Landesman
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
29,Sandy Brown
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
99,Alex Tatum
b,r,e,a,k
Doublewide,2
0,Kolbe Bauer
02,Kaplan Maurer
04,Evan Swiatek
06,Michael Matthis
07,Trevor Elam
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Noah Chambers
14,Mark Evans
18,Elliott Moore
19,Kevin Richardson
20,Chase Cunningham
21,Vinay Valsaraj
24,Rory Orloff
27,Kyle Henke
28,Jackson Potts
33,Jacob Radack
34,Zachary Slayton
41,Oliver Fay
42,Patrick  Beckett 
43,Joseph Wylie
50,Matthew Armour
63,Henry Furuta
66,Eric Brodbeck
73,Gavin Babbitt
b,r,e,a,k
H.I.P,5
00,Casey Lemay
00,Chris Brooks
00,Christopher Vandervoort
00,Cody Holloway
00,Daniel Winter
00,Ereckson Hillis
00,Jake Floyd
00,Jason Holleran
00,Jordan Taylor
00,Kevin Land
00,Kolby Janzen
00,Matthew Bierschenk
00,Matthew Bennett
00,Mick Walter
00,Mitchell Bennett
00,Patrick Marco
00,Peter Clarke
00,Reid Bacon
00,Richard Bovio
00,Alexander Heath
00,Austin Walker
00,Brandon Dial
00,Brendan Adams
00,Cameron Albin
00,Carlos Vargas
25,Carson Wilder
b,r,e,a,k
Fungi,6
 ,Abe Gambert
0,Andrew Kiminski
0,Andrew Liebing
0,Brandon Galllagher
0,Brett Prill
0,Bryan Downey
0,Colton Steiner
0,Cruz Alvarez-Machado
0,David Jensen
0,Eric Silverman
0,Fabian Galván
0,Greg Olson
0,Jonathon Morris
0,Joseph Patterson
0,Joshua Morris
0,Mark Donohue
0,Oliver Cunningham
0,Patrick Ellsworth
0,Rex Fortgang
0,Rodrigo  Gould Rodriguez
0,Ryan Wolfe
0,Sophainara Long
0,Thomas Duke
0,Aaron Wida
0,Aaron Monahan
b,r,e,a,k
Alamode,8
 ,Enrique Trejo
 ,Eric Sun
 ,Gailan Hart
 ,Gavin Hart
 ,Erick Salcedo
 ,Jheremi Villarreal
 ,Skye Knight
0,Connor Ross
10,Andres Rivera
11,Nicholas Ortiz
13,George Tharakan
14,Zane  Fassett
21,Stuart Hanson
23,Franklin Davis
24,Jordan Salazar
27,Tat Whitley
28,Axel Anderson
33,Benjamin Hanson
44,David Haeussler
47,John Shelley
63,Ryan Hughey
66,Erick  Neilson
81,Jacob Rosen
82,Jeff Taylor
92,Benjamin Andrade
99,Darrell Davis
b,r,e,a,k
Gamble,4
0,Jon DeAmicis
02,Cade White
04,Oakley Armstrong
06,Thomas Loria
07,Samuel Garza
08,Mason Kelley
09,Trenton Hebert
10,Garrett Wilson
11,Brandon Martin
13,Tyler Reinhardt
14,Caiden Burt
15,Justin Lyons
19,Benjamin Price
21,Connor DeLuna
22,Scott Zachary
25,Alvaro Guzman
26,Sebastien Lauzy
27,Joel Polley
29,Tucker Bankston
31,Thomas Trompeter
45,Samuel Heslep
69,Jake Reinhardt
77,Noah Furrh
87,David Hammer
92,Zachary Wenner
99,Tanner Roberts
b,r,e,a,k
Clutch,3
 ,Francisco Gomez
 ,Jake Sperry
 ,James Kloss
 ,Ames Fegert
 ,Steven Kelly
0,Trey Wong
0,Vikrant Pendharkar
0,Aaron Barcio
0,James Zuraw
0,Joseph Williams
0,"Gregory Plaia, Jr"
0,Trevor Sawatzky
0,Aaron Ogdee
0,Noah Sheets
0,Michael Farrugia
0,Kegan Wakefield
0,Kyle Jasany
0,Lamson Nguyen
0,Lee Whitley
0,Jonathan Zygarlenski
0,Johnathan Roniger
0,Andrew  Lamberson
0,Ethan Swan
0,Ethan Banner
0,Jack Ostrand
31,Paul Lowe
b,r,e,a,k
Flash Flood,10
 ,Emmanuel Bilolo
 ,Andrew Lord
 ,Ryan Kyle
 ,Ryan Whisenhunt
0,Darius Tse
0,Donovan Gleeson
0,Simon Prushan
0,Tyler Hustad
0,Will Goodwin
0,Aaron Smith
0,Alex Wang
0,Kyle Turner
0,Matthew Smith
0,Nicholas Stambo
0,Peter Ngo
0,Emmanuel Kameri
0,Eric Kleckner
0,Eric VerPloeg
0,Ethan Benenson
0,J.D. Ingendorf
0,Jack Wooldridge
0,James Paterson
0,Julius Hubby
22,Colton Green
32,Kenneth Xuan
34,Samuel Morrall
b,r,e,a,k
Dreadnought,15
 ,Thomas Dockery
0,Travis Duwe
0,Trevor Cook
0,Andrew Graham
0,Andrew Watson
0,Caleb Schwing
0,Corban Samoff
0,David Belvardi
0,David Pojunas
0,Drew Taylor
0,Dylan Maraist
0,Ian Erly
0,Ian Kyle Antonio
0,Jacob Wakefield
0,Jake Mitchell
0,Jalen West
0,Jared Hines
0,Justin MIlls
0,Keith Urbanski
0,Lennon Dycus
0,Mark Belvardi
0,Matthew Ball
0,Nate Goodlin
0,Peter Cook
0,Pierce Teeuwen
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,Championship Bracket
Johnny Bravo,Doublewide,13,14,"09/25/2022, 11:00",Finals
Johnny Bravo,H.I.P,15,7,"09/24/2022, 13:30",Semis
Fungi,Doublewide,6,15,"09/24/2022, 13:30",Semis
Johnny Bravo,Alamode,15,9,"09/24/2022, 11:00",Quarters
H.I.P,Gamble,15,7,"09/24/2022, 11:00",Quarters
Clutch,Fungi,10,15,"09/24/2022, 11:00",Quarters
ISO Atmo,Doublewide,4,15,"09/24/2022, 11:00",Quarters
Johnny Bravo,Rawhide,15,3,"09/24/2022, 09:00",Pre-Quarters
Cowtown Cannons,Alamode,10,15,"09/24/2022, 09:00",Pre-Quarters
H.I.P,Inception,15,10,"09/24/2022, 09:00",Pre-Quarters
Firefly TX,Gamble,3,15,"09/24/2022, 09:00",Pre-Quarters
Clutch,Harvey Cats,15,9,"09/24/2022, 09:00",Pre-Quarters
Riverside,Fungi,10,14,"09/24/2022, 09:00",Pre-Quarters
ISO Atmo,Flash Flood,15,7,"09/24/2022, 09:00",Pre-Quarters
Dreadnought,Doublewide,6,15,"09/24/2022, 09:00",Pre-Quarters
bracket,2nd Place Bracket
Johnny Bravo,H.I.P,15,4,"09/25/2022, 13:00",Game to Go
H.I.P,Fungi,15,13,"09/25/2022, 11:00",2.R5
ISO Atmo,H.I.P,12,15,"09/25/2022, 09:00",2.R4
Fungi,Alamode,15,10,"09/25/2022, 09:00",2.R4
ISO Atmo,Clutch,14,11,"09/24/2022, 15:00",2.R3
Riverside,Alamode,12,15,"09/24/2022, 15:00",2.R3
ISO Atmo,Rawhide,15,6,"09/24/2022, 13:00",2.R2
Clutch,Inception,15,9,"09/24/2022, 13:00",2.R2
Gamble,Riverside,12,15,"09/24/2022, 13:00",2.R2
Alamode,Dreadnought,15,12,"09/24/2022, 13:00",2.R2
Rawhide,Cowtown Cannons,15,14,"09/24/2022, 11:00",2.R1
Inception,Firefly TX,15,11,"09/24/2022, 11:00",2.R1
Harvey Cats,Riverside,10,15,"09/24/2022, 11:00",2.R1
Flash Flood,Dreadnought,9,15,"09/24/2022, 11:00",2.R1
b,r,e,a,k
pools,9th-12th Pool
pool,9th-12th
Rawhide,Gamble,14,15,"09/24/2022, 15:00",9th-12th
Dreadnought,Inception,15,13,"09/24/2022, 15:00",9th-12th
Rawhide,Inception,9,15,"09/25/2022, 09:00",9th-12th
Dreadnought,Gamble,12,15,"09/25/2022, 09:00",9th-12th
Rawhide,Dreadnought,14,15,"09/25/2022, 11:00",9th-12th
Gamble,Inception,9,11,"09/25/2022, 11:00",9th-12th
b,r,e,a,k
pools,13th-16th Pool
pool,13th-16th
Firefly TX,Flash Flood,15,10,"09/24/2022, 13:00",13th-16th
Harvey Cats,Cowtown Cannons,15,13,"09/24/2022, 13:00",13th-16th
Firefly TX,Cowtown Cannons,2,15,"09/25/2022, 09:00",13th-16th
Harvey Cats,Flash Flood,9,13,"09/25/2022, 09:00",13th-16th
Firefly TX,Harvey Cats,6,7,"09/25/2022, 11:00",13th-16th
Flash Flood,Cowtown Cannons,11,12,"09/25/2022, 11:00",13th-16th
b,r,e,a,k
brackets,5th-8th Place
bracket,7th Place Game
Clutch,Riverside,15,13,"09/25/2022, 09:00",7th Place Game
bracket,5th Place Game
ISO Atmo,Alamode,11,15,"09/25/2022, 11:00",5th place game
b,r,e,a,k
