TCT Elite-Select Challenge 2022 - Indy Invite,Club - Men ,20,8,2022
Indianapolis,IN,2022-08-20,2022-08-21
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2022/schedule/Men/Club-Men/
Doublewide,1
0,Joseph Pickens
0,Josh Kautz
0,Kai Bowen
0,Lucas Bulger
0,Luis Caballero
0,Marco Dregni
0,Matt Johnson
0,Michael Merwin
0,Michael (Mike) Petersen
0,Sam Kleven
0,Tom Duret
0,Trevor Graham
0,Zach Trosvig
12,Ryan Welch
b,r,e,a,k
Shade,10
 ,Calvin Vannoy
 ,J. Zachary Saffa
 ,Ryan Saffa
0,Johnny Frohlichstein
0,Kaizen Conroy
0,Matthew Mclaughlin
0,Michael Sender
0,Nicholas Eng
0,Nick Maida
0,Charlie Holtz
0,Chris Nelson
0,Dean Acheson
0,Elias Griffin
0,Eric Moore
0,Eric Tagliaferre
0,Harper Stanfield
0,Alan Henzy
0,Alex Ornik
0,Alexander Isik
0,Andrew Rodman
0,Aron Szanto
0,Bo  Lu
0,Brandon Shaw
0,Brian Moore
13,Jay Sehgal
b,r,e,a,k
GOAT,6
 ,Akifumi Muraoka
 ,Andrew Carroll
 ,Kevin Jay
 ,Luc Comire
 ,Michael MacKenzie
 ,Jaret Meron
 ,Jason  Lam
10,Geoffrey Bevan
11,Jonathan (JJ) Edwards
12,Remi Ojo
13,Iain MacKenzie
17,Isaiah Masek-Kelly
18,Ryan Poloz
19,Thomson McKnight
35,Samuel Lewis
43,Andrew Ouchterlony
55,James Lewis
61,Adam O'Donnell
63,Eli Park
77,Gaël Ancelin
90,Christopher Chan
92,Adam Turcotte
b,r,e,a,k
Mad Men,3
0,Branavan Yogarajah
03,Jake Carrico
05,Joseph Nelson
09,Kyle Dreger
10,Will Casperson
11,David Nester
12,Sam Hebert
13,Jordan Benson
14,Kai DeLorenzo
15,Sam Stark
16,Matt Tucker
22,Liam McDonald
23,Sef van Kan
27,Shane Otis 
29,Jack Nelson
33,Peter Miller
34,Colin Sunde
41,Jacob Schlaefer
42,Maddox Hill
49,John Tan
66,Anthony Gutowsky
71,Dylan Power
74,Luke Marks
77,Jack Walters-Medaris
91,Austin Johnson
b,r,e,a,k
Clutch,11
 ,Ames Fegert
 ,Francisco Gomez
 ,Jake Sperry
 ,James Kloss
 ,Steven Kelly
 ,Tyler Chiu
0,Vikrant Pendharkar
0,Trey Wong
0,Aaron Barcio
0,James Zuraw
0,Joseph Williams
0,Ibrahim El-sayed
0,Brandon Chow
0,Brian Gfroerer
0,Caleb Dixon
0,Chris Brettell
0,Connor Cole
0,Cullen Baker
0,Darrel  Francis III
0,Destin Tate
12,Ismail Kassim
14,Mutahir Ahmad
27,Elliot Sakach
31,Brandon Lin
34,Mitchell Lutz
b,r,e,a,k
UpRoar,14
0,Andy Chiang
0,Brendan Camareno
0,Caleb Posey
0,Carl Johnson
0,Clayton Marshall
0,Corey Bennett
0,David Witte
0,Donovan Murphy
0,Jacob Gaines
0,Jacob Lane
0,Jay Coble
0,Joey Lisko
0,Jonathan Beilan
0,Kyle Krukowski
0,Matt Ryan
0,Matthew Mcdonald
0,Michael Kromer
0,Robert Anderson
0,Ronald Peterman
0,Ryan Hiser
0,Ryan Moore
0,Thomas Theunissen
0,Thomas Wilkinson III
0,Tim Lootens
0,Trevorn Hodge
b,r,e,a,k
Colonels,13
0,Jeffrey Burris
0,Spencer Olmsted
0,Will Quigley
06,Dan Cunningham
08,Lucas Coniaris
11,David Woods
12,Colin Ringwood
17,Gabriel Wray
18,Amal Patel
19,Andrew Hipskind
21,Spencer Hawkins
23,Xavier Payne
33,Frank Strasser
34,Luke Huffman
37,Seth Gudeman
39,Carter Hawkins
43,Drew Happe
47,Elliot Hawkins
51,Chris Ginet
60,Corey Hardesty
72,Benjamin Landry
88,Caleb Combs
90,Robert Davenport
93,Richard Murt
b,r,e,a,k
Tanasi,4
 ,Alex Stevenson
 ,Brian Newsom
 ,Jacob Lipford
 ,James Russnogle
 ,Jeremiah Branson
 ,Neil Place
 ,Zack Avello
0,Samuel Good
0,Neil Taylor
0,Matt Matheny
0,Jacob Flowers
0,Carter Rae
10,Jared Beazley
11,Ethan Baughman
12,Bryan Sansbury
16,Colin Flowers
18,Yanni Killebrew
19,James  Poe
21,Carson Chamberlain
22,Ridge Carter
24,Fletcher Hare
25,Andrew Geisel
29,Jordan Hennessy
32,Nicholas Amendolare
64,Bryan Sandidge
97,Vasili Doan
b,r,e,a,k
Inception,12
0,Davis Lenz
0,Dexter Luecke
0,James Miller
0,Alexander Bork
0,Andrew Ishikawa
0,Mason Kiefer
0,Sam Ruiz Harding
0,Sean Peskin
03,John Miller
11,Nick Banks
12,Linus Mallett
15,Chris Doan
17,Morgan Scott
17,Tim Jackson
21,Lucas Beal
42,Sarang Mittal
b,r,e,a,k
Phoenix,5
0,Ben Sigurdson
0,Braedan Robinson
0,Brandon Adibe
0,Bryce Ring
0,Cameron Kennedy
0,Carson Turner
0,David Colic
0,Deon Paul
0,Eric Zhuang
0,Fabien Lefebvre
0,Gavin Lee
0,Ian Wallace
0,Kayle Campbell
0,Khirode Robertson
0,Kyle Cantal
0,Martin Gallant
0,Matt O'Brien
0,Maxime Ayad
0,Paul Renaud
0,Ryan Wallace
0,Will Dickson
65,Jonah Munoz
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Doublewide,Garden State Ultimate,15,6,"08/20/2022, 11:25",Pool A,Final
Trident I,I-69,15,9,"08/20/2022, 11:25",Pool A,Final
Doublewide,I-69,15,7,"08/20/2022, 13:10",Pool A,Final
Trident I,Garden State Ultimate,12,14,"08/20/2022, 13:10",Pool A,Final
Doublewide,Trident I,14,10,"08/20/2022, 16:10",Pool A,Final
Garden State Ultimate,I-69,14,8,"08/20/2022, 16:10",Pool A,Final
pool,Pool B
Vault,Shade,15,6,"08/20/2022, 08:30",Pool B,Final
Omen,Mallard,13,9,"08/20/2022, 08:30",Pool B,Final
Vault,Mallard,14,11,"08/20/2022, 13:10",Pool B,Final
Omen,Shade,15,6,"08/20/2022, 13:10",Pool B,Final
Vault,Omen,14,13,"08/20/2022, 16:10",Pool B,Final
Shade,Mallard,9,11,"08/20/2022, 16:10",Pool B,Final
pool,Pool C
Mad Men,Clutch,15,6,"08/20/2022, 08:30",Pool C,Final
GOAT,UpRoar,15,6,"08/20/2022, 08:30",Pool C,Final
Mad Men,UpRoar,14,7,"08/20/2022, 11:25",Pool C,Final
GOAT,Clutch,15,9,"08/20/2022, 11:25",Pool C,Final
Mad Men,GOAT,10,13,"08/20/2022, 16:10",Pool C,Final
Clutch,UpRoar,12,10,"08/20/2022, 16:10",Pool C,Final
pool,Pool D
Tanasi,Inception,15,4,"08/20/2022, 08:30",Pool D,Final
Phoenix,Colonels,13,15,"08/20/2022, 08:30",Pool D,Final
Tanasi,Colonels,12,13,"08/20/2022, 11:25",Pool D,Final
Phoenix,Inception,9,10,"08/20/2022, 11:25",Pool D,Final
Tanasi,Phoenix,14,11,"08/20/2022, 13:10",Pool D,Final
Inception,Colonels,10,15,"08/20/2022, 13:10",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Finals
Omen,GOAT,13,8,"08/21/2022, 11:30",Finals,Final
Doublewide,Omen,11,13,"08/21/2022, 09:45",Semifinals,Final
GOAT,Vault,13,11,"08/21/2022, 09:45",Semifinals,Final
Doublewide,Mad Men,15,9,"08/21/2022, 08:00",Quarterfinals,Final
Colonels,Omen,11,13,"08/21/2022, 08:00",Quarterfinals,Final
GOAT,Garden State Ultimate,14,9,"08/21/2022, 08:00",Quarterfinals,Final
Vault,Tanasi,10,9,"08/21/2022, 08:00",Quarterfinals,Final
bracket,Third Place
Doublewide,Vault,12,10,"08/21/2022, 11:30",Third Place,Final
bracket,Fifth Place Bracket
Mad Men,Tanasi,11,13,"08/21/2022, 11:30",Fifth Place,Final
Mad Men,Colonels,15,7,"08/21/2022, 09:45",Fifth Semis,Final
Garden State Ultimate,Tanasi,9,12,"08/21/2022, 09:45",Fifth Semis,Final
bracket,Seventh Place
Colonels,Garden State Ultimate,7,14,"08/21/2022, 11:30",Seventh Place,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Ninth Place
Trident I,Clutch,11,9,"08/21/2022, 13:15",Ninth Place,Final
Trident I,Shade,11,8,"08/21/2022, 09:45",Ninth Semis,Final
Clutch,Phoenix,11,9,"08/21/2022, 09:45",Ninth Semis,Final
Trident I,UpRoar,15,7,"08/21/2022, 08:00",Ninth Quarters,Final
Inception,Shade,9,12,"08/21/2022, 08:00",Ninth Quarters,Final
Clutch,I-69,12,10,"08/21/2022, 08:00",Ninth Quarters,Final
Mallard,Phoenix,11,12,"08/21/2022, 08:00",Ninth Quarters,Final
bracket,Eleventh Place
Shade,Phoenix,3,11,"08/21/2022, 13:15",Eleventh Place,Final
bracket,Thirteenth Place
UpRoar,Mallard,9,14,"08/21/2022, 13:15",Thirteenth Place,Final
UpRoar,Inception,11,8,"08/21/2022, 09:45",Thirteenth Semis,Final
I-69,Mallard,6,14,"08/21/2022, 09:45",Thirteenth Semis,Final
bracket,Fifteenth Place
Inception,I-69,14,15,"08/21/2022, 13:15",Fifteenth Place,Final
b,r,e,a,k
