Cooler Classic 29,Club - Mixed ,19,8,2017
Hartland,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/Cooler-Classic-29/schedule/Mixed/Club-Mixed
Thoroughbred,4
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Prion,7
0,ALYSSA DICOSOLA
0,Brianna Anderson
0,Brittney Joy
0,Elliot Putman
0,Gloria Lee
0,JACOB BERGER
0,Jacob Trueb
0,Kate Fasbender
0,Maria Janina Sarol
1,JESUS OSORIO
3,Daniel McDonald
4,Tat Shing Thum
16,Allison Chmaj
17,Mikayla Yoder
18,Alexis Dettmer
19,Jacob Komenda
19,Michael Mitchaner
20,Scott Nelson
23,Cody Gray
26,Erik Huemiller
27,CHRISTOPHER HIDAKA
29,Jake Corley
42,Brandon Carrel
52,John Wolff
b,r,e,a,k
panIC,6
0,Alexis Rose
0,ELLEN KINNER
0,Jessica Derry
0,NATHAN CONVERSE
0,Peter Shayman
0,Sarah Kersten
0,Troy Stapleton
2,Rob Hirsch
16,Amanda Stapleton
19,Steven Czechowski
20,Rebecca Crown
22,Nick Culver
23,Patrick Lansdon
24,Faradis Lindblom
24,Thomas Robinson
28,Cole Stiegler
33,James (Drew) Walters
37,Thomas Kindred
42,Raleke Hughes
66,Tyler Stutzman
87,Hayley Dennison
88,WILLIAM DONNELLY
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Northern Comfort,2
03,Erika Watson
06,Abby Snell
07,Tyler Holmes
08,Rushi Patel
09,WHITNEY FOSE
10,Mackenzie Carpenter
11,Alix Raymond
12,JAMES WU
14,Osvaldo Velez-Martinez
17,Mark David
18,Grant Wagner
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
24,Elizabeth Gates
26,Casey Hagen
27,Kalli Leutenegger
28,Ben Ben Hirschman
31,John Anderson
32,Annie Waniger
33,Brian Benge
63,Cassidy McCann
b,r,e,a,k
Stackcats,17
0,Anthony Oplawski
0,Christopher Thomas
0,Eric Martin
0,Jackson Todd
0,Krystle Ocampo
0,Mark Valzonis
0,Matt Tansley
0,Monica Oplawski
0,Ryan Kurnik
0,SAMANTHA Martin
0,Saul Lipton
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
9,BOB WEDSTER
12,Ashley Betke
13,David Lindsey
18,Kurt Zoellick
19,IAN NIFOUSSI
24,Kyle Brooks
29,Talia Brewer
31,Kim Zoellick
43,Mary Elise Wright
44,Jessica Mendez
57,Jonathan Alton
72,Zaray Buenrostro
88,ANTHONY PADULA
b,r,e,a,k
Mad Udderburn,9
0,Colin Punt
0,David Kurian
0,Kathleen Burich
2,Kevin Pochatila
3,Jake Wilson
4,Joey Knutson
5,GRACE GRANDE
8,Ben Schewe
9,Grant Hellestad
10,Emily Orner
14,Katherine Magruder
15,John Miller
18,Ben Stanger
23,Lizabeth Held
25,Stephanie Smith
27,Clay Schelitzche
29,Sarah Doege
32,Amanda Hellestad
33,Aidan Boyle
41,Molly Schelitzche
42,Austin Hinz
50,CHEREK MCBRIDE
88,Brad Ellis
b,r,e,a,k
Mastodon,16
3,Adam Klaus
6,Charlotte Francoeur
8,Amber Waite
9,Andrew Ishikawa
10,Joseph Anistranski
12,Thomas Judy
13,Daniel Huncosky
14,Nicholas Moore
17,Jackie Welsch
20,Noah Webster
21,Lilly Iverson
22,Alina Dain
31,Bryan Brooks
88,Jonah Jossart
b,r,e,a,k
Spirit Fowl,15
0,Anik Regan
0,Carlos Lopez
0,Grady Johnson
0,Hailey Shoemaker
0,Hannah Larson
0,MATT ARCHBOLD
0,Vincent Vik
7,Erin Woitte
10,Derek Klein
13,Camille Curley
13,Sam Eherenman
17,Hannah Zobitz
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
Moontower,10
0,Anna Pobletts
0,Brian Grundy
0,Douglas Hannah
0,Eric (Egon) Hersh
0,Erin Phillips
0,Luis Torres
0,Michael Natenberg
0,Mike French
0,Nicholas Gonner
0,Olivia Angel
0,Robert Connelly
0,Scott Long
0,Tien-Tien Chan
0,Tom Atchity
0,Vanessa Bacorn
8,Mikayla Slimmer
9,Marshall Payne
11,Allegra Donadio
30,Mick Walter
44,Katia Krupa
55,Theodore Weisman
77,Tim Robbins
b,r,e,a,k
Boomtown Pandas,18
0,Alex Larsen
0,Anne Gardner
0,Jamie  Brown
0,Josh Epstein
0,Katelyn Hoffman
0,Katie Abrams
0,Tessa Berry
2,Edward Kaul
4,Jessie Hsu
5,Marianna Malin
7,Benjamin Hsu
10,Caitlin Murphy
11,Ben Hutchinson
13,Jon Fok
16,Robert Lindenthaler
18,Scott Groux
18,Julia Sauerhaft
21,John Schaefer
21,Nathan Kleinhans
27,Seana Lindenthaler
29,Jack Nelson
35,Alexandra Asleson
43,Toby Wex
66,April Peterson
66,Laura Hsu
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
Mojo Jojo,11
0,Alex Kaplan
0,Alyxandra Averkamp
0,Amanda Huber
0,April Strzelczyk Haverstock
0,Dayna Trimborn
0,Graham Sutherland
0,Isaac Thompson
0,Jennifer Degen
0,Julia Barton
0,Lexie Kretschmer
0,Louis LaCroix
0,Patrick Cashman
0,RISHAWN RADZIWILL
0,Sam Munkeby
0,Stephanie Pieper
2,Brian Wilson
4,Andrew Lawrence
4,Jason Finkelstein
5,Daniel Schultz
6,Ryan Fortune
9,JARVIN POTTER
11,Justin Wollin
14,Ben Valley
24,Brendan Gessner
41,Jenni Konigsburg
48,Andrew Dornbush
84,Jake Kretschmer
b,r,e,a,k
Jabba,14
0,Alex Sher
0,Alexander Zaug
0,Alyssa Bennett
0,Bridget Doherty
0,Jennifer Shouldice
0,Jeremy Jones
0,Jessica Fairhurst
0,Kamille Martinez
0,KYLE REBECHINI
0,Christian Owen
0,Duško Yovovich
0,Leigh Abrams
0,Megan O'Loughlin
0,Michelle Kruse
0,Rachel  Cole
0,Travis Salk
7,Laura Rolfes
15,Alex Yue
17,MICHAEL NAGEL
20,Matt Afryl
26,Matt Thomas
27,Ryan Logan
28,Thomas Logisz
69,Casimir Ksiazek III
82,Steven Jeka
88,Jason Paul
b,r,e,a,k
Mousetrap,19
0,Caitlin Hartlaub
0,Caroline Fallon
0,Catherine Morita
0,Elizabeth Ebert
0,Emily Jewell
0,Henry Fremont
0,Ida Sobotik
0,Jason Tiedt
0,Laura Borth
0,Margo Stanger
0,Matthew Wykle
0,Melisa Wittkowske
0,Michael Fehling
0,Jonathan Bauer
0,Spencer Olsson
6,Jill Iwanski
7,Zeke Witter
8,Hans Kittleson
16,Mitchell Rose
18,Chris Chin
32,Daniel Garlock
34,Ben Moody
49,Cadence Sawyer
69,Kyle Cleary
89,Patrick Kopp
99,Annabelle Sobotik
b,r,e,a,k
Coalition Ultimate,12
0,Brian Paulus
0,Callie Auman
0,Emily Dalhoff
0,Natalie Cooper
0,Rebekah Snead
1,Jordan Rosevold
4,Scott Schultz
5,Jacob Johnson
6,Austin Clifford
6,Corey Clifford
10,Josiah Moore
14,Jessica Hendrickson
19,Gavin Sunde
19,Beau Hawkinson
21,Cody Rondeau
23,Clancy Ferris
24,Nate Phillips
27,Daniel Bates
28,Megan  Huntley
34,Caty Ferris Schultz
43,Michael Loper
44,Colin Williams
52,Riley Tauer
b,r,e,a,k
ELevate,13
02,Kevin Schwartzenberg
03,Tricia Chee
05,Emily Molloy
10,George Tobin
11,Lauren Miller
13,Samantha Sadlier
15,YEVANIT RESCHECHTKO
16,Alexandra Moxley
17,Dan Hiben
18,Mati Chessin
21,Benjamin Macalalad
22,Amy Copper
24,Greg Wycklendt
25,Sean Mills
26,Scott Anding
28,Alexander McEachin
30,Jessica Johnson
32,Sandra Helquist
33,Alyssa Graham
36,Talia Fishman-Strait
40,Alex Kowalczuk
42,Ryan Albright
44,Meredith Sommars
66,Taylor Dall
71,Matt Gubernick
81,Jake Smith
99,Samuel Fishman-Strait
b,r,e,a,k
ALTimate Brews,20
0,Craig Howering
0,Beth Cody
0,Jessica Gross
0,Lindsay Boyer
0,Lisa Pope
0,Rachel Taylor
0,Sara Nason
0,TRAVIS BROWN
6,Katie Horsley
7,David Cann
8,Brian Bierman
10,David Romens
13,Jordan Benson
17,Jacob Schlaefer
20,Misha Tseytlin
51,Maximilian Christman
55,Mallory Prouty
82,Logan Campbell
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pools
pool,Pool A
Toast,Risky Business,13,10,"08/19/2017, 10:45",Pool A,Final
Thoroughbred,Wingdings,13,8,"08/19/2017, 10:45",Pool A,Final
Toast,Wingdings,13,10,"08/19/2017, 12:30",Pool A,Final
Thoroughbred,Risky Business,9,10,"08/19/2017, 12:30",Pool A,Final
Toast,Thoroughbred,8,13,"08/19/2017, 14:15",Pool A,Final
Risky Business,Wingdings,12,5,"08/19/2017, 14:15",Pool A,Final
pool,Pool B
Northern Comfort,panIC,11,13,"08/19/2017, 10:45",Pool B,Final
Minnesota Star Power,Prion,13,9,"08/19/2017, 10:45",Pool B,Final
Northern Comfort,Prion,13,12,"08/19/2017, 12:30",Pool B,Final
Minnesota Star Power,panIC,13,5,"08/19/2017, 12:30",Pool B,Final
Northern Comfort,Minnesota Star Power,6,13,"08/19/2017, 14:15",Pool B,Final
panIC,Prion,9,11,"08/19/2017, 14:15",Pool B,Final
b,r,e,a,k
pools,Tier 2 Pools
pool,Pool C
Mastodon,Stackcats,7,13,"08/19/2017, 09:00",Pool C,Final
Mad Udderburn,Stackcats,13,9,"08/19/2017, 10:45",Pool C,Final
Mad Udderburn,Mastodon,8,13,"08/19/2017, 12:30",Pool C,Final
pool,Pool D
Spirit Fowl,Boomtown Pandas,13,6,"08/19/2017, 09:00",Pool D,Final
Moontower,Boomtown Pandas,13,9,"08/19/2017, 10:45",Pool D,Final
Moontower,Spirit Fowl,9,11,"08/19/2017, 12:30",Pool D,Final
pool,Pool E
Jabba,Mousetrap,13,4,"08/19/2017, 09:00",Pool E,Final
Mojo Jojo,Mousetrap,13,4,"08/19/2017, 10:45",Pool E,Final
Mojo Jojo,Jabba,13,5,"08/19/2017, 12:30",Pool E,Final
pool,Pool F
ELevate,ALTimate Brews,13,8,"08/19/2017, 09:00",Pool F,Final
Coalition Ultimate,ALTimate Brews,13,7,"08/19/2017, 10:45",Pool F,Final
Coalition Ultimate,ELevate,13,7,"08/19/2017, 12:30",Pool F,Final
b,r,e,a,k
clusters,Crossovers
cluster,Sat Crossovers
Stackcats,Moontower,3,13,"08/19/2017, 14:15",,Final
Spirit Fowl,Mad Udderburn,12,7,"08/19/2017, 14:15",,Final
Mojo Jojo,ELevate,12,7,"08/19/2017, 14:15",,Final
Coalition Ultimate,Jabba,13,9,"08/19/2017, 14:15",,Final
Mastodon,Boomtown Pandas,9,13,"08/19/2017, 14:15",,Final
Mousetrap,ALTimate Brews,13,8,"08/19/2017, 14:15",,Final
Thoroughbred,Minnesota Star Power,6,9,"08/19/2017, 16:00",,Final
Risky Business,Prion,13,11,"08/19/2017, 16:00",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
Prion,Minnesota Star Power,7,15,"08/20/2017, 15:00",1st,Final
Northern Comfort,Prion,13,14,"08/20/2017, 13:00",Semis,Final
Minnesota Star Power,Risky Business,15,12,"08/20/2017, 13:00",Semis,Final
Thoroughbred,Northern Comfort,11,15,"08/20/2017, 11:00",Quarters,Final
Toast,Prion,9,15,"08/20/2017, 11:00",Quarters,Final
Minnesota Star Power,Moontower,15,12,"08/20/2017, 11:00",Quarters,Final
panIC,Risky Business,9,15,"08/20/2017, 11:00",Quarters,Final
Northern Comfort,Spirit Fowl,13,7,"08/19/2017, 16:00",Pre-Quarters,Final
Toast,Coalition Ultimate,12,10,"08/19/2017, 16:00",Pre-Quarters,Final
Wingdings,Moontower,6,13,"08/19/2017, 16:00",Pre-Quarters,Final
panIC,Mojo Jojo,13,11,"08/19/2017, 16:00",Pre-Quarters,Final
bracket,3rd Place
Northern Comfort,Risky Business,10,12,"08/20/2017, 15:00",3rd,Final
bracket,5th Place
Thoroughbred,Moontower,12,10,"08/20/2017, 15:00",5th,Final
Thoroughbred,Toast,15,11,"08/20/2017, 13:00",5th Semis,Final
Moontower,panIC,12,11,"08/20/2017, 13:00",5th Semis,Final
bracket,7th Place
Toast,panIC,10,15,"08/20/2017, 15:00",7th,Final
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
Mojo Jojo,Wingdings,14,11,"08/20/2017, 13:00",9th,Final
ELevate,Mojo Jojo,8,13,"08/20/2017, 11:00",9th Semis,Final
Wingdings,Coalition Ultimate,13,12,"08/20/2017, 11:00",9th Semis,Final
Spirit Fowl,ELevate,10,14,"08/20/2017, 09:00",9th Quarters,Final
Mad Udderburn,Mojo Jojo,8,15,"08/20/2017, 09:00",9th Quarters,Final
Wingdings,Jabba,15,13,"08/20/2017, 09:00",9th Quarters,Final
Stackcats,Coalition Ultimate,10,15,"08/20/2017, 09:00",9th Quarters,Final
Boomtown Pandas,ELevate,10,11,"08/19/2017, 16:00",9th Pre-Q,Final
Mad Udderburn,Mousetrap,13,11,"08/19/2017, 16:00",9th Pre-Q,Final
Jabba,Mastodon,13,11,"08/19/2017, 16:00",9th Pre-Q,Final
ALTimate Brews,Stackcats,5,13,"08/19/2017, 16:00",9th Pre-Q,Final
bracket,11th Place
ELevate,Coalition Ultimate,12,13,"08/20/2017, 13:00",11th,Final
bracket,13th Place
Mad Udderburn,Stackcats,13,11,"08/20/2017, 13:00",13th,Final
Spirit Fowl,Mad Udderburn,9,14,"08/20/2017, 11:00",13th Semis,Final
Jabba,Stackcats,7,15,"08/20/2017, 11:00",13th Semis,Final
bracket,15th Place
Spirit Fowl,Jabba,12,15,"08/20/2017, 13:00",15th,Final
b,r,e,a,k
pools,Consol
pool,Pool G
Boomtown Pandas,Mastodon,11,13,"08/20/2017, 09:00",Pool G,Final
Mousetrap,ALTimate Brews,15,10,"08/20/2017, 09:00",Pool G,Final
Boomtown Pandas,ALTimate Brews,14,6,"08/20/2017, 11:00",Pool G,Final
Mousetrap,Mastodon,2,13,"08/20/2017, 11:00",Pool G,Final
Boomtown Pandas,Mousetrap,12,14,"08/20/2017, 13:00",Pool G,Final
Mastodon,ALTimate Brews,15,4,"08/20/2017, 13:00",Pool G,Final
b,r,e,a,k
