Atlantic Coast Open 2017,College - Men ,1,4,2017
Virginia Beach,VA,2017-04-01,2017-04-02
https://play.usaultimate.org/events/Atlantic-Coast-Open-2017/schedule/Men/CollegeMen/
James Madison,1
77,Mahmood Ahmed
99,Edward Devlin
b,r,e,a,k
Towson,14
0,Brandon Myers
0,Brian Leonard
0,David Zimmerman
0,Douglas Trach
0,Eric Rosling
0,Ruthvik Gali
0,Sam Sybert
0,Zachary Greaver
3,Martin Swart
5,Chase Turner
6,Josh Moen
11,Daniel Kaste
13,Jack Wong
15,Xavier Stewart
16,Drew Shaffer
19,Max Shevchenko
23,Viktor Polyak
34,Kevin Boyd
42,Jeffrey Hoch
55,Mike McComiskey
66,Michael Valdes
69,Kevin Versteeg
69,Ryan Bates
b,r,e,a,k
William & Mary,4
0,Colin Messerschmidt
0,COOPER MICHAELIS
0,Gabe Westergren
0,Greg Garnhart
0,Gus Norrbom
0,Henry Trotter
0,John Wilkes
0,Joshua Zinger
0,Matthew Straus
0,Nicholas Som
0,SETH HAGE
0,Taylor Gilman
0,Tommy Harris
0,Zachary Nimmo
2,HENRY TESSIER
3,Benjamin Helm
6,Jacob Smith
16,Patrick So
17,Moussa Dia
23,Spencer Kirn
26,Matthew Wattendorf
27,Connor Chapin
69,Jack Kanehann
74,David Jensen
b,r,e,a,k
Georgetown,5
01,Dylan Kreher
02,Nick Stabile
03,David Fitzpatrick
06,Logan Willits
08,Perry Cao
10,Maximilian Cohen-Casado
11,Schuyler Colloredo-Mansfeld
12,John Recchia
13,Jeremy Bernard-Sasges
17,Eric Diestelow
19,Anthony Bernard-Sasges
21,Jonathan Toib
22,Jacob Marsh
26,Justin Fang
27,Danie Fain
30,Christian Boxley
31,Blake Spangler
33,Luke Curran
35,Michael Stricker
60,Thomas Mingey
77,David Wilke
80,Niko Paulson
84,Harry Bellwoar
88,Kunwoo Shin
96,John Montesanto
b,r,e,a,k
NYU,12
0,MATAN YAH BEN ZION
2,Antonio Vayas
3,Maxwell Dusenbury
5,Theodore Chang
6,George Yang
7,Jesse Gan
10,Owen Marschall
11,Wyatt Lien
12,Victor Kao
14,Albert Su
16,Jack McGovern
17,Allen Zhou
19,Jesse Rice
20,David Zemmol
21,Cullen Weidenaar
22,Quin Gier
24,Matthew Meserve
27,James Leonard
30,Rajat  Pillai
31,Morgan Robison
32,Nathaniel Eisen
37,Jeffrey Wang
51,Rob Chiarelli
54,Bradley Davis
88,David Zhang
b,r,e,a,k
Wooster,13
0,Charles Quigley
0,Dominic Muccio
0,Ezekiel Zelman
0,Gabriel McCarthy
0,Jason Lillie
0,Nick Hodges
0,Robert Mueller
0,Taylor Myers
5,Gregory  Bell
11,Emilio Bartlett Asenjo
12,Aidan Mackenzie
13,Jalen Lee
16,Preston Pozderac
18,Clark Wang
20,Jacob Schwartz
21,Garo Matossian
34,Daniel Lynch
42,Michael Herman
45,Peter Arts
52,Collin Hendershot
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
James Madison,Rowan,13,3,"04/01/2017, 09:00",Pool A,Final
Temple,Duke,9,8,"04/01/2017, 09:00",Pool A,Final
James Madison,Temple,11,7,"04/01/2017, 10:50",Pool A,Final
Johns Hopkins,Duke,11,12,"04/01/2017, 10:50",Pool A,Final
Duke,Rowan,8,9,"04/01/2017, 12:40",Pool A,Final
Johns Hopkins,Temple,9,10,"04/01/2017, 12:40",Pool A,Final
James Madison,Duke,13,4,"04/01/2017, 14:30",Pool A,Final
Johns Hopkins,Rowan,13,5,"04/01/2017, 14:30",Pool A,Final
James Madison,Johns Hopkins,13,6,"04/01/2017, 16:20",Pool A,Final
Temple,Rowan,13,3,"04/01/2017, 16:20",Pool A,Final
pool,Pool B
George Washington,North Carolina (B),13,7,"04/01/2017, 09:00",Pool B,Final
George Mason,Edinboro,12,11,"04/01/2017, 09:00",Pool B,Final
George Washington,George Mason,13,9,"04/01/2017, 10:50",Pool B,Final
Cornell,Edinboro,4,13,"04/01/2017, 10:50",Pool B,Final
Edinboro,North Carolina (B),13,12,"04/01/2017, 12:40",Pool B,Final
Cornell,George Mason,6,12,"04/01/2017, 12:40",Pool B,Final
George Washington,Edinboro,13,5,"04/01/2017, 14:30",Pool B,Final
Cornell,North Carolina (B),9,10,"04/01/2017, 14:30",Pool B,Final
George Washington,Cornell,13,8,"04/01/2017, 16:20",Pool B,Final
George Mason,North Carolina (B),13,7,"04/01/2017, 16:20",Pool B,Final
pool,Pool C
Maryland,East Carolina,10,4,"04/01/2017, 09:00",Pool C,Final
Pennsylvania,Towson,12,9,"04/01/2017, 09:00",Pool C,Final
Maryland,Pennsylvania,13,9,"04/01/2017, 10:50",Pool C,Final
South Carolina,Towson,12,9,"04/01/2017, 10:50",Pool C,Final
Towson,East Carolina,6,12,"04/01/2017, 12:40",Pool C,Final
South Carolina,Pennsylvania,13,10,"04/01/2017, 12:40",Pool C,Final
Maryland,Towson,13,4,"04/01/2017, 14:30",Pool C,Final
South Carolina,East Carolina,5,12,"04/01/2017, 14:30",Pool C,Final
Maryland,South Carolina,13,11,"04/01/2017, 16:20",Pool C,Final
Pennsylvania,East Carolina,10,12,"04/01/2017, 16:20",Pool C,Final
pool,Pool D
William & Mary,NYU,8,9,"04/01/2017, 10:50",Pool D,Final
Georgetown,Wooster,11,7,"04/01/2017, 10:50",Pool D,Final
William & Mary,Wooster,10,6,"04/01/2017, 12:40",Pool D,Final
Georgetown,NYU,11,7,"04/01/2017, 12:40",Pool D,Final
William & Mary,Georgetown,11,8,"04/01/2017, 14:30",Pool D,Final
NYU,Wooster,9,8,"04/01/2017, 14:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd place
George Washington,James Madison,11,15,"04/02/2017, 14:30",3rd Place,Final
bracket,5th place
Temple,Georgetown,9,15,"04/02/2017, 14:30",5th Place Finals,Final
George Mason,Temple,10,12,"04/02/2017, 12:30",5th Place Semis,Final
Georgetown,Edinboro,15,10,"04/02/2017, 12:30",5th Place Semis,Final
bracket,7th place
George Mason,Edinboro,1,0,"04/02/2017, 14:30",7th Place Finals,Final
bracket,13th place
Wooster,North Carolina (B),8,11,"04/02/2017, 10:30",13th Place Finals,Final
Duke,Wooster,11,13,"04/02/2017, 08:30",13th Place Semis,Final
North Carolina (B),Pennsylvania,12,10,"04/02/2017, 08:30",13th Place Semis,Final
bracket,15th place
Duke,Pennsylvania,11,10,"04/02/2017, 10:30",15th Place Finals,Final
bracket,Championship
William & Mary,Maryland,14,13,"04/02/2017, 14:30",Finals,Final
James Madison,William & Mary,8,10,"04/02/2017, 12:30",Semis,Final
Maryland,George Washington,15,12,"04/02/2017, 12:30",Semis,Final
George Mason,James Madison,7,13,"04/02/2017, 10:30",Quarters,Final
William & Mary,Edinboro,15,4,"04/02/2017, 10:30",Quarters,Final
Maryland,Georgetown,10,9,"04/02/2017, 10:30",Quarters,Final
George Washington,Temple,15,11,"04/02/2017, 10:30",Quarters,Final
George Mason,South Carolina,15,11,"04/02/2017, 08:30",PQ,Final
East Carolina,Edinboro,8,14,"04/02/2017, 08:30",PQ,Final
Georgetown,Johns Hopkins,11,7,"04/02/2017, 08:30",PQ,Final
Temple,NYU,10,9,"04/02/2017, 08:30",PQ,Final
bracket,9th place game 1
South Carolina,NYU,15,7,"04/02/2017, 10:30",finals,Final
bracket,9th place game 2
Johns Hopkins,East Carolina,13,5,"04/02/2017, 12:30",finals,Final
b,r,e,a,k
pools,Consolation Standings
pool,Pool E
Cornell,Towson,11,10,"04/02/2017, 08:30",Pool E,Final
Towson,Rowan,8,15,"04/02/2017, 10:30",Pool E,Final
Cornell,Rowan,15,8,"04/02/2017, 12:30",Pool E,Final
b,r,e,a,k
