Trouble in Vegas 2017,College - Men ,25,3,2017
Las Vegas,NV,2017-03-25,2017-03-26
https://play.usaultimate.org/events/Trouble-in-Vegas-2017/schedule/Men/CollegeMen/
Florida,1
Colorado-Denver,Nevada-Reno,11,13,"03/25/2017, 16:30",2nd Rd,Final
Colorado School of Mines,Pacific Lutheran,13,5,"03/26/2017, 15:00",2nd Rd,Final
New Mexico,Occidental,10,6,"03/26/2017, 21:00",2nd Rd,Final
Claremont,Arizona State (B),11,9,"03/26/2017, 15:00",2nd Rd,Final
Grand Canyon,California-San Diego (B),0,1,"03/25/2017, 19:30",1st Rd,Final
California (B),Nevada-Reno (B),13,1,"03/26/2017, 13:30",1st Rd,Final
Cal Poly-Pomona,Utah Valley,1,0,"03/26/2017, 19:30",1st Rd,Final
Colorado State (B),Southern California (B),13,0,"03/26/2017, 13:30",1st Rd,Final
Colorado-Denver,Fresno State,13,3,"03/26/2017, 13:30",1st Rd,Final
Occidental,Caltech,12,2,"03/26/2017, 13:30",1st Rd,Final
Claremont,California-Irvine,7,0,"03/26/2017, 13:30",1st Rd,Final
b,r,e,a,k
brackets,Consolation
bracket,5th Place
Santa Clara,Utah State,7,13,"03/26/2017, 14:30",5th Place,Final
Chico State,Santa Clara,8,9,"03/26/2017, 13:00",5th,Final
Utah State,New Mexico,1,0,"03/26/2017, 19:00",5th,Final
bracket,7th Place
New Mexico,Chico State,0,1,"03/26/2017, 20:30",7th Place,Final
bracket,T9a
California (B),UCLA,8,10,"03/26/2017, 14:30",T9a,Final
UCLA,North Texas,1,0,"03/26/2017, 13:00",9a,Final
bracket,T9b
Claremont,Arizona State,0,0,"03/26/2017, 14:30",T9b,Scheduled
Arizona State,Colorado School of Mines,11,8,"03/26/2017, 13:00",9b,Final
bracket,13th Place
North Texas,Colorado School of Mines,8,12,"03/26/2017, 14:30",13th Place,Final
b,r,e,a,k
brackets,NIT
bracket,NIT Champ
Utah Valley,Caltech,13,11,"03/26/2017, 17:30",NIT Champ,Final
Cal State-Fullerton,Utah Valley,8,15,"03/26/2017, 22:00",NIT SF,Final
Fresno State,Caltech,8,14,"03/26/2017, 10:00",NIT SF,Final
Grand Canyon,Cal State-Fullerton,9,13,"03/26/2017, 20:30",NIT QF,Final
Nevada-Reno (B),Utah Valley,4,15,"03/26/2017, 14:30",NIT QF,Final
Southern California (B),Fresno State,0,1,"03/26/2017, 08:30",NIT QF,Final
Caltech,California-Irvine,15,2,"03/26/2017, 08:30",NIT QF,Final
Arizona (B),Cal State-Fullerton,0,1,"03/26/2017, 01:00",NIT First 2,Final
bracket,NIT 3rd
Fresno State,Cal State-Fullerton,9,14,"03/26/2017, 17:30",NIT 3rd,Final
bracket,NIT 5th
Grand Canyon,Arizona (B),9,8,"03/27/2017, 01:00",NIT 5th,Final
Grand Canyon,Nevada-Reno (B),14,7,"03/26/2017, 16:00",5b,Final
California-Irvine,Arizona (B),7,9,"03/26/2017, 17:30",5b,Final
Southern California (B),California-Irvine,0,1,"03/26/2017, 10:00",5a,Final
bracket,NIT Not Last
Southern California (B),California-Irvine,0,0,"03/26/2017, 13:00",Not Last,Scheduled
Nevada-Reno (B),Southern California (B),0,1,"03/26/2017, 11:30",Round Name,Final
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Cal Poly-Pomona,Occidental,11,9,"03/26/2017, 11:30",13th Place,Final
Cal Poly-Pomona,Northern Arizona,12,11,"03/26/2017, 10:00",13b,Final
Colorado-Denver,Occidental,6,15,"03/26/2017, 10:00",13b,Final
California-San Diego (B),Cal Poly-Pomona,6,13,"03/26/2017, 08:30",13a,Final
Northern Arizona,Colorado State (B),12,11,"03/26/2017, 08:30",13a,Final
Colorado-Denver,Pacific Lutheran,15,8,"03/26/2017, 08:30",13a,Final
Occidental,Arizona State (B),15,3,"03/26/2017, 08:30",13a,Final
bracket,15th Place
Colorado-Denver,Northern Arizona,13,12,"03/26/2017, 11:30",15th Place,Final
bracket,17th Place
Pacific Lutheran,Colorado State (B),11,12,"03/26/2017, 11:30",17th Place,Final
Arizona State (B),Pacific Lutheran,10,12,"03/26/2017, 10:00",17,Final
Northern Arizona,Colorado State (B),0,1,"03/26/2017, 10:00",17,Final
b,r,e,a,k
clusters,Chico Reno
cluster,Chico Reno
Chico State,Fresno State,13,4,"03/25/2017, 09:00",,Final
Chico State,Colorado State (B),13,2,"03/25/2017, 09:00",,Final
Nevada-Reno,Arizona,9,13,"03/25/2017, 09:00",,Final
Nevada-Reno,Southern California,4,12,"03/25/2017, 09:00",,Final
Nevada-Reno,Utah State,7,13,"03/25/2017, 09:00",,Final
b,r,e,a,k
