Bring the Huckus 7,College - Women ,25,2,2017
West Windsor Township,NJ,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Bring-the-Huckus-7/schedule/Women/CollegeWomen/
West Chester,1
00,Nicole Wang
b,r,e,a,k
SUNY-Albany,19
teamInfo,Deception,"Albany, New York",http://deceptionultimate.weebly.com/,https://www.facebook.com/pages/Deception-Womens-Ultimate-Frisbee/438416152842101?ref=hl,https://twitter.com/UADeception
03,Michaela Zholovnik
04,Sarah Thomann
05,Emily Li
08,Anita Petrushenko
09,Antonia Williams
10,Camryn Walsh
11,Kelsey Daverin
12,Courtney Cash
13,Nikki Gilani
14,Samantha Rivera
15,Diane Dreifuss
18,Margaret Ritchie
21,Rachel Dejean
34,Emily Gilot
b,r,e,a,k
SUNY Cortland,14
teamInfo,SUNY Cortland,"Cortland, New York",,,
02,Emily Wilson
03,Kimberly Nagl
05,Beesanne Kurzum
07,Michelle Fincken
10,Megan Greer
11,Ashley Skoblow
13,Nichole Scholl
14,Kayla Ross
16,Diamaris Burton
17,Cassidy Strassner
24,Dana Katulak
27,Christiann McCoy
39,Mackenzie Meldrim
46,Savannah Brancato
98,Sarah Zielstorf
b,r,e,a,k
Wellesley,20
teamInfo,Whiptails,"Wellesley, Massachusetts",,,https://twitter.com/thewholedamnbus
05,Fiona Chung
07,MollyAn Killingbeck
10,Jenny Wang
11,Sheree Liu
12,Cat Yoke
15,Laura Cassetty
16,Jessica Wong
17,Adrianna Tan
22,Megan Chen
52,Bella Nikom
54,Evan Williams
69,Nolen Bryant
96,Jess Cherayil
b,r,e,a,k
SUNY-Buffalo,13
teamInfo,The Lorax,"Buffalo, New York",,https://www.facebook.com/pages/SUNY-Buffalo-Womens-Ultimate/124095117661181,twitter.com/LoraxUltimate
3,Rachel Greco
6,Emma Kelleher
02,Sarah Bryant
10,MORGAN NIMS
12,Natalie Hazzan
14,Lauren Wengender 
15,Taylor Gorman 
17,Jessica  Brown
18,Kathryn Toffolo
23,Emma Meore
24,Yuewu Hou
b,r,e,a,k
Edinboro,12
teamInfo,Shaggus ,"Edinboro, Pennsylvania",,,
01,Sarah Figueroa
02,Bethany Tepley
08,Claire Pilewski
12,Kasey Powlison
14,Samantha Marsh
15,Rachel Foringer
21,Rebecca Francis
75,Gina Thornberg
b,r,e,a,k
Rowan,21
teamInfo,RUF Riders,"Glassboro, New Jersey",,,
00,Abigail Osborne
00,alexys curley
00,Alyssa van Doorn
00,Brittany  Ngo
00,Emily Ilic
00,Julianne Smith
00,Rachel Rivera
00,Rose Ann Rosario
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
West Chester,Carnegie Mellon,8,9,"02/25/2017, 09:00",Pool A,Final
Haverford,Amherst,9,10,"02/25/2017, 09:00",Pool A,Final
West Chester,Amherst,11,4,"02/25/2017, 10:30",Pool A,Final
Haverford,Carnegie Mellon,4,8,"02/25/2017, 10:30",Pool A,Final
West Chester,Haverford,13,3,"02/25/2017, 12:00",Pool A,Final
Carnegie Mellon,Amherst,5,7,"02/25/2017, 12:00",Pool A,Final
pool,Pool B
Williams,Lehigh,9,2,"02/25/2017, 10:30",Pool B,Final
Bowdoin,Swarthmore,10,4,"02/25/2017, 10:30",Pool B,Final
Williams,Swarthmore,13,3,"02/25/2017, 12:00",Pool B,Final
Bowdoin,Lehigh,7,6,"02/25/2017, 12:00",Pool B,Final
Williams,Bowdoin,10,6,"02/25/2017, 13:30",Pool B,Final
Lehigh,Swarthmore,6,8,"02/25/2017, 13:30",Pool B,Final
pool,Pool C
Boston University,Syracuse,12,1,"02/25/2017, 09:00",Pool C,Final
NYU,Northeastern (B),9,3,"02/25/2017, 09:00",Pool C,Final
Boston University,Northeastern (B),9,2,"02/25/2017, 10:30",Pool C,Final
NYU,Syracuse,9,5,"02/25/2017, 10:30",Pool C,Final
Boston University,NYU,8,2,"02/25/2017, 13:30",Pool C,Final
Syracuse,Northeastern (B),5,7,"02/25/2017, 13:30",Pool C,Final
pool,Pool D
Ithaca,Drexel,12,4,"02/25/2017, 09:00",Pool D,Final
Ithaca,College of New Jersey,4,12,"02/25/2017, 12:00",Pool D,Final
College of New Jersey,Drexel,7,2,"02/25/2017, 13:30",Pool D,Final
Hofstra,College of New Jersey,8,9,"02/25/2017, 16:00",Pool D,Final
Hofstra,Drexel,10,1,"02/25/2017, 19:00",Pool D,Final
Hofstra,Ithaca,13,1,"02/25/2017, 20:30",Pool D,Final
pool,Pool E
DEVYL,SUNY-Albany,12,2,"02/25/2017, 09:00",Pool E,Final
SUNY Cortland,Skidmore,0,13,"02/25/2017, 09:00",Pool E,Final
DEVYL,Skidmore,4,9,"02/25/2017, 10:30",Pool E,Final
SUNY Cortland,SUNY-Albany,1,12,"02/25/2017, 10:30",Pool E,Final
DEVYL,SUNY Cortland,13,1,"02/25/2017, 12:00",Pool E,Final
