Big D in Little D Open Tournament 2017,College - Men ,4,2,2017
https://play.usaultimate.org/events/Big-D-in-Little-D-2017/schedule/Men/CollegeMen/
Colorado College,1
56,Ryan McLoughlin
62,Alexander Menke
88,Duncan McHarg
b,r,e,a,k
Stephen F Austin,18
0,Ashley Matherly
0,Christopher Barton
0,Parker Lambes
0,Shawn Catlin
2,Nicolas Mejia
4,Ryan Pingenot
5,Trevor McCulley
12,Anna Highsmith
21,Austin Highsmith
22,James Phillips
24,Tyler Baker
39,Michael Musslewhite
69,Thomas Griffin
b,r,e,a,k
Central Arkansas,13
01,CHRISTIAN BIGGS
15,Dustin Leigh
17,Preston Long
33,Raymond Graham
60,Garrett Brown
69,Bill Hasik
89,Gregory Jacobus
90,Madison Dodd
95,Samuel Manion
98,Daniel Brewster
b,r,e,a,k
Texas State  (B),23
08,Zach Stence
10,En Emerson
11,Austin Elms
13,Cody Silveira
16,Anthony Lohan
17,Brandon Robinson
17,Rahsaan Crutch
18,Michael Bourne
19,Tanner Hughes
24,Joseph Smith
36,Jeffery  Wang
50,Michael Racz
55,Josh Venter
65,Travis Kennedy
67,Gary Garcia
91,Ethan Troxell
96,Sam Bonillas
b,r,e,a,k
Texas Tech,7
0,Benjamin Hodge
1,Dillon Rathman
2,Carson Wilder
3,Michael Paniagua
5,Payton Ardoin
6,John Aucar
7,Paul Yacoub 
8,Sam Kuhn
9,TREY KEESEE
11,Broderick Watson
15,Jessica Hartzer
17,Austin Ficken
19,Winstein Hungbui
21,Zaakir Muhammad
21,Caleb Schnatz
22,Grant Golder
23,Kyle Henke
32,Luke Sheppard
33,Andrew Calvert
35,Alexander Brewster
37,Lucas Meade
44,Junaid Ramzan
49,Michael Wode
66,Ryan Stomp
69,Ricky Stanfield
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Baylor,4
2,Jackson Helling
3,Joseph Burchett
7,ZACH PLUNK
8,Tyler Smith
9,Ben Giles
10,Baxter Robb
11,Matthew Sutton
12,Ryan Smeltzer
18,Bryce Gutierrez
20,Donny Lawrence
21,Alexander Brouwer
22,Nathan Tjahjadi
25,Austin Hangebrauck
27,Mason Wuensch
37,Keon Cleary
41,Austin Workman
50,Tyler Chiu
55,Kelton Mahon
91,David Roper
99,Matthew Sweere
b,r,e,a,k
Oklahoma State,14
0,Alex Southard
0,Blake Duncan
0,Drew Starkey
0,Lander Larraza
0,Li Ya Cheng
0,JAKE SESSLER
0,Tyler Helt
1,Josh Cunningham
7,Jake Niskanen
8,Sawyer Locke
06,Merl Prichard
11,Conor Henry
15,Erin Heilman
19,Detrick Bombarger
21,Deion McKittrick
22,Nick Krause
23,Clay Furleigh
27,Tyler Niskanen
51,John Athens
b,r,e,a,k
Texas-San Antonio,17
00,Joseph Morales
00,Zachary Bauders
01,Rafael Cruz-Garcia
03,Harrison Greaves
04,William Miller
05,Daniel 'Chach' Smith-Salgado
12,Gregory  Benavidez
16,Steven Glatt
39,Brendon Decker
b,r,e,a,k
Arkansas (B),24
00,CHARLIE ADAMS
00,Keith Urbanski
00,Ryland Arnold
00,Slaton Guy
25,James Genova
33,Kenneth Cole
69,Pierce Teeuwen
80,Colin Richardson
b,r,e,a,k
Texas-Dallas,5
0,ADAM BARTON
0,Andrue Guerrero
0,Garrett Fish
0,Jason Hustad
0,Joseph Thurston
0,Joey Campain
0,Joseph Welkener
0,Neel Reddy
0,Nidhish Lokesh
0,Pranav Devalla
0,Robert Somma
0,Victor Mao
0,Wesley Miaw
3,Tyler Criss
5,Christian Cortes
6,Donovan Bankett
00,Sebastien Lauzy
12,David Knight
13,Christopher Fogel
14,Alex Felten
22,Ross Neuman
23,Steven Borik
29,Steven Gomez
29,Kirtan Patel
29,Charles McNeil
b,r,e,a,k
Texas State,15
01,Tyler Wetmore
02,Daryl Lewis
03,Devin HokansonSmith
04,Trenton Hebert
06,Eric Brodbeck
07,Cole Lamkins
10,Robert Hausmann
11,Joseph Feeney
12,James Sims
13,James Washburn
14,Ben Arnecke
15,RAFAEL VERISSIMO
17,Manuel Arche-Pagan
23,Alexander Polasek
32,Marcos Phillips
37,Sean Kuylen
69,Cole Smith
97,Jordan Bertolino
b,r,e,a,k
Kansas State,6
0,Erik Hjelmaas
0,Spencer Roberts
0,Erick  Neilson
0,Drew Mechnig
0,Luke Grieger
0,Ryan Irvin
0,Jeb Stewart
0,Blake Smethers
0,Brett Dare
17,Clayton Smith
27,Kyle Thompson
34,Colin Beauregard
59,John Wildman
b,r,e,a,k
Tulsa,25
0,Brennen Gray
2,JT Stancil
4,Kathleen Endicott
5,Brian Luczak
6,Jimmy Pignetti
9,Claire Dang
10,Kyle Flores
12,Ian Riley
13,Henry Luepke
17,Benjamin Brown
23,Ryan Orland
25,Peter Simmons
30,Chisum Lane
37,Joe Moran
41,Jacob Berg
42,Jacob Hall
b,r,e,a,k
Southern Methodist,16
0,Dallas Haas
0,Dillon Cox
0,Jena Douville
0,Johnathan Barr
0,Kyra Segraves
0,Oisin Coveney
0,Ryan Yee
0,Travis Siems
1,Joseph Lee Bruno
2,Bryant  Lowry
5,Roberto Reyna
8,Glenn Romer
12,Kyle Turner
14,Dylan Lee
23,Julian Reyna
33,Matthew Guerra
66,Kush Jain
88,Sterling  Conner
b,r,e,a,k
s,t,a,g,e,s
pools,Big D 2017
pool,Pool A
Texas-Arlington,Marcus,11,7,"02/04/2017, 08:00",Pool A
Colorado College,Texas-Arlington,13,2,"02/04/2017, 09:35",Pool A
Kansas,Marcus,9,10,"02/04/2017, 09:35",Pool A
Kansas,Texas-Arlington,13,4,"02/04/2017, 11:10",Pool A
Colorado College,Marcus,13,8,"02/04/2017, 12:45",Pool A
Colorado College,Kansas,10,7,"02/04/2017, 14:20",Pool A
Colorado College,Oklahoma (B),13,4,"02/04/2017, 15:00",Pool A
Marcus,Oklahoma (B),13,2,"02/04/2017, 18:10",Pool A
Kansas,Oklahoma (B),13,4,"02/04/2017, 19:45",Pool A
Texas-Arlington,Oklahoma (B),13,2,"02/04/2017, 21:20",Pool A
pool,Pool B
John Brown,Rice,11,10,"02/04/2017, 09:35",Pool B
North Texas,Rice,10,9,"02/04/2017, 11:10",Pool B
John Brown,North Texas,12,10,"02/04/2017, 14:20",Pool B
John Brown,Baylor (B),13,1,"02/04/2017, 15:00",Pool B
Rice,Trinity,12,7,"02/04/2017, 15:00",Pool B
North Texas,Trinity,12,4,"02/04/2017, 16:35",Pool B
John Brown,Trinity,13,2,"02/04/2017, 19:45",Pool B
North Texas,Baylor (B),13,4,"02/04/2017, 19:45",Pool B
Rice,Baylor (B),13,2,"02/04/2017, 21:20",Pool B
Trinity,Baylor (B),9,5,"02/05/2017, 01:10",Pool B
pool,Pool C
Central Arkansas,Stephen F Austin,10,11,"02/04/2017, 08:00",Pool C
Texas Christian,Central Arkansas,13,6,"02/04/2017, 09:35",Pool C
Oklahoma,Stephen F Austin,13,3,"02/04/2017, 09:35",Pool C
Oklahoma,Central Arkansas,13,3,"02/04/2017, 11:10",Pool C
Texas Christian,Stephen F Austin,13,3,"02/04/2017, 12:45",Pool C
Texas Christian,Oklahoma,4,13,"02/04/2017, 14:20",Pool C
Texas Christian,Texas State  (B),13,1,"02/04/2017, 15:00",Pool C
Stephen F Austin,Texas State  (B),13,5,"02/04/2017, 18:10",Pool C
Oklahoma,Texas State  (B),13,1,"02/04/2017, 19:45",Pool C
Central Arkansas,Texas State  (B),13,1,"02/04/2017, 21:20",Pool C
pool,Pool D
Baylor,Arkansas (B),13,2,"02/04/2017, 08:00",Pool D
Texas Tech,Texas-San Antonio,13,8,"02/04/2017, 09:35",Pool D
Texas-San Antonio,Arkansas (B),13,2,"02/04/2017, 11:10",Pool D
Baylor,Texas-San Antonio,13,7,"02/04/2017, 12:45",Pool D
Texas Tech,Arkansas (B),13,2,"02/04/2017, 12:45",Pool D
Baylor,Texas Tech,9,11,"02/04/2017, 14:20",Pool D
Oklahoma State,Texas-San Antonio,13,10,"02/04/2017, 22:00",Pool D
Baylor,Oklahoma State,11,8,"02/04/2017, 23:35",Pool D
Texas Tech,Oklahoma State,13,9,"02/05/2017, 01:10",Pool D
Oklahoma State,Arkansas (B),13,5,"02/05/2017, 04:20",Pool D
pool,Pool E
Texas-Dallas,Tulsa,13,5,"02/04/2017, 08:00",Pool E
Texas State,Southern Methodist,13,2,"02/04/2017, 08:00",Pool E
Texas-Dallas,Texas State,9,8,"02/04/2017, 09:35",Pool E
Kansas State,Southern Methodist,12,4,"02/04/2017, 09:35",Pool E
Southern Methodist,Tulsa,1,13,"02/04/2017, 11:10",Pool E
Kansas State,Texas State,9,12,"02/04/2017, 11:10",Pool E
Texas-Dallas,Southern Methodist,12,4,"02/04/2017, 12:45",Pool E
Kansas State,Tulsa,12,5,"02/04/2017, 12:45",Pool E
Texas-Dallas,Kansas State,8,7,"02/04/2017, 14:20",Pool E
Texas State,Tulsa,13,6,"02/04/2017, 14:20",Pool E
b,r,e,a,k
brackets,Championship Bracket
bracket,Winners Bracket
Colorado College,Texas Tech,12,15,"02/05/2017, 14:15",Finals
Colorado College,Texas State,12,10,"02/05/2017, 12:15",Fantastic 4
Texas Tech,John Brown,15,9,"02/05/2017, 12:15",Fantastic 4
Colorado College,North Texas,15,11,"02/05/2017, 10:15",Eilte 8
Texas State,Oklahoma,15,12,"02/05/2017, 10:15",Eilte 8
Texas Tech,Rice,15,7,"02/05/2017, 10:15",Eilte 8
Baylor,John Brown,13,14,"02/05/2017, 10:15",Eilte 8
Colorado College,Texas-San Antonio,15,11,"02/05/2017, 08:15",Sweet 16
Texas Christian,North Texas,8,10,"02/04/2017, 16:00",Sweet 16
Texas State,Marcus,12,7,"02/04/2017, 16:00",Sweet 16
Oklahoma State,Oklahoma,8,15,"02/05/2017, 22:15",Sweet 16
Texas Tech,Texas-Arlington,15,5,"02/05/2017, 08:15",Sweet 16
Rice,Texas-Dallas,15,13,"02/04/2017, 16:00",Sweet 16
Kansas,Baylor,6,10,"02/04/2017, 16:00",Sweet 16
Kansas State,John Brown,5,15,"02/05/2017, 08:15",Sweet 16
Tulsa,Texas-San Antonio,10,12,"02/04/2017, 16:00",Da Wildcards
Oklahoma State,Trinity,13,3,"02/05/2017, 20:00",Da Wildcards
Stephen F Austin,Texas-Arlington,8,12,"02/04/2017, 16:00",Da Wildcards
Kansas State,Central Arkansas,10,7,"02/04/2017, 16:00",Da Wildcards
bracket,9th Place
Oklahoma State,Kansas,5,13,"02/06/2017, 04:15",9th Place Game
Texas Christian,Oklahoma State,12,15,"02/06/2017, 02:15",9th - Semis
Texas-Dallas,Kansas,11,14,"02/05/2017, 12:15",9th - Semis
Texas-San Antonio,Texas Christian,10,13,"02/05/2017, 10:15",9th - Quarters
Marcus,Oklahoma State,11,12,"02/06/2017, 12:15",9th - Quarters
Texas-Arlington,Texas-Dallas,9,15,"02/05/2017, 10:15",9th - Quarters
Kansas,Kansas State,15,6,"02/05/2017, 10:15",9th - Quarters
bracket,3rd Place 
Texas State,John Brown,4,8,"02/05/2017, 14:15",3RD Place Game
bracket,5th Place
Oklahoma,Baylor,0,0,"02/05/2017, 14:15",5TH Place Game
North Texas,Oklahoma,11,14,"02/05/2017, 12:15",5th Place Semis
Rice,Baylor,9,15,"02/05/2017, 12:15",5th Place Semis
bracket,7th Place
North Texas,Rice,13,14,"02/05/2017, 14:15",7th Place Game
bracket,13th Place
Texas-San Antonio,Marcus,4,15,"02/05/2017, 12:15",13th Place -Semis
Texas-Arlington,Kansas State,0,0,"02/05/2017, 12:15",13th Place -Semis
bracket,15th Place 
bracket,11th Place
Texas-Dallas,Texas Christian,15,12,"02/05/2017, 14:15",11th Place Game
b,r,e,a,k
brackets,Consolation 17-25th
bracket,17th Place
Tulsa,Central Arkansas,6,13,"02/05/2017, 14:15",17th Place Game
Tulsa,Trinity,15,7,"02/05/2017, 17:15",17th Semis
Stephen F Austin,Central Arkansas,8,15,"02/05/2017, 10:15",17th Semis
Oklahoma (B),Tulsa,6,15,"02/05/2017, 15:15",17th - Qrts
Trinity,Southern Methodist,1,0,"02/05/2017, 15:15",17th - Qrts
Stephen F Austin,Baylor (B),15,8,"02/05/2017, 15:15",17th - Qrts
Central Arkansas,Arkansas (B),15,1,"02/05/2017, 08:15",17th - Qrts
Oklahoma (B),Texas State  (B),1,0,"02/05/2017, 06:00",17th -Pre quarters
bracket,19th Place 
Trinity,Stephen F Austin,15,14,"02/05/2017, 21:15",19th Place Game
b,r,e,a,k
