Midwest Throwdown 2017,College - Men ,4,3,2017
https://play.usaultimate.org/events/Midwest-Throwdown-2017/schedule/Men/CollegeMen/
Northwestern,1
Iowa State,Washington University,14,12,"03/04/2017, 11:30",Pool A
Northwestern,Iowa State,13,10,"03/04/2017, 13:30",Pool A
Washington University,Missouri,15,9,"03/04/2017, 13:30",Pool A
pool,Pool B
Purdue,St John's,15,13,"03/04/2017, 09:30",Pool B
Wisconsin-Milwaukee,Kansas,8,14,"03/04/2017, 09:30",Pool B
Purdue,Kansas,15,9,"03/04/2017, 11:30",Pool B
Wisconsin-Milwaukee,St John's,7,15,"03/04/2017, 11:30",Pool B
Purdue,Wisconsin-Milwaukee,15,6,"03/04/2017, 13:30",Pool B
St John's,Kansas,12,10,"03/04/2017, 13:30",Pool B
pool,Pool C
Drake,Wisconsin-Oshkosh,15,2,"03/04/2017, 09:30",Pool C
Drake,Missouri State,12,10,"03/04/2017, 13:30",Pool C
Missouri State,Wisconsin-Oshkosh,15,4,"03/04/2017, 15:30",Pool C
Minnesota-Duluth,Missouri State,13,11,"03/04/2017, 16:30",Pool C
Minnesota-Duluth,Wisconsin-Oshkosh,15,4,"03/04/2017, 20:30",Pool C
Minnesota-Duluth,Drake,15,6,"03/04/2017, 22:30",Pool C
pool,Pool D
Illinois State,Northern Iowa,15,8,"03/04/2017, 11:30",Pool D
Grinnell,Northern Iowa,8,10,"03/04/2017, 13:30",Pool D
Illinois State,Grinnell,15,6,"03/04/2017, 15:30",Pool D
Grinnell,Wisconsin (C),14,2,"03/05/2017, 01:30",Pool D
Illinois State,Wisconsin (C),15,4,"03/05/2017, 03:30",Pool D
Northern Iowa,Wisconsin (C),15,3,"03/05/2017, 05:30",Pool D
pool,Pool E
North Park,Purdue (B),15,5,"03/04/2017, 09:30",Pool E
North Park,Luther (B),15,2,"03/04/2017, 11:30",Pool E
Luther (B),Purdue (B),7,15,"03/04/2017, 15:30",Pool E
Wisconsin (B),Luther (B),15,4,"03/04/2017, 23:30",Pool E
Wisconsin (B),Purdue (B),15,4,"03/05/2017, 01:30",Pool E
Wisconsin (B),North Park,13,14,"03/05/2017, 05:30",Pool E
pool,Pool F
Minnesota (B),Iowa State (B),15,2,"03/04/2017, 09:30",Pool F
Minnesota (B),Nebraska-Omaha,15,3,"03/04/2017, 20:30",Pool F
Iowa State (B),Nebraska-Omaha,12,8,"03/04/2017, 22:30",Pool F
Kansas State,Nebraska-Omaha,15,3,"03/04/2017, 23:30",Pool F
Kansas State,Iowa State (B),15,1,"03/05/2017, 03:30",Pool F
Minnesota (B),Kansas State,10,15,"03/05/2017, 05:30",Pool F
pool,Pool G
Nebraska,Northwestern (B),15,5,"03/04/2017, 09:30",Pool G
Wisconsin-Eau Claire,Drury,15,8,"03/04/2017, 09:30",Pool G
Nebraska,Drury,15,4,"03/04/2017, 11:30",Pool G
Wisconsin-Eau Claire,Northwestern (B),15,4,"03/04/2017, 11:30",Pool G
Nebraska,Wisconsin-Eau Claire,8,10,"03/04/2017, 15:30",Pool G
Northwestern (B),Drury,10,9,"03/04/2017, 15:30",Pool G
pool,Pool H
Truman State,Wisconsin-Milwaukee (B),15,1,"03/04/2017, 11:30",Pool H
Missouri S&T,Washington University (B),15,3,"03/04/2017, 11:30",Pool H
Truman State,Washington University (B),15,5,"03/04/2017, 13:30",Pool H
Missouri S&T,Wisconsin-Milwaukee (B),15,0,"03/04/2017, 13:30",Pool H
Truman State,Missouri S&T,7,15,"03/04/2017, 15:30",Pool H
Wisconsin-Milwaukee (B),Washington University (B),2,15,"03/04/2017, 15:30",Pool H
b,r,e,a,k
brackets,BP
bracket,CHAMPIONSHIP
Northwestern,Purdue,4,15,"03/05/2017, 15:00",FINALS
Northwestern,Washington University,15,7,"03/05/2017, 13:00",SEMIS
Purdue,Kansas,15,6,"03/05/2017, 13:00",SEMIS
Northwestern,Minnesota-Duluth,13,8,"03/05/2017, 18:00",QUARTERS
St John's,Washington University,9,15,"03/05/2017, 11:00",QUARTERS
Purdue,Illinois State,15,8,"03/05/2017, 11:00",QUARTERS
Wisconsin-Eau Claire,Kansas,10,15,"03/05/2017, 11:00",QUARTERS
Northwestern,Nebraska,17,5,"03/05/2017, 09:00",PRE-QS
Wisconsin-Milwaukee,Minnesota-Duluth,11,14,"03/05/2017, 16:00",PRE-QS
St John's,Missouri S&T,15,12,"03/05/2017, 09:00",PRE-QS
Washington University,Kansas State,13,7,"03/05/2017, 23:00",PRE-QS
Purdue,Truman State,15,3,"03/05/2017, 09:00",PRE-QS
Missouri,Illinois State,7,14,"03/05/2017, 09:00",PRE-QS
Iowa State,Wisconsin-Eau Claire,10,11,"03/05/2017, 09:00",PRE-QS
Kansas,North Park,15,7,"03/05/2017, 09:00",PRE-QS
bracket,3RD PLACE
Washington University,Kansas,15,2,"03/05/2017, 15:00",3RD
bracket,T-5TH PLACE (1)
Minnesota-Duluth,St John's,15,8,"03/05/2017, 20:00",T-5TH (1)
bracket,T-5TH PLACE (2)
Illinois State,Wisconsin-Eau Claire,1,0,"03/05/2017, 13:00",T-5TH (2)
bracket,T-9TH PLACE (1)
Wisconsin-Milwaukee,Kansas State,0,1,"03/06/2017, 05:00",T-9TH (1)
Nebraska,Wisconsin-Milwaukee,10,12,"03/05/2017, 11:00",T-9TH (1) SEMIS
Missouri S&T,Kansas State,9,10,"03/06/2017, 01:00",T-9TH (1) SEMIS
bracket,T-9TH PLACE (2)
Missouri,Iowa State,2,12,"03/05/2017, 15:00",T-9TH (2)
Truman State,Missouri,10,13,"03/05/2017, 11:00",T-9TH (2) SEMIS
Iowa State,North Park,12,10,"03/05/2017, 11:00",T-9TH (2) SEMIS
bracket,T-13TH PLACE (1)
Nebraska,Missouri S&T,0,1,"03/05/2017, 15:00",T-13TH (1)
bracket,T-13TH PLACE (2)
Truman State,North Park,1,0,"03/05/2017, 15:00",T-13TH (2)
bracket,17TH PLACE
Minnesota (B),Missouri State,15,8,"03/05/2017, 15:00",17TH
Minnesota (B),Drake,15,8,"03/05/2017, 13:00",17TH SEMIS
Wisconsin (B),Missouri State,9,14,"03/06/2017, 03:00",17TH SEMIS
Minnesota (B),Purdue (B),15,3,"03/05/2017, 09:00",17TH QS
Drake,Grinnell,15,5,"03/05/2017, 09:00",17TH QS
Wisconsin (B),Iowa State (B),14,5,"03/05/2017, 23:00",17TH QS
Northern Iowa,Missouri State,8,10,"03/05/2017, 09:00",17TH QS
bracket,19TH PLACE
Drake,Wisconsin (B),14,10,"03/06/2017, 05:00",19TH
bracket,21ST PLACE
Purdue (B),Northern Iowa,5,15,"03/05/2017, 15:00",21ST
Purdue (B),Grinnell,14,13,"03/05/2017, 13:00",21ST SEMIS
Iowa State (B),Northern Iowa,3,15,"03/05/2017, 13:00",21ST SEMIS
bracket,23RD PLACE
Grinnell,Iowa State (B),1,0,"03/05/2017, 15:00",23RD
bracket,25TH PLACE
Northwestern (B),Drury,6,5,"03/05/2017, 15:00",25TH
Northwestern (B),Nebraska-Omaha,11,6,"03/05/2017, 20:00",25TH SEMIS
Washington University (B),Drury,9,12,"03/05/2017, 13:00",25TH SEMIS
Northwestern (B),Wisconsin-Oshkosh,11,5,"03/05/2017, 11:00",25TH QS
Wisconsin-Milwaukee (B),Nebraska-Omaha,0,15,"03/05/2017, 18:00",25TH QS
Washington University (B),Wisconsin (C),12,6,"03/06/2017, 01:00",25TH QS
Drury,Luther (B),12,5,"03/05/2017, 11:00",25TH QS
bracket,27TH PLACE
Nebraska-Omaha,Washington University (B),2,15,"03/05/2017, 22:00",27TH
bracket,29TH PLACE
Wisconsin-Oshkosh,Luther (B),0,1,"03/05/2017, 15:00",29TH
Wisconsin-Oshkosh,Wisconsin-Milwaukee (B),9,4,"03/05/2017, 13:00",29TH SEMIS
Wisconsin (C),Luther (B),5,13,"03/06/2017, 03:00",29TH SEMIS
bracket,31ST PLACE
Wisconsin-Milwaukee (B),Wisconsin (C),0,1,"03/06/2017, 05:00",31ST
b,r,e,a,k
