USA Ultimate National Championships,Club - Mixed ,19,10,2017
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
22,Brittany Winner
23,Nichole Kwee
24,Cara Sieber
24,Mya Hernandez
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
77,Daniel Khoe
78,Michael Ames
99,Kevin Kula
b,r,e,a,k
No Touching!,16
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
05,Liam Shramko
07,Brianna Andrighetti
09,Tyler McKean
10,Daniel Collom
13,Paul Norgaard
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
20,Jimmy James McDonald
22,Tobie Miller
26,Joe Andrighetti
29,Sam Pepe
31,Anna Shanedling
33,Graham Brayshaw
42,Sam Valesano
47,Vu Nguyen
78,Jeremy Keiser
83,Jeremiah Gagner
86,Aaron Hushagen
88,Patrick Jensen
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Mixtape,NOISE,15,10,"10/19/2017, 09:00",Pool A
Mischief,Public Enemy,12,15,"10/19/2017, 09:00",Pool A
Seattle Mixtape,Public Enemy,13,12,"10/19/2017, 11:15",Pool A
Mischief,NOISE,13,6,"10/19/2017, 11:15",Pool A
Seattle Mixtape,Mischief,15,8,"10/19/2017, 13:30",Pool A
NOISE,Public Enemy,10,15,"10/19/2017, 13:30",Pool A
pool,Pool B
AMP,Toro,14,11,"10/19/2017, 11:15",Pool B
Blackbird,Metro North,12,9,"10/19/2017, 11:15",Pool B
AMP,Metro North,12,11,"10/19/2017, 13:30",Pool B
Blackbird,Toro,15,11,"10/19/2017, 13:30",Pool B
AMP,Blackbird,14,9,"10/19/2017, 15:45",Pool B
Toro,Metro North,12,11,"10/19/2017, 15:45",Pool B
pool,Pool C
Drag'n Thrust,shame.,13,15,"10/19/2017, 09:00",Pool C
Wild Card,Love Tractor,14,13,"10/19/2017, 09:00",Pool C
Drag'n Thrust,Love Tractor,11,10,"10/19/2017, 13:30",Pool C
Wild Card,shame.,13,12,"10/19/2017, 13:30",Pool C
Drag'n Thrust,Wild Card,12,9,"10/19/2017, 15:45",Pool C
shame.,Love Tractor,14,13,"10/19/2017, 15:45",Pool C
pool,Pool D
Slow White,Steamboat,15,10,"10/19/2017, 09:00",Pool D
BFG,No Touching!,14,7,"10/19/2017, 09:00",Pool D
Slow White,No Touching!,14,9,"10/19/2017, 11:15",Pool D
BFG,Steamboat,15,12,"10/19/2017, 11:15",Pool D
Slow White,BFG,15,13,"10/19/2017, 15:45",Pool D
Steamboat,No Touching!,12,11,"10/19/2017, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Seattle Mixtape,AMP,13,12,"10/22/2017, 12:30",1st Place
Seattle Mixtape,Slow White,15,11,"10/21/2017, 20:00",Semifinals (5:30 & 8:00pm)
BFG,AMP,11,15,"10/21/2017, 17:30",Semifinals (5:30 & 8:00pm)
Seattle Mixtape,Wild Card,13,12,"10/20/2017, 11:45",Quarterfinals
Drag'n Thrust,Slow White,8,15,"10/20/2017, 11:45",Quarterfinals
shame.,BFG,11,12,"10/20/2017, 14:00",Quarterfinals
Public Enemy,AMP,10,15,"10/20/2017, 14:00",Quarterfinals
Blackbird,Wild Card,9,15,"10/20/2017, 09:00",Pre-Quarters
Toro,Drag'n Thrust,11,14,"10/20/2017, 09:00",Pre-Quarters
BFG,Mischief,12,10,"10/20/2017, 09:00",Pre-Quarters
Steamboat,Public Enemy,10,15,"10/20/2017, 09:00",Pre-Quarters
b,r,e,a,k
brackets,2018 Pro Flight Bracket
bracket,3rd Place (2018 WUCC Qualifier)
Slow White,BFG,8,13,"10/22/2017, 12:00",3rd Place (Time TBD)
bracket,5th Place Bracket
Public Enemy,Wild Card,6,15,"10/21/2017, 09:00",5th Place
Drag'n Thrust,Public Enemy,14,15,"10/20/2017, 16:15",5th Place Semifinals
shame.,Wild Card,8,15,"10/21/2017, 16:15",5th Place Semifinals
bracket,Pro Flight Play-In Bracket
Drag'n Thrust,Metro North,15,9,"10/21/2017, 12:30",7th Place
Metro North,shame.,15,9,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis
Drag'n Thrust,No Touching!,15,8,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis
Metro North,Blackbird,12,11,"10/20/2017, 16:15",9th Place Semifinals
No Touching!,Toro,15,8,"10/20/2017, 16:15",9th Place Semifinals
Mischief,No Touching!,12,15,"10/20/2017, 11:45",9th Place Quarterfinals
NOISE,Toro,10,13,"10/20/2017, 11:45",9th Place Quarterfinals
Steamboat,Metro North,11,14,"10/20/2017, 11:45",9th Place Quarterfinals
Love Tractor,Blackbird,12,15,"10/20/2017, 11:45",9th Place Quarterfinals
b,r,e,a,k
brackets,2018 Elite Flight Bracket
bracket,11th Place
Toro,Blackbird,11,14,"10/21/2017, 09:00",11th Place
bracket,13th Place Bracket
Mischief,Steamboat,13,9,"10/21/2017, 09:00",13th Place
Mischief,NOISE,14,12,"10/20/2017, 14:00",13th Place Semifinals
Steamboat,Love Tractor,14,13,"10/20/2017, 14:00",13th Place Semifinals
bracket,15th Place
NOISE,Love Tractor,7,13,"10/21/2017, 09:00",15th Place
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
NOISE,No Touching!,13,9,"10/20/2017, 09:00",
Metro North,Love Tractor,13,10,"10/20/2017, 09:00",
b,r,e,a,k
