Northeast Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
https://play.usaultimate.org/events/Northeast-Mixed-Regionals-2017/schedule/Mixed/Club-mixed/
Slow White,1
UNION,Garbage Plates,13,9,"09/23/2017, 09:00",Pool D
Heartless,The Feminists,6,13,"09/23/2017, 09:00",Pool D
UNION,The Feminists,13,6,"09/23/2017, 11:00",Pool D
Heartless,Garbage Plates,9,13,"09/23/2017, 11:00",Pool D
UNION,Heartless,13,6,"09/23/2017, 13:00",Pool D
Garbage Plates,The Feminists,9,13,"09/23/2017, 13:00",Pool D
b,r,e,a,k
clusters,4th Round Crossover Games
cluster,Crossovers
Slow White,Metro North,13,12,"09/23/2017, 15:00",
Wild Card,UNION,13,8,"09/23/2017, 15:00",
The Feminists,Titan NE,13,4,"09/23/2017, 15:00",
Happy Valley,Townies,13,6,"09/23/2017, 15:00",
League of Shadows,Garbage Plates,11,9,"09/23/2017, 15:00",
XIST,PleasureTown,13,6,"09/23/2017, 15:00",
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Slow White,Metro North,15,7,"09/24/2017, 13:00",1st/2nd Place
Slow White,UNION,15,13,"09/24/2017, 11:00",1st Semifinals
Metro North,XIST,15,14,"09/24/2017, 11:00",1st Semifinals
Slow White,League of Shadows,15,8,"09/24/2017, 09:00",1st Quarters
Happy Valley,UNION,12,13,"09/24/2017, 09:00",1st Quarters
Metro North,The Feminists,15,9,"09/24/2017, 09:00",1st Quarters
XIST,Wild Card,15,12,"09/24/2017, 09:00",1st Quarters
bracket,3rd Place Bracket
League of Shadows,Wild Card,6,15,"09/24/2017, 15:00",3rd Place
League of Shadows,XIST,13,11,"09/24/2017, 13:00",3rd Semifinals
Wild Card,UNION,12,11,"09/24/2017, 13:00",3rd Semifinals
League of Shadows,Happy Valley,13,11,"09/24/2017, 11:00",3rd Quarters
The Feminists,Wild Card,9,11,"09/24/2017, 11:00",3rd Quarters
bracket,7th Place
Happy Valley,The Feminists,0,1,"09/24/2017, 13:00",7th/8th Place
bracket,5th Place
XIST,UNION,0,0,"09/24/2017, 15:00",5th/6th Place
b,r,e,a,k
brackets,Consolation Bracket Play
bracket,9th place bracket
Garbage Plates,Townies,14,15,"09/24/2017, 13:00",Ninals
PleasureTown,Garbage Plates,11,13,"09/24/2017, 11:00",Semi-Ninals
Townies,Titan NE,14,12,"09/24/2017, 11:00",Semi-Ninals
PleasureTown,Heartless,15,10,"09/24/2017, 09:00",9th place quarters
Garbage Plates,Crash,15,11,"09/24/2017, 09:00",9th place quarters
Townies,Grand Army,15,11,"09/24/2017, 09:00",9th place quarters
Titan NE,Alternative Stacks,12,8,"09/24/2017, 09:00",9th place quarters
bracket,13th place bracket
Heartless,Grand Army,4,7,"09/24/2017, 13:00",13th place
Heartless,Crash,15,12,"09/24/2017, 11:00",13th place semis
Grand Army,Alternative Stacks,10,8,"09/24/2017, 11:00",13th place semis
bracket,11th place game
PleasureTown,Titan NE,13,9,"09/24/2017, 13:00",11th place
bracket,15th place game
Crash,Alternative Stacks,7,6,"09/24/2017, 13:00",15th place
b,r,e,a,k
