Boston Invitational 2017,Club - Women ,24,6,2017
https://play.usaultimate.org/events/Boston-Invitational-2017/schedule/Women/Club-Women/
Siege,1
0,Claire Blazewicz
0,Alison Leav
0,Jessica Ye
0,Karina Cruz
0,Katherine Ho
0,Leija Helling
0,Sophie Shen
0,Tamara Kahhale
11,Elise Counsell
13,Kat Brock
16,Lenna Wolffe
19,Kate Nelson
26,Anna Shorb
32,Amanda Leung
83,Zoe Hecht
b,r,e,a,k
Salt City Spirit,14
0,ALEXI DEERING
0,Andrea Urueta
0,HANNAH MICCA
0,MELANIE MONTALBANO
0,Meryl Corsun
0,Olivia Brown
0,Rachael Church
0,Claire Michaud
0,Dimple Sangani
0,Shannon Sweeney
0,VALERIE LOUCKS
4,Emily Bielejec
13,SARAH BARDEN
28,Allison Case
32,Alyssa Endres
69,Angel Cai
b,r,e,a,k
HOPE,11
0,Karen Babbitt
0,Kristen Treganowan
0,Meghan MacEnroe
0,Nakita Guerrouxo
0,Nikki Silva
0,Perry Gast
0,Sara Semenza
0,Tenley Chlaupek
0,Yvonne Marcoux
0,Audra Cornell
0,Carrie Gill
0,CHARLISS DENNISTON
0,Courtney Cooke
2,EMMA SHOEMAKER
6,Abigail Skerker
17,Alizah Barker
27,Jessica Magagnos
29,Kaitlyn Dahlborg
b,r,e,a,k
Jinx,16
0,Emma Massey
0,Grace Stoughton
0,Amana Vander-Heyden
0,Sophia Thayer
0,Alex (Wei Yuh) Chang
00,Amanda Butler
00,BECCA SLACK
00,Clare Stansberry
00,Jess Wedell
00,Jordanna Rees
00,Katherine Hartnett
00,Kate Patterson
00,Kathleen Janosik
00,Kristen Tarr
00,LISSA PELLETIER
00,Sheila Conlan
b,r,e,a,k
Boomslang,13
0,Alyssa Starrantino
0,Angela Weier
0,Carrie Trant
0,Charis Thompson
0,Christine Baumeister
0,Elizabeth Anderson
0,Karoline Hart
0,Kelly Hite
0,Kelly Holzworth
0,Lydia Pepi
0,Megan Giamei
0,Micaila Iversen
0,JESSICA BALES
0,Sarah Thomann
0,Sarah Booker
0,Sarah Meisel
2,Nancy Bush
7,Joeie Lum
9,Elizabeth Jamison
12,Courtney Cash
14,Austen Crawford
15,Diane Dreifuss
26,Chelsea Leeder
b,r,e,a,k
Suffrage,12
0,Alice Murphy
0,Amber Verhoorn
0,Anne Batchelder
0,Kasha Patel
0,Layne Scherer
0,Lizzie Stein
0,Olivia Robinson
0,Paige Cassell
0,Paige Nelson
0,Patricia Romaine
0,Delana Sobhani
0,Sylvia Gisler
7,JAZMIN GONZALEZ
10,Rachel Markowitz
12,Manhua Zhu
18,Cecile Murray
28,MAYRA NAVA
28,Phoebe Sauter
61,Crystal Wheaden
92,Alexandra Erwin
b,r,e,a,k
EXO,20
0,Catherine Dupuis
0,Maude Lambert
0,Roxanne Dault
0,sarah proteau
1,Virginie Côté
8,Justine Sirois
8,Christine Beaulieu
04,Sophie Rochette
05,Nathalie Michaud
13,Noemie Bonenfant
14,Anne-Marie Landry-Voyer
15,Genevieve Masse
21,Rachel Jodoin
27,Barbara Reddick
28,Florence Lapointe
30,VERONIQUE POMERLEAU
87,Anne-Marie Cloutier
b,r,e,a,k
BLADE,17
0,Jessica Comras
0,Jessica Armstrong
0,Julie Costello
0,Lauren Thorpe
0,Lindsay Brownell
0,Maggie Su
0,Meg Nicoll
0,Allyson Kramer
0,Ashley Hopper
0,Hannah Finn-Erb
0,Melanie Kuhn
0,Miriam Franks 
0,Rose Dennis
0,Sarah Knight
0,Sarah Lehnert
0,SARAH SCHOENFELDT
2,Nicki Haylon
11,JESSICA SHEEHAN
13,Hyeji Kim
22,Meg Gatza
25,ALLISON BUKYS
27,Emily Wilkinson
b,r,e,a,k
s,t,a,g,e,s
pools,Elite
pool,Pool A
Siege,Baywatch,15,4,"06/24/2017, 09:00",Pool A
Venus,Vice,15,10,"06/24/2017, 09:00",Pool A
Siege,Venus,15,14,"06/24/2017, 10:45",Pool A
Hot Metal,Vice,15,5,"06/24/2017, 10:45",Pool A
Vice,Baywatch,15,5,"06/24/2017, 12:30",Pool A
Hot Metal,Venus,10,8,"06/24/2017, 12:30",Pool A
Siege,Vice,15,3,"06/24/2017, 14:15",Pool A
Hot Metal,Baywatch,14,3,"06/24/2017, 14:15",Pool A
Siege,Hot Metal,14,11,"06/24/2017, 16:00",Pool A
Venus,Baywatch,13,1,"06/24/2017, 16:00",Pool A
pool,Pool B
Grit,Storm,15,8,"06/24/2017, 09:00",Pool B
Salty,Pine Baroness,5,13,"06/24/2017, 09:00",Pool B
Grit,Salty,15,8,"06/24/2017, 10:45",Pool B
PPF,Pine Baroness,13,7,"06/24/2017, 10:45",Pool B
Pine Baroness,Storm,13,12,"06/24/2017, 12:30",Pool B
PPF,Salty,13,4,"06/24/2017, 12:30",Pool B
Grit,Pine Baroness,15,7,"06/24/2017, 14:15",Pool B
PPF,Storm,14,10,"06/24/2017, 14:15",Pool B
Grit,PPF,14,3,"06/24/2017, 16:00",Pool B
Salty,Storm,14,8,"06/24/2017, 16:00",Pool B
b,r,e,a,k
pools,Easterns
pool,Pool C
HOPE,BUDA,8,11,"06/24/2017, 09:00",Pool C
Mystik,Broad City,8,11,"06/24/2017, 09:00",Pool C
HOPE,Mystik,6,13,"06/24/2017, 10:45",Pool C
Salt City Spirit,Broad City,8,12,"06/24/2017, 10:45",Pool C
Broad City,BUDA,9,8,"06/24/2017, 12:30",Pool C
Salt City Spirit,Mystik,7,14,"06/24/2017, 12:30",Pool C
HOPE,Broad City,5,9,"06/24/2017, 14:15",Pool C
Salt City Spirit,BUDA,8,9,"06/24/2017, 14:15",Pool C
HOPE,Salt City Spirit,8,11,"06/24/2017, 16:00",Pool C
Mystik,BUDA,13,7,"06/24/2017, 16:00",Pool C
pool,Pool D
Suffrage,EXO,13,12,"06/24/2017, 09:00",Pool D
Jinx,BLADE,15,7,"06/24/2017, 09:00",Pool D
Suffrage,Jinx,11,13,"06/24/2017, 10:45",Pool D
Boomslang,BLADE,13,11,"06/24/2017, 10:45",Pool D
BLADE,EXO,5,12,"06/24/2017, 12:30",Pool D
Boomslang,Jinx,8,11,"06/24/2017, 12:30",Pool D
Suffrage,BLADE,14,7,"06/24/2017, 14:15",Pool D
Boomslang,EXO,9,6,"06/24/2017, 14:15",Pool D
Suffrage,Boomslang,11,13,"06/24/2017, 16:00",Pool D
Jinx,EXO,14,4,"06/24/2017, 16:00",Pool D
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Elite
Siege,Hot Metal,15,11,"06/25/2017, 14:15",1st Place
Siege,PPF,15,9,"06/25/2017, 12:30",Semis
Hot Metal,Grit,14,12,"06/25/2017, 12:30",Semis
Siege,Salty,13,10,"06/25/2017, 09:00",Quarters
PPF,Venus,12,11,"06/25/2017, 09:00",Quarters
Pine Baroness,Hot Metal,7,15,"06/25/2017, 09:00",Quarters
Vice,Grit,5,14,"06/25/2017, 09:00",Quarters
bracket,Elite
PPF,Grit,10,15,"06/25/2017, 14:15",3rd Place
bracket,Elite
Salty,Vice,14,9,"06/25/2017, 14:15",5th Place
Salty,Venus,11,9,"06/25/2017, 12:30",5-8
Pine Baroness,Vice,10,11,"06/25/2017, 12:30",5-8
bracket,Elite
Venus,Pine Baroness,13,3,"06/25/2017, 14:15",7th Place
bracket,Easterns
Broad City,Storm,7,14,"06/25/2017, 14:15",9th Place
Mystik,Broad City,7,9,"06/25/2017, 12:30",Semis
Jinx,Storm,7,13,"06/25/2017, 12:30",Semis
Mystik,Baywatch,13,8,"06/25/2017, 10:45",Quarters
Salt City Spirit,Broad City,7,14,"06/25/2017, 10:45",Quarters
Jinx,EXO,12,6,"06/25/2017, 10:45",Quarters
Storm,Boomslang,15,1,"06/25/2017, 10:45",Quarters
BLADE,Mystik,4,11,"06/25/2017, 09:00",Crossovers
Suffrage,Salt City Spirit,8,14,"06/25/2017, 09:00",Crossovers
BUDA,EXO,6,11,"06/25/2017, 09:00",Crossovers
Boomslang,HOPE,12,6,"06/25/2017, 09:00",Crossovers
bracket,Easterns
Mystik,Jinx,0,1,"06/25/2017, 14:15",11th Place
bracket,Easterns
Salt City Spirit,EXO,7,15,"06/25/2017, 14:15",13th Place
Baywatch,Salt City Spirit,4,8,"06/25/2017, 12:30",13-16
EXO,Boomslang,9,8,"06/25/2017, 12:30",13-16
bracket,Easterns
Baywatch,Boomslang,12,11,"06/25/2017, 14:15",15th Place
bracket,Easterns
BUDA,Suffrage,6,13,"06/25/2017, 12:30",17th Place
HOPE,BUDA,10,12,"06/25/2017, 10:45",17-20
Suffrage,BLADE,14,7,"06/25/2017, 10:45",17-20
bracket,Easterns
HOPE,BLADE,11,7,"06/25/2017, 12:30",19th Place
b,r,e,a,k
