Philly Open 2017,Club - Mixed ,5,8,2017
https://play.usaultimate.org/events/Philly-Open-2017/schedule/Mixed/Club-Mixed
Powermove,9
0,Daniel Kaste
0,Dara Lipton 
0,Elly Young
0,Emily Boegner
0,Alvin Matute
0,Lora Waybright
0,Rachel Moser
0,Robert McClughan
0,Thomas Riggs
1,DAVID WITMAN
7,Allyson Golightly
8,Anne Tanenbaum
12,Bryan Nadeau
14,Samuel Young
16,Diana Burke
19,Eric Helm
19,JAMIE Witman
22,Liz Grimes
32,Nick Malagari
99,George Wright
b,r,e,a,k
Alternative Stacks,7
0,Barb Banz
0,Eric Hemphill
0,Holland Florian
0,Iris Lam
0,Minaqa Quinn
0,Natalie Kallhoff
0,Nicholas Cortina
0,Nicholas Dacosta
0,Rachel Egan
0,Rebecca Foster
0,Sam Spiegel
0,Justin Lamarche
3,Shannon Stolting
3,Elliot Lee
4,Joseph Corcoran
9,Victoria Sanchez
10,Mei Zhang
12,Liana Lin
13,Elton Zhou
13,Shane Skriletz
35,Daniel Arnold
45,Mark Falinski
99,Vicki Mackowka
b,r,e,a,k
Turnstyle,18
0,David Vaughan
0,Evan Pliskin
0,Jamie Mercado
0,Jonathan Chylinski
0,Keith Dobson
0,Leila Selchaif
0,Rachel Tornheim
0,Russell Borenstein-Burd
0,Andy Zhu
5,Ulices Rodriguez
7,Khunsa Amin
73,Caleb Fine
b,r,e,a,k
Heavy Flow,15
0,Brad Weir
0,Brian Tanner
0,Danica Palacio
0,Daniel Downs
0,Mallory Kinczyk
0,Matthew Kreitzer
0,Patrick Liu
0,Russell Scrivens
0,Sarah Gardner
0,Vanessa Amundson
0,Yuriy Shames
5,Stephen Nichols
6,Meghan Gloyd
10,Elias White
11,Rachel White
17,Heather Johnson
22,Lance Gardner
23,Jordan Lewis
24,Daniel Chang
35,Christopher Crumrine
44,Christian Lund
88,Justin Chu
b,r,e,a,k
Titan NE,3
0,ADAM JOHNSTON
0,Brad Smith
0,Chris Zybert
0,Daniel Pavitt
0,DEREK WYMAN
0,Harriet Booth
0,Jared Jandreau
0,Jennifer O'Connell
0,Kacy Thibodeau-Harvey
0,Kristen Stasinowsky
0,Madeleine Purcell
0,Meredith Duffy
0,Tim Cardoso
4,Ciaran Shaughnessy
9,John Sullivan
11,Paul Rees II
11,Samuel Letcher
17,Ben Goossen
20,Ashton Wollett
41,Lewis Seton
43,Jessica Jandreau
47,Kevin Chen
56,Jen Beatty
b,r,e,a,k
Local 613,6
4,Allison Collard
6,Thomas Lu
11,JOEL YEARSLEY
13,PETER GALBRAITH
17,Sarah Cain
18,Daniel Van Willigen
21,Carrie Chou
28,Jared Westreich
30,Julia Kirkham
32,Trevor King
33,Hesham Kamal
63,Fraser Titley
64,Catherine Normandeau
81,Paige McAllister
88,JEAN-LUC ST. LAURENT
95,Emily Sangster
b,r,e,a,k
Unlimited Swipes,14
0,Adam Smith
0,Dustin Thai
0,Elizabeth Merritt
0,Erin Casey
0,JONATHAN LIN
0,Linnea VanPilsum-Bloom
0,Madeline Abel
0,Matthew Lingam
0,Susan Sheng
0,Tyler Rockey
5,Michael Valdez
6,Michael Settles
11,Christie Yeh
12,Terence To
13,Adam Wesley
14,Victoria Higgins
17,Kevin Donlin
20,Paul Westin
26,Arianna Munro
35,Gary Delia
72,Eugene Grinberg
73,Bohao Liu
95,Connor Dougherty
b,r,e,a,k
Bitmap,11
7,Ben Fournier
8,Chesla Sayers
01,Francesca Corna
02,Darrell Thomas
03,Adam Callaghan
05,Jacob Unger
09,Kerianne Durkin
12,MINA SHAKARSHY
13,Amanda Farah
14,Adam Wichlinski
16,Amory Hillengas
17,Chen Zhou
22,Doug Fowler
24,Catherine Hutchison
28,Matthew Newman
33,Keala Tekolste
35,JARED GUMBS
55,Timothy Brubaker
56,Lauren Feder
64,Justin Alexander
69,Dale Mittleman
80,Christopher Cruz
81,Jeremy Schwed
87,Chris Lake
99,Angelina LaMastra
b,r,e,a,k
Buffalo Lake Effect,4
0,Alison Locke
0,Bethany Ortquist
0,Erica Stamboulian
0,George Scheibel
0,Jennine Kanaby
0,Jonathan Bain
0,Michael Mooney
0,Molly Booi
0,Sarah Tulin
0,Sarah Bryant
0,Sean Bowers
0,Simon Locke
0,Timothy (TJ) Burns
1,Jeffrey Harvey
9,Michael Kanaby
11,David Mohan
11,Thomas Benati
13,William Johnson
15,Taylor Gorman 
17,Christian Salvati
18,Kevin O'Connor
31,Sarah Burns
71,BRITTANY BUNCH
b,r,e,a,k
North Coast Disc Co.,5
0,Brad Kotecki
0,BRYAN MCCARTHY
0,Candido Diaz
0,Daniel Montelione
0,Ellis Saupe
0,Elsa Vera
0,Jane Carsey
0,Jason Beffel
0,Katherine Hoffman
0,Kevin Talbot
0,Melanie Chastka
0,Michael Braddock
0,MICHAEL PARATTO
0,Michael Connerton
0,REMY NIMAN
0,Scott Popa
0,Valerie Locker
16,Emma Burt
30,Jadin Stoffel
44,STEPHEN JIRA
54,Jacob Kessler
88,Madeleine Pletzke
b,r,e,a,k
I-79,13
00,Amy Cook
00,Andrew Turgeon
00,ANDREW ROBERTS
00,Anne Sobol
00,Benjamin Wojnarowski
00,Bryan Heim
00,Calvin Szewczyk
00,Elizabeth Colletti
00,Evan Johnson
00,KAITLIN VOLANSKI
00,Kelly Kuzemchak
00,Kimberly Gomboz
00,Kira Harbourne
00,Mary (Molly)  Naaktgeboren
00,Matt Randall
00,Mike Gorham
00,Nicolas LoPresto
00,Pasquale Coppola
00,Ray Cunningham
00,Spike Pike
00,Stephanie Clark
00,Zachary Murray
13,Evan Gross
31,Brady Zbikowski
b,r,e,a,k
#Beez,12
0,Ariana Ambrosio
0,BENJAMIN FORD
0,Brian Cruz
0,Dan Johnson
0,Marisa Gargaro
0,Marisa Masi
0,Michelle Fincken
0,Monique Galanti
0,Nicholas Breen
0,Nicole Coveny
0,John Shelley
0,Kristin Velazquez
10,Sean McCoy
22,Marisa Taliercio
33,James McLeod
42,Patrick Shannon
48,Ian Foley
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Crucible,Pandatime,12,5,"08/05/2017, 10:30",Pool A
Albany Airbenders,Varsity,13,7,"08/05/2017, 10:30",Pool A
Albany Airbenders,Powermove,11,12,"08/05/2017, 11:50",Pool A
Crucible,Varsity,13,2,"08/05/2017, 11:50",Pool A
Crucible,Powermove,6,9,"08/05/2017, 13:10",Pool A
Varsity,Pandatime,8,6,"08/05/2017, 13:10",Pool A
Powermove,Varsity,13,3,"08/05/2017, 14:30",Pool A
Albany Airbenders,Pandatime,13,4,"08/05/2017, 14:30",Pool A
Crucible,Albany Airbenders,7,13,"08/05/2017, 15:50",Pool A
Powermove,Pandatime,13,2,"08/05/2017, 15:50",Pool A
pool,Pool B
8 Bit Heroes,Turnstyle,13,5,"08/05/2017, 10:30",Pool B
Alternative Stacks,Heavy Flow,8,6,"08/05/2017, 10:30",Pool B
Alternative Stacks,#Birdz,6,7,"08/05/2017, 11:50",Pool B
8 Bit Heroes,Heavy Flow,9,3,"08/05/2017, 11:50",Pool B
8 Bit Heroes,#Birdz,7,9,"08/05/2017, 13:10",Pool B
Heavy Flow,Turnstyle,7,10,"08/05/2017, 13:10",Pool B
#Birdz,Heavy Flow,11,6,"08/05/2017, 14:30",Pool B
Alternative Stacks,Turnstyle,13,3,"08/05/2017, 14:30",Pool B
8 Bit Heroes,Alternative Stacks,10,7,"08/05/2017, 15:50",Pool B
#Birdz,Turnstyle,13,4,"08/05/2017, 15:50",Pool B
pool,Pool C
Titan NE,Unlimited Swipes,11,7,"08/05/2017, 10:30",Pool C
Local 613,Bitmap,10,3,"08/05/2017, 10:30",Pool C
Titan NE,Bitmap,13,3,"08/05/2017, 13:10",Pool C
Local 613,Unlimited Swipes,10,8,"08/05/2017, 13:10",Pool C
Titan NE,Local 613,13,3,"08/05/2017, 14:30",Pool C
Bitmap,Unlimited Swipes,8,9,"08/05/2017, 14:30",Pool C
pool,Pool D
Buffalo Lake Effect,I-79,11,3,"08/05/2017, 10:30",Pool D
North Coast Disc Co.,#Beez,12,6,"08/05/2017, 10:30",Pool D
Buffalo Lake Effect,#Beez,13,3,"08/05/2017, 13:10",Pool D
North Coast Disc Co.,I-79,9,7,"08/05/2017, 13:10",Pool D
Buffalo Lake Effect,North Coast Disc Co.,7,4,"08/05/2017, 14:30",Pool D
#Beez,I-79,4,8,"08/05/2017, 14:30",Pool D
b,r,e,a,k
clusters,Saturday Crossover
cluster,Saturday Crossover
Titan NE,Buffalo Lake Effect,12,5,"08/05/2017, 15:50",
Local 613,North Coast Disc Co.,7,3,"08/05/2017, 15:50",
Unlimited Swipes,I-79,9,4,"08/05/2017, 15:50",
Bitmap,#Beez,8,9,"08/05/2017, 15:50",
b,r,e,a,k
brackets,Sunday Bracket Play (Championship)
bracket,Championship Bracket
Powermove,Titan NE,8,13,"08/06/2017, 11:30",Finals
Powermove,Buffalo Lake Effect,11,9,"08/06/2017, 10:00",Semis
Local 613,Titan NE,5,12,"08/06/2017, 10:00",Semis
Powermove,North Coast Disc Co.,13,2,"08/06/2017, 08:30",Quarters
8 Bit Heroes,Buffalo Lake Effect,11,12,"08/06/2017, 08:30",Quarters
#Birdz,Local 613,10,11,"08/06/2017, 08:30",Quarters
Albany Airbenders,Titan NE,7,13,"08/06/2017, 08:30",Quarters
bracket,3rd Place Bracket
Buffalo Lake Effect,Local 613,12,11,"08/06/2017, 13:00",3rd Place
bracket,5th Place Bracket
8 Bit Heroes,#Birdz,0,0,"08/06/2017, 13:00",5th Place
North Coast Disc Co.,8 Bit Heroes,11,12,"08/06/2017, 10:00",5th Place Semis
#Birdz,Albany Airbenders,10,9,"08/06/2017, 10:00",5th Place Semis
bracket,5th Place Consolation
8 Bit Heroes,Albany Airbenders,13,4,"08/06/2017, 13:00",5th Place
bracket,5th Place Finals
#Birdz,North Coast Disc Co.,7,4,"08/06/2017, 13:00",5th Place
b,r,e,a,k
brackets,Sunday Bracket Play (Chumpionship)
bracket,9th Place Bracket
Crucible,Alternative Stacks,13,12,"08/06/2017, 11:30",9th Place Finals
Crucible,I-79,13,8,"08/06/2017, 10:00",9th Place Semis
Unlimited Swipes,Alternative Stacks,8,13,"08/06/2017, 10:00",9th Place Semis
Crucible,Bitmap,12,8,"08/06/2017, 08:30",9th Place Quarters
Turnstyle,I-79,7,13,"08/06/2017, 08:30",9th Place Quarters
Varsity,Unlimited Swipes,5,13,"08/06/2017, 08:30",9th Place Quarters
Alternative Stacks,#Beez,13,2,"08/06/2017, 08:30",9th Place Quarters
bracket,11th Place Bracket
I-79,Unlimited Swipes,7,12,"08/06/2017, 13:00",11th Place
bracket,13th Place Bracket
Bitmap,Varsity,11,10,"08/06/2017, 13:00",13th Place
Bitmap,Turnstyle,11,3,"08/06/2017, 10:00",13th Place Semis
Varsity,#Beez,8,7,"08/06/2017, 10:00",13th Place Semis
bracket,15th Place Bracket
Turnstyle,#Beez,0,13,"08/06/2017, 13:00",15th Place
bracket,17th Place Bracket
Pandatime,Heavy Flow,10,14,"08/06/2017, 10:00",17th Place
b,r,e,a,k
