Bring the Huckus 7,College - Men ,25,2,2017
West Windsor Township,NJ,2017-02-25,2017-02-26
https://play.usaultimate.org/events/Bring-the-Huckus-7/schedule/Men/CollegeMen/
Williams,2
Northeastern,SUNY-Cortland,13,3,"02/25/2017, 10:00",Pool C,Final
Delaware,Columbia,8,7,"02/25/2017, 10:00",Pool C,Final
Northeastern,Delaware,8,6,"02/25/2017, 11:20",Pool C,Final
NYU,Columbia,8,6,"02/25/2017, 11:20",Pool C,Final
Columbia,SUNY-Cortland,8,4,"02/25/2017, 12:40",Pool C,Final
NYU,Delaware,9,10,"02/25/2017, 12:40",Pool C,Final
Northeastern,Columbia,13,3,"02/25/2017, 14:00",Pool C,Final
NYU,SUNY-Cortland,10,3,"02/25/2017, 14:00",Pool C,Final
Northeastern,NYU,13,4,"02/25/2017, 15:20",Pool C,Final
Delaware,SUNY-Cortland,13,2,"02/25/2017, 15:20",Pool C,Final
pool,Pool E
Drexel,Delaware (B),13,2,"02/25/2017, 10:00",Pool E,Final
Drexel,Swarthmore,10,6,"02/25/2017, 11:20",Pool E,Final
Salisbury,Swarthmore,4,13,"02/25/2017, 12:40",Pool E,Final
Salisbury,Delaware (B),9,10,"02/25/2017, 14:00",Pool E,Final
Drexel,Salisbury,13,7,"02/25/2017, 15:20",Pool E,Final
Swarthmore,Delaware (B),10,5,"02/25/2017, 15:20",Pool E,Final
Swarthmore,Rowan (B),13,5,"02/26/2017, 00:00",Pool E,Final
Salisbury,Rowan (B),9,6,"02/26/2017, 01:20",Pool E,Final
Rowan (B),Delaware (B),9,8,"02/26/2017, 02:40",Pool E,Final
Drexel,Rowan (B),13,2,"02/26/2017, 04:00",Pool E,Final
pool,Pool F
Syracuse,Lehigh (B),13,0,"02/25/2017, 12:40",Pool F,Final
Lehigh (B),Fordham,4,13,"02/25/2017, 17:00",Pool F,Final
Syracuse,Fordham,9,4,"02/25/2017, 18:20",Pool F,Final
Rowan,Lehigh (B),12,2,"02/26/2017, 01:20",Pool F,Final
Fordham,SUNY-Buffalo (B),13,1,"02/26/2017, 02:40",Pool F,Final
Syracuse,SUNY-Buffalo (B),13,0,"02/26/2017, 04:00",Pool F,Final
Rowan,Syracuse,4,12,"02/26/2017, 05:20",Pool F,Final
Lehigh (B),SUNY-Buffalo (B),4,7,"02/26/2017, 05:20",Pool F,Final
Rowan,SUNY-Buffalo (B),13,0,"02/26/2017, 14:00",Pool F,Final
Rowan,Fordham,13,2,"02/26/2017, 18:00",Pool F,Final
pool,Pool G
Catholic,Brown (B),12,8,"02/25/2017, 10:00",Pool G,Final
Catholic,Princeton (B),13,2,"02/25/2017, 11:20",Pool G,Final
Wesleyan,Princeton (B),13,2,"02/25/2017, 12:40",Pool G,Final
Wesleyan,Brown (B),13,5,"02/25/2017, 14:00",Pool G,Final
Catholic,Wesleyan,8,9,"02/25/2017, 15:20",Pool G,Final
Princeton (B),Brown (B),3,13,"02/25/2017, 15:20",Pool G,Final
Princeton (B),Penn State (B),4,13,"02/25/2017, 17:00",Pool G,Final
Wesleyan,Penn State (B),4,8,"02/25/2017, 18:20",Pool G,Final
Penn State (B),Brown (B),13,3,"02/25/2017, 19:40",Pool G,Final
Catholic,Penn State (B),13,12,"02/25/2017, 21:00",Pool G,Final
pool,Pool H
Susquehanna,American (B),12,2,"02/25/2017, 10:00",Pool H,Final
Ithaca,Susquehanna,9,5,"02/25/2017, 11:20",Pool H,Final
Connecticut (B),American (B),12,3,"02/25/2017, 11:20",Pool H,Final
Connecticut (B),Susquehanna,9,7,"02/25/2017, 12:40",Pool H,Final
Ithaca,American (B),13,1,"02/25/2017, 14:00",Pool H,Final
Ithaca,Connecticut (B),6,11,"02/25/2017, 15:20",Pool H,Final
Ithaca,Pennsylvania-Johnstown (B),13,4,"02/25/2017, 17:00",Pool H,Final
American (B),Pennsylvania-Johnstown (B),8,5,"02/25/2017, 19:40",Pool H,Final
Connecticut (B),Pennsylvania-Johnstown (B),13,2,"02/25/2017, 21:00",Pool H,Final
Susquehanna,Pennsylvania-Johnstown (B),9,1,"02/25/2017, 22:20",Pool H,Final
pool,Pool D
American,Haverford,7,5,"02/25/2017, 10:00",Pool D,Final
Boston College,Messiah,7,3,"02/25/2017, 10:00",Pool D,Final
SUNY-Albany,Stockton,9,7,"02/25/2017, 10:00",Pool D,Final
American,Boston College,1,9,"02/25/2017, 11:10",Pool D,Final
Haverford,SUNY-Albany,7,5,"02/25/2017, 11:10",Pool D,Final
Messiah,Stockton,10,4,"02/25/2017, 11:10",Pool D,Final
American,SUNY-Albany,7,6,"02/25/2017, 12:20",Pool D,Final
Boston College,Stockton,9,4,"02/25/2017, 12:20",Pool D,Final
Haverford,Messiah,9,8,"02/25/2017, 12:20",Pool D,Final
American,Stockton,6,7,"02/25/2017, 13:30",Pool D,Final
Boston College,Haverford,6,8,"02/25/2017, 13:30",Pool D,Final
SUNY-Albany,Messiah,3,9,"02/25/2017, 13:30",Pool D,Final
Boston College,SUNY-Albany,10,3,"02/25/2017, 15:30",Pool D,Final
Haverford,Stockton,8,7,"02/25/2017, 15:30",Pool D,Final
American,Messiah,8,6,"02/25/2017, 15:30",Pool D,Final
b,r,e,a,k
brackets,33rd Place
bracket,33rd Place
Delaware (B),Princeton (B),10,2,"02/26/2017, 14:00",33rd Place,Final
Delaware (B),Brown (B),8,6,"02/26/2017, 12:40",33rd-Semis,Final
Rowan (B),Princeton (B),6,8,"02/27/2017, 02:40",33rd-Semis,Final
Delaware (B),Pennsylvania-Johnstown (B),10,1,"02/26/2017, 18:20",33rd-Quarters,Final
Lehigh (B),Brown (B),5,7,"02/26/2017, 11:20",33rd-Quarters,Final
American (B),Rowan (B),5,7,"02/27/2017, 01:20",33rd-Quarters,Final
SUNY-Buffalo (B),Princeton (B),6,7,"02/27/2017, 01:30",33rd-Quarters,Final
bracket,T37th Place
Pennsylvania-Johnstown (B),Lehigh (B),7,11,"02/26/2017, 21:00",T37th Place,Final
bracket,T37th Place
American (B),SUNY-Buffalo (B),6,7,"02/27/2017, 04:00",T37th Place,Final
bracket,35th Place
Brown (B),Rowan (B),13,3,"02/27/2017, 04:00",35th Place,Final
b,r,e,a,k
