2017 Capital Mixed Sectionals,Club - Mixed ,9,9,2017
Fredericksburg,VA,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Capital-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Ambiguous Grey,1
0,James Collins
0,Jonathan Ginsberg
0,Kara Schulden
0,Kelly Wallace
0,Kristen Connor
0,Matthew Radhe
0,Marie Collins
0,STEPHANIE DREYER
3,Hallie Carter
6,Michael Sharma
16,Jeff Martin
23,Samantha Elliott
27,Ada Maxwell
36,David Jones
42,Jeffrey Hoch
54,Spencer Cobb
69,Ryan Bates
69,Kevin Versteeg
80,Joseph Ricks
94,Abigail Wenck
b,r,e,a,k
Legion,5
0,Christy Rife
0,Katherine Clark
0,Michelle Barbosa
0,Taylor Nelson
0,Walter Lewis
1,Danielle Smith
2,Kevin Habermas
3,Ashley Mast
4,Jenna Bibby
7,Lowe Bibby
8,Taylor Engen
05,Anna Marie Hagerty
11,Kevin Dodd
12,Jonathan Mast
13,Keys Pattie
15,Brendan Kinne
15,James Howell
18,Krista Habermas
19,Kevin Foster
25,Elizabeth Ware
25,Jillianne  Engen
37,Brandon Lison
47,Billy Harmon
55,KIERAN BLAKEMORE
68,Jennifer Schlabach
82,Hannah VerasAlba
82,Rabah Sbitani
b,r,e,a,k
District Cocktails,13
0,Allison Blanton
0,Tiffany Harless
5,Daley Burns
7,Tegan McComas
02,Michael Margala
04,Victoria Anania
08,Grant Franke
09,John Giannini
10,Maximilian Cohen-Casado
11,Diane Simunek
13,Zach Peterson
14,Aman Shah
15,Geoffrey Horsfield
16,Collin Brooks
17,Michael Campbell
21,Joel Diamond
22,Benjamin Holgash
23,Micaela Deitch
24,Sarah Stubbs
25,IVAN ROBINSON
27,Karenna Genzlinger
41,Kelly Anderson
42,Andrew O'Neill
77,KEITH PODGORSKI
88,Daniel Bowman
91,Valerie Leone
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
The Greatest Team in America,Pandatime,13,5,"09/09/2017, 08:30",Pool A,Final
Rat City,LORD,9,13,"09/09/2017, 08:30",Pool A,Final
Ambiguous Grey,LORD,13,4,"09/09/2017, 10:15",Pool A,Final
Rat City,The Greatest Team in America,13,4,"09/09/2017, 10:15",Pool A,Final
Ambiguous Grey,Pandatime,13,1,"09/09/2017, 12:00",Pool A,Final
LORD,The Greatest Team in America,13,4,"09/09/2017, 12:00",Pool A,Final
Ambiguous Grey,The Greatest Team in America,13,3,"09/09/2017, 13:45",Pool A,Final
Rat City,Pandatime,13,3,"09/09/2017, 13:45",Pool A,Final
Ambiguous Grey,Rat City,13,6,"09/09/2017, 15:30",Pool A,Final
LORD,Pandatime,13,4,"09/09/2017, 15:30",Pool A,Final
pool,Pool B
Heavy Flow,Flat Earth Club,11,10,"09/09/2017, 08:30",Pool B,Final
