President's Day Qualifier 2017 (Men),College - Men ,4,2,2017
https://play.usaultimate.org/events/Presidents-Day-Qualifier-2017/schedule/Men/CollegeMen/
Chico State,1
0,Thomas Chu
0,Trevor Ryder
0,Vishal Patel
0,Wyatt Liao
0,Yuji Mori
2,Truman Ton
11,Leif Swenson
19,Andrew Allen
22,Jefferson Laird
31,Chetan Gomatam
37,Logan Dolim
42,Ambrose Kong
62,Elliot Wilde
66,David Streeter
77,Nelson Guzman
b,r,e,a,k
California-Santa Barbara (B),13
0,Blake Berich
0,Brandon Lara
0,CALVIN LOUIE
0,Chris Thurman
0,Christopher Chan
0,Eric Boesser
0,Ethan  Anadon
0,Evan Davies
0,Jack Smith
0,Jay Lee
0,Kevin Felt
0,Louis Mowers
0,Mario Mangiaracina
0,Michael Weber
0,Michael Ditoiu
0,Navid de Leede
0,Nick Aitken
0,Noah Cohen
0,Rahul Kasar
0,Mingru Li
0,Spencer Thomson
0,Srinath Ganesh
0,Stephen Randall
13,Michael Laurenzo
21,Antonio Venegas-Ledezma
24,Willem Koetzner
42,Scott Chow
44,Alexander Moore
53,Benjamin May
69,Nathan Zicherman
76,Reed Taylor
99,Matthew Fraser
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A
California-Irvine,Southern California (B),11,1,"02/04/2017, 08:00",Pool A
Chico State,Southern California (B),11,2,"02/04/2017, 09:00",Pool A
California-Irvine,Colorado State (B),7,3,"02/04/2017, 09:00",Pool A
Chico State,Colorado State (B),8,6,"02/04/2017, 10:00",Pool A
Colorado State (B),Southern California (B),10,3,"02/04/2017, 11:00",Pool A
Chico State,California-Irvine,8,6,"02/04/2017, 12:00",Pool A
Cal State-Long Beach,Colorado State (B),10,9,"02/04/2017, 15:00",Pool A
California-Irvine,Cal State-Long Beach,10,6,"02/04/2017, 17:00",Pool A
Chico State,Cal State-Long Beach,11,3,"02/04/2017, 18:00",Pool A
Cal State-Long Beach,Southern California (B),11,3,"02/04/2017, 19:00",Pool A
pool,Pool B
Santa Clara,UCLA (B),11,3,"02/04/2017, 08:00",Pool B
Caltech,Puget Sound,4,9,"02/04/2017, 09:00",Pool B
Santa Clara,Puget Sound,8,5,"02/04/2017, 10:00",Pool B
Santa Clara,Caltech,9,2,"02/04/2017, 11:00",Pool B
Puget Sound,UCLA (B),9,2,"02/04/2017, 11:00",Pool B
Caltech,UCLA (B),3,6,"02/04/2017, 13:00",Pool B
Caltech,Cal Poly-SLO (B),6,7,"02/04/2017, 15:00",Pool B
Santa Clara,Cal Poly-SLO (B),8,6,"02/04/2017, 16:00",Pool B
Cal Poly-SLO (B),UCLA (B),8,5,"02/04/2017, 17:00",Pool B
Puget Sound,Cal Poly-SLO (B),6,4,"02/04/2017, 20:00",Pool B
pool,Pool C
UCLA,California-San Diego (B),11,0,"02/04/2017, 12:00",Pool C
Sonoma State,California-San Diego (B),7,3,"02/04/2017, 13:00",Pool C
UCLA,Sonoma State,9,1,"02/04/2017, 14:00",Pool C
Sonoma State,California-Santa Cruz (B),10,5,"02/04/2017, 19:00",Pool C
UCLA,California-Santa Cruz (B),8,1,"02/04/2017, 20:00",Pool C
California-Santa Cruz (B),California-San Diego (B),6,5,"02/04/2017, 21:00",Pool C
pool,Pool D
Cal Poly-Pomona,San Jose State,6,5,"02/04/2017, 17:00",Pool D
Cal Poly-Pomona,California-Santa Barbara (B),9,1,"02/04/2017, 22:00",Pool D
San Jose State,California-Davis (B),7,4,"02/04/2017, 22:00",Pool D
Cal Poly-Pomona,California-Davis (B),9,3,"02/04/2017, 23:00",Pool D
San Jose State,California-Santa Barbara (B),8,2,"02/04/2017, 23:00",Pool D
California-Davis (B),California-Santa Barbara (B),11,3,"02/05/2017, 07:00",Pool D
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship
Chico State,UCLA,8,9,"02/05/2017, 12:30",Finals
Chico State,Cal Poly-Pomona,10,8,"02/05/2017, 11:00",Semis
Santa Clara,UCLA,9,11,"02/05/2017, 11:00",Semis
Chico State,Sonoma State,11,3,"02/05/2017, 08:00",Quarters
Cal Poly-Pomona,Puget Sound,10,8,"02/05/2017, 08:00",Quarters
Santa Clara,San Jose State,12,6,"02/05/2017, 08:00",Quarters
UCLA,California-Irvine,13,4,"02/05/2017, 08:00",Quarters
bracket,3rd Place
Cal Poly-Pomona,Santa Clara,9,7,"02/05/2017, 12:30",3rd
bracket,Consolation 1
Sonoma State,California-Irvine,8,7,"02/05/2017, 09:30",Consolation
bracket,Consolation 2
Puget Sound,San Jose State,7,9,"02/05/2017, 09:30",Consolation
b,r,e,a,k
pools,Sunday Consolation Pool Play
pool,Pool X
California-San Diego (B),Caltech,3,7,"02/05/2017, 09:30",Pool X
Cal State-Long Beach,California-San Diego (B),7,2,"02/05/2017, 17:30",Pool X
Cal State-Long Beach,Caltech,7,8,"02/05/2017, 19:30",Pool X
California-Davis (B),California-San Diego (B),6,5,"02/05/2017, 20:30",Pool X
California-Davis (B),Caltech,9,5,"02/05/2017, 21:30",Pool X
Cal State-Long Beach,California-Davis (B),7,8,"02/06/2017, 01:30",Pool X
pool,Pool Y
Cal Poly-SLO (B),Colorado State (B),7,6,"02/05/2017, 16:30",Pool Y
Colorado State (B),California-Santa Barbara (B),11,3,"02/05/2017, 18:30",Pool Y
Cal Poly-SLO (B),California-Santa Barbara (B),9,4,"02/06/2017, 12:30",Pool Y
pool,Pool Z
UCLA (B),Southern California (B),7,2,"02/05/2017, 14:30",Pool Z
California-Santa Cruz (B),UCLA (B),7,8,"02/05/2017, 19:30",Pool Z
California-Santa Cruz (B),Southern California (B),11,4,"02/05/2017, 20:30",Pool Z
b,r,e,a,k
