Oak Creek Invite 2017,College - Men ,18,3,2017
Axton,VA,2017-03-18,2017-03-19
https://play.usaultimate.org/events/Oak-Creek-Invite-2017/schedule/Men/CollegeMen/
William & Mary,7
0,Austin Swift
0,Hunter Kobrinetz
4,Noah Engel
01,Akram Abudheer
05,William McGovern
09,Owen Thompson
10,Matthew Reynolds
15,Sean Boyce
16,Anthony Cheu
18,Jonathan Deza
19,Andrew Riddler
21,Brendan Wang
21,Justin Brown
21,Sohail Syed
22,Jacob Belvin
24,Trent Cooper
25,Justin Hall
27,Nathan Salle
28,Austyn Pedersen
33,Nick Evans
38,Curtis Farmer
43,Jay Kaul
66,Martin Smoot
74,John Bailey
99,Adante Thompson
b,r,e,a,k
Delaware,11
00,Kyle Weinberg
00,Matt Hardie
00,Matthew Ballman
00,Matthew McLean
00,Mike Alexander
00,Mitch Stuchlik
00,Parker Kerrigan
00,Reed Forman
00,Richard Evans
00,Robert Kalish
00,Robert  McLean
00,Russell Moy
00,Sean Duncan
00,Tae Wan Kim
00,Hayden Fulton
00,Jesse Nelson
00,Jonathon Chann
00,Aaron Bonsignore
00,Andrew Moore
02,JOSEPH CARVER
13,Greg Mohler
b,r,e,a,k
Cornell,2
0,Plato Deliyannis
0,Andrew Gavin
0,Binli Huang
0,Bryan Zheng
0,Evan Greenberg
0,Gabriel Curran
0,Graham Cohen
0,Levi Helms
0,Lucas Bulger
0,Maximilian Kong
0,Maxwell Wrobel
0,David Maniloff
0,Noah Schulman
0,Robert Rickert
0,Wyatt Eberspacher
0,Yi Fan Wang
1,Donald Quinones
1,Christopher Wan
3,Mikael Hammer
4,Kevin Liu
10,Spencer DeRoos
11,Zachary Chen
17,Eliyahu Lehmann 
18,Vincent Calderon
27,Thomas Pera
47,Patrick Voorhees
72,Jason Russo
b,r,e,a,k
Princeton,8
0,Andrew Goh
0,Kavinayan Sivakumar
0,Matt Lefebvre
0,Nadeem Demian
0,Nathaniel Moses
0,Oakley Richins
0,Paul Witten
0,Sean Gai
0,Ted Callon
0,Thomas Colen
0,Zane Friedkin
1,Kiffa Conroy
4,Seho Young
8,Tony Jin
11,Shamay Agaron
11,Charles Coburn
14,Matthijs Dijkgraaf
17,Rocco Amorosso
19,Zach Weed
21,Steven Chien
27,Victor Zhou
28,Andrew Nelson
36,Jake Waksbaum
37,Dylan Baroody
42,Noah Hastings
b,r,e,a,k
Towson,14
0,Brandon Myers
0,Brian Leonard
0,David Zimmerman
0,Douglas Trach
0,Eric Rosling
0,Ruthvik Gali
0,Sam Sybert
0,Zachary Greaver
3,Martin Swart
5,Chase Turner
6,Josh Moen
11,Daniel Kaste
13,Jack Wong
15,Xavier Stewart
16,Drew Shaffer
19,Max Shevchenko
23,Viktor Polyak
34,Kevin Boyd
42,Jeffrey Hoch
55,Mike McComiskey
66,Michael Valdes
69,Kevin Versteeg
69,Ryan Bates
b,r,e,a,k
Maryland,3
00,Adam Weiss
00,ADRIAN CRAIG
00,Alexander Apasov
00,Brian Oluwo
00,Grant Simons
00,Jeremy Knopf
00,Jimmy Alderisio
00,Kevin Ellis
00,MITCHELL COVERSTONE
00,Stephen Lafleur
00,William Witkop
01,Erik Larmore
01,Daniel Mehmedovich
05,Samuel Besse
07,Liam Toal
11,Lucas Denit
14,Mac Keller
15,William Xu
16,John Walden
18,Christopher Bernard
24,Ethan Tsirulik
32,Eliot Fenton
42,Sean Manning
74,Andrew Creighton
b,r,e,a,k
Dartmouth,10
0,Michael Wilson
1,EVAN RHEINGOLD
2,John Elliott
3,Matt Mitman
4,Daniel Moder
6,DANIEL FINCH
8,Peter Lobel
10,Isaac Gluck
11,Robert Livaudais
12,Spencer Heim
13,Leo Blooston
14,Karim Itani
17,SEAN HOWE
19,Rohan Bose
22,Garrett Rawlings
24,Eric Greenlee
27,Callum Hening
28,Wendell Beane
31,Nicholas Golini
36,Kevin Mercado
44,Cedar Farwell
64,DAVID KLINGES
72,George Robert Halvorsen Jr.
88,Connor Haines
95,Dakota Thompson
b,r,e,a,k
Williams,4
0,Patrick Gerald
1,Jeffrey Sload
2,Ari Ball-Burack
3,Dylan Martin
4,Gabriel  Silva Collins
5,Noah Betz-Richman
6,Ryan Taylor
7,Nicholas Weed
8,Lev Gordon
9,Gray Livingston
10,Will Turett
11,Henry Lane
12,Nathaniel Munson-Palomba
13,Kees Humes
15,Jeremy Smith
18,Jonah Greenberg
20,Alexander Majercik
23,Nicholas Couch
25,Emmett Blau
27,Thomas Edward Ragucci
31,Matthew Jang
41,William Newton
59,Richard Saint
69,Luke Passannante
77,Matias Korfmacher
99,Jeff Pearson
b,r,e,a,k
Johns Hopkins,9
1,JIURU LI
2,Justin Leeb
3,Luke Reilly
5,Andrew Zhu
5,Daniel Shade
7,THOMAS MARGE
8,Jonathan Chen
10,Miles McKey
10,Christopher Leung
11,Vincent Wu
13,Eric Hu
15,Casey Zhu
16,William Franceschi
17,Adam Orla-Bukowski
19,Noam Halpern
22,Sam Pallay
23,Angelo Olcese
25,Aleck Zhao
36,JOSEPH YU
42,Lyle Paskowitz
72,Sebastian Chen
81,Neal Billig
90,Kendrick Hougen
b,r,e,a,k
RIT,15
00,Aaron  Liu
00,Bryan Bausinger
00,Caleb Guillaume
00,CASEY GONTA
00,Daniel Horrigan
00,Eric Yoon
00,Graham Ardner
00,Iain Tracton
00,Jacob Watts-St. Germain
00,John Ackerman
00,Louis Kline
00,Maxwell Sample
00,Michael Duncan
b,r,e,a,k
South Carolina (B),23
0,Alex Scott
0,Benjamin Eisen
0,Brendan Gallagher
0,Daniel Papazian
0,Danny Long
0,John Mobley
0,Levi Rasmussen
0,Lucas Meeks
0,Michael Miller
0,Nathan McMullen
0,Nicholas Spagnuolo
0,Noah Hyduke
0,Ricky Brokaw
0,Robert Withers
3,Ethan Brittingham
9,Robert Carff
18,Josh Dunford
22,Samuel DiStefano
26,Michael Aponte
41,Kevin Strothman
42,Hugh Aiken
49,Jamie Bryson
69,Patrick Hall
b,r,e,a,k
North Carolina-Wilmington (B),17
0,Nathan Williams
1,Frank  Marshall
7,ANDREW TESKA
8,Mason Longo
12,Jackson McJunkin
13,Christopher Byrd
14,Chuck Hensley
14,Jeff Burns
23,Richard Jude
34,Sean Gallagher
b,r,e,a,k
Princeton (B),29
0,Alexander Yablonski
0,Andre Xiong
0,Andrew Wang
0,Blake Lawson
0,Chris Evanko
0,Craig Poskanzer
0,Jack Graham
0,Jason King
0,Jonah  Vernejoul
0,Patrick Chen
0,Stephen Cornwell
0,Will Rivitz
0,Yang Tu
7,Joshua Murray
13,James Almeida
16,Daniel Chae
17,Connor Briggs
20,Louis Tambellini
22,Joseph Puryear III
25,Benjamin Eisner
26,Simon Gee
30,Miles Hinson
31,Joseph Yates
33,Jeremy Zullow
69,Christopher Chu
b,r,e,a,k
Luther (B),22
0,Andrew Loutfi
0,Casey Greufe
0,Henry Zheng
0,Logan Weaver
0,Lucas Ruge-Jones
0,Tyler Johnson
0,Zach Smith
1,Ethan Harris
7,Harrison Hoffman
13,Michael Callen
18,Herik Hernandez
27,Bradley Kovacovich
29,Michael Vann
41,David Priggie
49,JOHN EVANS
54,Austin Uetz
63,Seth Warner
87,Benjamin Oanes
b,r,e,a,k
Williams (B),28
0,Claudia Forrester
0,Erica Gibble
0,Kendall Allen
0,Kirby Gordon
0,Morris Kolman
0,Peter Matsumoto
0,Ziev Dalsheim-Kahane
11,Krystina Lincoln
14,Asher Kolman
24,Christopher Carley
b,r,e,a,k
Virginia (B),24
0,Alex Williams
0,Andrew Orgel
0,Bailey Costello
0,Cameron Kincheloe
0,Colin Allison
0,Daniel Brooks
0,Dan Anthony
0,Henry Clabby
0,Jack Grunberg
0,JL Michaud
0,Joseph Nelson
0,MacLean Sochor
0,Mark Maguire
0,Nicholas Brookings
0,Noah Jones
0,Robert  Rice
0,Ryan Wolfe
0,Subhan Poudel
1,Jack Funari
3,Edward Dunoyer
5,Sean Wolfe
11,Drew Wolanski
21,Liam Tobin
22,Rob Fairfax
22,George Kohlroser
24,Christopher Oliveira
28,Matthew Thornton
33,Tanner Dellett-Wion
55,Julian Brass
b,r,e,a,k
James Madison (B),18
0,Andy Ricketts
0,Anthony Stone
0,Anthony Rollin
0,Austin Elmore
0,Briggs Clinard
0,Byron Gilbreath
0,Adam Golfman
0,Adam Hitchings
0,Daniel McMahon
0,Jake MacLean
0,jeremy thacker
0,Joseph Harrell
0,Joseph Heller
0,Josh Abbott
0,Kyle Sopelak
0,Jonathan Payne
0,Michael Knez
0,Michael  Kocher
0,Mitchell Hesse
0,Noah Springer
0,Peter Ko
0,MICHAEL NIHEN
0,Zachary LeMorta
3,Alexander Williamson
4,Luke Morello
5,Jonathan Fosbury
7,Nicholas Harbaugh
17,Trent Tolley
18,Kyle Jenkins
24,Joe Grabowski
25,Coleman Wells
26,Colin Alexander
29,Nicholas Macke
35,Mason Randolph
38,Wil Andahazy
43,Edward Carbaugh
72,Michael Gostomski
74,Edison Rolle II
78,Maxwell Cannon
84,Clint Dodson
88,Alex Lesser
99,Joel Tigges
b,r,e,a,k
Maryland (B),21
0,Anmol Jadvani
0,GRAHAM KNAPP
02,Matthew O'Brien
03,Benjamin Armero
04,Ty Buffington
05,Charles Boulton
07,Bradley Smith
08,Shai Brown
09,Matthew Joy
11,Paul Donald
12,ROBERT VAN FLEET
13,Elan Rubin
14,PETER KRUSE
21,Matthew Laferriere
24,Samuel Blum
27,Ilan Fleisher
30,Tejas Mavanur
31,Jerald Katz
32,Ethan Winters
33,Daniel  Hegerle
35,Seth  Gleaner
42,Austin Moon
44,Carson Riggins
56,Brian McDevitt
58,Jake Gluck
72,Harrison Block
85,Shane Pratt
87,Tim Alfieri
b,r,e,a,k
Oberlin (B),27
0,Cody Anderson-Salo
0,Colin Cahill
0,George Hawk
0,Henry Korpi
0,Ilan Ackelsberg
0,Jack Rockwell
0,Joaquin Cardozo
0,Matt Skarha
81,Jonathan Karpatkin
b,r,e,a,k
Delaware (B),19
0,Kevin Mason Jr
0,Ryan Cox
02,Brian Babecki
04,Chor In Lam
06,John Maher
08,Benjamin Staud
09,Philip Ma
11,Thomas Harmon
12,Daniel Jahnsen
13,James Bonavita
18,Ilan Stier-Cohen
21,Connor Lingo
22,Jonathan Neifert
23,Andrew O'Hern
24,Matt Norden
32,Shawn Riley
33,Fritz Bercy
42,Patrick Shannon
86,Kevin Kurzeja
95,Joseph Wheeler
99,Nicholas Dooley
b,r,e,a,k
Georgetown (B),26
0,Andrew Li
0,Andrew Sullivan
0,Christopher Dunn
0,Jack Dyer
0,Patrick Seaman
0,Sean Berman
0,Suraj Pillai
0,Timothy Ingrassia
12,William Glynn
13,Alexander Coopersmith
22,Thomas Elbert
24,Peter Brucato
29,Jack Welsh
31,Eamon Coburn
42,James Patton
48,Will Delaney
58,Alexander Yamron
69,Andrew Avelino
73,Nicholas Jenkins
b,r,e,a,k
Dartmouth (B),25
0,John Chapin
0,Matthew Rube
0,Vignesh Chockalingam
4,Sean Madden
10,Daniel Gridley
12,Matthew West
12,Walker Chieffe
19,Kevin Tan
69,Stephen Crowe
b,r,e,a,k
Penn State (B),20
0,Samuel Ruth
01,Steven Parker
02,Nicholas  Chamberlin
04,Jason Ehrich
05,Taylor Jordan
06,Matthew Peletier
07,Vance McNees
09,Jack McKenna
13,Uriah Frederick
17,Tyler Williams
19,David Katro
24,Greg (Eusung) Kim
25,Jeffrey Ruffing
37,Trey Williams
71,John Gurklis
88,Benjamin Chronister
96,Frank Kleinsorge
99,Matthew Ashbaugh
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Richmond,SUNY-Buffalo,13,4,"03/18/2017, 09:00",Pool A,Final
William & Mary,Davidson,13,9,"03/18/2017, 09:00",Pool A,Final
Richmond,William & Mary,13,10,"03/18/2017, 10:50",Pool A,Final
Villanova,Davidson,13,10,"03/18/2017, 10:50",Pool A,Final
Davidson,SUNY-Buffalo,12,10,"03/18/2017, 12:40",Pool A,Final
Villanova,William & Mary,10,13,"03/18/2017, 12:40",Pool A,Final
Richmond,Davidson,9,11,"03/18/2017, 14:30",Pool A,Final
Villanova,SUNY-Buffalo,13,8,"03/18/2017, 14:30",Pool A,Final
Richmond,Villanova,10,12,"03/18/2017, 16:20",Pool A,Final
William & Mary,SUNY-Buffalo,13,10,"03/18/2017, 16:20",Pool A,Final
pool,Pool B
Cornell,Towson,13,8,"03/18/2017, 09:00",Pool B,Final
Princeton,Delaware,7,13,"03/18/2017, 09:00",Pool B,Final
Cornell,Princeton,13,9,"03/18/2017, 10:50",Pool B,Final
Virginia Commonwealth,Delaware,13,7,"03/18/2017, 10:50",Pool B,Final
Delaware,Towson,12,10,"03/18/2017, 12:40",Pool B,Final
Virginia Commonwealth,Princeton,9,12,"03/18/2017, 12:40",Pool B,Final
Cornell,Delaware,5,13,"03/18/2017, 14:30",Pool B,Final
Virginia Commonwealth,Towson,12,11,"03/18/2017, 14:30",Pool B,Final
Cornell,Virginia Commonwealth,4,13,"03/18/2017, 16:20",Pool B,Final
Princeton,Towson,13,8,"03/18/2017, 16:20",Pool B,Final
pool,Pool C
Maryland,RIT,13,9,"03/18/2017, 09:00",Pool C,Final
Johns Hopkins,Dartmouth,3,13,"03/18/2017, 09:00",Pool C,Final
Maryland,Johns Hopkins,13,7,"03/18/2017, 10:50",Pool C,Final
Williams,Dartmouth,9,13,"03/18/2017, 10:50",Pool C,Final
Dartmouth,RIT,13,6,"03/18/2017, 12:40",Pool C,Final
Williams,Johns Hopkins,13,9,"03/18/2017, 12:40",Pool C,Final
Maryland,Dartmouth,13,12,"03/18/2017, 14:30",Pool C,Final
Williams,RIT,13,9,"03/18/2017, 14:30",Pool C,Final
Maryland,Williams,13,9,"03/18/2017, 16:20",Pool C,Final
Johns Hopkins,RIT,13,4,"03/18/2017, 16:20",Pool C,Final
b,r,e,a,k
pools,Dev Pool Play
pool,Pool E
North Carolina-Wilmington (B),Princeton (B),13,7,"03/18/2017, 09:00",Pool E,Final
South Carolina (B),Williams (B),13,1,"03/18/2017, 09:00",Pool E,Final
North Carolina-Wilmington (B),South Carolina (B),7,13,"03/18/2017, 10:50",Pool E,Final
Williams (B),Princeton (B),0,13,"03/18/2017, 12:40",Pool E,Final
North Carolina-Wilmington (B),Williams (B),13,1,"03/18/2017, 14:30",Pool E,Final
South Carolina (B),Princeton (B),13,8,"03/18/2017, 16:20",Pool E,Final
Luther (B),Williams (B),13,5,"03/18/2017, 22:50",Pool E,Final
Luther (B),South Carolina (B),8,13,"03/19/2017, 12:40",Pool E,Final
Luther (B),Princeton (B),9,11,"03/19/2017, 02:30",Pool E,Final
North Carolina-Wilmington (B),Luther (B),13,5,"03/19/2017, 04:20",Pool E,Final
pool,Pool F
James Madison (B),Virginia (B),9,12,"03/18/2017, 10:50",Pool F,Final
Maryland (B),Oberlin (B),13,6,"03/18/2017, 10:50",Pool F,Final
James Madison (B),Oberlin (B),13,6,"03/18/2017, 12:40",Pool F,Final
Maryland (B),Virginia (B),11,12,"03/18/2017, 12:40",Pool F,Final
James Madison (B),Maryland (B),13,6,"03/18/2017, 14:30",Pool F,Final
Virginia (B),Oberlin (B),13,9,"03/18/2017, 14:30",Pool F,Final
pool,Pool G
Delaware (B),Dartmouth (B),13,4,"03/18/2017, 10:50",Pool G,Final
Delaware (B),Georgetown (B),14,8,"03/18/2017, 12:40",Pool G,Final
Dartmouth (B),Georgetown (B),6,15,"03/18/2017, 14:30",Pool G,Final
Penn State (B),Georgetown (B),F,W,"03/18/2017, 16:50",Pool G,Final
Penn State (B),Dartmouth (B),F,W,"03/18/2017, 18:40",Pool G,Final
Delaware (B),Penn State (B),W,F,"03/18/2017, 20:30",Pool G,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd place
Williams,Maryland,7,15,"03/19/2017, 14:30",Finals,Final
bracket,5th place
William & Mary,Villanova,9,15,"03/19/2017, 14:30",Finals,Final
William & Mary,Richmond,12,11,"03/19/2017, 12:30",Semis,Final
Villanova,Davidson,15,11,"03/19/2017, 12:30",Semis,Final
bracket,Championship
Dartmouth,Virginia Commonwealth,13,14,"03/19/2017, 14:30",Finals,Final
Williams,Dartmouth,7,15,"03/19/2017, 12:30",Semis,Final
Maryland,Virginia Commonwealth,12,13,"03/19/2017, 12:30",Semis,Final
Williams,William & Mary,13,10,"03/19/2017, 10:30",Quarters,Final
Dartmouth,Richmond,12,10,"03/19/2017, 10:30",Quarters,Final
Maryland,Villanova,15,11,"03/19/2017, 10:30",Quarters,Final
Virginia Commonwealth,Davidson,13,11,"03/19/2017, 10:30",Quarters,Final
Cornell,Williams,4,15,"03/19/2017, 08:30",PQ,Final
Delaware,Richmond,12,13,"03/19/2017, 08:30",PQ,Final
Villanova,Princeton,15,9,"03/19/2017, 08:30",PQ,Final
Davidson,Johns Hopkins,12,9,"03/19/2017, 08:30",PQ,Final
bracket,9th place game 1
Cornell,Delaware,10,8,"03/19/2017, 10:30",Finals,Final
bracket,9th place game 2
Princeton,Johns Hopkins,14,15,"03/19/2017, 12:30",Finals,Final
b,r,e,a,k
brackets,Dev Bracket Play
bracket,Dev Championship
James Madison (B),Delaware (B),12,13,"03/19/2017, 12:30",Finals,Final
Maryland (B),James Madison (B),8,12,"03/19/2017, 10:30",Semis,Final
Virginia (B),Delaware (B),5,15,"03/19/2017, 10:30",Semis,Final
South Carolina (B),Maryland (B),10,12,"03/19/2017, 08:30",Quarters,Final
Georgetown (B),James Madison (B),7,15,"03/19/2017, 08:30",Quarters,Final
Virginia (B),North Carolina-Wilmington (B),15,5,"03/19/2017, 08:30",Quarters,Final
Delaware (B),Princeton (B),15,7,"03/19/2017, 08:30",Quarters,Final
Maryland (B),Dartmouth (B),13,4,"03/18/2017, 16:20",Crossover,Final
bracket,Dev 3rd place
Maryland (B),Virginia (B),11,2,"03/19/2017, 12:30",Finals,Final
bracket,Dev 5th place
Georgetown (B),Princeton (B),15,3,"03/19/2017, 12:30",Finals,Final
South Carolina (B),Georgetown (B),8,12,"03/19/2017, 10:30",Semis,Final
North Carolina-Wilmington (B),Princeton (B),10,11,"03/19/2017, 10:30",Semis,Final
bracket,Dev 7th place
South Carolina (B),North Carolina-Wilmington (B),8,9,"03/19/2017, 12:30",Finals,Final
b,r,e,a,k
pools,Dev Consolation
pool,Pool I
Dartmouth (B),Williams (B),0,0,"03/19/2017, 08:30",Pool I,Final
Dartmouth (B),Oberlin (B),9,11,"03/19/2017, 10:30",Pool I,Final
Oberlin (B),Williams (B),15,6,"03/19/2017, 12:30",Pool I,Final
Oberlin (B),Luther (B),15,7,"03/19/2017, 20:30",Pool I,Final
Luther (B),Williams (B),15,1,"03/19/2017, 22:30",Pool I,Final
Dartmouth (B),Luther (B),W,F,"03/20/2017, 12:30",Pool I,Final
b,r,e,a,k
pools,Consolation
pool,Pool H
Towson,RIT,10,14,"03/19/2017, 08:30",Pool H,Final
SUNY-Buffalo,RIT,15,11,"03/19/2017, 10:30",Pool H,Final
SUNY-Buffalo,Towson,10,15,"03/19/2017, 12:30",Pool H,Final
b,r,e,a,k
