2017 Texas Men's Sectionals,Club - Men ,9,9,2017
Round Rock,TX,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Texas-Mens-Sectionals/schedule/Men/Club-Men/
Singlewide,1
0,George Kilts
0,Jonathan Lemieux
0,Jose Tamez Durandeau
0,Joshua Pritchett
0,Mark Flanagan
0,Stephen Barton
0,Steven Trenfield
8,Zach Stence
9,Jason Friday
13,Jacob Ploeger
14,Gabriel Hart
15,Adam Croissant
17,Bryan Kirchmeier
19,Jeffrey Zhao
23,Will Goodwin
37,Sean Kuylen
50,Brent Pierce
64,Brian Seiler
65,Travis Kennedy
69,David Garcia
87,Tim Tevdovich
99,Jack Hornbuckle
b,r,e,a,k
Dallas United: Desperados,5
teamInfo,,"Dallas, Texas",,,
0,ANDREW BOYD
0,Blake Duncan
0,Brandon Harvill
0,CALEB GRACE
0,Joseph Lee Bruno
0,Mark Campbell
0,Matt Chambers
0,Wesley Miaw
1,Joseph Cubitt
2,Emmanuel Bilolo
3,Tyler Criss
5,Joseph Feeney
6,Preston Howell
11,Julius Hubby
11,Grayson Gummelt
12,Noah Chambers
13,Christopher Fogel
19,Victor Mao
20,Henry Furuta
20,Javier Oliver
21,Connor DeLuna
23,Marty Dekker
27,Daniel Richards
32,Joseph Welkener
33,Michael Wilson
99,Tanner Roberts
99,Alexander McNiel
b,r,e,a,k
Papa Bear,4
teamInfo,,"Houston, Texas",,,
0,Ben Whitfield
0,CHARLES POMBIER
0,Christian Hagan
0,Mason Henkes
0,Max Lukoschek
0,Mitchel Sorrels
0,Rafael Cruz-Garcia
0,SEBASTIAN WEINAND
0,Shaun van der Walt
3,Dayne Meyer
7,Matthew Melendez
10,Daniel Erdeljac
12,Andrew Hipskind
20,William Adams
20,Jake Tomczyszyn
20,Mohamed Jalajal
21,Eric Carter
22,Ricardo Rosas
27,James Strasburg
34,Caleb Ellison
72,Joshua Narabal
80,KEVIN ATKINS
b,r,e,a,k
Dallas United: Neato Banditos,12
teamInfo,,"Dallas, Texas",,,
0,Brian Albracht
0,Bryant  Lowry
0,Carlton Kelley
0,Alexander Bacon
0,Daniel Pappas
0,David Lowell
0,Gabriel Valdes
0,Garrett Fish
0,Dillon Cox
0,James Paterson
0,Namoo Han
0,Tim Thimmaiah  Baleyada Ashok 
0,Tyler Shulman
5,Evan Garner
5,Christian Cortes
6,Donovan Bankett
9,Benjamin Meaders
15,Corey Gendron
15,Mark Hill
17,Matt Klespis
23,Julian Reyna
29,Charles McNeil
55,Frederick Christen
77,Ian Ambrose
87,Josh Venter
b,r,e,a,k
SA Spares,13
teamInfo,,"San Antonio, Texas",,,
0,Brendon Decker
0,Bryan Eckelmann
0,"Gerardo ""Jay"" Rodriguez"
0,Jacob Garcia
0,Cristian Garcia
0,Lucas Delorimer
0,Malachi Paterka
0,Matthew Gehrlein
0,MICHAEL FALCONER
0,Stuart Henricksen
2,Jheremi Villarreal
3,Joseph Williams
4,William Miller
8,Cashon Grice
10,Fabian Briesmoore
14,Joseph Morales
16,Steven Glatt
19,Luke Taliaferro
70,Clint Blackwell
73,Nicholas Gonzales
b,r,e,a,k
s,t,a,g,e,s
pools,Men's Pool Play
pool,Pool A
Singlewide,Spring Creek Ascension,15,5,"09/09/2017, 09:00",Pool A,Final
Fénix Ultimate,Flash Flood,15,12,"09/09/2017, 09:00",Pool A,Final
Singlewide,Flash Flood,15,2,"09/09/2017, 11:00",Pool A,Final
Fénix Ultimate,Spring Creek Ascension,15,7,"09/09/2017, 11:00",Pool A,Final
Singlewide,Fénix Ultimate,15,6,"09/09/2017, 13:00",Pool A,Final
Spring Creek Ascension,Flash Flood,12,10,"09/09/2017, 13:00",Pool A,Final
pool,Pool B
Plex,Dallas United: Outlaws,15,9,"09/09/2017, 09:00",Pool B,Final
Premium,Swangos,15,3,"09/09/2017, 09:00",Pool B,Final
Plex,Swangos,15,4,"09/09/2017, 11:00",Pool B,Final
Premium,Dallas United: Outlaws,13,12,"09/09/2017, 11:00",Pool B,Final
Plex,Premium,15,3,"09/09/2017, 13:00",Pool B,Final
Dallas United: Outlaws,Swangos,15,3,"09/09/2017, 13:00",Pool B,Final
pool,Pool C
Riverside Ultimate,Deaf Fruit,15,10,"09/09/2017, 09:00",Pool C,Final
DTH,Riverside Messengers,15,6,"09/09/2017, 09:00",Pool C,Final
Riverside Ultimate,Riverside Messengers,15,7,"09/09/2017, 11:00",Pool C,Final
DTH,Deaf Fruit,15,14,"09/09/2017, 11:00",Pool C,Final
Riverside Ultimate,DTH,10,9,"09/09/2017, 13:00",Pool C,Final
Deaf Fruit,Riverside Messengers,15,8,"09/09/2017, 13:00",Pool C,Final
pool,Pool D
Papa Bear,Dallas United: Neato Banditos,15,6,"09/09/2017, 09:00",Pool D,Final
Dallas United: Desperados,SA Spares,15,3,"09/09/2017, 09:00",Pool D,Final
Papa Bear,SA Spares,15,6,"09/09/2017, 11:00",Pool D,Final
Dallas United: Desperados,Dallas United: Neato Banditos,15,5,"09/09/2017, 11:00",Pool D,Final
Papa Bear,Dallas United: Desperados,13,14,"09/09/2017, 13:00",Pool D,Final
Dallas United: Neato Banditos,SA Spares,12,10,"09/09/2017, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Dallas United: Desperados,Plex,10,15,"09/10/2017, 13:00",1st Place,Final
Singlewide,Dallas United: Desperados,7,12,"09/09/2017, 15:00",Semis,Final
Plex,Riverside Ultimate,15,5,"09/09/2017, 15:00",Semis,Final
bracket,2nd Place
Dallas United: Desperados,Singlewide,13,15,"09/10/2017, 15:00",2nd Place Finals,Final
Singlewide,Riverside Ultimate,15,10,"09/10/2017, 13:00",2nd Place Semis,Final
Singlewide,Premium,15,5,"09/10/2017, 09:00",2nd Place Quarters,Final
Fénix Ultimate,Riverside Ultimate,10,15,"09/10/2017, 09:00",2nd Place Quarters,Final
DTH,Premium,11,15,"09/09/2017, 15:00",2nd Place Prequarters,Final
Fénix Ultimate,Papa Bear,14,13,"09/09/2017, 15:00",2nd Place Prequarters,Final
bracket,4th Place
Riverside Ultimate,DTH,12,13,"09/10/2017, 15:00",4th Place Finals,Final
DTH,Premium,14,10,"09/10/2017, 13:00",4th Place Semis,Final
Fénix Ultimate,DTH,11,15,"09/10/2017, 11:00",4th Place Quarters,Final
Papa Bear,Premium,11,12,"09/10/2017, 11:00",4th Place Quarters,Final
DTH,Dallas United: Neato Banditos,15,7,"09/10/2017, 09:00",4th Place Prequarters,Final
Dallas United: Outlaws,Papa Bear,9,15,"09/10/2017, 09:00",4th Place Prequarters,Final
Spring Creek Ascension,Dallas United: Neato Banditos,9,13,"09/09/2017, 15:00",4th Place Play In,Final
Dallas United: Outlaws,Deaf Fruit,14,10,"09/09/2017, 15:00",4th Place Play In,Final
bracket,6th Place
Premium,Papa Bear,15,7,"09/10/2017, 15:00",6th Place Finals,Final
Fénix Ultimate,Papa Bear,7,15,"09/10/2017, 13:00",6th Place Semis,Final
bracket,8th Place
Fénix Ultimate,Dallas United: Outlaws,15,7,"09/10/2017, 15:00",8th Place Finals,Final
Dallas United: Outlaws,Flash Flood,15,11,"09/10/2017, 13:00",8th Place Semis,Final
Dallas United: Outlaws,Riverside Messengers,14,7,"09/10/2017, 11:00",8th Place Quarters,Final
Flash Flood,Dallas United: Neato Banditos,1,0,"09/10/2017, 11:00",8th Place Quarters,Final
Spring Creek Ascension,Riverside Messengers,11,14,"09/10/2017, 09:00",8th Place Prequarters,Final
Flash Flood,Deaf Fruit,1,0,"09/10/2017, 09:00",8th Place Prequarters,Final
Flash Flood,SA Spares,12,8,"09/09/2017, 15:00",8th Place Play-In,Final
Swangos,Riverside Messengers,0,1,"09/09/2017, 15:00",8th Place Play-In,Final
bracket,13th Place
Spring Creek Ascension,Deaf Fruit,1,0,"09/10/2017, 11:00",13th Place,Final
bracket,15th Place
Swangos,SA Spares,0,1,"09/10/2017, 09:00",15th Place,Final
b,r,e,a,k
