Chesapeake Open 2017,Club - Mixed ,12,8,2017
Boyds,MD,2017-08-12,2017-08-13
https://play.usaultimate.org/events/Chesapeake-Open-2017/schedule/Mixed/Club-Mixed
Dub Club,8
66,Miranda Briseno
b,r,e,a,k
Los Penguinos,17
teamInfo,,"DC/Baltimore, District of Columbia",,,
0,Kaiser Shen
00,Karin Rafaels
00,KATY MURPHY-LUBOWICZ
00,Kevin Walko
00,LESLIE WALKO
00,Michael Schwartz
00,Swati Agarwal
00,THOMAS GODSEY
00,William Cvengros
00,Winston Chang
00,Alan Jameson
00,Brian Jollie
00,Cara Groden
00,Christina Chang
00,DAVID SCHNAARS
00,Dominik Heynen
00,Elizabeth Herzfeldt-Kamprath
00,Hon Yin Eubanks
00,Justin Kratz
b,r,e,a,k
Heavy Flow,24
teamInfo,,"Columbia, Maryland",,,
0,Brad Weir
0,Danica Palacio
0,KATHRYN CONNOLLY
0,Maria Packard
0,Maria Kaplan
0,Matthew Kreitzer
0,Patrick Liu
0,Russell Scrivens
0,Sarah Gardner
0,Shane Spencer
0,Terri Brandt
0,Vanessa Amundson
05,Stephen Nichols
06,Meghan Gloyd
10,Elias White
16,Simeon Lee
17,Heather Johnson
22,Lance Gardner
22,Kate Magill
23,Jordan Lewis
23,Alex Capestany
24,Daniel Chang
35,Christopher Crumrine
42,Daniel Moore
44,Christian Lund
88,Justin Chu
96,Tony Gorga
b,r,e,a,k
XIST,2
teamInfo,,"New York, New York",https://www.xistultimate.com/,https://www.facebook.com/xistultimate/,https://twitter.com/XIST_Ultimate
0,Cara Brown
0,Cory Salé
0,Emily Cho
0,Gary Dixon
0,Handson Wu
0,Hannah Garfield
0,Alexander Hem
0,Jesse Moskowitz
0,Joe Santosus
0,Kamil Skwarek
0,Karen Chalif
0,Miranda Moore
0,Robert Smith
0,Ruozhou Ye
0,Sarah Heffernan
0,Sarah Kay Dela Cruz
0,Tim Gilboy
0,Tricia Smit
0,Matt Wiener
0,Matthew Mclaughlin
5,Kyla Dayer
7,Taylor Brooks
12,Joe Babbino
15,Matthew Baum
18,Caitlyn Hauswirth
25,Amelia Murphy
85,Jacqueline Lee
b,r,e,a,k
Sparkle Ponies,7
teamInfo,,"Rockville, Maryland",,,
0,Andrew Fine
0,Andrew Gravunder
0,Calvin Tam
0,Emma Scazzero
0,Francoise Delisle
0,Gabriel Lesser
0,Dan Grabowski
0,James Anderson
0,Keerti Goorah
0,Kelsey Hales
0,LT Tucker
0,Max Dyer
0,Michaela Gramzinski
0,Paul Corbett
0,Paul Butterfoss
0,Reagan Grabowski
0,Tess Geers
00,Katherine Mallory
00,James Kirchhoff
10,Bridget Van Fleet
13,Chris Muller
13,Dan Jacobson
20,Lee Langston
24,Jack Reickel
36,Lauren Edwards
37,Max Trifillis
44,Gunnar Olgren
b,r,e,a,k
Ant Madness,10
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
0,Allison Hahn
0,Amy Wedmore
0,Bethany Turner
0,Janie Mockrish
0,KATIE HAWN
0,Katrien Hinderdael
0,Luke Hart-Moynihan
0,Michael Parker
0,Molly Thomasson
0,Collier Cobb
0,Grace Denney
0,SHANNON MCVEY
8,Jae Miner
9,Alexander Lichtenstein
11,Alex Srisuwan
11,Ryan Thornton
13,Varun Pattani
13,Nicole Getter
14,Daniel Blair
18,Graham Turner
20,Samuel Brecker
22,ANDREW SIGAL
25,Carl Schoenherr
31,Andrew Ferraro
42,Claire Loxsom
53,Jackson Gode
88,Robert Pratt
b,r,e,a,k
Sabotage,18
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/Sabotage-Ultimate-1574253482867837/?fref=ts,
0,Andrew Haviland
0,AUDREY INDEN
0,Brendan Quann
0,Dan Benedict
0,DOV GOLDMAN
0,John Gardner
0,Karen Fields
0,Kelly Nye
0,LAUREN SCHONEKER
0,Liz Gardner
0,MATTHEW IDE
0,MAX ZILBERMAN
0,Rebecca Solnit
0,Richard Evans
0,Robert  McLean
0,Seth Tannenbaum
0,Steph Sessa
0,Tracy Ide
4,Nicholaus Craven-Ongpauco
8,Matthew McLean
8,Andrew Wisor
9,Alexandra Wittchen
15,David Kiefer
22,Beth Burke
24,Jeffrey Hsieh
42,Patrick Reilly
44,Nathanael Grefe
b,r,e,a,k
Legion,15
teamInfo,,"Lynchburg , Virginia",,https://www.facebook.com/lynchburglegion/?fref=ts,
0,Anna Marie Hagerty
0,Christy Rife
0,Matthew Glasgow
0,Michelle Barbosa
0,Walter Lewis
1,Danielle Smith
2,Kevin Habermas
3,Ashley Mast
4,Jenna Bibby
7,Lowe Bibby
8,Taylor Engen
11,Kevin Dodd
12,Jonathan Mast
13,Keys Pattie
15,James Howell
15,Brendan Kinne
18,Krista Habermas
25,Elizabeth Ware
25,Jillianne  Engen
37,JAMES ALLEN
37,Brandon Lison
47,Billy Harmon
55,KIERAN BLAKEMORE
68,Jennifer Schlabach
82,Hannah VerasAlba
82,Rabah Sbitani
b,r,e,a,k
The Greatest Team in America,23
teamInfo,,"Baltimore, Maryland",,,
0,Anne Scholle
0,Brenda Lin
0,Dylan McDonough
0,Grant Sullivan
0,Hannah Brown
0,Joshua Adler
0,Lindsey Falbo
0,Marshall Carpenter
0,Molly (Meredith) Finch
0,Nathan Hetzler
0,NOAH ROBINSON
0,Rebecca Hazany
0,Timmy Gelles
4,Robin Gilmore
12,Caleb Gurujal
26,MICHAEL KOZAR
34,Benjamin DeForest
53,Elizabeth Urban
66,Jefferson Crum
b,r,e,a,k
Charlotte Storm,3
teamInfo,,"Charlotte, North Carolina",,https://www.facebook.com/CharlotteStormUltimate/,@cltxult
0,Andrew West
0,James Seagraves
0,Kathryn West
0,Kelly Rigsbee
0,Ken Porter
0,Kerry Younts
0,Madison Coughlin
0,Olivia Dewey
0,Paul Grabowski
0,Ransome Martin
0,Sean Kelley
0,Sharon Crawford
2,Thomas Lineberger
6,Dylan Welchman
7,Jessica Grabowski
10,Eric Olson
11,James Parks
12,Philip Hadwiger
13,Jocelyn Keung
18,Ismael Salgado
19,Alyssa Belsito
27,Zan Derby-Wright
30,Savannah Hadwiger
40,Kristin Rosser
60,Ereckson Hillis
73,Adam Bostian
73,Romit Patel
b,r,e,a,k
Clue,6
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/CLUEULTIMATE?fref=ts,https://twitter.com/ClueUltimate
0,Alison Joyce
0,Allan Michel
0,Bryce Wiedenbeck
0,Craig McGowan
0,Ian Coyne
0,Lindsey Weed
0,Liz Cheek
0,Matthew Foley
0,PAVEL KARAVAYEV
0,Robert Catzen
0,Stephanie Coward
0,Travis Conrad
0,"Wint ""Olivia"" Oo"
2,ANNA IMPERATRICE
3,William Zeky
3,Sarah Coyne
10,Rachel Thaw
10,Anna Truskin
11,Jeff Truskin
15,Megan Kuhfuss Golrick
15,Bailey Rowland
18,RACHEL MAYER
23,MATTHEW CONGDON
26,JASON MORGAN
36,Kyle Golrick
44,Brendan Thompson
88,Jacob Kesselman
b,r,e,a,k
Grand Army,11
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
0,AARON PARKER
0,Abigail Schuster
0,Andrew Werblin
0,Anna Meyendorff
0,Benjamin Raudabaugh
0,Darren Defreeuw
0,Dylan Horowitz
0,Edith Iyer-Hernandez
0,Gina Stees
0,Jeannine Opie
0,Jimmy Chen
0,Josette (Josie) Pratt
0,Julie Xia
0,Henry Zhang
0,Jae Lee
0,Kyle Blaeuer
0,Miriam Nielsen
0,Tom Sum
11,Hayley Manning
16,Jamie Lawler
31,Julie Paik
69,Peter Luo
b,r,e,a,k
8 Bit Heroes,14
teamInfo,,"Frederick, Maryland",,,
0,Alvin Matute
0,Chris Pliszak
0,Daniel Kaste
0,Elly Young
0,Emily Boegner
0,Jada Oglesby
0,Lora Waybright
0,Michael Newman
0,Rachel Moser
0,Robert McClughan
0,Thomas Riggs
0,Zach VanDerwerker
7,Allyson Golightly
8,Anne Tanenbaum
12,Bryan Nadeau
14,Samuel Young
16,Diana Burke
19,Eric Helm
22,Liz Grimes
32,Nick Malagari
99,George Wright
b,r,e,a,k
Stormborn,19
teamInfo,,"Washington, District of Columbia",,,https://www.twitter.com/stormbornulti
0,ANDREW MCCOY
0,Angelena Bohman
0,David Paladin-Fernandez
0,LINDSAY WONG
0,Maria Duke
0,Theodore Lannert
1,Daniel Haber
5,HANNAH DORFMAN
8,Luc Bouchard
11,Daniel Marlow
12,Katina Russell
15,Robert Van Hassel
17,Meghan  Bartlett
22,Kyle Williamson
23,Dale Appleman
24,Bonnie Marlow
26,William Bloomhardt
27,Jennifer Pridemore
28,Sara Pritt
36,Sheila McGraw
55,Ian Edgell
69,Manuel Miranda
77,James Grant
79,Daniel Dresser
88,Elizabeth McCoy
89,Timothy Pugarelli
99,Rebecca Dorety
b,r,e,a,k
Norfolkin' Around,22
teamInfo,,"Norfolk, Virginia",,,
0,Andrew Stillerman
0,Bob Steinberg
0,Colleen Casadaban
0,David Caplan
0,Jonathan Rothfus
0,Khaela Sanchez
0,Patrick Meehan
0,Reid (Laura) Dickie
13,Celeste Ostman
17,Justin Maynard
38,Ariel Vogel
b,r,e,a,k
Distelfink,5
teamInfo,,"Lancaster, Pennsylvania",,,
0,Ashlynn Trimmer
0,Beth Johns
0,Eric Witmer
0,Kristin Thomas
0,SARAH TOBIAS
0,Tom Pribicko
4,Kenny Johns
5,Corryn Vento
5,Anthony Bowers
8,Kadi McCoy
8,TAYLOR WHITNEY
10,Matthew Stilley
11,Tim Hushon
12,Lindsey King
12,Jordan Vanasdale
14,Benjamin Staudt
15,Ashley Hah
15,Christopher Man
15,Rebecca Holmes
17,David Naylor jr
20,Timothy Holmes
21,Derek Bigley
22,Nicole Singiser
26,Angela Martin
49,Ian Preston
49,Jordan Winey
69,Peter Burt
b,r,e,a,k
PleasureTown,13
teamInfo,,"Boston, Massachusetts",modules/common/heynowpleasure.com,,@heynowpleasure
0,Alice Chirn
0,Axis Sivitz
0,Delaney Reardon
0,EMILY HEATH
0,Erica Tangney
0,Jaquille Jones
0,Kathryn Haapala
0,Kayla Huddell
0,Maya Stokes
0,Meaghan Lass
0,Nicholas Amendolare
0,Bryant Wolf
0,SAM HILLS
0,Skyler Tom
0,Tsuki Hoshijima
3,Brian Wyer
5,Alexander Riahi
11,Kiersten Mailler
17,Cici Wang
20,Brandon Nadres
21,Taylor Stewart
23,Ryan Holmes
29,Daniel Doherty
33,Samantha Gray
50,Harrison Greene
99,Dan Huddell
b,r,e,a,k
The Feminists,4
teamInfo,,"New York, New York",,,
0,David Willis
0,Samuel Taylor
00,Thomas Haynes
01,Brendan Awerbuch
02,ANDREW WILKES
04,Kerry Beyrer
05,Kevin Liang
05,ANDREW RAINES
06,Wesley Wong
07,Minerva Muzquiz
08,John (Jack) Flintermann
09,Chris Nelson
10,Brandon Contarsy
13,Avery Reed
15,Kim Tischler
19,Eliot Bemis
22,Shelley Su
27,Lionel Wininger
36,Kristie Wong
45,William Olli
53,Peter Gilchrist
54,Mari Oshiro
73,Jessica Rosenqvist
84,Dan Bush
88,Moi Li
89,Robert Devoogd
99,Kara Neaton
b,r,e,a,k
Rat City,12
teamInfo,,"Baltimore, Maryland",,,
0,HEATHER JACOBS
4,Kristen Mitsinikos
5,Eva Fury
6,Torrin Stokes
8,Melissa Gilbert
9,JAMES KELLY-LIEB
07,Daniel Paoletti
12,Courtney Greene
13,Echo Presgraves
14,Nicole LaDue
18,Jennifer Pelleg
19,Lex Overholt
20,Mike Randow
22,Kevin Tran
23,GLORIA DIEDERICH
24,Eric Owens
27,RACHAEL  PELLEGRINO
31,Christopher Cahoon
33,Jesse Goldstein
42,Andrew Fish
47,Matt Doughten
49,Sumon Chattopadhyay
56,Margo Kelly
61,Carlos Lalimarmo
88,Angela Tran
89,Benjamin Holmes
b,r,e,a,k
District Cocktails,21
teamInfo,,"Washington, District of Columbia",,,
02,Michael Margala
04,Victoria Anania
07,Tegan McComas
08,Grant Franke
09,John Giannini
10,Maximilian Cohen-Casado
11,Diane Simunek
13,Zach Peterson
14,Aman Shah
15,Geoffrey Horsfield
16,Collin Brooks
17,Michael Campbell
19,JESSICA MEREK
21,Joel Diamond
22,Benjamin Holgash
23,Micaela Deitch
24,Sarah Stubbs
27,Karenna Genzlinger
41,Kelly Anderson
42,Andrew O'Neill
66,Aman Chawla
77,KEITH PODGORSKI
88,Daniel Bowman
91,Valerie Leone
b,r,e,a,k
MxD,20
teamInfo,,"College Park, Maryland",,,
coaches,Travis Lynch
0,Adam Weiss
0,Andrew Creighton
0,CORY RYAN
0,David Zimmerman
0,DOUGLAS LAVIN
0,Brandon Cannell
0,Jackie Weiss
0,Lily Nguyen
0,Taylor Knapp
0,Victor Shen
2,Will Oktavec
3,Lauren Dowty
5,Brian Palomo
15,William Xu
17,Tori Queeney
17,Juliet Bishop
20,Myco Paulo
26,Christopher Leung
27,Tom Noll
28,ANDREW KAIDEN
31,Amritha Mallikarjun
46,Amy Buck
54,Genevieve Leo
91,Lauren Sitlinger
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Toro,American Hyperbole,13,4,"08/12/2017, 09:00",Pool A,Final
Dub Club,Los Penguinos,13,4,"08/12/2017, 09:00",Pool A,Final
LORD,Heavy Flow,13,7,"08/12/2017, 09:00",Pool A,Final
Toro,Dub Club,12,13,"08/12/2017, 10:45",Pool A,Final
LORD,Los Penguinos,13,9,"08/12/2017, 10:45",Pool A,Final
American Hyperbole,LORD,13,7,"08/12/2017, 12:30",Pool A,Final
Los Penguinos,Heavy Flow,12,9,"08/12/2017, 12:30",Pool A,Final
Toro,LORD,13,7,"08/12/2017, 14:15",Pool A,Final
Dub Club,Heavy Flow,13,2,"08/12/2017, 14:15",Pool A,Final
American Hyperbole,Los Penguinos,13,5,"08/12/2017, 14:15",Pool A,Final
Toro,Heavy Flow,13,3,"08/12/2017, 16:00",Pool A,Final
Dub Club,American Hyperbole,13,8,"08/12/2017, 16:00",Pool A,Final
American Hyperbole,Heavy Flow,13,4,"08/13/2017, 08:30",Pool A,Final
Dub Club,LORD,13,4,"08/13/2017, 08:30",Pool A,Final
Toro,Los Penguinos,13,6,"08/13/2017, 08:30",Pool A,Final
pool,Pool B
XIST,Ant Madness,13,5,"08/12/2017, 09:00",Pool B,Final
Sparkle Ponies,Sabotage,13,8,"08/12/2017, 09:00",Pool B,Final
XIST,Sparkle Ponies,11,10,"08/12/2017, 10:45",Pool B,Final
Ant Madness,Legion,13,10,"08/12/2017, 10:45",Pool B,Final
Sabotage,The Greatest Team in America,13,6,"08/12/2017, 10:45",Pool B,Final
Legion,The Greatest Team in America,13,4,"08/12/2017, 12:30",Pool B,Final
Ant Madness,Sabotage,13,6,"08/12/2017, 12:30",Pool B,Final
XIST,Legion,13,5,"08/12/2017, 14:15",Pool B,Final
Sparkle Ponies,The Greatest Team in America,13,5,"08/12/2017, 14:15",Pool B,Final
XIST,The Greatest Team in America,13,4,"08/12/2017, 16:00",Pool B,Final
Sparkle Ponies,Ant Madness,13,3,"08/12/2017, 16:00",Pool B,Final
Legion,Sabotage,6,13,"08/12/2017, 16:00",Pool B,Final
XIST,Sabotage,13,7,"08/13/2017, 08:30",Pool B,Final
Sparkle Ponies,Legion,12,10,"08/13/2017, 08:30",Pool B,Final
Ant Madness,The Greatest Team in America,13,4,"08/13/2017, 08:30",Pool B,Final
pool,Pool C
Charlotte Storm,Grand Army,13,8,"08/12/2017, 09:00",Pool C,Final
Clue,Stormborn,13,6,"08/12/2017, 09:00",Pool C,Final
8 Bit Heroes,Norfolkin' Around,13,2,"08/12/2017, 09:00",Pool C,Final
Charlotte Storm,Clue,13,9,"08/12/2017, 10:45",Pool C,Final
8 Bit Heroes,Stormborn,13,8,"08/12/2017, 10:45",Pool C,Final
Grand Army,8 Bit Heroes,13,8,"08/12/2017, 12:30",Pool C,Final
Stormborn,Norfolkin' Around,13,5,"08/12/2017, 12:30",Pool C,Final
Charlotte Storm,8 Bit Heroes,13,1,"08/12/2017, 14:15",Pool C,Final
Clue,Norfolkin' Around,13,7,"08/12/2017, 14:15",Pool C,Final
Grand Army,Stormborn,13,10,"08/12/2017, 14:15",Pool C,Final
Charlotte Storm,Norfolkin' Around,13,2,"08/12/2017, 16:00",Pool C,Final
Clue,Grand Army,11,8,"08/12/2017, 16:00",Pool C,Final
Charlotte Storm,Stormborn,13,4,"08/13/2017, 08:30",Pool C,Final
Grand Army,Norfolkin' Around,13,6,"08/13/2017, 08:30",Pool C,Final
Clue,8 Bit Heroes,12,11,"08/13/2017, 08:30",Pool C,Final
pool,Pool D
The Feminists,Rat City,12,11,"08/12/2017, 09:00",Pool D,Final
Distelfink,MxD,13,7,"08/12/2017, 09:00",Pool D,Final
The Feminists,Distelfink,7,12,"08/12/2017, 10:45",Pool D,Final
Rat City,PleasureTown,8,12,"08/12/2017, 10:45",Pool D,Final
MxD,District Cocktails,11,13,"08/12/2017, 10:45",Pool D,Final
PleasureTown,District Cocktails,13,7,"08/12/2017, 12:30",Pool D,Final
Rat City,MxD,13,3,"08/12/2017, 12:30",Pool D,Final
The Feminists,PleasureTown,3,13,"08/12/2017, 14:15",Pool D,Final
Distelfink,District Cocktails,13,5,"08/12/2017, 14:15",Pool D,Final
The Feminists,District Cocktails,13,4,"08/12/2017, 16:00",Pool D,Final
Distelfink,Rat City,13,2,"08/12/2017, 16:00",Pool D,Final
PleasureTown,MxD,13,4,"08/12/2017, 16:00",Pool D,Final
The Feminists,MxD,13,4,"08/13/2017, 08:30",Pool D,Final
Distelfink,PleasureTown,13,2,"08/13/2017, 08:30",Pool D,Final
Rat City,District Cocktails,13,9,"08/13/2017, 08:30",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship Bracket
Dub Club,Toro,7,13,"08/13/2017, 14:30",Finals,Final
Dub Club,Distelfink,11,10,"08/13/2017, 12:30",Semi's,Final
Toro,XIST,13,12,"08/13/2017, 12:30",Semi's,Final
Dub Club,Clue,13,5,"08/13/2017, 10:30",Quarters,Final
Distelfink,Sparkle Ponies,13,10,"08/13/2017, 10:30",Quarters,Final
Charlotte Storm,Toro,11,13,"08/13/2017, 10:30",Quarters,Final
XIST,PleasureTown,13,7,"08/13/2017, 10:30",Quarters,Final
bracket,9th Place Bracket
The Feminists,Ant Madness,10,9,"08/13/2017, 14:30",Finals,Final
American Hyperbole,The Feminists,9,12,"08/13/2017, 12:30",Semi's,Final
Grand Army,Ant Madness,8,9,"08/13/2017, 12:30",Semi's,Final
American Hyperbole,8 Bit Heroes,11,8,"08/13/2017, 10:30",Quarters,Final
The Feminists,Sabotage,12,9,"08/13/2017, 10:30",Quarters,Final
Grand Army,LORD,13,7,"08/13/2017, 10:30",Quarters,Final
Ant Madness,Rat City,12,7,"08/13/2017, 10:30",Quarters,Final
bracket,17th Place Bracket
District Cocktails,Legion,4,13,"08/13/2017, 12:30",Finals,Final
Los Penguinos,District Cocktails,11,12,"08/13/2017, 10:30",Semi's,Final
Legion,Stormborn,13,9,"08/13/2017, 10:30",Semi's,Final
bracket,21st Place Bracket
MxD,The Greatest Team in America,10,8,"08/13/2017, 13:30",Finals,Final
Heavy Flow,MxD,7,13,"08/13/2017, 11:30",Semi's,Final
The Greatest Team in America,Norfolkin' Around,11,10,"08/13/2017, 11:30",Semi's,Final
b,r,e,a,k
