Eastern's Qualifier 2017,College - Men ,18,2,2017
https://play.usaultimate.org/events/Easterns-Qualifier-2017/schedule/Men/CollegeMen/
North Carolina State,1
73,Adam Luthman
77,James Berry
81,Ryan Wolfe
91,Kenneth Peters
b,r,e,a,k
Shippensburg,19
0,Christopher Wurtz
0,Jacob Sultanik
1,Eric Scanlan
2,James Roop
5,JUSTIN MILLER
6,Edward Vaz
12,Zachary Cahill
14,Spenser Strickler
18,Jake Doyle
19,Garrett Hall
20,Bryan Walter
20,Corey Hall
22,Zachary Sands
26,Ian Reid
32,Zack Hunsberger
b,r,e,a,k
Virginia,4
1,Ben Carper
2,MAX MULCAHY
3,Jacob Hartzler
5,John Scoville
6,James King
7,HENRY LEGARD
8,Kristopher Harrison
9,PHILIP ADDINGTON
10,Alexander Rudin
11,Richard Young
12,Owen Robinson
13,Corey Sostre
14,David Maser
15,Taylor Shuford
17,Ryan French
18,James Godwin
20,Marshall Carl
21,Kevin  Niu
22,Evan  Hurley
30,Danny Krug
33,Chris Strunck
34,Kevin Sutyla
41,Thomas Owen
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
81,Alexandre Fall
81,Tyler Berkeley
85,Coleman Dickerson
b,r,e,a,k
Ohio State,5
0,Chase Gregory
0,Evan  Berry
0,Jason Lee
0,Victor Monaco
3,Richard Johnson
4,Timothy Harmody
4,Zachary Braun
4,Eric Schumacher
5,Eric Momenee
6,Mark Luke
7,Cody Fox
7,Steven Moliterno
10,Peter Crofut
13,Jackson Shorey
17,Marcus Perry
20,Andrew Klarner
22,Jesse Weber
22,TJ Kalvas
23,Benjamin Whiteman
24,Michael Verma
27,Neil Taylor
35,Mitchell O'Connor
55,Joseph Rains
69,Hartley Stevenson
99,Joey Chiu
b,r,e,a,k
Georgetown,12
3,David Fitzpatrick
01,Dylan Kreher
02,Nick Stabile
06,Logan Willits
08,Perry Cao
10,Maximilian Cohen-Casado
11,Schuyler Colloredo-Mansfeld
12,John Recchia
13,Jeremy Bernard-Sasges
17,Eric Diestelow
19,Anthony Bernard-Sasges
21,Jonathan Toib
22,Jacob Marsh
26,Justin Fang
27,Danie Fain
30,Christian Boxley
31,Blake Spangler
33,Luke Curran
35,Michael Stricker
60,Thomas Mingey
77,David Wilke
80,Niko Paulson
84,Harry Bellwoar
88,Kunwoo Shin
96,John Montesanto
b,r,e,a,k
Dartmouth,20
1,EVAN RHEINGOLD
3,Matt Mitman
4,Daniel Moder
6,DANIEL FINCH
8,Peter Lobel
11,Robert Livaudais
12,Spencer Heim
13,Leo Blooston
14,Karim Itani
19,Rohan Bose
22,Garrett Rawlings
24,Eric Greenlee
28,Wendell Beane
31,Nicholas Golini
36,Kevin Mercado
44,Cedar Farwell
64,DAVID KLINGES
72,George Robert Halvorsen Jr.
88,Connor Haines
95,Dakota Thompson
b,r,e,a,k
Kennesaw State,21
0,Aaron Claytor
0,Ben Harmon
0,Cole Flournoy
0,Daniel Palladino 
0,Ethan Wynn
0,Jacob Kincaid
0,Jarrett Craft
0,Jon Wyatt
0,Matthew Moore
0,Sam Diffin
0,Thomas Hartwell
0,William Lindquist
2,Justin Naegele
9,Madison Head
9,Jacob Dangler
11,Isaac Smith
13,Ryan Murphy
14,Charles Loudermilk
15,Bhavya Mital
15,Brian Dickey
16,Dan Buckley
21,Norman Cherry
23,Hunter Nielsen
48,Andrew Fortier
49,Matthew Stotter
50,Ross Barnes
59,Andrew Callaghan
97,Mike McGinnis
b,r,e,a,k
Pennsylvania,13
03,Sean Cohen
06,Riley Morrison
08,Joseph Harrison
13,CHRIS LU
14,Jason Schwartz
15,Max Fine
18,Saran Viswanathan
18,Connor Boyle
24,Brooks Gingrich
25,Haralambos Mourelatos
29,Per Loufman
32,Andrew Roberts
33,Ayaaz Versi
34,Tom Fry
42,PHILIP CHOU
43,John Bellwoar
77,Mahmood Ahmed
99,Edward Devlin
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
North Carolina State,Lehigh,13,8,"02/18/2017, 09:00",Pool A
Iowa,Vermont,9,13,"02/18/2017, 09:00",Pool A
Alabama-Birmingham,Johns Hopkins,8,13,"02/18/2017, 09:00",Pool A
North Carolina State,Iowa,12,7,"02/18/2017, 10:40",Pool A
Lehigh,Alabama-Birmingham,13,8,"02/18/2017, 10:40",Pool A
Vermont,Johns Hopkins,13,7,"02/18/2017, 10:40",Pool A
North Carolina State,Alabama-Birmingham,13,4,"02/18/2017, 12:20",Pool A
Iowa,Johns Hopkins,11,6,"02/18/2017, 12:20",Pool A
Lehigh,Vermont,9,13,"02/18/2017, 12:20",Pool A
North Carolina State,Johns Hopkins,13,7,"02/18/2017, 14:00",Pool A
Iowa,Lehigh,13,7,"02/18/2017, 14:00",Pool A
Alabama-Birmingham,Vermont,5,12,"02/18/2017, 14:00",Pool A
North Carolina State,Vermont,13,7,"02/18/2017, 15:40",Pool A
Iowa,Alabama-Birmingham,13,4,"02/18/2017, 15:40",Pool A
Lehigh,Johns Hopkins,8,13,"02/18/2017, 15:40",Pool A
pool,Pool B
Case Western Reserve,William & Mary,11,10,"02/18/2017, 09:00",Pool B
Kansas,Georgia Southern,4,13,"02/18/2017, 09:00",Pool B
Illinois State,Temple,13,9,"02/18/2017, 09:00",Pool B
Case Western Reserve,Kansas,13,9,"02/18/2017, 10:40",Pool B
William & Mary,Illinois State,13,11,"02/18/2017, 10:40",Pool B
Georgia Southern,Temple,9,10,"02/18/2017, 10:40",Pool B
Case Western Reserve,Illinois State,13,3,"02/18/2017, 12:20",Pool B
Kansas,Temple,13,6,"02/18/2017, 12:20",Pool B
William & Mary,Georgia Southern,6,10,"02/18/2017, 12:20",Pool B
Case Western Reserve,Temple,13,8,"02/18/2017, 14:00",Pool B
Kansas,William & Mary,5,13,"02/18/2017, 14:00",Pool B
Illinois State,Georgia Southern,13,6,"02/18/2017, 14:00",Pool B
Case Western Reserve,Georgia Southern,13,6,"02/18/2017, 15:40",Pool B
Kansas,Illinois State,11,10,"02/18/2017, 15:40",Pool B
William & Mary,Temple,13,10,"02/18/2017, 15:40",Pool B
pool,Pool C
James Madison,Emory,13,5,"02/18/2017, 09:00",Pool C
Penn State,Shippensburg,13,7,"02/18/2017, 09:00",Pool C
Clemson,Indiana,12,13,"02/18/2017, 09:00",Pool C
James Madison,Penn State,11,13,"02/18/2017, 10:40",Pool C
Emory,Clemson,11,10,"02/18/2017, 10:40",Pool C
Shippensburg,Indiana,8,13,"02/18/2017, 10:40",Pool C
James Madison,Clemson,11,5,"02/18/2017, 12:20",Pool C
Penn State,Indiana,11,9,"02/18/2017, 12:20",Pool C
Emory,Shippensburg,13,12,"02/18/2017, 12:20",Pool C
James Madison,Indiana,13,3,"02/18/2017, 14:00",Pool C
Penn State,Emory,7,13,"02/18/2017, 14:00",Pool C
Clemson,Shippensburg,13,6,"02/18/2017, 14:00",Pool C
James Madison,Shippensburg,13,6,"02/18/2017, 15:40",Pool C
Penn State,Clemson,12,9,"02/18/2017, 15:40",Pool C
Emory,Indiana,10,7,"02/18/2017, 15:40",Pool C
pool,Pool D
Virginia,Georgetown,12,9,"02/18/2017, 09:00",Pool D
Ohio State,Dartmouth,13,9,"02/18/2017, 09:00",Pool D
Pennsylvania,Kennesaw State,6,13,"02/18/2017, 09:00",Pool D
Virginia,Ohio State,13,10,"02/18/2017, 10:40",Pool D
Georgetown,Pennsylvania,12,11,"02/18/2017, 10:40",Pool D
Dartmouth,Kennesaw State,10,9,"02/18/2017, 10:40",Pool D
Virginia,Pennsylvania,13,3,"02/18/2017, 12:20",Pool D
Ohio State,Kennesaw State,13,6,"02/18/2017, 12:20",Pool D
Georgetown,Dartmouth,10,9,"02/18/2017, 12:20",Pool D
Virginia,Kennesaw State,13,6,"02/18/2017, 14:00",Pool D
Ohio State,Georgetown,13,7,"02/18/2017, 14:00",Pool D
Pennsylvania,Dartmouth,8,10,"02/18/2017, 14:00",Pool D
Virginia,Dartmouth,13,7,"02/18/2017, 15:40",Pool D
Ohio State,Pennsylvania,13,5,"02/18/2017, 15:40",Pool D
Georgetown,Kennesaw State,13,11,"02/18/2017, 15:40",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,7th Place
William & Mary,Vermont,14,13,"02/19/2017, 13:00",7th Place
b,r,e,a,k
brackets,B Bracket
bracket,9th Place
Iowa,Georgia Southern,12,15,"02/19/2017, 09:00",Quarterfinals
Indiana,Georgetown,14,10,"02/19/2017, 09:00",Quarterfinals
Penn State,Dartmouth,13,10,"02/19/2017, 09:00",Quarterfinals
Johns Hopkins,Illinois State,11,15,"02/19/2017, 09:00",Quarterfinals
Georgia Southern,Indiana,15,6,"02/19/2017, 11:00",Semifinals
Penn State,Illinois State,15,8,"02/19/2017, 11:00",Semifinals
Georgia Southern,Penn State,12,15,"02/19/2017, 13:00",9th Place
bracket,11th Place
bracket,13th Place
Iowa,Georgetown,13,14,"02/19/2017, 11:00",13th Place Semifinals
Dartmouth,Johns Hopkins,11,12,"02/19/2017, 11:00",13th Place Semifinals
Georgetown,Johns Hopkins,7,11,"02/19/2017, 13:00",13th Place
bracket,15th Place
Iowa,Dartmouth,14,11,"02/19/2017, 13:00",15th Place
b,r,e,a,k
brackets,C Bracket
bracket,17th Place 
Lehigh,Temple,12,11,"02/19/2017, 09:00",Quarterfinals
Shippensburg,Kennesaw State,11,15,"02/19/2017, 09:00",Quarterfinals
Clemson,Pennsylvania,15,11,"02/19/2017, 09:00",Quarterfinals
Alabama-Birmingham,Kansas,10,14,"02/19/2017, 09:00",Quarterfinals
Lehigh,Kennesaw State,10,14,"02/19/2017, 11:00",Semifinals
Clemson,Kansas,11,13,"02/19/2017, 11:00",Semifinals
Kennesaw State,Kansas,9,11,"02/19/2017, 13:00",Finals
bracket,19th Place
Lehigh,Clemson,7,11,"02/19/2017, 13:00",19th Place
bracket,21st Place
Temple,Shippensburg,13,9,"02/19/2017, 11:00",21st Place Semifinals
Pennsylvania,Alabama-Birmingham,10,12,"02/19/2017, 11:00",21st Place Semifinals
Temple,Alabama-Birmingham,13,11,"02/19/2017, 13:00",21st Place
bracket,23rd Place
Shippensburg,Pennsylvania,13,9,"02/19/2017, 13:00",23rd Place
b,r,e,a,k
