Dust Bowl 2017,College - Men ,18,2,2017
Tulsa,OK,2017-02-18,2017-02-19
https://play.usaultimate.org/events/Dust-Bowl-2017/schedule/Men/CollegeMen/
Texas Tech,1
67,Spencer Patterson
74,Clinton Carroll
80,Josiah Johnson
81,Jacob Hash
96,Drew Fain
b,r,e,a,k
Texas-Dallas,2
teamInfo,Woof,"Richardson, Texas",,https://www.facebook.com/groups/465745246877658/,https://twitter.com/DTEXUltimate
0,ADAM BARTON
0,Andrue Guerrero
0,Garrett Fish
0,Jason Hustad
0,Joseph Thurston
0,Joey Campain
0,Joseph Welkener
0,Neel Reddy
0,Nidhish Lokesh
0,Pranav Devalla
0,Robert Somma
0,Sebastien Lauzy
0,Victor Mao
0,Wesley Miaw
3,Tyler Criss
5,Christian Cortes
6,Donovan Bankett
12,David Knight
13,Christopher Fogel
14,Alex Felten
22,Ross Neuman
29,Kirtan Patel
29,Charles McNeil
29,Steven Gomez
55,Steven Borik
b,r,e,a,k
Rice,7
teamInfo,Cloud 9,"Houston, Texas",modules/common/cloud9.rice.edu,,@riceultimate
0,Andrew Clifton
0,Avery Zaleski
0,Collin Allen
0,Connor Stuart-Paul
0,ELI BADGIO
0,Gabriel Tugendstein
0,Gabriel Vacaliuc
0,Jack Kaplan
0,Kevin Xi
0,Luke Howe-Kerr
0,Nicholas Leisle
0,Patrick Kelly
0,Qufei An
0,Raymond Yuan
0,Samuel Shadwell
3,Brian Walker
3,Abhijit  Brahme 
4,Adrish Anand
4,Austin Benavides
6,Alexander Heath
13,Alexander Jiang
19,Andrew Marshall
21,Sam Burke
23,Michael Young
b,r,e,a,k
Colorado School of Mines,6
teamInfo,Entropy,"Golden, Colorado",,,
0,Brandon Price
0,Cameron Beaton
0,David Henningsen
0,Edward Arnheiter
0,James Miller
0,Joseph Pearse
0,Nicholas Rollman
0,Patrick Boyker
0,Randy Lemons
0,Sean Hinkle
0,Zacary Parkhill
2,Tom Parry
5,Scott Jarriel
11,Caleb Bevers
12,Clayton Howeth
12,Nikos Jordan
26,Weston Mauz
42,Mark Jeska
44,Robert Beaver
56,John Arndt
69,Jared Parrish
77,Thomas Hennen
b,r,e,a,k
Truman State,10
teamInfo,JujiTSU ,"Kirksville, Missouri",,https://www.facebook.com/pages/JujiTSU-Ultimate/159311880755819,@JujiTSUltimate
2,Alexander Sextro
7,Michael Anderson
10,Brendan Cirillo
11,Jared Favero
12,Benjamin Wolf
15,Jacob Jackson
16,Taylor Hession
17,Christopher Stilwell
20,Andrew Richter
24,Michael Walder
26,Frank Ginder
27,Mariano Marin
31,Sean Eberle
31,Blake Bixler
40,Ethan Conley
44,Nathan Pyles
72,Joseph Williamson-Link
88,Isaac Pearlstone
98,Matthew Beers
b,r,e,a,k
Missouri,19
teamInfo,Missouri,"Columbia, Missouri",,,
0,Alex Werner
0,Ben Rollings
0,Colin Iglehart
0,Colin Macgregor
0,Eric Piatchek
0,Eric Rideout
0,Jonathon Morris
0,Joshua Morris
0,MIKE BOYLE
0,Nicholas Biggs
0,Thomas Hopper
0,Zachary Campbell
5,Zachary Gase
6,Nicholas Mihulka
11,Colin OBrien
15,Mark Stedem
16,Evan Opsal
34,Kyle Hatten
35,Samuel Staloch
35,Sawyer Novak
54,Jack Carmichael
69,JORDAN MCGHEE
b,r,e,a,k
Colorado-Denver,18
teamInfo,Frostbite,"Denver, Colorado",,,
0,Alex Kacsh
0,Arian Anderson
0,Casey Hodges
0,Chad LeFebre
0,Matthew McCoo
0,Ryan Fleury
0,Sam Wilson-Moses
0,Scott Cao
0,Tyler LeFant
0,Cruz Alvarez-Machado
0,Dakota Chauncey
4,Corey Nuechterlein
29,Garrett Blacksten
b,r,e,a,k
Missouri S&T,11
teamInfo,Miner Threat,"Rolla, Missouri",,,
0,Brad Mealy
0,Cameron Leonard
0,Chase Neely
0,David Swed
0,David Szatkowski
0,Jacob Crouse
0,John Whitelock
0,Robert Taylor
0,Rusty McDonald
0,Nate Clancy
4,John Mauntel
9,Christopher Dolles
12,Brendan Carriel
16,David Druzynski
17,Alex Mundahl
21,Brody Johnson
21,William (Will) Imming
25,Kelly Mauntel
30,Trevor Nenninger
32,Cedric Jones
39,Sandy Gu
48,Seth Day
48,Justin Flynn
63,Louie Bertoncin
78,Mitchell Zimmmermann
80,Nicholas Spitznagel
86,Matt LaFever
91,Matthew Dugan
99,Benjamin Alber
b,r,e,a,k
Denver,15
teamInfo,Sourdough,"Denver, Colorado",http://www.du.edu/ritchiecenter/studentprograms/clubsports/clubs/ultimatefrisbee/,https://www.facebook.com/uofdenverclubultimate,
0,Bohdi Cooper
0,Eric Silverman
0,Evan Hicks
0,Austin Wolfe
0,Jeffrey Ready
0,John Sabin
0,Jordan Lange
0,Max Gordon
0,Miles Dorrance
0,Oliver Pesso
0,Ryan MacDonald
0,Sage Bard-Gilbert
0,Tim  Bouraoui
0,Tony Poss
13,Jackson Spear
14,Mats Hanson
18,Avery Nelson
19,Matthew Myers
23,Josh Lucero
30,Nate Watson
31,Hank Vogel
32,Jake Lauinger
44,Zach Raab
b,r,e,a,k
Grinnell,14
teamInfo,Grinnellephants,"Grinnell, Iowa",,,
0,Austin Schilling-Stumpner
0,Daniel Cook
0,Michael Sundby
0,Patrick Sheehan-Klenk
0,Terrel Jones
1,Jack Graen
8,Vincent Noh
00,Charles McKenzie-Smith
10,Nathan Gifford
13,BENJAMIN BROSSEAU
14,RAY SCHROEDER
16,David Kreis
17,Sayles Kasten
23,Corey Alt
27,Lucas Verrastro
29,Russ Haight
30,Kevin Molina
32,Noah Mozell
36,Yang Luo
39,Seth Van Helten
42,Nate Tometich
55,Liam Niehus-Staab
72,Evan Porter
74,Henry Jantzen
84,Jon Mehlhaus
97,Kevin Connors
99,Jonathan Dowell
99,David Underwood Sherrell
b,r,e,a,k
Wisconsin-Eau Claire,16
teamInfo,EauZone,"Eau Claire, Wisconsin",modules/common/www.uwec.edu/ultimate,https://www.facebook.com/pages/Eauzone/123562074416368,https://twitter.com/eauzoneultimate
1,Sam Sincere
4,Aaron Schneider
5,Jacob Johnson
8,Oliver Oremek
13,Matthew Farwell
14,Derek Kalvin
18,Andrew Cotter
21,Patrick Cooney
22,TREVOR HARSLA
24,Adam Bubolz
27,Josh Yira
33,Ryan Schultz
39,Dan Hamann
42,Eric Stadtmueller
44,Colin Williams
49,Cordell Kapusta
77,Cole Edgell
78,Ryan Rodriquez
83,Joseph Schmitz
87,Max Berger
b,r,e,a,k
Central Arkansas,20
teamInfo,Abduction,"Fort Smith, Arkansas",,,
1,CHRISTIAN BIGGS
3,Eriq Deaver
13,Matthew King
15,Dustin Leigh
17,Preston Long
20,Jerry Robertson
33,Raymond Graham
42,Dylan Green
60,Garrett Brown
69,Bill Hasik
89,Gregory Jacobus
90,Madison Dodd
95,Samuel Manion
98,Daniel Brewster
b,r,e,a,k
St Olaf,17
teamInfo,Berzerkers,"Northfield, Minnesota",,,
01,Gray Harlow
03,Austin  Brown
05,Derrick Le Tran
06,John Goodson
07,Ian Baumann
08,Benjamyn James
10,James Faillettaz
12,Aidan Clements
14,Matthew Douglas-May
24,James McNulty
49,Isaac Griffin-Wiesner
79,Andrew Lawrence
86,Andy Walerius
b,r,e,a,k
Kansas State,12
teamInfo,Wizards,"Manhattan, Kansas",,,
0,Blake Smethers
0,Brett Dare
0,Darien Parr
0,Drew Mechnig
0,Erick  Neilson
0,Erik Hjelmaas
0,Jeb Stewart
0,Luke Grieger
0,Ryan Irvin
0,Sam Nelson
0,Spencer Roberts
7,John Benfer
17,Clayton Smith
26,Joshua Smith
27,Kyle Thompson
34,Colin Beauregard
59,John Wildman
b,r,e,a,k
Texas-Arlington,13
teamInfo,Yucca,"Arlington, Texas",,,
0,Alan Rodriguez
0,Frederick Christen
0,Greg Loftis
0,Isaac Rooker
0,Nathaniel  Loper
4,Jonathan Conway
5,Colton McDorman
6,brady reeder
11,cole oyer
16,Logan Dillman
16,Jeremy Wilson
17,Darren Phillips
27,Andrew Fowler
42,Jason Breedlove
50,Barrett Kunkel
73,Vu Tran
77,Matthew McCormick
96,Joseph Lopez
b,r,e,a,k
Missouri State,28
teamInfo,Missouri State,"Springfield, Missouri",,https://www.facebook.com/MissouriStateUltimate/,
00,Cameron Yuan
01,James Engelhardt
02,Joe Ernst
06,Cole Wheeler
07,Aaron Parkhurst
10,Grant Erard
12,Benjamin Duvall
13,Mathew Heinz
15,Jonathan (Roo) Kodner
17,TJ Ridge
21,Daniel Holsten
23,Jackson Reid
27,Gabe Olender
41,Austin Yuan
77,Matthew Moore
77,Mitchell Weinstein
87,Darren Yount
90,Devon Gibbs
90,Joshawa Ryun
91,Andrew Keim
b,r,e,a,k
Saint Louis,25
teamInfo,Archangel,"St. Louis, Missouri",,,
0,Brian Schweinhart
0,ZACH WRIGHT
2,Devin Belvin
4,Eric Lang
9,Omar Uraizee
05,Joey  Schlueter 
06,Bryce Drezek
07,Lucas Rydberg
10,Christopher Parma
11,Darrien Cooper
12,Raymond Moylan
14,Kyle Blievernicht
23,John Ward
27,Thomas Neiers
28,Daniel Stork
29,BRENNAN KELLY
33,Jared Roznowski
34,Scott Lambert
39,Samuel Agra
41,Greg Farnsworth
42,Henry Huelsman
50,Sid Pang
52,Reece  Thornton
88,Troy Lensing
b,r,e,a,k
Tulsa,21
teamInfo,Party Fowl,"Tulsa, Oklahoma",,,
0,Brennen Gray
2,JT Stancil
4,Kathleen Endicott
5,Brian Luczak
6,Jimmy Pignetti
9,Claire Dang
10,Kyle Flores
12,Ian Riley
13,Henry Luepke
14,Rachel Deeds
17,Benjamin Brown
23,Ryan Orland
25,Peter Simmons
30,Chisum Lane
37,Joe Moran
41,Jacob Berg
42,Jacob Hall
b,r,e,a,k
Oklahoma (B),29
teamInfo,Apes of Wrath B,"Norman, Oklahoma",http://oklahomaultimate.com/,https://www.facebook.com/OklahomaUltimate,https://twitter.com/wrathfulapes
0,J.D. Ingendorf
10,Casey Seitz
15,Cyle Famuliner
31,Sam Baskin
48,Harper Stanfield
54,Logan Elliott
60,Nathan Richbourg
62,Jacob Barlowe
69,Austin Gould
97,Taylor Poydence
b,r,e,a,k
Midwestern State,24
teamInfo,Cavalry,"Wichita Falls, Texas",http://msucavalry.wordpress.com/,https://www.facebook.com/groups/159145580774635/,https://twitter.com/CavalryUltimate
0,Xavier Conley
01,Darien Cortez
06,Christian Oseguera
07,Mason Wilson
08,Darin Young
09,Luis Blanco
10,Mark Hill
12,Ryan Luig
51,Jessica Gomez
96,Kent Ogawa
b,r,e,a,k
Arkansas State,26
teamInfo,Red Wolf Ultimate,"Jonesboro, Arkansas",http://redwolfultimate.weebly.com/,https://www.facebook.com/pages/Red-Wolf-Ultimate/1431214147101320,https://twitter.com/redwolfultimate
0,Jeremy DeLon
0,Joshua Toller
0,Kenneth Riddle
0,Kyle  Walker
0,Steven Holmquist
1,Anthony Farnam
2,Drew Slaven
4,Clayton Howard
5,Brandyn Wilcox
6,Allen Deaver
12,Austin Donaldson 
20,Chase Rowan
78,Gunnar Etzkorn
87,Easton Adams
b,r,e,a,k
Stephen F Austin,22
teamInfo,Frontier,"Nacogdoches, Texas",,,
0,Ben Street
0,Christopher Barton
0,Ashley Matherly
0,Parker Lambes
0,Shawn Catlin
2,Nicolas Mejia
4,Ryan Pingenot
5,Trevor McCulley
12,Anna Highsmith
21,Austin Highsmith
22,James Phillips
24,Tyler Baker
39,Michael Musslewhite
69,Thomas Griffin
b,r,e,a,k
Creighton,27
teamInfo,Tuskers,"Omaha, Nebraska",,,
2,NICK BARTSCHAT
03,Aidan Campolettano
05,Marah Miller
07,Cat  Henning 
08,Nathaniel Brandl
13,Craig Schmerbauch
20,Zach Frevert
21,Casey Kerin
23,Brady Manker
32,David Kasper
57,Michael Mimlitz
67,Ethan Corkery
b,r,e,a,k
Drury,30
teamInfo,Drury Ultimate,"Springfield, Missouri",http://www.drury.edu/du/student-activities/Ultimate-Frisbee-Club/,https://www.facebook.com/druryultimate,
00,Coral McLaughlin
00,Evan Petrich
00,Jarrett  Quas
00,Josue Bolanos
00,Kalyn Ahrens
00,Laura Little
00,Nick Schurk
00,Tianna  Thomas
00,Tim Anzalone
b,r,e,a,k
Arkansas (B),23
teamInfo,Speed Bump,"Fayetteville, Arkansas",,,
0,Drake Jackson
0,Keith Urbanski
0,Slaton Guy
24,Ryland Arnold
25,James Genova
33,Kenneth Cole
50,CHARLIE ADAMS
69,Pierce Teeuwen
80,Colin Richardson
b,r,e,a,k
s,t,a,g,e,s
pools,Power
pool,Pool A
Texas Tech,Nebraska,15,8,"02/18/2017, 07:30",Pool A,Final
Luther,North Texas,15,9,"02/18/2017, 07:30",Pool A,Final
Texas Tech,Luther,15,12,"02/18/2017, 09:30",Pool A,Final
North Texas,Nebraska,14,11,"02/18/2017, 11:30",Pool A,Final
Texas Tech,North Texas,15,9,"02/18/2017, 13:30",Pool A,Final
Luther,Nebraska,15,8,"02/18/2017, 15:30",Pool A,Final
Oklahoma State,North Texas,15,8,"02/18/2017, 23:30",Pool A,Final
Oklahoma State,Luther,13,15,"02/19/2017, 01:30",Pool A,Final
Oklahoma State,Nebraska,15,7,"02/19/2017, 03:30",Pool A,Final
Texas Tech,Oklahoma State,17,16,"02/19/2017, 05:30",Pool A,Final
pool,Pool B
Rice,Truman State,15,8,"02/18/2017, 07:30",Pool B,Final
John Brown,Colorado School of Mines,15,11,"02/18/2017, 07:30",Pool B,Final
Texas-Dallas,Colorado School of Mines,15,10,"02/18/2017, 09:30",Pool B,Final
John Brown,Rice,12,10,"02/18/2017, 09:30",Pool B,Final
Texas-Dallas,Rice,15,7,"02/18/2017, 11:30",Pool B,Final
John Brown,Truman State,15,11,"02/18/2017, 11:30",Pool B,Final
Texas-Dallas,John Brown,14,15,"02/18/2017, 13:30",Pool B,Final
Colorado School of Mines,Truman State,12,9,"02/18/2017, 13:30",Pool B,Final
Texas-Dallas,Truman State,13,14,"02/18/2017, 15:30",Pool B,Final
Colorado School of Mines,Rice,7,15,"02/18/2017, 15:30",Pool B,Final
b,r,e,a,k
pools,Emerge
pool,Pool C
Missouri S&T,Missouri,11,15,"02/18/2017, 07:30",Pool C,Final
Denver,Colorado-Denver,7,15,"02/18/2017, 07:30",Pool C,Final
Missouri S&T,Denver,15,16,"02/18/2017, 09:30",Pool C,Final
Grinnell,Colorado-Denver,11,15,"02/18/2017, 09:30",Pool C,Final
Colorado-Denver,Missouri,11,15,"02/18/2017, 11:30",Pool C,Final
Grinnell,Denver,9,15,"02/18/2017, 11:30",Pool C,Final
Missouri S&T,Colorado-Denver,13,12,"02/18/2017, 13:30",Pool C,Final
Grinnell,Missouri,3,15,"02/18/2017, 13:30",Pool C,Final
Missouri S&T,Grinnell,15,7,"02/18/2017, 15:30",Pool C,Final
Denver,Missouri,5,15,"02/18/2017, 15:30",Pool C,Final
pool,Pool D
Kansas State,Central Arkansas,10,15,"02/18/2017, 07:30",Pool D,Final
Wisconsin-Eau Claire,St Olaf,15,13,"02/18/2017, 07:30",Pool D,Final
Kansas State,Wisconsin-Eau Claire,11,15,"02/18/2017, 09:30",Pool D,Final
Texas-Arlington,St Olaf,8,15,"02/18/2017, 09:30",Pool D,Final
St Olaf,Central Arkansas,6,15,"02/18/2017, 11:30",Pool D,Final
Texas-Arlington,Wisconsin-Eau Claire,5,15,"02/18/2017, 11:30",Pool D,Final
Kansas State,St Olaf,10,15,"02/18/2017, 13:30",Pool D,Final
Texas-Arlington,Central Arkansas,10,15,"02/18/2017, 13:30",Pool D,Final
Kansas State,Texas-Arlington,15,2,"02/18/2017, 15:30",Pool D,Final
Wisconsin-Eau Claire,Central Arkansas,16,14,"02/18/2017, 15:30",Pool D,Final
b,r,e,a,k
pools,Develop
pool,Pool E
Saint Louis,Missouri State,15,16,"02/18/2017, 07:30",Pool E,Final
Tulsa,Saint Louis,7,15,"02/18/2017, 09:30",Pool E,Final
Midwestern State,Missouri State,7,15,"02/18/2017, 09:30",Pool E,Final
Midwestern State,Saint Louis,7,15,"02/18/2017, 11:30",Pool E,Final
Tulsa,Missouri State,15,12,"02/18/2017, 13:30",Pool E,Final
Tulsa,Oklahoma (B),15,8,"02/18/2017, 14:30",Pool E,Final
Tulsa,Midwestern State,14,15,"02/18/2017, 15:30",Pool E,Final
Missouri State,Oklahoma (B),15,10,"02/18/2017, 18:30",Pool E,Final
Midwestern State,Oklahoma (B),10,15,"02/18/2017, 20:30",Pool E,Final
Saint Louis,Oklahoma (B),15,10,"02/18/2017, 22:30",Pool E,Final
pool,Pool F
Stephen F Austin,Drury,15,7,"02/18/2017, 07:30",Pool F,Final
Arkansas State,Creighton,15,13,"02/18/2017, 07:30",Pool F,Final
Stephen F Austin,Arkansas State,12,15,"02/18/2017, 09:30",Pool F,Final
Arkansas (B),Creighton,13,14,"02/18/2017, 09:30",Pool F,Final
Creighton,Drury,16,15,"02/18/2017, 11:30",Pool F,Final
Arkansas (B),Arkansas State,9,15,"02/18/2017, 11:30",Pool F,Final
Stephen F Austin,Creighton,15,9,"02/18/2017, 13:30",Pool F,Final
Arkansas (B),Drury,14,15,"02/18/2017, 13:30",Pool F,Final
Stephen F Austin,Arkansas (B),15,4,"02/18/2017, 15:30",Pool F,Final
Arkansas State,Drury,15,8,"02/18/2017, 15:30",Pool F,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Texas Tech,John Brown,15,7,"02/19/2017, 14:30",Final,Final
Texas Tech,Texas-Dallas,15,9,"02/19/2017, 12:30",Semis,Final
John Brown,Luther,13,7,"02/19/2017, 12:30",Semis,Final
Texas Tech,Colorado School of Mines,15,11,"02/19/2017, 10:30",Quarters,Final
Texas-Dallas,Oklahoma State,15,12,"02/20/2017, 12:30",Quarters,Final
John Brown,North Texas,15,7,"02/19/2017, 10:30",Quarters,Final
Luther,Rice,15,10,"02/19/2017, 10:30",Quarters,Final
Colorado School of Mines,Nebraska,15,12,"02/19/2017, 08:30",PreQuarters,Final
Texas-Dallas,Colorado-Denver,14,11,"02/19/2017, 08:30",PreQuarters,Final
Oklahoma State,Central Arkansas,15,11,"02/19/2017, 22:30",PreQuarters,Final
North Texas,Truman State,15,11,"02/19/2017, 08:30",PreQuarters,Final
Luther,Wisconsin-Eau Claire,15,9,"02/19/2017, 08:30",PreQuarters,Final
Rice,Missouri,15,13,"02/19/2017, 08:30",PreQuarters,Final
bracket,3rd Place
Texas-Dallas,Luther,7,15,"02/19/2017, 14:30",3rd Place,Final
bracket,5th Place
Oklahoma State,Rice,15,11,"02/20/2017, 04:30",5th Place Finals,Final
Colorado School of Mines,Oklahoma State,9,15,"02/20/2017, 02:30",5th Semis,Final
North Texas,Rice,12,15,"02/19/2017, 12:30",5th Semis,Final
bracket,7th Place
Colorado School of Mines,North Texas,15,13,"02/19/2017, 14:30",7th Place,Final
bracket,9th Place
Nebraska,Truman State,15,13,"02/19/2017, 14:30",9th finals,Final
Nebraska,Central Arkansas,13,10,"02/19/2017, 12:30",9th Semis,Final
Truman State,Wisconsin-Eau Claire,15,8,"02/19/2017, 12:30",9th Semis,Final
Colorado-Denver,Central Arkansas,13,15,"02/19/2017, 10:30",9th Quarters,Final
Wisconsin-Eau Claire,Missouri,14,10,"02/19/2017, 10:30",9th Quarters,Final
bracket,11th Place
Central Arkansas,Wisconsin-Eau Claire,15,14,"02/19/2017, 14:30",11th Place,Final
bracket,13th Place
Missouri,Colorado-Denver,15,9,"02/19/2017, 12:30",13th Place,Final
b,r,e,a,k
brackets,Emerge Championship
bracket,Emerge Championship
Missouri S&T,Denver,13,5,"02/19/2017, 14:30",Final,Final
Missouri S&T,Kansas State,15,6,"02/19/2017, 12:30",Semis,Final
St Olaf,Denver,6,15,"02/19/2017, 12:30",Semis,Final
Missouri S&T,Saint Louis,12,8,"02/19/2017, 10:30",Quarters,Final
Kansas State,Grinnell,14,4,"02/19/2017, 10:30",Quarters,Final
St Olaf,Missouri State,13,12,"02/19/2017, 10:30",Quarters,Final
Denver,Tulsa,15,9,"02/19/2017, 10:30",Quarters,Final
Arkansas State,Saint Louis,10,15,"02/19/2017, 08:30",PreQuarters,Final
Grinnell,Creighton,15,9,"02/19/2017, 08:30",PreQuarters,Final
Missouri State,Stephen F Austin,15,12,"02/19/2017, 08:30",PreQuarters,Final
Texas-Arlington,Tulsa,14,15,"02/19/2017, 08:30",PreQuarters,Final
bracket,Emerge 3rd
Kansas State,St Olaf,15,3,"02/19/2017, 14:30",3rd Place,Final
bracket,Emerge 5th
Saint Louis,Missouri State,15,7,"02/19/2017, 14:30",5th finals,Final
Saint Louis,Grinnell,15,11,"02/19/2017, 12:30",5th Semis,Final
Missouri State,Tulsa,15,5,"02/19/2017, 12:30",5th Semis,Final
bracket,Emerge 7th
Tulsa,Grinnell,15,1,"02/19/2017, 14:30",7th Place,Final
bracket,Emerge 9th
Arkansas State,Texas-Arlington,15,12,"02/19/2017, 12:30",9th place,Final
Arkansas State,Creighton,15,13,"02/19/2017, 10:30",9th semis,Final
Stephen F Austin,Texas-Arlington,9,11,"02/19/2017, 10:30",9th semis,Final
bracket,Emerge 11th
Stephen F Austin,Creighton,9,15,"02/19/2017, 12:30",11th Place,Final
b,r,e,a,k
pools,Develop Round Robin
pool,Pool I
Drury,Arkansas (B),15,10,"02/19/2017, 08:30",Pool I,Final
Drury,Midwestern State,15,14,"02/19/2017, 10:30",Pool I,Final
Midwestern State,Arkansas (B),11,12,"02/19/2017, 12:30",Pool I,Final
Oklahoma (B),Midwestern State,2,9,"02/19/2017, 15:30",Pool I,Final
Oklahoma (B),Arkansas (B),15,11,"02/19/2017, 17:30",Pool I,Final
Oklahoma (B),Drury,11,15,"02/19/2017, 19:30",Pool I,Final
b,r,e,a,k
