MoTown Throwdown 2017,Club - Mixed ,8,7,2017
https://play.usaultimate.org/events/MoTown-Throwdown-2017/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
0,James Tarnay
0,Jane Carsey
0,Jason Beffel
0,Melanie Chastka
0,Mia Wang
0,MICHAEL PARATTO
0,Michael Braddock
0,Michael Connerton
0,Sarah Hassan
0,Scott Popa
0,Justin Kukelhan
0,Katherine Hoffman
0,Taylor Diesslin
5,Tianzhe Wang
16,Joseph Nooger
44,STEPHEN JIRA
54,Jacob Kessler
88,Madeleine Pletzke
b,r,e,a,k
Mishigami,15
0,ASHTON  FALDUTO
0,Ellen Grimes
0,Korey DeRouchie
0,Mathew Peltier
0,Matthew Western
0,MOLLY GAUDETTE
5,Jill Santos
13,Maddie Spooner
25,Justin Browne
91,Michael Cannon
b,r,e,a,k
Toast,6
0,Adam Koehler
0,Brendan Schwalm
0,Gabriel Anzivino
0,Jennifer Knister
0,Jessica Cooney-Davis
0,Lydia Korodan
0,MARISSA Korodan
0,Mark Brown
0,Samuel Helderop
1,Michael Mansfield
6,Richard Willms
7,Logan Bollaert
13,David Danks
14,MELISSA Jager
15,Brittany  Dooley
16,Samantha Phillips
17,Connor Lukas
19,Aaron Riess
20,Zach Jawahir
22,Jamie Petroelje
22,ANDREW WADAGA
29,Charles Blum
31,Rachel Danks
32,Justine Volz
84,Michael Weber
b,r,e,a,k
Mad Udderburn,3
0,David Kurian
4,Ellie Daniels
03,Jake Wilson
06,Anders Shropshire
09,Grant Hellestad
10,Emily Orner
14,Katherine Magruder
15,John Miller
18,Ben Stanger
19,Nathan Freeman
23,Lizabeth Held
24,Matt Coogan
25,Stephanie Smith
27,Clay Schelitzche
29,Sarah Doege
32,Amanda Hellestad
33,Aidan Boyle
41,Molly Schelitzche
b,r,e,a,k
Rocket LawnChair,19
01,Emily Sharick
04,Paul Versluis
05,Ian Eisnaugle
09,Joshua Harper
14,Nicholas Kraft
16,Kelli Smith-Biwer
18,Ashley Pepple
18,Franchesca Cassanese
22,Erica Mehra
24,Michael Herman
25,Rachel Cawkwell
28,Shawn Cooper
29,Vaughn Vargo-Alevras
30,Patrick Reed
31,Patrick Miller
32,Craig Biwer
33,CHADWICK RENDE
42,David Backus
47,Aakar Mehra
83,Andrew Curtin
88,Jonathan Saylor
98,MICHAEL LYNCH
b,r,e,a,k
Asylum,14
0,Colin Heslet
0,Julie Abrams
0,Ashley Chong
0,Lexie Thomas
0,Nathan Buddemeyer
0,Rechelle Frash
6,Kristen Plews
00,Kyle Bayes
00,Leah Petitt
00,DANIEL OLSON
00,Dennis Gisler
00,Jason Yoder
00,Jason Ulman
00,SCHUYLER REDDING
00,Rachel Hunt
00,Matthew Olson
00,Brett Porter
00,Cody Petitt
00,Andrew Foley
00,Todd Grace
10,thomas stargell
b,r,e,a,k
Skyhawks,11
0,Brad MILLER
0,Christopher Miller
0,Connor Nolan
0,Heather  Shore
0,Luke Graber
0,Madilynn Werbianskyj
0,Sean McGuinness
06,Alison Lanski
10,Michelle Espino
12,Caitlin Hayner-Slattery
13,Danica Keefe
15,Tierney Miller
17,Michael Wellman
20,Jeff Martin
23,Morgan Miller
24,Matthew Foster
26,HEATHER DONOVAN
40,Jared Christophel
44,Daniel Verzuh
45,Kirk Kuespert
51,Amanda Perugini
79,Hannah Scrafford
88,Franklin Mejia
b,r,e,a,k
Goose Lee,4
0,Aaron Bacon
0,Amanda Kleinfelder
0,Candice Otrembiak
0,Edward (Ted) Landis
0,Jordan Otrembiak
0,Julia Desrosiers
0,KELLY DEITERS
0,Eric Coglianese
0,Nicholas Wetzel
0,Olivia Bayer
0,Steven Kolp
0,Will Keitel
3,Connor Shirley
4,Madison Wilker
6,Daniel Conrad
10,Hector Rivera
13,John Cassidy
19,MICHELE BERENS
21,Connor Haley
22,Liz Anderson
36,Eric Hurd
47,Zach Kaylor
b,r,e,a,k
JABBA,12
0,Alex Sher
0,Alexander Zaug
0,Alyssa Bennett
0,Bridget Doherty
0,Christian Owen
0,Jennifer Shouldice
0,Jeremy Jones
0,Jessica Fairhurst
0,KYLE REBECHINI
0,Leigh Abrams
0,Megan O'Loughlin
0,Michaela Franz
0,Rachel  Cole
0,Steve Janda
0,Travis Salk
17,MICHAEL NAGEL
20,Matt Afryl
26,Matt Thomas
27,Ryan Logan
28,Thomas Logisz
69,Casimir Ksiazek III
82,Steven Jeka
b,r,e,a,k
Doppler Effect,13
0,Alissa Neff
0,Alissa Graff
0,Allegra Rosenbaum
0,Andrei Stephens
0,David  Cole
0,David Cornish
0,Dina Tayim
0,Elaine Dziemianowicz
0,John Kaiser III
0,Jordan Skully
0,Joseph Hacker
0,Justin Panhans
0,Madeline Kramer
0,Mark Dziemianowicz
0,Zachary Farr
8,PAUL FOLK
15,Tyler ODonnell
17,Mark McCarthy
23,Gina Sancricca
26,Travis Hare
47,Dan Kwass
50,Kyle Richardson
66,Daniel Fonte
73,Caitlene Elwell
b,r,e,a,k
Boomtown Pandas,5
0,Alex Larsen
0,Anne Gardner
0,Jamie  Brown
0,Josh Epstein
0,Katie Abrams
2,Edward Kaul
4,Jessie Hsu
5,Marianna Malin
7,Benjamin Hsu
10,Caitlin Murphy
13,Jon Fok
16,Robert Lindenthaler
18,Scott Groux
18,Julia Sauerhaft
21,John Schaefer
21,Nathan Kleinhans
27,Seana Lindenthaler
29,Jack Nelson
35,Alexandra Asleson
43,Toby Wex
66,April Peterson
66,Laura Hsu
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
s,t,a,g,e,s
pools,Motown Pool Play
pool,Pool A
Columbus Cocktails,Petey's Parrots,13,1,"07/08/2017, 10:00",Pool A
Stackcats,Northern Comfort,4,13,"07/08/2017, 10:00",Pool A
Columbus Cocktails,Stackcats,13,8,"07/08/2017, 11:40",Pool A
Los  Heros,Northern Comfort,8,13,"07/08/2017, 11:40",Pool A
Northern Comfort,Petey's Parrots,13,0,"07/08/2017, 13:20",Pool A
Los  Heros,Stackcats,13,12,"07/08/2017, 13:20",Pool A
Columbus Cocktails,Northern Comfort,11,10,"07/08/2017, 15:00",Pool A
Los  Heros,Petey's Parrots,13,5,"07/08/2017, 15:00",Pool A
Columbus Cocktails,Los  Heros,13,3,"07/08/2017, 16:40",Pool A
Stackcats,Petey's Parrots,13,2,"07/08/2017, 16:40",Pool A
pool,Pool B
Liquid Hustle,Petey's Pirates,9,7,"07/08/2017, 10:00",Pool B
North Coast Disc Co.,Mishigami,13,4,"07/08/2017, 10:00",Pool B
Liquid Hustle,North Coast Disc Co.,10,11,"07/08/2017, 11:40",Pool B
Hybrid,Mishigami,13,3,"07/08/2017, 11:40",Pool B
Mishigami,Petey's Pirates,2,13,"07/08/2017, 13:20",Pool B
Hybrid,North Coast Disc Co.,13,3,"07/08/2017, 13:20",Pool B
Liquid Hustle,Mishigami,13,4,"07/08/2017, 15:00",Pool B
Hybrid,Petey's Pirates,10,5,"07/08/2017, 15:00",Pool B
Liquid Hustle,Hybrid,8,13,"07/08/2017, 16:40",Pool B
North Coast Disc Co.,Petey's Pirates,6,12,"07/08/2017, 16:40",Pool B
pool,Pool C
Mad Udderburn,Rocket LawnChair,10,7,"07/08/2017, 10:00",Pool C
Skyhawks,Asylum,5,11,"07/08/2017, 10:00",Pool C
Mad Udderburn,Skyhawks,13,3,"07/08/2017, 11:40",Pool C
Toast,Asylum,13,5,"07/08/2017, 11:40",Pool C
Asylum,Rocket LawnChair,11,13,"07/08/2017, 13:20",Pool C
Toast,Skyhawks,13,1,"07/08/2017, 13:20",Pool C
Mad Udderburn,Asylum,13,6,"07/08/2017, 15:00",Pool C
Toast,Rocket LawnChair,13,4,"07/08/2017, 15:00",Pool C
Mad Udderburn,Toast,9,13,"07/08/2017, 16:40",Pool C
Skyhawks,Rocket LawnChair,8,13,"07/08/2017, 16:40",Pool C
pool,Pool D
Goose Lee,JABBA,13,4,"07/08/2017, 10:00",Pool D
Boomtown Pandas,Doppler Effect,7,11,"07/08/2017, 10:00",Pool D
Goose Lee,Doppler Effect,13,6,"07/08/2017, 11:40",Pool D
Boomtown Pandas,JABBA,8,10,"07/08/2017, 11:40",Pool D
Goose Lee,Boomtown Pandas,13,7,"07/08/2017, 13:20",Pool D
JABBA,Doppler Effect,13,5,"07/08/2017, 13:20",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Columbus Cocktails,Toast,14,10,"07/09/2017, 16:00",1st Place
Columbus Cocktails,Goose Lee,15,7,"07/09/2017, 14:00",Semis
Toast,Hybrid,12,8,"07/09/2017, 14:00",Semis
Columbus Cocktails,Mad Udderburn,14,3,"07/09/2017, 12:00",Quarters
Los  Heros,Goose Lee,6,11,"07/09/2017, 12:00",Quarters
Toast,Northern Comfort,13,7,"07/09/2017, 12:00",Quarters
JABBA,Hybrid,10,15,"07/09/2017, 12:00",Quarters
Columbus Cocktails,North Coast Disc Co.,13,7,"07/09/2017, 10:00",Sweet Sixteen
Doppler Effect,Mad Udderburn,10,12,"07/09/2017, 10:00",Sweet Sixteen
Los  Heros,Petey's Pirates,9,8,"07/09/2017, 10:00",Sweet Sixteen
Asylum,Goose Lee,8,14,"07/09/2017, 10:00",Sweet Sixteen
Toast,Boomtown Pandas,12,6,"07/09/2017, 10:00",Sweet Sixteen
Northern Comfort,Liquid Hustle,15,9,"07/09/2017, 10:00",Sweet Sixteen
JABBA,Rocket LawnChair,15,14,"07/09/2017, 10:00",Sweet Sixteen
Hybrid,Stackcats,15,4,"07/09/2017, 10:00",Sweet Sixteen
bracket,3rd Place
Goose Lee,Hybrid,12,11,"07/09/2017, 16:00",3rd Place
bracket,5th Place 
Mad Udderburn,Northern Comfort,7,13,"07/09/2017, 16:00",5th Place
JABBA,Mad Udderburn,11,13,"07/09/2017, 14:00",Round Name
Northern Comfort,Los  Heros,13,9,"07/09/2017, 14:00",Round Name
bracket,7th Place
Los  Heros,JABBA,8,10,"07/09/2017, 16:00",7th Place
bracket,9th Place
Rocket LawnChair,Petey's Pirates,9,8,"07/09/2017, 16:00",9th Place
Boomtown Pandas,Rocket LawnChair,9,10,"07/09/2017, 14:00",Semis
North Coast Disc Co.,Petey's Pirates,9,10,"07/09/2017, 14:00",Semis
Boomtown Pandas,Stackcats,13,12,"07/09/2017, 12:00",Round Name
Rocket LawnChair,Liquid Hustle,10,8,"07/09/2017, 12:00",Round Name
Asylum,North Coast Disc Co.,9,12,"07/09/2017, 12:00",Round Name
Doppler Effect,Petey's Pirates,6,12,"07/09/2017, 12:00",Round Name
bracket,11th Place
North Coast Disc Co.,Boomtown Pandas,1,0,"07/09/2017, 16:00",11th Place
bracket,13th Place
Doppler Effect,Asylum,2,7,"07/09/2017, 16:00",13th Place
Doppler Effect,Stackcats,10,7,"07/09/2017, 14:00",Round Name
Liquid Hustle,Asylum,7,12,"07/09/2017, 14:00",Round Name
bracket,15th Place
Liquid Hustle,Stackcats,13,9,"07/09/2017, 16:00",15th Place
bracket,16-18
Petey's Parrots,Mishigami,7,9,"07/09/2017, 10:00",R1
bracket,16-18
Mishigami,Skyhawks,8,10,"07/09/2017, 00:00",R2
bracket,16-18
Skyhawks,Petey's Parrots,10,2,"07/09/2017, 14:00",R3
b,r,e,a,k
