Midwest Throwdown 2017,College - Women ,4,3,2017
Columbia,MO,2017-03-04,2017-03-05
https://play.usaultimate.org/events/Midwest-Throwdown-2017/schedule/Women/CollegeWomen/
Kansas,1
Illinois,Denver,11,5,"03/05/2017, 09:00",PRE-QS,Final
bracket,3RD PLACE
Kansas,Illinois,15,14,"03/05/2017, 15:00",3RD,Final
bracket,T-5TH PLACE (1)
Wisconsin,Winona State,12,7,"03/05/2017, 13:00",T-5TH (1),Final
bracket,T-5TH PLACE (2)
St Olaf,Missouri State,15,5,"03/05/2017, 13:00",T-5TH (2),Final
bracket,T-9TH PLACE (1)
Carleton College-Eclipse,Washington University,9,8,"03/06/2017, 03:00",T-9TH (1),Final
Wisconsin-Milwaukee,Carleton College-Eclipse,7,12,"03/05/2017, 11:00",T-9TH SEMIS (1),Final
Saint Louis,Washington University,5,9,"03/06/2017, 01:00",T-9TH SEMIS (1),Final
bracket,T-9TH PLACE (2)
Truman State,Northwestern,8,10,"03/05/2017, 13:00",T-9TH (2),Final
Chicago,Truman State,5,9,"03/05/2017, 11:00",T-9TH SEMIS (2),Final
Northwestern,Denver,12,3,"03/05/2017, 11:00",T-9TH SEMIS (2),Final
bracket,T-13TH PLACE (1)
Wisconsin-Milwaukee,Saint Louis,6,10,"03/05/2017, 13:00",T-13TH (1),Final
bracket,T-13TH PLACE (2)
Chicago,Denver,5,11,"03/05/2017, 13:00",T-13TH (2),Final
bracket,17TH PLACE
Arkansas,Missouri S&T,13,14,"03/05/2017, 15:00",17TH,Final
Luther,Arkansas,7,12,"03/05/2017, 13:00",17TH SEMIS,Final
John Brown,Missouri S&T,10,11,"03/05/2017, 13:00",17TH SEMIS,Final
Luther,Nebraska,9,6,"03/05/2017, 11:00",17TH QUARTERS,Final
Grinnell,Arkansas,12,13,"03/05/2017, 11:00",17TH QUARTERS,Final
Iowa,John Brown,7,9,"03/05/2017, 11:00",17TH QUARTERS,Final
Purdue,Missouri S&T,9,11,"03/05/2017, 11:00",17TH QUARTERS,Final
bracket,19TH PLACE
Luther,John Brown,7,12,"03/05/2017, 15:00",19TH,Final
bracket,21ST PLACE
Grinnell,Iowa,6,9,"03/05/2017, 15:00",21ST,Final
Nebraska,Grinnell,8,9,"03/05/2017, 13:00",21ST SEMIS,Final
Iowa,Purdue,10,4,"03/05/2017, 13:00",21ST SEMIS,Final
bracket,23RD PLACE
Nebraska,Purdue,10,11,"03/05/2017, 15:00",23RD,Final
bracket,25TH PLACE
St Benedict,Mississippi,13,7,"03/05/2017, 15:00",25TH,Final
St Benedict,Minnesota-Duluth,15,1,"03/05/2017, 11:00",25TH SEMIS,Final
Mississippi,Kansas State,9,7,"03/05/2017, 11:00",25TH SEMIS,Final
St Benedict,Wisconsin (B),15,2,"03/05/2017, 09:00",25TH QUARTERS,Final
Grinnell (B),Minnesota-Duluth,11,12,"03/05/2017, 09:00",25TH QUARTERS,Final
Illinois State,Mississippi,8,10,"03/05/2017, 09:00",25TH QUARTERS,Final
Wisconsin-Eau Claire,Kansas State,8,9,"03/05/2017, 09:00",25TH QUARTERS,Final
bracket,27TH PLACE
Minnesota-Duluth,Kansas State,9,10,"03/05/2017, 15:00",27TH,Final
bracket,29TH PLACE
Wisconsin (B),Wisconsin-Eau Claire,1,0,"03/05/2017, 15:00",29TH,Final
Wisconsin (B),Grinnell (B),10,7,"03/05/2017, 13:00",29TH SEMIS,Final
Illinois State,Wisconsin-Eau Claire,0,1,"03/05/2017, 13:00",29TH SEMIS,Final
bracket,31ST PLACE
Grinnell (B),Illinois State,1,0,"03/05/2017, 15:00",31ST,Final
bracket,33RD PLACE
Drake,Oklahoma,1,0,"03/05/2017, 22:00",33RD,Final
Missouri,Drake,9,10,"03/05/2017, 18:00",33RD SEMIS,Final
Washington University (B),Oklahoma,6,11,"03/05/2017, 18:00",33RD SEMIS,Final
Marquette,Missouri,7,8,"03/05/2017, 09:00",33RD QUARTERS,Final
Northwestern (B),Drake,5,9,"03/05/2017, 16:00",33RD QUARTERS,Final
North Park,Washington University (B),10,11,"03/05/2017, 16:00",33RD QUARTERS,Final
Oklahoma,Kansas (B),10,8,"03/05/2017, 09:00",33RD QUARTERS,Final
bracket,35TH PLACE
Washington University (B),Missouri,15,6,"03/05/2017, 22:00",35TH,Final
bracket,37TH PLACE
Northwestern (B),North Park,0,1,"03/05/2017, 15:00",37TH,Final
Marquette,Northwestern (B),8,9,"03/05/2017, 13:00",37TH SEMIS,Final
North Park,Kansas (B),11,9,"03/05/2017, 13:00",37TH SEMIS,Final
bracket,39TH PLACE
Kansas (B),Marquette,1,0,"03/05/2017, 15:00",39TH,Final
b,r,e,a,k
brackets,EXTRA GAME
bracket,EXTRA GAME
Wisconsin-Eau Claire,Washington University (B),7,2,"03/05/2017, 20:00",EXTRA GAME,Final
b,r,e,a,k
