Ski Town Classic 2017,Club - Mixed ,19,8,2017
Salt Lake City,UT,2017-08-19,2017-08-20
https://play.usaultimate.org/events/Ski-Town-Classic-2017/schedule/Mixed/Club-Mixed
Bozos,4
5,Alexandra Taipale
8,Jiyeon Choi
10,Nick James
11,Mara Saltzman
14,Alyssa Sayavedra
15,Adah Shih
16,Zach Sabin
17,Tyana Ruiz
24,Andrew Riggs
32,Christy Cheung
33,Brian Roach
34,Ben Weintraub
35,Joseph Schindler
48,Piotr Behr
52,Megan  Stock
73,Sarah Pihl
77,Sheneth Bell
99,Samuel Dreiman
b,r,e,a,k
7 Figures,2
teamInfo,,"Los Angeles, California",http://7figuresultimate.com/,https://www.facebook.com/7figuresultimate/,https://twitter.com/la7figures
1,Peter Zhou
2,Daniel Oettinger
4,Wyatt Paul
5,Joseph Forbes
6,Peter Osseward
8,Alistair McIntyre
10,Emma Frankel
11,Aaron Jacobs
11,Julia Salvacion
12,Amy Halvorsen
14,Lu Wang
14,Mei Bruist
15,KATHRYN FOWLER
16,Rachel Chang
17,Sheila Robles
19,Garrett Yung
22,Christopher Feeney
29,Sam Cook
33,Adam Bronstein
45,Michael Sylvester
47,Dena Elimelech
50,Peter Van Pelt
64,Nathan Warden
66,Joy Kang
88,Alisha Stoun
b,r,e,a,k
BoyShe,3
teamInfo,,"Boise, Idaho",,,
0,Kyle Oldemeyer
1,Chase Mahan
2,Justin Solace
3,Amy Norris
4,MAIA PINSKY
6,Ryan Van Hook
8,Levi Archuleta
9,Thayne Casper
10,Anthony Gossard
11,Brittany Ward
12,Suzie Walter
14,Camron Newton
14,Alex Hardesty
15,Andrew Jacobs
21,Kelsey Breen
24,Sarah Staller
26,Andrea Kuenzli
28,Daniel White
29,Jack Kingsley
30,Vespera Aragon
34,Reid Spain-Strombom
36,Kevin Farrell
38,Cori Bigham
77,Amanda Porter
91,Alex Ho
b,r,e,a,k
BW Ultimate,6
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Benjamin Petroski
0,Benjamin Levinsky
0,Cooper Joy
0,Emily McCarter
0,Hidemasa Kato
0,Jake Tozer
0,Jeff Roeder
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Stephane Carlisle
0,Veronica Chan
5,Radhika Bhargav
7,Michelle Slaughter
13,Chris Farina
16,John Dugan
17,Nicholas Raisch
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
Mesteño,7
teamInfo,,"Denver, Colorado",,https://www.facebook.com/mestenoultimate,
0,Chris Van Thiel
0,Danielle Swales
0,Hannah Zax
0,John Marcy
0,Jose Maldonado
0,Maria Schwab
0,Moriah LaRocque
0,Nate Hopp
0,RACHEL SEWELL
0,Ryan Meinkoth
0,Kelly Moses
0,Kristen Dietrick
0,Scott Harper
0,Steven Stanish
0,Tessa Walter
5,Stephen Lin
7,Katherine England
7,Chris O'Connell
8,Lauren Foster
9,Jamian Jacobs
12,DAVID MARES
15,Sarah Toth
15,Zachary Radcliff
22,Iris Ng
37,Ryan Hummel
99,Scott Salvati
b,r,e,a,k
Cutthroat,12
teamInfo,,"Reno, Nevada",,,https://twitter.com/cutthroatulti
0,Becca Reighard
0,Brenna Claus
0,Neicy Sandelin
1,Daniel Ortiz
2,R. Miguel Gonzales
2,Tessa Behnke
3,Logan Greenwood
4,Pete Marshall
5,Gabriel Somoza
7,Warren Kinson
9,Thomas Fiock
10,Ryley Hill
13,Brent Moore
14,Robert Eardley
17,Trevor Colton
18,Andrew Raynor
20,Sage Kruleski
21,Kathleen Mills
22,Josh Krieger
27,Morgan Greenwood
34,Monica Arienzo
35,Raymond Lopez
45,Michael Colton
65,Eric Rosenfeld
71,Ryan Polka
b,r,e,a,k
AC Bandits,13
teamInfo,,"Oakland, California",,https://www.facebook.com/acbandits/,
0,Aman Ahuja
0,Christina Casler
0,DANIELLE LANDREIN
0,David Hammer
0,Adam Kafka
0,Alexis Whitaker
0,Gabrielle Santa-Donato
0,George Voellinger
0,Jenny Wang
0,Jeremy Shiman
0,Joseph Norat
0,Karina Chan
0,Laurel Estes
0,Peter Nachbaur
0,Saadia Massarano
1,Erin Voellinger
2,Diana Zhang
7,Jonathan Goldsmith
7,Samuel Miles
8,Reilly Brock
9,Tiffany Bucher
13,Jason Estrada
30,Aaron Gemmell
37,Seamus Burpee
81,J Tyler Walker
82,Malcolm Deck
84,Alison Haddad
b,r,e,a,k
Instant Karma,9
teamInfo,,"Tucson, Arizona",,,
coaches,Juan Castro,Joseph Wu
0,David Ball
0,Holt Newton
0,Jordan Harn
0,Joseph Wu
0,Juan Castro
0,Laura Morehouse
0,Lauren Pisani
0,Madeline Maller
0,Nicholas Arnaud
0,James Threadgill
0,JAMIE ROWAN
0,Timothy Wood
0,Trevor Smith
2,Colleen Nakanishi
3,James Weinstein
9,Annie Wilson
10,Caroline Riley Winters
10,Christopher Metz
11,Scott Olmstead
17,Eric Eia
21,Brendon Hudnell
60,Joe Sobansky
80,Ken Calello
b,r,e,a,k
Utah Swarm Mixed + friends,16
teamInfo,,"Salt Lake City, Utah",,modules/common/www.facebook.com/groups/863944140373386/,@utahswarm
coaches,Sean Graff
00,Anthony Mounga
00,Campbell Beals
00,Chloe Quinn
00,Cole Stenseth
00,Ed Ryon
00,Hannah Slind
00,Henry Nguyen
00,Ivan Perez
00,Jess Olsen
00,Jonathon Vizmeg
00,Kayla Nunez
00,Kenneth Jackson
00,Liz Bunderson
00,Lydia Bunderson
00,Madeline Vandel
00,Megan Martin
00,Mitchell Peterson
00,Olivia Munns
00,Oscar Graff
00,Ryan Bills
00,Ryan Shin
00,Ryan Beck
00,Sadie Flanary
00,Scott Grimm
00,Sebastian Serbinowski
10,Wilhelmina Graff
b,r,e,a,k
Alchemy,10
teamInfo,,"San Francisco, California",,https://www.facebook.com/alchemyultimate,
0,Kate Wagner
00,Rebecca Plotnick
00,Samuel Trachtman
00,Nami Sumida
00,NATHAN HALL
00,Charlie Capron
00,Jenna Krugler
06,Kristina Geddert
07,Emily Paris
09,Eric Shaw
11,Claire Leichter
13,Brett Naul
15,Jordan Richmond
16,Thomas Konogeris
20,Eric Hartge
21,Jesse White
26,Daniel Keller
27,CHASE BOWMAN
32,Joshuah Kapilivsky
33,Cathleen Hartge
34,Alex Albright
44,Alexander Lloyd-Evans
54,Nick Riker
64,Chloe Carothers-Liske
80,Nick Petru
99,Amanda Karakoudas
b,r,e,a,k
Mental Toss Flycoons,11
teamInfo,,"Missoula, Montana",,,@flycoons
3,Casey Brandon
4,Natalie Hamel
5,Olivia DeJohn
13,Madison Whiteman
15,Linette Maeder
16,SARAH VUKELICH
18,Caleb Stanek
19,Jesse Hannifin
20,Tyler Pike
21,Shelbie White
22,Sinéad Dunne
24,Emma Flynn
25,Mary Stewart
31,Andrew Valainis
36,Matteo Bjornsson
50,Katie Conrad
81,Ty Lynch
91,Andrew  Mozzer
b,r,e,a,k
Sweet Action,14
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SweetActionUltimate,
0,Alexandra Seglias
0,Emily Day
0,Ian Whitman
0,Christopher Drew
0,Patrick Ellsworth
0,Rachael Reddin
0,Rob Johnson
1,Andrew Muller
2,Dan  McCune
6,Nathan Baker
10,Jake Koplen
13,Adriana Prieto
14,Matt Slowinski
20,Matt Cornish
21,Bradley Cochi
21,Connor Otheim
24,Kevin Hamilton
26,Cecily Leahy
33,Lauren Picard
37,Laurel Baker
47,Tyler Hanna
53,Sarah Nurmi
b,r,e,a,k
Mimosas,15
teamInfo,,"Berkeley, California",,https://www.facebook.com/pg/Mimosasultimate/,
0,Angus Kitchell
0,Anusha Nagabandi
0,Sky Poindexter
0,Emily Cummins
0,Lisa Hyndman
0,Michael Rowland
0,Rachel Eierman
0,Ian Brown
0,Rita Wang
0,Tristan You
1,James Yang
3,Kyra Pesso
8,Anton William Cwik
11,Cynthia Yee
17,Alison Mathews
24,Eric Hytönen
29,Andre Mansour
47,Rafael Castro
66,Stephen Cockerill
69,Jaskaran Singh
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Power Pool A
Bozos,Classy,8,9,"08/19/2017, 09:00",Power Pool A,Final
Birdfruit,Classy,11,9,"08/19/2017, 10:45",Power Pool A,Final
Bozos,Argo,13,6,"08/19/2017, 10:45",Power Pool A,Final
Birdfruit,Argo,11,7,"08/19/2017, 12:30",Power Pool A,Final
Birdfruit,Bozos,6,12,"08/19/2017, 14:15",Power Pool A,Final
Classy,Argo,9,8,"08/19/2017, 14:15",Power Pool A,Final
pool,Power Pool B
BoyShe,BW Ultimate,11,9,"08/19/2017, 09:00",Power Pool B,Final
7 Figures,Mesteño,13,7,"08/19/2017, 10:45",Power Pool B,Final
7 Figures,BW Ultimate,11,8,"08/19/2017, 12:30",Power Pool B,Final
BoyShe,Mesteño,13,8,"08/19/2017, 12:30",Power Pool B,Final
7 Figures,BoyShe,12,11,"08/19/2017, 14:15",Power Pool B,Final
BW Ultimate,Mesteño,10,5,"08/19/2017, 14:15",Power Pool B,Final
pool,Pool C
Instant Karma,AC Bandits,9,11,"08/19/2017, 09:00",Pool C,Final
Cutthroat,Utah Swarm Mixed + friends,13,6,"08/19/2017, 09:00",Pool C,Final
Instant Karma,Cutthroat,11,12,"08/19/2017, 10:45",Pool C,Final
AC Bandits,Utah Swarm Mixed + friends,9,6,"08/19/2017, 10:45",Pool C,Final
Instant Karma,Utah Swarm Mixed + friends,11,5,"08/19/2017, 12:30",Pool C,Final
Cutthroat,AC Bandits,12,6,"08/19/2017, 14:15",Pool C,Final
pool,Pool D
Alchemy,Mental Toss Flycoons,13,9,"08/19/2017, 09:00",Pool D,Final
Sweet Action,Mimosas,11,5,"08/19/2017, 09:00",Pool D,Final
Alchemy,Sweet Action,11,9,"08/19/2017, 10:45",Pool D,Final
Alchemy,Mimosas,10,8,"08/19/2017, 12:30",Pool D,Final
Mental Toss Flycoons,Sweet Action,11,10,"08/19/2017, 12:30",Pool D,Final
Mental Toss Flycoons,Mimosas,12,6,"08/19/2017, 14:15",Pool D,Final
b,r,e,a,k
pools,Round robin
pool,Pool E
Utah Swarm Mixed + friends,Sweet Action,5,13,"08/19/2017, 16:00",Pool E,Final
Instant Karma,Mimosas,13,7,"08/19/2017, 16:00",Pool E,Final
Utah Swarm Mixed + friends,Mimosas,8,11,"08/20/2017, 09:00",Pool E,Final
Instant Karma,Sweet Action,13,11,"08/20/2017, 09:00",Pool E,Final
Instant Karma,Utah Swarm Mixed + friends,13,3,"08/20/2017, 10:45",Pool E,Final
Sweet Action,Mimosas,12,7,"08/20/2017, 10:45",Pool E,Final
b,r,e,a,k
brackets,Sunday Championship Bracket
bracket,Sunday Championship Bracket
Bozos,7 Figures,9,10,"08/19/2017, 12:30",1st place,Final
Bozos,Birdfruit,11,9,"08/19/2017, 10:45",Semi Finals,Final
BW Ultimate,7 Figures,8,12,"08/19/2017, 10:45",Semi Finals,Final
Bozos,Mesteño,11,5,"08/19/2017, 09:00",Quarter Finals,Final
BoyShe,Birdfruit,8,10,"08/20/2017, 09:00",Quarter Finals,Final
Classy,BW Ultimate,7,11,"08/20/2017, 09:00",Quarter Finals,Final
7 Figures,Alchemy,13,9,"08/20/2017, 09:00",Quarter Finals,Final
Mesteño,Cutthroat,13,4,"08/19/2017, 16:00",Pre-Quarters,Final
Birdfruit,Mental Toss Flycoons,11,5,"08/19/2017, 16:00",Pre-Quarters,Final
BW Ultimate,AC Bandits,13,2,"08/19/2017, 16:00",Pre-Quarters,Final
Argo,Alchemy,9,11,"08/19/2017, 16:00",Pre-Quarters,Final
bracket,3rd Place Bracket
Birdfruit,BW Ultimate,10,7,"08/20/2017, 12:30",3rd Place,Final
bracket,9th Place Bracket
Cutthroat,Argo,13,7,"08/20/2017, 12:30",9th Place,Final
Cutthroat,Mental Toss Flycoons,12,11,"08/20/2017, 22:45",9th Qualifier,Final
Argo,AC Bandits,13,9,"08/20/2017, 10:45",9th Qualifier,Final
bracket,11th Place Bracket
Mental Toss Flycoons,AC Bandits,7,10,"08/20/2017, 12:30",11th Place,Final
bracket,5th Place Bracket
Alchemy,BoyShe,7,11,"08/20/2017, 12:30",5th Place,Final
Mesteño,Alchemy,10,11,"08/20/2017, 10:45",5th Qualifier,Final
BoyShe,Classy,13,8,"08/20/2017, 12:30",5th Qualifier,Final
bracket,7th Place Bracket
Mesteño,Classy,8,10,"08/20/2017, 12:30",7th Place,Final
b,r,e,a,k
