Southeast Men's Regional Championship 2017,Club - Men ,23,9,2017
https://play.usaultimate.org/events/Southeast-Mens-Regionals-2017/schedule/Men/Club-Men/
Ring of Fire,1
55,Blake Hannah
81,Joseph Burns
85,Evan Boecking
87,Trenton Spinks
b,r,e,a,k
Turbine,6
0,Alex Grande
0,Clayton Carey
0,Jacob McGoogan
0,Jericho Barbour
0,Michael Avila
0,Timothy Glover
2,Charlie Muniz
4,Spencer Olmsted
6,Vikas Vannappagari
8,Matthew Rushing
9,Sean Stasiak
11,Player Pierce
12,Jeff Wiltgen
13,CJ Colicchio
14,Tanner Barcus
17,Schuyler Kylstra
17,Nicholas Redmond
21,Cam Bellando
22,taylor minch
24,Christian Forde
33,Jesse Lieberman
34,Davis Mossman
42,Jonathan Callahan
71,Clint McSherry
72,Benjamin Landry
80,Benj Thomsen
81,Michael Ball
b,r,e,a,k
Rougaroux,13
0,BRANDON XUEREB
0,Logan Kruger
0,Mac Little
0,Parker Evans
0,Thomas Echols
0,William Wedderburn
1,Philip Lopez
3,Preston Nelson
5,Dylan Reviere
8,Peter Warwick
8,Troy Nunez Jr
9,Kenny Hingle
10,Jack Baba
13,M.P. Hayes
18,William Steindorf
20,Matt Freeburgh
21,Eric Reviere
23,Shamit Dua
38,Andrew Dreis
43,Adam  Sellers
44,Benjamin Lamport
77,Kenny Berthelot
88,Xin Shu
b,r,e,a,k
Memphis Belle,12
00,Matt Bledsoe
00,Riley Pope
02,Bradley Kennedy
03,Justin Hill
05,Jesse Dahms
07,Andy Ballard
09,Josh Moore
10,Shannon Allen
11,Jon Thomas Williams
12,John (Jack) Dowling
13,Stephen Tankersley
14,Philip Throckmorton
16,Edward Ramsey
17,Connor Bailey
18,Adam Kiser
19,Jacob Loschinskey
20,Sam Wilson
21,John Laubscher
23,Samuel Peter
26,CHRISTOPHER MOYER
27,Garrett Wilson
28,Thomas Duke
33,Brantley Davidson
35,Ryan Moran
36,Joseph Branson
77,Jeff Williams
91,David Hilgeman
96,Daniel Gallagher
b,r,e,a,k
Freaks,4
0,Ethan Benesh
0,James Russnogle
0,Jason Cunningham
0,Mitchell Corder
0,Robert Alongi
0,Tannon Hedges
0,Todd Dutton
1,Zack Avello
2,Grant Waldron
4,Blake Waldron
5,Chase Hammond
5,Mark Sandefur
5,Timothy Barczak
6,Brett Hulsmeyer
9,Javier Ortiz
10,Yusuf Abdullah
11,Elijah Jaime
12,Jackson Crouch
17,Nick Peppers
18,Yanni Killebrew
19,Matthew Radcliffe
34,Isaiah Radcliffe
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
96,Mark Ullom
b,r,e,a,k
Cash Crop,5
0,Conor Chickos
02,Johnnie Lynch
05,Danny Schmitt
07,Jesse Kovacs
08,Jake Taylor
09,Jacob Mouw
10,Taek Lee
11,Elijah Long
12,Liam Searles-Bohs
13,Andrew Cohen
14,Kiron Allen
15,Vikram Sethuraman
16,Anders Juengst
18,David Jones
20,Spencer Beck
22,Nick MacLeod
24,Alexander Davis
26,Andrew Mouw
42,Alex (Evan) Grosskurth
43,Marcus Rovner
50,Thomas Williams
76,Chathan Driehuys
80,Stephen Poulos
81,Rhys Gretsch
97,Kai Marcus
99,Aaron Coble
b,r,e,a,k
Rush Hour,11
0,Andrew Harkins
0,Chunghyun Kim
0,Kevin DeMarco
0,Kiran Potula
1,DANIEL  PRICE
3,Andrew Benton
3,John Boezi
4,Aaron Claytor
5,Thomas Rink
7,Zaki Durry
11,Jackson McHugh
12,Andrew Chung
13,David Egbert
15,Blake Michal
15,Richard Bragg
18,Zachary Hollis
19,Sean Finlay
25,Morgan choi
27,RYAN CROSS
27,Lucas Maurer
44,Michael Tillotson
44,WILLIAM GRESCH
50,Howard Tong
70,Robert Patten
77,Daniel Gempesaw
82,Michael Price
99,WILLIAM NALLEY
b,r,e,a,k
Chattanooga Gentlemen's Club,14
0,Aaron Hazen
0,Alan Baird
0,Brian Newsom
0,Cameron Snook
0,Clay Thomas
0,Cody Havens
0,Craig Wong
0,DANIEL EHRIG
0,GEORGE STANFORD
0,Jared Trevor
0,Jason Raymond
0,Nicholas Whiteaker
0,Roger King
0,Warren Tefft
1,Brian Vilayphanh
5,Jason Cass
5,Neil Place
12,Bryan Sansbury
13,Andrew Mauroner
19,Torre Hargett
20,Peter Vongsayarath
23,Matthew Smith
28,Nicholas Baldwin
30,Matthew Miller
32,Mathew Taylor
64,Bryan Sandidge
71,Corey Foster
b,r,e,a,k
Florida United,2
2,Jeremy Langdon
3,James Dahl
4,Bradley Seuntjens
5,Michael Fairley
6,Michael Fioramonti
6,Tyler Kunsa
7,Ryan Hiser
7,Nathan Vickroy
9,Bobby Ley
10,Andrew Roney
11,Mischa Freystaetter
12,Travis Catron
13,Alton Gaines
14,Cole Sullivan
15,Dustin Travaglini
18,Chris LaRocque
23,Billy O'Bryan
27,Connor Holcombe
28,Josh McKisic
30,Chris Gibson
32,Brian Casey
33,Mark Lin
37,Peter van de Burgt
39,Jordan Huston
52,Stephen  Muir
75,Ryan Chard
89,Cardinal Clarke
b,r,e,a,k
Bullet,9
0,Andrew Francis
0,Blaine Brown
0,Cole Flournoy
0,Dylan Whalen
0,Ian Agnew
0,James ONeal (Neal) Hollis
0,Michael Bartell
0,Mike McGinnis
0,Norman Cherry
0,Sam Diffin
0,Samuel Trent
0,Scott Main
0,William Lindquist
3,Henry Laseter
7,Fernando Ortiz
9,Madison Head
10,Kellen Gray
10,Adam Burgess
13,Ryan Murphy
14,Charles Loudermilk
18,Charles Robertson
25,Robert Hunt
29,Matthew Caldwell
48,Andrew Fortier
50,Ross Barnes
b,r,e,a,k
Lost Boys,7
0,Aaron Zimbelman
0,Alexander Cartledge
0,Andrew Perham
0,Brett Egger
0,John Bonas
0,Marshall Walker
0,Zach Mills
3,Adam Bailey
4,Joshua Wilson
7,William Carmichael
8,Lucas Denson
9,Thomas Loar
10,WOODY PASCHAL
11,Joel Wooten
15,Hunter Hamvas
17,Christopher Church
20,Chuck Turner
20,Robert Perry
21,Andrew Brownlow
23,Bryan Kohut
24,Robert Huffman
26,Christian Gaeta
33,Devon Rogers
43,Robert Locke
67,Devin Waldrop
91,Kenneth Peters
98,Lucas Tarnowski
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ring of Fire,Omen,13,4,"09/23/2017, 08:40",Pool A
Ironmen,War Machine,13,3,"09/23/2017, 08:40",Pool A
Ring of Fire,War Machine,13,2,"09/23/2017, 12:40",Pool A
Ironmen,Omen,13,10,"09/23/2017, 12:40",Pool A
Omen,War Machine,7,13,"09/23/2017, 14:40",Pool A
Ring of Fire,Ironmen,13,4,"09/23/2017, 14:40",Pool A
pool,Pool C
Chain Lightning,Memphis Belle,13,6,"09/23/2017, 08:40",Pool C
Turbine,Rougaroux,13,12,"09/23/2017, 08:40",Pool C
Chain Lightning,Rougaroux,13,4,"09/23/2017, 10:40",Pool C
Turbine,Memphis Belle,13,8,"09/23/2017, 10:40",Pool C
Chain Lightning,Turbine,13,10,"09/23/2017, 14:40",Pool C
Memphis Belle,Rougaroux,14,15,"09/23/2017, 14:40",Pool C
pool,Pool D
Freaks,Rush Hour,13,6,"09/23/2017, 08:40",Pool D
Cash Crop,Chattanooga Gentlemen's Club,13,8,"09/23/2017, 08:40",Pool D
Freaks,Chattanooga Gentlemen's Club,13,8,"09/23/2017, 12:40",Pool D
Cash Crop,Rush Hour,13,6,"09/23/2017, 12:40",Pool D
Freaks,Cash Crop,13,8,"09/23/2017, 14:40",Pool D
Rush Hour,Chattanooga Gentlemen's Club,13,10,"09/23/2017, 14:40",Pool D
pool,Pool B
Florida United,Bullet,17,9,"09/23/2017, 08:30",Pool B
Lost Boys,Bullet,13,14,"09/23/2017, 10:30",Pool B
Florida United,Lost Boys,17,10,"09/23/2017, 14:30",Pool B
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Ring of Fire,Florida United,12,10,"09/24/2017, 11:40",1st Place Finals
Ring of Fire,Freaks,15,11,"09/23/2017, 16:30",1st Place Semis
Chain Lightning,Florida United,15,16,"09/23/2017, 16:30",1st Place Semis
bracket,2nd Place Bracket
Florida United,Chain Lightning,15,10,"09/24/2017, 13:30",2nd Place Finals
Turbine,Chain Lightning,8,15,"09/24/2017, 11:40",2nd Place Semis
Freaks,Turbine,12,13,"09/24/2017, 09:50",2nd Place Quarters
Cash Crop,Chain Lightning,12,14,"09/24/2017, 09:50",2nd Place Quarters
Turbine,Bullet,15,9,"09/24/2017, 08:00",2nd Place Prequarters
Ironmen,Cash Crop,11,15,"09/24/2017, 08:00",2nd Place Prequarters
Turbine,Rush Hour,15,8,"09/23/2017, 16:30",2nd Place Play In
War Machine,Bullet,1,15,"09/23/2017, 16:30",2nd Place Play In
Ironmen,Lost Boys,15,13,"09/23/2017, 16:30",2nd Place Play In
Rougaroux,Cash Crop,6,15,"09/23/2017, 16:30",2nd Place Play In
bracket,7th Place
Bullet,Ironmen,0,0,"09/24/2017, 09:50",7th Place
bracket,9th Place Bracket
Rush Hour,Lost Boys,9,13,"09/24/2017, 11:40",9th Place Finals
Rush Hour,War Machine,15,6,"09/24/2017, 08:00",9th Place Semis
Lost Boys,Rougaroux,14,10,"09/24/2017, 08:00",9th Place Semis
bracket,11th Place
War Machine,Rougaroux,7,11,"09/24/2017, 11:40",11th Place
b,r,e,a,k
pools,13th Round Robin
pool,13th Round Robin Pool
Omen,Memphis Belle,11,13,"09/24/2017, 09:50",13th Round Robin Pool
Memphis Belle,Chattanooga Gentlemen's Club,9,5,"09/24/2017, 11:40",13th Round Robin Pool
Omen,Chattanooga Gentlemen's Club,0,15,"09/24/2017, 13:30",13th Round Robin Pool
b,r,e,a,k
