Texas Two Finger 2017,Club - Mixed ,25,6,2017
Richardson,TX,2017-06-24,2017-06-25
https://play.usaultimate.org/events/Texas-Two-Finger-2017/schedule/Mixed/Club-Mixed
Public Enemy,1
26,Hannah Burkett
27,Corbin Vann
32,Drew Starkey
36,Jason Ketchum
37,Andrew Lackey
41,BRENT ROBERTS
45,Tyler Tiger
51,John Athens
88,Julian Morgan
b,r,e,a,k
Tex Mix,11
0,JOSHUA PIROG
1,Kayleigh Renfro
2,Neil Campbell
3,David Santillan
5,Morgan Heim
6,Elisabeth Shelby
7,Abbey Hewitt
04,Clayton Moore
10,Daniel Naylor
12,Greg Hulet
13,Tyler Glass
15,Jenna Hay
16,Greg Mcclure
21,John Grzywinski
23,Andrew Maloney
24,Anna Highsmith
25,MARISSA JAQUEZ
29,David Moen
31,Christen McClure
32,Austin Highsmith
41,James Robarge
44,Robert Rader
45,Zack Moncrief
77,GOUTHAM KANDRU
88,Daniel Figueroa
99,Rebecca Case
b,r,e,a,k
Wildstyle,9
0,Allison Wassel
0,Amberly Malone
0,Annalise Heuser
0,Austin McDaniel
0,Chago Espinosa
0,Eva Oleksy
0,Gregory Dono
0,Hannah DeVault
0,JUSTIN GLINES
0,KYLE DETRING
0,Mario Escobar
0,Nina Fogel
0,Stacey Nava
0,Steven Del Castillo
2,Thomas Rapp
5,MATT NAYLOR
8,Trey Taliaferro
17,Gregory Militello
20,Travis Cloud
24,CHRISTINA CHAVIERS
47,Chris Mihalyi
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
rubber duck ultimate.,10
0,ALLEGRA HANSON
0,anna tovar
0,Kelsey Maynard
0,Lizzie Cagle
0,Samuel Franklin
0,William Axtell
1,Elise Franke
3,Curtis Asher
4,Brian Trussell
6,William Sharp
11,Drew Hutchison
21,Mary Gentry
22,Barry Hart
23,Matthew Gentry
b,r,e,a,k
Impact,14
0,ERIK SHOOK
9,Kathryn Broadley
03,Jacob Pfeifer
06,Alyssa Whalen
07,Malachi Lingg
10,Rachel Deeds
11,Elliot Boutin
12,Lydia King
13,Angela Reimer
14,Kiana Broadley
15,SAMUEL CHEYNEY
17,Jordan Ast
18,Andrew Howell
21,BJ Smith
22,Isaac Blick
29,Jordan Becquer
31,Grant Schneider
37,Jake Reimer
39,Makayla Ladwig
46,Jonathan Lawrence
86,Emily Beeson
b,r,e,a,k
Blitzkrieg,15
00,Meeli Patel
03,Lizzie Stierwalt
04,Julie Turner
05,Frank Storms
06,Andrew Bessin
07,Kardal Hart
09,Stephen Treanor
10,Angelica Chuon
11,Ben Stringer
12,Briana Talasko
13,Kyle Kotzman
14,KATIE BEY
16,Tommy Gebhardt
16,Latrice Fletcher
17,Brody Johnson
27,Cameron Leonard
32,Beth Krehbiel
33,Katelyn Patterson
35,LAURA ISMERT
49,Heather Fielding Gebhardt
56,Alan O'Brien
58,TIM LANDSTRA
89,David Stierwalt
99,Galen Spong
b,r,e,a,k
Mixed on the Rock,13
0,Alan Nguyen
0,ANNEMARIE BECK
0,Bill Hasik
0,Dustin Leigh
0,Ernest Perez
0,Frank Macon
0,Joe Sundell
0,Christopher Robinson
0,Marine Pennequin
0,Nicholas Meehan
0,Victoria Wynne
8,Shelby Petty
13,Kacy Long
14,Camaron Phillips
19,Zac Petty
22,John Wynne
24,Braxton Furlong
26,Corey Vera
69,LAKE HOLLOWELL
96,Nicholas Hamblen
b,r,e,a,k
Mud Turtles,16
0,Bernard Barcio
0,Alix Pivetta
0,Evelyn Kue
0,Jessica Rhodes
0,Johnathan Tran
1,Michael Conlin
2,Amanda Postolowski
7,Michael Woodbeck
05,Michael Arnold
08,Jessica Rodriguez
16,Andrew Robbins
17,Chris McClean
17,Madison Broddle
27,Luke Obregon
29,Kevin Valenti
63,Christopher Fisher
69,Clay Waldrop
b,r,e,a,k
s,t,a,g,e,s
pools,Sunday Play
pool,Shawnee Trail Sports
Public Enemy,Sellout,13,8,"06/25/2017, 08:30",Shawnee Trail Sports,Final
Cosa Nostra,Superstition,13,3,"06/25/2017, 08:30",Shawnee Trail Sports,Final
Public Enemy,Superstition,13,2,"06/25/2017, 10:00",Shawnee Trail Sports,Final
Cosa Nostra,Sellout,10,11,"06/25/2017, 10:00",Shawnee Trail Sports,Final
Public Enemy,Cosa Nostra,13,4,"06/25/2017, 11:30",Shawnee Trail Sports,Final
Sellout,Superstition,13,3,"06/25/2017, 11:30",Shawnee Trail Sports,Final
pool,James Martin
Freetail,Risky Business,10,12,"06/25/2017, 08:30",James Martin,Final
Moontower,tHUMP,7,13,"06/25/2017, 08:30",James Martin,Final
Freetail,tHUMP,9,8,"06/25/2017, 10:00",James Martin,Final
Moontower,Risky Business,10,12,"06/25/2017, 10:00",James Martin,Final
Freetail,Moontower,11,10,"06/25/2017, 11:30",James Martin,Final
Risky Business,tHUMP,9,11,"06/25/2017, 11:30",James Martin,Final
pool,White Rock Park
Wildstyle,Tex Mix,3,13,"06/25/2017, 08:30",White Rock Park,Final
rubber duck ultimate.,Boomtown,11,12,"06/25/2017, 08:30",White Rock Park,Final
Wildstyle,Boomtown,8,13,"06/25/2017, 10:00",White Rock Park,Final
rubber duck ultimate.,Tex Mix,7,11,"06/25/2017, 10:00",White Rock Park,Final
Wildstyle,rubber duck ultimate.,10,9,"06/25/2017, 11:30",White Rock Park,Final
Tex Mix,Boomtown,8,9,"06/25/2017, 11:30",White Rock Park,Final
pool,Lake Dallas 
Mixed on the Rock,Blitzkrieg,2,13,"06/25/2017, 08:30",Lake Dallas ,Final
Impact,Mud Turtles,13,6,"06/25/2017, 08:30",Lake Dallas ,Final
Mixed on the Rock,Mud Turtles,8,7,"06/25/2017, 10:00",Lake Dallas ,Final
Impact,Blitzkrieg,13,10,"06/25/2017, 10:00",Lake Dallas ,Final
Mixed on the Rock,Impact,7,10,"06/25/2017, 11:30",Lake Dallas ,Final
Blitzkrieg,Mud Turtles,13,5,"06/25/2017, 11:30",Lake Dallas ,Final
b,r,e,a,k
