TCT Select Flight Invite 2017,Club - Mixed ,29,7,2017
Columbus,OH,2017-07-29,2017-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2017/schedule/Mixed/Club-Mixed
Wild Card,1
37,Ming Cheng Chew
54,Benjamin Longchamp
76,Erin Moravec
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Crash,16
teamInfo,,"Kitchener-Waterloo-Guelph, Ontario CA",http://crashultimate.ca,https://www.facebook.com/CrashUltimate,https://www.twitter.com/CrashUltimate
00,Brittany Edgett
00,Chris McKie
00,Katrina Parkinson
00,Thomas Jacob Redekopp
02,Daniel Balzerson
03,Andrew Savage
06,Donna Dupuis
08,Serena Jennings
09,Peter Mullen
10,Adam Lazenby
11,Thomas Flynn
12,Stephanie Hall
13,Neil Thomas
15,Jennifer Taves
19,Amanda Froese
20,Jeremie Raimbault
24,Megan Bailey
25,Amanda Raimbault
25,Cassie Wong
30,Emily Ritz
37,Dario Zgrablic
43,Brad Froese
54,Adam Van Ymeren
73,Audrey Fu
83,Laura Anne Tuck
85,PATRICK TUCK
93,Jamie Yeung
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wild Card,Chalice,12,5,"07/29/2017, 08:00",Pool A,Final
Charlotte Storm,Columbus Cocktails,12,13,"07/29/2017, 08:00",Pool A,Final
Wild Card,Columbus Cocktails,13,5,"07/29/2017, 12:00",Pool A,Final
Charlotte Storm,Chalice,13,4,"07/29/2017, 12:00",Pool A,Final
Wild Card,Charlotte Storm,13,5,"07/29/2017, 14:00",Pool A,Final
Chalice,Columbus Cocktails,5,13,"07/29/2017, 14:00",Pool A,Final
pool,Pool B
Bucket,BW Ultimate,9,5,"07/29/2017, 08:00",Pool B,Final
UNION,American Hyperbole,13,6,"07/29/2017, 08:00",Pool B,Final
Bucket,American Hyperbole,10,4,"07/29/2017, 10:00",Pool B,Final
UNION,BW Ultimate,7,9,"07/29/2017, 10:00",Pool B,Final
Bucket,UNION,11,10,"07/29/2017, 12:00",Pool B,Final
BW Ultimate,American Hyperbole,13,2,"07/29/2017, 12:00",Pool B,Final
pool,Pool C
Cosa Nostra,Bird,11,7,"07/29/2017, 10:00",Pool C,Final
Swing State,Tequila Mockingbird,11,7,"07/29/2017, 10:00",Pool C,Final
Cosa Nostra,Tequila Mockingbird,12,7,"07/29/2017, 12:00",Pool C,Final
Swing State,Bird,9,6,"07/29/2017, 12:00",Pool C,Final
Cosa Nostra,Swing State,10,13,"07/29/2017, 14:00",Pool C,Final
Bird,Tequila Mockingbird,6,13,"07/29/2017, 14:00",Pool C,Final
pool,Pool D
UPA,Minnesota Star Power,11,13,"07/29/2017, 08:00",Pool D,Final
Toro,Crash,11,6,"07/29/2017, 08:00",Pool D,Final
UPA,Crash,13,7,"07/29/2017, 10:00",Pool D,Final
Toro,Minnesota Star Power,13,7,"07/29/2017, 10:00",Pool D,Final
UPA,Toro,13,12,"07/29/2017, 14:00",Pool D,Final
Minnesota Star Power,Crash,13,9,"07/29/2017, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Wild Card,Bucket,13,6,"07/30/2017, 14:00",1st Place Finals,Final
Wild Card,Toro,13,11,"07/30/2017, 10:00",semifinals,Final
Swing State,Bucket,5,13,"07/30/2017, 10:00",semifinals,Final
Wild Card,Tequila Mockingbird,15,4,"07/30/2017, 08:00",Quarterfinals,Final
Cosa Nostra,Toro,12,13,"07/30/2017, 08:00",Quarterfinals,Final
Swing State,Charlotte Storm,13,12,"07/30/2017, 08:00",Quarterfinals,Final
Columbus Cocktails,Bucket,5,13,"07/30/2017, 08:00",Quarterfinals,Final
BW Ultimate,Tequila Mockingbird,8,10,"07/29/2017, 16:00",Pre-Quarters,Final
UNION,Cosa Nostra,11,12,"07/29/2017, 16:00",Pre-Quarters,Final
UPA,Charlotte Storm,9,13,"07/29/2017, 16:00",Pre-Quarters,Final
Minnesota Star Power,Columbus Cocktails,10,13,"07/29/2017, 16:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Games
bracket,3rd Place
Toro,Swing State,11,9,"07/30/2017, 12:00",3rd Place Finals,Final
bracket,5th Place 
Cosa Nostra,Charlotte Storm,10,13,"07/30/2017, 12:00",5th Place Finals,Final
Tequila Mockingbird,Cosa Nostra,12,13,"07/30/2017, 10:00",5th Place Semis,Final
Charlotte Storm,Columbus Cocktails,11,10,"07/30/2017, 10:00",5th Place Semis,Final
bracket,7th Place
Tequila Mockingbird,Columbus Cocktails,6,13,"07/30/2017, 12:00",7th Place Finals,Final
bracket,9th Place 
