2017 USA Ultimate Masters Championships,Grand Masters - Men ,21,7,2017
Aurora,CO,2017-07-21,2017-07-23
https://play.usaultimate.org/events/2017-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Johnny Walker,1
46,Chris Zimmerman
47,Phil Schniter
55,Robert Martin
56,Charlie  Capp
58,Jon Sauer
66,CHRIS VAUGHAN
76,RYAN LEARD
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Johnny Walker,GrandMaster Flash,15,4,"07/21/2017, 11:15",Pool A,Final
ShutDown,Old Growth (OG),15,9,"07/21/2017, 11:15",Pool A,Final
Johnny Walker,Old Growth (OG),15,2,"07/21/2017, 13:30",Pool A,Final
ShutDown,GrandMaster Flash,15,7,"07/21/2017, 13:30",Pool A,Final
Johnny Walker,ShutDown,8,5,"07/21/2017, 15:45",Pool A,Final
GrandMaster Flash,Old Growth (OG),9,7,"07/21/2017, 15:45",Pool A,Final
pool,Pool B
Surly,Old Man Winter,15,7,"07/21/2017, 11:15",Pool B,Final
Endless Sunset,Critical Mass,15,5,"07/21/2017, 11:15",Pool B,Final
Surly,Critical Mass,15,4,"07/21/2017, 13:30",Pool B,Final
Endless Sunset,Old Man Winter,10,14,"07/21/2017, 13:30",Pool B,Final
Surly,Endless Sunset,10,7,"07/21/2017, 15:45",Pool B,Final
Old Man Winter,Critical Mass,10,5,"07/21/2017, 15:45",Pool B,Final
pool,Pool C
No Country,Kalakala,15,11,"07/21/2017, 11:15",Pool C,Final
Hootenanny,Sick Hammers,15,9,"07/21/2017, 11:15",Pool C,Final
No Country,Sick Hammers,15,6,"07/21/2017, 13:30",Pool C,Final
Hootenanny,Kalakala,15,16,"07/21/2017, 13:30",Pool C,Final
No Country,Hootenanny,8,5,"07/21/2017, 15:45",Pool C,Final
Kalakala,Sick Hammers,8,7,"07/21/2017, 15:45",Pool C,Final
pool,Pool D
Reckon,Bighorn,15,12,"07/21/2017, 11:15",Pool D,Final
Shadows,projectile dysfunction team HELM,11,6,"07/21/2017, 11:15",Pool D,Final
Reckon,projectile dysfunction team HELM,15,6,"07/21/2017, 13:30",Pool D,Final
Shadows,Bighorn,15,11,"07/21/2017, 13:30",Pool D,Final
Reckon,Shadows,6,8,"07/21/2017, 15:45",Pool D,Final
Bighorn,projectile dysfunction team HELM,8,4,"07/21/2017, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Johnny Walker,Surly,12,15,"07/23/2017, 12:00",1st Place Final,Final
Johnny Walker,Shadows,13,11,"07/22/2017, 15:45",Semis,Final
No Country,Surly,9,15,"07/22/2017, 15:45",Semis,Final
Johnny Walker,Old Man Winter,15,5,"07/22/2017, 11:15",Quarters,Final
Shadows,Kalakala,15,9,"07/22/2017, 11:15",Quarters,Final
No Country,Reckon,15,12,"07/22/2017, 11:15",Quarters,Final
Surly,ShutDown,15,7,"07/22/2017, 11:15",Quarters,Final
Old Man Winter,Hootenanny,15,14,"07/22/2017, 09:00",Pre-Quarters,Final
Kalakala,Endless Sunset,13,11,"07/22/2017, 09:00",Pre-Quarters,Final
GrandMaster Flash,Reckon,9,15,"07/22/2017, 09:00",Pre-Quarters,Final
Bighorn,ShutDown,9,13,"07/22/2017, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place 
