TCT Elite-Select Challenge 2017,Club - Women ,19,8,2017
Appleton,WI,2017-08-19,2017-08-20
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2017/schedule/Women/Club-Women/
Wildfire,8
teamInfo,,"Durham, North Carolina",http://phoenixultimate.com,https://www.facebook.com/PhxUltimate,https://twitter.com/PhxUltimate
0,Becky Widmayer
0,Carmen Tormey
0,Georgia Tse
0,Lydia  Youngblood
0,Sydney Harris
1,Lindsay Soo
3,Lyra Olson
4,Lyla Stanland
5,Jessica Jones
5,Katie Cubrilovic
6,Qing (Jenny) Wei
9,Jinny Riedel
15,Ashley Powell
16,Briana Campbell
17,Jenna Dahl
21,Elisabeth Parker
21,Kyra Catabay
22,Anne Worth
27,Mary Rippe
33,Kumiko Fioramonti
55,Klara Calderon-Guthe
b,r,e,a,k
Outbreak,14
teamInfo,,"Atlanta, Georgia",https://www.facebook.com/ATLOutbreak,https://www.facebook.com/ATLOutbreak,@ATLOutbreak
coaches,Madeleine (Maddy) Frey
00,Katherine Jordak
01,Cat Prueitt
03,Brielle LeClear
05,Meredith Leahy
06,Jenny Choi
07,Sarah  Kingsley
08,Alison Stargel
09,Kristen Cawley
10,Alexandra Mooney
11,Lauren Lee
12,Dorsey Norwood
14,Sarah Nawrocki
15,Rachel Conway
16,Madeleine (Maddy) Frey
18,Almaze Lema
20,Mirenli Negron
21,Katherine Smith
32,Alli Manhard
37,Joanna Chen
56,Charlotte Cloyd
78,Bess Renjilian
b,r,e,a,k
Heist,3
teamInfo,,"Madison, Wisconsin",http://heistultimate.wordpress.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
8,Adrienne Wells
03,Sabrina Hoffman
04,Robyn Fennig
07,Austin Prucha
10,Alison Vandegrift
12,Jasmine Draper-Matthew
13,Brittney Kokinos
14,Rachel Enyeart
16,Margaret Walker
19,Georgia Bosscher
20,Lauren Perucco
22,Kayla Patterson
23,Anna Williams
24,Camila Flowerman
26,Emily Langland
27,Bryn Martyna
30,Jean Huang
35,Sarah Anciaux
37,Yuna Iwaoka
40,Amelia Cuarenta
41,Rebecca Roden
44,Hannah Frank
b,r,e,a,k
Pop,6
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/popultimate,https://twitter.com/PopUltimate
02,Stephanie Wood
03,Anna Reed
04,Emily Regan
05,Kalli Poletto
07,Frances Tsukano
08,Jenny Gaynor
09,Sara  Helm
10,Emma Peaslee
11,Rachel Gage
12,Rebecca Enders
14,Elyssa Yesnes
15,Katie Godfrey
18,Adrienne Baker
19,AJ Uthe
24,Holly Denecour
25,Courtney Kiesow
30,Louise Beck
32,Makella Daley
33,Kayla Blanek
40,Chip Chang
49,Rose Gruenhagen
53,Emma Piorier
55,Claire Thallon
77,Kristen Schultz
89,Rebekah Swanson
93,Biz Cook
97,Andrea Uhl
b,r,e,a,k
BENT,10
teamInfo,,"New York, New York",http://bentultimate.weebly.com,https://www.facebook.com/bentultimate,https://www.twitter.com/BentUltimateNYC
2,Brittany Kaplan
3,Terra Hittson
4,Alexandra Harris
7,Luisa Maria Neves
8,Whitney Viets
9,Sherry Li
13,Rebecca Tucker
17,Kristie Kelly
18,Abagael Cheng
19,Megan Randall
20,Martha Gregory
22,Anna Membrino
23,Alicia Monfre
27,Akina Younge
28,Kylie Sale
32,Allison Kahn
33,Amy Elizabeth Leder
40,Claire Milton
44,Ruthie Tabatchnick
71,Julie Sussman
72,TASHA ARVANITIS
77,Aideen Costello
82,Sophia Hulbert
83,Jessica Whelan
88,Nastasia Tangherlini
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Phoenix Uprising,15
teamInfo,,"Phoenix, Arizona",,https://www.facebook.com/PhxUprising/,https://twitter.com/PHX_Uprising%20
0,danielle marshall
0,Darrien Dorr
0,Jennifer Loder
0,Amy Schimschock
0,Laura Kuhse
0,Rachael Preschler
0,Shay Carter
7,Cynthia Thomas
9,Andrea Spence
11,Katlyn Kaiser
13,Cheyenne Lopez
14,LAUREN HEALD
14,Sarah Hill
51,Kay Powell
b,r,e,a,k
Nemesis,9
teamInfo,,"Chicago, Illinois",http://www.chicago-nemesis.com/,https://www.facebook.com/Nemesis-471825896168151/,https://twitter.com/ChicagoNemesis
0,Eileen Duffner
01,Allison Fish
03,Alex Krueger
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
07,Dorothe Franklin
08,Christina Sur
09,Julia Butterfield
11,Beth Daviess
12,Jennifer Corcoran
13,Jessica Sipperley
15,Danielle Blatt
16,Jesse Handler
17,Erika Danckers
19,Rachel Foster
21,Amanda Dobbyn
23,Emily Hadel
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
94,Emilie Willingham
99,Kathleen Dyer
b,r,e,a,k
Showdown,4
teamInfo,,"Texas City, Texas",https://showdownultimate.wordpress.com/,https://www.facebook.com/Texas-Showdown-242891214064/,https://twitter.com/txshowdown
coaches,Adam Goff,Sean McCall
3,Domenica Sutherland
01,Julie Eagle Malecek
02,Elise Bjork
05,Andrea Esparza
06,Ivy Harrison
07,Shiru Liu
09,Laura Landis
10,Gaby Cuina
11,Katey Forth
13,Jennifer Schmerling
14,Edith Teng
15,Sydney Overman
16,Sarah Levinn
17,Marissa Land
18,Laura  Gerencser
21,Valerie Pinillos
22,Julia Schmaltz
23,Lillian White
24,Susan Gilbert
25,Cristina Woodings
27,Jamie Eriksson
28,Anne Ortiz
29,Michelle Arceneaux
31,Ashley Shelor
32,Rebecca Forth
41,Alexandra Cunningham
b,r,e,a,k
Rival,5
teamInfo,,"Columbus/Ann Arbor, Ohio",http://www.rivalultimate.com/,https://www.facebook.com/rivalultimate/,https://twitter.com/RivalUltimate
coaches,DeAnna Ball,Andrew Theiss
04,Nina Janjic
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
11,Tracey Lo
12,Katie Backus
13,Emma Colavincenzo
14,Theresa Zettner
15,Brittany Wright
18,Caitlin Harley
20,Sophia Knowles
22,Talia Barth
23,Chelsea Zhu
27,Elizabeth Longmire
30,Mackenzie Fazekas
31,Sara Scott
32,Vivian Chu
37,Hannah Henkin
38,Jennifer Perry
b,r,e,a,k
Colorado Small Batch,16
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SmallBatchUltimate/,https://twitter.com/SmallBatchUlti
coaches,Anne Pogoriler,Rebecca Mitchell
03,Emily Stege
10,Lisa Doan
12,Maia Nguyen
14,Claire Morrissy
19,Melinda Alvey
21,Hannah Matthys
25,Kati Turner
27,Julia Longinotti
28,Marlee Akerson
29,Candace Yeh
31,Charlotte O'Donnell
35,Sarah Hoistad
36,Katherine McCormick
37,Molly Clay
41,Katherine Macri
44,Aelish Aoki
56,Jodie Navarre
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Underground,Grit,12,7,"08/19/2017, 08:00",Pool A,Final
Wildfire,Wicked,9,5,"08/19/2017, 08:00",Pool A,Final
Underground,Wicked,13,6,"08/19/2017, 12:00",Pool A,Final
Wildfire,Grit,12,10,"08/19/2017, 12:00",Pool A,Final
Underground,Wildfire,10,12,"08/19/2017, 14:00",Pool A,Final
Grit,Wicked,7,9,"08/19/2017, 14:00",Pool A,Final
pool,Pool B
Nightlock,Phoenix,12,11,"08/19/2017, 08:00",Pool B,Final
Schwa,Outbreak,13,5,"08/19/2017, 08:00",Pool B,Final
Nightlock,Outbreak,13,6,"08/19/2017, 10:00",Pool B,Final
Schwa,Phoenix,12,7,"08/19/2017, 10:00",Pool B,Final
Nightlock,Schwa,11,13,"08/19/2017, 12:00",Pool B,Final
Phoenix,Outbreak,12,4,"08/19/2017, 12:00",Pool B,Final
pool,Pool C
Heist,BENT,12,10,"08/19/2017, 10:00",Pool C,Final
Pop,Phoenix Uprising,13,4,"08/19/2017, 10:00",Pool C,Final
Heist,Phoenix Uprising,11,3,"08/19/2017, 12:00",Pool C,Final
Pop,BENT,11,7,"08/19/2017, 12:00",Pool C,Final
Heist,Pop,10,9,"08/19/2017, 14:00",Pool C,Final
BENT,Phoenix Uprising,13,6,"08/19/2017, 14:00",Pool C,Final
pool,Pool D
Showdown,Nemesis,10,11,"08/19/2017, 08:00",Pool D,Final
Rival,Colorado Small Batch,13,5,"08/19/2017, 08:00",Pool D,Final
Showdown,Colorado Small Batch,13,4,"08/19/2017, 10:00",Pool D,Final
Rival,Nemesis,10,11,"08/19/2017, 10:00",Pool D,Final
Showdown,Rival,9,8,"08/19/2017, 14:00",Pool D,Final
Nemesis,Colorado Small Batch,13,3,"08/19/2017, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Nemesis,Underground,13,9,"08/20/2017, 12:00",1st Place Finals,Final
Wildfire,Nemesis,8,12,"08/20/2017, 10:00",semifinals,Final
Showdown,Underground,9,12,"08/20/2017, 10:00",semifinals,Final
Wildfire,BENT,11,9,"08/20/2017, 08:00",Quarterfinals,Final
Pop,Nemesis,9,11,"08/20/2017, 08:00",Quarterfinals,Final
Heist,Showdown,9,12,"08/20/2017, 08:00",Quarterfinals,Final
Underground,Schwa,11,8,"08/20/2017, 08:00",Quarterfinals,Final
Nightlock,BENT,10,12,"08/19/2017, 16:00",Pre-Quarters,Final
Phoenix,Pop,5,13,"08/19/2017, 16:00",Pre-Quarters,Final
Showdown,Wicked,13,8,"08/19/2017, 16:00",Pre-Quarters,Final
Rival,Underground,10,12,"08/19/2017, 16:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Games
bracket,3rd Place
Wildfire,Showdown,10,11,"08/20/2017, 12:00",3rd Place Finals,Final
bracket,5th Place 
Pop,Heist,10,5,"08/20/2017, 12:00",5th Place Finals,Final
BENT,Pop,4,13,"08/20/2017, 10:00",5th Place Semis,Final
Heist,Schwa,9,8,"08/20/2017, 10:00",5th Place Semis,Final
bracket,7th Place
BENT,Schwa,8,11,"08/20/2017, 12:00",7th Place Finals,Final
bracket,9th Place 
Phoenix,Rival,11,10,"08/20/2017, 10:00",9th Place Finals,Final
Nightlock,Phoenix,10,11,"08/20/2017, 08:00",9th Place Semis,Final
Wicked,Rival,4,13,"08/20/2017, 08:00",9th Place Semis,Final
bracket,11th Place
Nightlock,Wicked,12,5,"08/20/2017, 10:00",11th Place Final,Final
b,r,e,a,k
pools,13th-16th Place Round-Robin
pool,13th-16th place Pool
Grit,Phoenix Uprising,9,7,"08/19/2017, 16:00",13th-16th place Pool,Final
Outbreak,Colorado Small Batch,13,4,"08/19/2017, 16:00",13th-16th place Pool,Final
Grit,Outbreak,6,10,"08/20/2017, 10:00",13th-16th place Pool,Final
Grit,Colorado Small Batch,10,7,"08/20/2017, 12:00",13th-16th place Pool,Final
Outbreak,Phoenix Uprising,9,6,"08/20/2017, 12:00",13th-16th place Pool,Final
Phoenix Uprising,Colorado Small Batch,7,11,"08/20/2017, 14:00",13th-16th place Pool,Final
b,r,e,a,k
