Northwest Mixed Regional Championship 2017,Club - Mixed ,23,9,2017
Corvallis,OR,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Northwest-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
17,Justin Myhre
23,Elysia Crockett
24,Craig Harkey
29,Zach Baumann
40,Geoffrey Zath
42,Thomas Walz
45,THOMAS BARRY
47,Juliana Williams
b,r,e,a,k
Happy Hour,6
0,ADRIA GREDVIG
0,Angelica Chambers
0,Dan Shaw
0,Eric Laughlin
0,Jacob Lohman
0,Jessica Rice
0,Jonathan Sebert
0,Lauren Adrian
0,Lillian Weaver
0,Margaret McKeon
0,Max Calabro
0,Philip Rollo
0,Carmen Ellis
0,Rigel Berg
0,Shailie Thakkar
0,Steven Hughes
0,Steven Ritchie
0,Taurin Skinner-Maginnis
7,Stanley Barnes
11,Christine Beaulieu
13,Roxanne Myslewski
15,Alice White-Cyr
20,Reza  Refaei
21,BRIAN HENRICKSON
21,KEVIN CHAMBERS
b,r,e,a,k
Big,12
0,Ariel  Edwards
0,Benjamin Sullender
0,Carl Richmond
0,David Kingston
0,Drew Cason
0,Hannah Griego
0,Hazel Blum
0,Heidi Halverson
0,Jacob Kirk
0,JOHN MURPHY
0,Lyra Bochenek
0,Robert Bochenek
0,Rosalind Worcester
0,ROSE HEWITT
0,Tim Sharp
17,Sean Treacy
b,r,e,a,k
Fable,13
00,Bowen Liu
00,Donna Rose
00,Jenna-Sarah McDonald
00,Myles Lu
00,YUMI ISHIDO
03,Tanner Marshall
04,Ryan Sherriff
07,Trisha Roberson
10,Aidan Brown
12,PAUL YOUNG
13,Shawn Vogels
16,Troe Weston
17,Christine Liu
20,Kevin Lu
23,Brianne Wager
25,Kaitlyn Shannon
33,Michael Luongo
40,Mark Bustin
41,Thomas Rowe
43,Allison Brown
47,Sophie Johns
58,Benjamin Marsh
67,Ryan Grant
72,Tamir Stulberg
85,Sarah Cawston-Stewart
b,r,e,a,k
BoyShe,5
0,Kyle Oldemeyer
1,Chase Mahan
2,Justin Solace
3,Amy Norris
4,MAIA PINSKY
6,Ryan Van Hook
8,Levi Archuleta
9,Thayne Casper
10,Anthony Gossard
11,Brittany Ward
12,Suzie Walter
14,Camron Newton
14,Alex Hardesty
15,Andrew Jacobs
21,Kelsey Breen
24,Sarah Staller
26,Andrea Kuenzli
28,Daniel White
29,Jack Kingsley
30,Vespera Aragon
31,Joe Warnecke
34,Reid Spain-Strombom
36,Kevin Farrell
38,Cori Bigham
58,Shannon Montaño
77,Amanda Porter
91,Alex Ho
b,r,e,a,k
Birdfruit,4
0,Peter Geertz-Larson
1,Sam Landesberg
2,Luke Jesperson
3,Martha Russell
5,Christian Brink
6,Laura Doepker
7,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
14,Sam Pickel
15,Samuel Dinning
17,Gavin McKibben
21,Dylan Harrington
22,Lacy Clark
23,Kyle Ord
24,Andrew Lynch
31,Natalie Jamerson
33,Spencer Sheridan
40,Ky Lewis IV
41,Clay Dewey-Valentine
47,Walker Bohannan
67,Kelley Hall
69,Lillian Bailey
70,Tamara Hass
88,Rebecca Leong
89,Sophia Scofield-Selby
b,r,e,a,k
Garbage,14
0,Alexander Whiting
0,Carson Mailler
0,Eamon Finneran
0,Erica Petru
0,Margaret Weihs
0,Maria Sumner
0,Noah Baker
0,Shane Worthington
0,Taylor Kanemori
0,Tom Elliott
0,Travis Ladd
0,Tyler Monroe
07,Benjamin Canade
11,Jonathan Shuster
12,Adlai Felser
13,Kelly Bruno
14,Ashley Chan
15,Melissa Merrick
21,Alex Fussell
26,Sam Schumer
27,Kira Morin
28,Maya Golan
31,Lucien Bruno
33,ROBERT KELLY
37,William Gagne-Maynard
91,Annie Alsheimer
99,Norbert Henry
b,r,e,a,k
Misfits,11
0,Anna Pritchard
0,SERGEI MCNULTY
00,Susie Leifheit
00,Allie Walsh
00,Ally Constantino
00,Amanze Oleru
00,Charles Kato
00,Daniel Gimbel
00,Hai Trang
00,James Black
00,Kira Murray
00,Kodi Smart
00,Luke Rodriguez
00,Megan Bech
00,Melissa Flynn
00,Michelle Homewood
00,Noah Coolman
32,Parker Postlewait
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Mixtape,Mental Toss Flycoons,13,10,"09/23/2017, 08:00",Pool A,Final
Pegasus,Midnight Whiskey,13,5,"09/23/2017, 08:00",Pool A,Final
Seattle Mixtape,Midnight Whiskey,13,4,"09/23/2017, 09:40",Pool A,Final
Pegasus,Mental Toss Flycoons,10,7,"09/23/2017, 09:40",Pool A,Final
Mental Toss Flycoons,Midnight Whiskey,11,10,"09/23/2017, 11:20",Pool A,Final
Seattle Mixtape,Pegasus,13,4,"09/23/2017, 11:20",Pool A,Final
pool,Pool B
BFG,Friday Night Couch,13,4,"09/23/2017, 08:00",Pool B,Final
The Administrators,Bulleit Train,13,4,"09/23/2017, 08:00",Pool B,Final
BFG,Bulleit Train,13,2,"09/23/2017, 09:40",Pool B,Final
The Administrators,Friday Night Couch,13,8,"09/23/2017, 09:40",Pool B,Final
BFG,The Administrators,13,5,"09/23/2017, 11:20",Pool B,Final
Friday Night Couch,Bulleit Train,13,8,"09/23/2017, 11:20",Pool B,Final
pool,Pool C
Bozos,Big,13,5,"09/23/2017, 08:00",Pool C,Final
Happy Hour,Fable,13,8,"09/23/2017, 08:00",Pool C,Final
Bozos,Fable,13,6,"09/23/2017, 09:40",Pool C,Final
Happy Hour,Big,13,7,"09/23/2017, 09:40",Pool C,Final
Bozos,Happy Hour,13,11,"09/23/2017, 11:20",Pool C,Final
Big,Fable,11,10,"09/23/2017, 11:20",Pool C,Final
pool,Pool D
Birdfruit,Misfits,13,8,"09/23/2017, 08:00",Pool D,Final
BoyShe,Garbage,11,9,"09/23/2017, 08:00",Pool D,Final
Birdfruit,Garbage,13,7,"09/23/2017, 09:40",Pool D,Final
BoyShe,Misfits,13,8,"09/23/2017, 09:40",Pool D,Final
Birdfruit,BoyShe,10,12,"09/23/2017, 11:20",Pool D,Final
Misfits,Garbage,9,13,"09/23/2017, 11:20",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Seattle Mixtape,BFG,15,12,"09/24/2017, 12:30",1st Place Finals,Final
Seattle Mixtape,BoyShe,15,6,"09/23/2017, 13:15",1st Place Semis,Final
Bozos,BFG,4,15,"09/23/2017, 13:15",1st Place Semis,Final
bracket,2nd Place Bracket
BFG,BoyShe,15,10,"09/24/2017, 14:30",2nd Place Finals,Final
BoyShe,Birdfruit,15,13,"09/24/2017, 12:30",2nd Place Semis,Final
BoyShe,Happy Hour,15,12,"09/24/2017, 10:30",2nd Place Quarters,Final
Birdfruit,Bozos,15,10,"09/24/2017, 10:30",2nd Place Quarters,Final
Happy Hour,Mental Toss Flycoons,15,9,"09/24/2017, 08:30",2nd Place Prequarters,Final
Pegasus,Birdfruit,11,15,"09/24/2017, 08:30",2nd Place Prequarters,Final
Happy Hour,Garbage,15,11,"09/23/2017, 13:15",2nd Place Play In,Final
Mental Toss Flycoons,The Administrators,17,16,"09/23/2017, 13:15",2nd Place Play In,Final
Pegasus,Friday Night Couch,15,11,"09/23/2017, 13:15",2nd Place Play In,Final
Big,Birdfruit,10,15,"09/23/2017, 13:15",2nd Place Play In,Final
bracket,7th Place
Mental Toss Flycoons,Pegasus,13,12,"09/24/2017, 10:30",7th Place,Final
bracket,9th Place Bracket
The Administrators,Big,14,12,"09/24/2017, 10:30",9th Place Finals,Final
Garbage,The Administrators,12,15,"09/24/2017, 08:30",9th Place Semis,Final
Friday Night Couch,Big,9,15,"09/24/2017, 08:30",9th Place Semis,Final
bracket,11th Place
Garbage,Friday Night Couch,13,11,"09/24/2017, 10:30",11th Place,Final
bracket,13th Place Bracket
Midnight Whiskey,Fable,15,12,"09/24/2017, 10:30",13th Place Finals,Final
Midnight Whiskey,Misfits,15,12,"09/24/2017, 08:30",13th Place Semis,Final
Fable,Bulleit Train,15,9,"09/24/2017, 08:30",13th Place Semis,Final
bracket,15th Place 
Misfits,Bulleit Train,15,12,"09/24/2017, 10:30",15th Place,Final
b,r,e,a,k
