2017 Stanford Open powered by SAVAGE,College - Men ,11,2,2017
Morgan Hill,CA,2017-02-11,2017-02-12
https://play.usaultimate.org/events/2017-Stanford-Open-powered-by-SAVAGE/schedule/Men/CollegeMen/
Oregon State,1
71,Peter Ruhm
84,Joshua Cooper
b,r,e,a,k
Air Force,3
teamInfo,Afterburn,"USAF Academy, Colorado",http://airforceultimate.webs.com/,https://www.facebook.com/AirForceUltimate,https://twitter.com/AFU_Afterburn
coaches,Carl Chan
4,Kainoa Chun-Moy
02,Matt Lovetri
02,William Cooper
03,Ben Protzman
05,Trevor Browning
07,Michael Delatte
08,Michael Higgins
09,Howard Bermudez
10,Zach Arns
13,Andrew Hammond
17,Theodore Jantscher
19,Austin Alexander
21,Christopher Delgado
22,Mitchel Bie
23,Keanu Komar
25,Justin Zimmermann
34,Matthew Moshea
42,Alan Villanueva
69,Kevin Foley
88,Juan Ramos
b,r,e,a,k
Montana,14
teamInfo,Smokejump,"Missoula, Montana",,,
0,Carson Kerr
0,Kyle Milne
0,Sean Nettleton
01,Hayden Cunningham
03,Madison Whiteman
11,Jackson Melin
14,John Knight
34,Evan Falley
37,Rayce Compton
50,Cole Osbrink
54,Elijahwa Ninnemann
55,Colin O'Connor
74,Spencer Lachman
b,r,e,a,k
Gunn,30
teamInfo,Control,"Palo Alto, California",,,
coaches,Johnny Ortberg
00,Keenan Laurence
00,Lawrence Chen
00,Michael Tao
00,Ronan Eltherington
00,Brandon Chin
00,Cara Burks
00,Zachary Rosner
12,William Liu
15,Joseph Lai
64,Abraham Ryzhik
73,Thanh Nguyen Jr
b,r,e,a,k
Sacramento State,19
teamInfo,Sac State,"Sacramento, California",http://www.csus.edu/soal/sport-and-recreation-clubs/Ultimate/index.html,,
0,Ashton Mattox
0,Benn Gizicki
0,Brian Yong
0,Dylan Bennett
0,Ghett Lee
0,Jared Jung
0,John Kobylka
0,Josh Owens
0,Julian Madison
0,Kevin Mahlman
0,Peter Creasman
0,Sam Smith
0,Thomas Colton
3,Trevor Colton
10,Nick Andrews
11,Anthony Dangelo-Derris
14,Andrew  Kern
b,r,e,a,k
Chico State,4
teamInfo,Chico State Wildcats,"Chico, California",,https://www.facebook.com/pages/Chico-State-Ultimate-Frisbee/194149750609051,
00,Daniel Kelham
00,Daniel Farmer
00,David Contreras
00,David Roderick
00,Devin Mitchell
00,Dominic La Frantz
00,Elliot Lopez
00,Eros  Escalona-White
00,Grant Barr
00,Gregory Williams
00,Ian Donald
00,jaime reynoso
00,Jesus Alfaro
00,John Olivas
00,Jordan Pech
00,Joshua Katzki
00,Logan Martin
00,Luke McCallin
00,Matt Logoteta
00,Nicholas Dahms
00,Nicholas Jensen
00,Nick McConnell
00,Ruben Ruiz
00,Zachary Giovannini
00,Andrew Matheson
11,Austin Barden
b,r,e,a,k
San Jose State,20
teamInfo,Megabyte,"San Jose, California",,https://www.facebook.com/SJSUUltimate/,
0,Aaron Shuler
0,ANDREW FETZER
0,Brandon Purcell
0,Calvin Chang
0,Chase McCoy
4,Phillip Young
9,NIKOLAS MIFSUD
10,Jonathan  Nozzari
16,Garrick Ho
23,Karl Muster
25,eli arbreton
28,Aren Yeghissian-Kanneian
42,Alvin Feng
51,Spencer Wong
97,Davis Ambur
b,r,e,a,k
Claremont,13
teamInfo,Braineaters,"Claremont , California",,,
0,Abhyudit Lohe
0,Charlie Capron
0,Gabriel Gluskin-Braun
0,Gavin Siegert
0,Gerard Bentley
0,Harrison Chotzen
0,Isaac Zinda
0,JORDON LIM
0,Joseph Esbenshade
0,Max Meyers
0,Owen Gillespie
0,Samuel Warren
7,AVI ELKIN
10,Siddharth Chandra
15,BRYCE MCLAUGHLIN
19,MATTHEW  GRIFFITH
20,Philip DiGiacomo
32,Elijah Falk
99,Jeremy Snyder
b,r,e,a,k
Nevada-Reno (B),29
teamInfo,Ascension,"Reno, Nevada",,,
0,Brad Daughtry
0,Chase McAninch
0,Christopher Abellana-plateros
0,Cordel Bever
0,Jackson Sanders
0,Jacob Ellis
0,Thomas McCrone
0,Troy Warne
12,Alex Wilbanks
13,Trevor Olsen
b,r,e,a,k
California-Santa Barbara,5
teamInfo,Black Tide,"Goleta, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Mitchell Solkov
0,Nathan Steinert
1,Jeffrey Frye
2,Jack Hamner
3,William Pearce
8,Bailey Wu
9,Erik Bedrosian
11,Adonay Bahta
12,Alexandre Kupelian
13,Guillaume Bellegarda
14,William Turner
15,Alex Heinzen
19,Evan Bosinger
21,Aidan Hall
22,Duncan Brin
23,Stephen Smoots
25,Ian Ladner
26,Brendan Champlin
32,Kieran Bates
34,Arthur Pan
34,Sean Flaherty
39,Jordan Lund
42,Marcel Osborne
44,Trevor Arbab
94,Cooper Austin
b,r,e,a,k
Humboldt State,21
teamInfo,Humboldt State Buds,"Arcata, California",,,
0,Carson Ralls
0,Chris Townsend
0,Daniel Devia
0,Max Killen
0,Maxfield Wrigley
0,Sam Aguilar
0,Zachary Zorndorf
3,Brady Ruppenthal
5,Derek Tomlinson
8,Taylor Charron
10,Kyle Shapiro
12,Jordan Johnson
13,Jay Rackelmann
14,Nat Israel
19,Robert Reyes
21,Christopher Moreno
37,Josh Israel
69,Brighton Hayashida
69,James Anderson
89,Donovan Davis
99,Michael Hoff
b,r,e,a,k
Santa Clara,12
teamInfo,SCAB,"Santa Clara, California",,,
0,Charles Hunter
0,CHRIS WAGERS
0,CONNOR RILEY
0,Daniel Tiano
0,Devan Hollar
0,Henry Brown
0,Ian Watts
0,Jack Carlson
0,Jacob Bennett
0,Jeffrey Stein
0,Jonathan (Jonny) Netz
0,Liam Scobey-Polacheck
0,Matt Kordonsky
0,Sean Leeper
0,Stephen Aubuchon
0,Taylor Darby
3,Sean Backes
12,Michael Fodor
13,James Kipper
24,Nicholas Farren
29,Travis Vickers
55,Matthew Kamimura
b,r,e,a,k
Oregon (B),28
teamInfo,ID,"Eugene, Oregon",,,
0,Vinh Bui
0,Bao Pham
0,Marcus Korn
0,JASON YUN
0,CASEY ERICKSON
0,Noah Lunger
0,Jason Simms
3,TOMER VAGNER
42,Chase Davis
83,Conrad Hock
b,r,e,a,k
California-Davis,6
teamInfo,Davis Dogs,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Bryan LoCoco
0,Callum Watts
0,Casey Shugarman
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,Jarren Suzuki
0,Kevin Klein
0,Nicholas Helms
0,Spencer Sawyer
0,Trent Viau
0,Tycho Yacub
5,Julius Vo
11,Ryan Gallagher
14,Fredric Murolo
15,Nick Tolfa
25,Nathan Maddox
b,r,e,a,k
Northern Arizona,22
teamInfo,El Ponderoso,"Flagstaff, Arizona",,,https://twitter.com/ElPonderosoNAU
0,Brad Wylam
01,Jason Sokol
02,Zach Nollette
04,Ricardo Nunez
09,Brent Acomb
10,Harry Bell
11,Reid Kemp
12,Michael Gehrke
19,Nathan Stauffer
21,Hayden  Hoekstra
25,Ben Goulet
42,Hunter Stuits
48,Garrett Murphy
49,Tyler Liddie
59,Alex St.Hippolyte
69,Evan Taylor
78,Rick John
91,Daniel Prejs
b,r,e,a,k
Cal Poly-Pomona,11
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Abin Thomas
0,Andrew Calinescu
0,Bruno Haesbaert
0,Caleb Jang
0,Daniel Ouk
0,Drew Gates
0,Eric Knorr
0,Isaac Porter
0,Joshua Agopian
0,Julian Salazar
0,Justin Nolan
0,Kevin Labbate
0,Matt Theologidy
0,Michael LePage
0,Nathan Leong
0,Yik Hin Wong
1,Zamin Aziz
8,Christopher Chang
02,Mateus Pinheiro
14,Andrew Kinkele
14,Knox Borges
22,Kyle Jepsen
26,Christopher Tait
69,Jonathan Horton
87,Matt Lambrose
99,Brandon Yee
b,r,e,a,k
California-Davis (B),27
teamInfo,Davis Dogs B,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Adam Humphrey
0,Daniel Langford
0,Eddie Jacobs
0,Joel Rivett
0,Kun Huang
0,Nicholas Hausch
0,Sean Killilea
0,Thomas Chu
0,Trevor Ryder
0,Vishal Patel
0,Wyatt Liao
0,Yuji Mori
2,Truman Ton
11,Leif Swenson
19,Andrew Allen
22,Jefferson Laird
31,Chetan Gomatam
37,Logan Dolim
42,Ambrose Kong
62,Elliot Wilde
66,David Streeter
77,Nelson Guzman
b,r,e,a,k
Whitman,10
teamInfo,Sweets,"Walla Walla, Washington",,https://www.facebook.com/Whitman-Sweets-Mens-Ultimate-236959183065222/,https://twitter.com/MWhitman_Sweets
0,Ben Lahr
0,Chris Cahoon
0,Jesse Sindelar
0,John DeBuysser
0,Luke Williford
0,Max Ogryzko
0,Nathan Gruenberg
0,Timothy Gray
2,Robert Farwell
5,Jens Suhr
6,Maxwell Sheffield
7,Alexander Gatter
9,HENRY PHILLIPS
9,Nate  Raphael
12,Eli Cohen
16,Alex Walsh
85,Al Brettmann
99,Gabriel Zansberg
b,r,e,a,k
California-Santa Cruz,7
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,JAKE NG
0,John Chavez
0,Kai Schniedergers
0,Lorenzo Yabut
0,Mason Mulholland
0,Noah Kipnes
0,Robert Parke
0,Trenton Davis
0,Zachary Shamroukh
3,Aaron Kees
5,Grady Watkins
6,Loukas Stelyn
11,Royce Friedmann
15,Elijah Newbrun-Mintz
16,Sean Hyslop
17,Robert Gallagher
18,Ryan Glenn
24,Richard Mao
27,Aaron Hom
30,NICK FOX
32,Isaac Kreger
b,r,e,a,k
Arizona State (B),23
teamInfo,Pleasure Ultimate,"Tempe, Arizona",www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
0,Alexander Ochser
2,Justin Wilk
7,Tymur Vidyakin
8,Barrett Bromich
10,Ben Nagele
12,Christian Menke
13,Kolton Nelder
14,Tyler Prime
17,Brandon Karlin
21,Jack Lechich
23,Anthony Prosceno
23,Mauricio Muller
29,Robin Skaria
33,Danny Holton
44,Vishal Mehta
50,Jesse Seeley
59,Brent Poynter
59,Benjamin Roth
68,Jared LeBlanc
69,Andrew Trichak
74,Sean Randall
96,Conner Propst
97,Tyler Mebane
b,r,e,a,k
Texas (B),26
teamInfo,Texas B,"Austin, Texas",www.texasultimate.org,,
0,Benjamin Summers
0,Bill Yang
0,Colin Michael
0,Jarred Canning
0,Matthew Law
18,Jordan Mclemore-Moon
23,Will Goodwin
25,Kyle Aisenbrey
32,Truett Bloxsom
36,Justin Zhong
b,r,e,a,k
Nevada-Reno,9
teamInfo,Elevation Ultimate,"Reno, Nevada",,,
0,Benjamin Wagner
0,Gerald Roscom
0,Trevor Sollberger
1,Daniel Ortiz
2,John Whiting
4,Pete Marshall
8,Austin Lee
9,Thomas Fiock
03,Ryan Takayama
14,Robert Eardley
15,Brent Moore
17,Eric  Nielsen
21,Josh Krieger
22,BRANDON PURDY
27,Austin Perry
29,Dillon Carroll
30,Donne Lenard Lomugdang
35,Raymond Lopez
77,Daniel Eitzman 
94,Ryan Schoenfeld
96,Jakob Stoner
99,Davis Ruggles
b,r,e,a,k
Cal Poly-SLO (B),24
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Chris Kaspar
0,Colin Deurlington
0,Jacob Rumpf
0,James Popolow
0,John Stepanek
0,Jordan Schaeffer
0,Michael Carvajal
0,Zachary Cushing-murray
3,Zachary Bear
4,Tony Lin
9,Jack Puckett
12,Maximilian Cossalter
13,Christopher McCoy
16,Alexander Murray
23,Harris Nguyen
25,Niko Banks
35,Jack Combs
36,Tommy Yath
39,Martin Bailey
55,Jack Burfield
57,Jackson Rhodes
85,Mark Hazlebeck
88,Ethan Heh
b,r,e,a,k
Carleton College-GoP,8
teamInfo,Gods of Plastic,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/goprocks
0,Abraham Eichner
0,Arthur McCray
0,Bryce Barton
0,Ian McCarthy
0,Malcom Fox
0,Noah Robiner
0,Ryan Saeta
0,Sam Blackburn 
0,Saul Wildavsky
0,Michael Ebako-Hodgson
3,Matthew Maclay
4,Will Yetvin
8,Jacob Cohen
8,Chenxi Sun
11,Nathan Mannes
21,Ry Alexander
35,Austin Sorscher
35,Alex Rafkin
69,DANIEL BLACK
71,David Goodell
b,r,e,a,k
Washington (B),25
teamInfo,Washington B,"Seattle, Washington",,,
0,Alva Wei
0,Benjamin Segal
0,Bradley Kim
0,Brian Goldgeier
0,Caleb Ellington
0,Gregory Yu
0,KYLER JOBE
0,Martin Horst
0,Nicolas Leitmann-Niimi
0,Oliver Kou
0,Akhil Avula
0,Robin Tu
0,Sam Douglass
0,Weicheng Lou
0,William Huang
4,Peter Lin
5,Gabriel Ross
9,Alex Strong
18,Trevor Day
20,Conor Courtney
43,Devin Nelson
b,r,e,a,k
s,t,a,g,e,s
pools,Men's Pool Play
pool,Pool A
Lewis & Clark,California (B),11,3,"02/11/2017, 09:00",Pool A,Final
Oregon State,Las Positas,10,4,"02/11/2017, 09:00",Pool A,Final
Oregon State,California (B),11,4,"02/11/2017, 10:10",Pool A,Final
Lewis & Clark,Las Positas,6,7,"02/11/2017, 10:10",Pool A,Final
Las Positas,California (B),7,1,"02/11/2017, 11:20",Pool A,Final
Oregon State,Lewis & Clark,9,6,"02/11/2017, 12:30",Pool A,Final
pool,Pool B
Southern California,Utah State,10,4,"02/11/2017, 10:10",Pool B,Final
Southern California,Occidental,7,5,"02/11/2017, 11:20",Pool B,Final
Utah State,Occidental,7,4,"02/11/2017, 12:30",Pool B,Final
Utah State,Stanford (B),11,2,"02/11/2017, 18:20",Pool B,Final
Southern California,Stanford (B),10,2,"02/11/2017, 19:30",Pool B,Final
Occidental,Stanford (B),11,3,"02/11/2017, 23:00",Pool B,Final
pool,Pool C
Air Force,Sacramento State,9,6,"02/11/2017, 09:00",Pool C,Final
Air Force,Gunn,10,4,"02/11/2017, 10:10",Pool C,Final
Sacramento State,Gunn,6,8,"02/11/2017, 12:30",Pool C,Final
Montana,Gunn,8,5,"02/11/2017, 16:00",Pool C,Final
Montana,Sacramento State,7,6,"02/11/2017, 17:10",Pool C,Final
Air Force,Montana,10,3,"02/11/2017, 18:20",Pool C,Final
pool,Pool D
Chico State,San Jose State,8,7,"02/11/2017, 09:00",Pool D,Final
Claremont,San Jose State,5,9,"02/11/2017, 10:10",Pool D,Final
Chico State,Claremont,8,5,"02/11/2017, 11:20",Pool D,Final
Claremont,Nevada-Reno (B),11,0,"02/11/2017, 16:00",Pool D,Final
Chico State,Nevada-Reno (B),11,0,"02/11/2017, 17:10",Pool D,Final
San Jose State,Nevada-Reno (B),11,2,"02/12/2017, 20:40",Pool D,Final
pool,Pool E
California-Santa Barbara,Humboldt State,11,3,"02/11/2017, 13:40",Pool E,Final
Santa Clara,Humboldt State,5,11,"02/11/2017, 14:50",Pool E,Final
California-Santa Barbara,Santa Clara,11,4,"02/11/2017, 16:00",Pool E,Final
Santa Clara,Oregon (B),11,3,"02/11/2017, 20:40",Pool E,Final
California-Santa Barbara,Oregon (B),11,0,"02/11/2017, 21:50",Pool E,Final
Humboldt State,Oregon (B),11,3,"02/11/2017, 23:00",Pool E,Final
pool,Pool F
California-Davis,Northern Arizona,10,4,"02/11/2017, 13:40",Pool F,Final
Cal Poly-Pomona,Northern Arizona,5,7,"02/11/2017, 14:50",Pool F,Final
California-Davis,Cal Poly-Pomona,8,6,"02/11/2017, 16:00",Pool F,Final
Cal Poly-Pomona,California-Davis (B),7,5,"02/11/2017, 20:40",Pool F,Final
California-Davis,California-Davis (B),11,2,"02/11/2017, 21:50",Pool F,Final
Northern Arizona,California-Davis (B),7,4,"02/12/2017, 23:00",Pool F,Final
pool,Pool G
Arizona State (B),Texas (B),5,3,"02/11/2017, 12:30",Pool G,Final
California-Santa Cruz,Arizona State (B),11,1,"02/11/2017, 13:40",Pool G,Final
Whitman,Texas (B),11,5,"02/11/2017, 13:40",Pool G,Final
California-Santa Cruz,Texas (B),11,3,"02/11/2017, 14:50",Pool G,Final
Whitman,Arizona State (B),7,3,"02/11/2017, 14:50",Pool G,Final
California-Santa Cruz,Whitman,7,9,"02/11/2017, 16:00",Pool G,Final
pool,Pool H
Nevada-Reno,Washington (B),10,7,"02/11/2017, 11:20",Pool H,Final
Carleton College-GoP,Washington (B),11,1,"02/11/2017, 12:30",Pool H,Final
Carleton College-GoP,Nevada-Reno,6,11,"02/11/2017, 16:00",Pool H,Final
Carleton College-GoP,Cal Poly-SLO (B),6,7,"02/11/2017, 18:20",Pool H,Final
Nevada-Reno,Cal Poly-SLO (B),9,4,"02/11/2017, 19:30",Pool H,Final
Cal Poly-SLO (B),Washington (B),8,6,"02/11/2017, 23:00",Pool H,Final
b,r,e,a,k
brackets,Men's Top Bracket
bracket,Men's Top Bracket
Oregon State,Southern California,10,9,"02/12/2017, 14:20",1st Place Finals,Final
Oregon State,California-Santa Barbara,12,8,"02/12/2017, 13:00",1st Place Semis,Final
California-Davis,Southern California,8,9,"02/12/2017, 13:00",1st Place Semis,Final
Oregon State,Nevada-Reno,11,10,"02/12/2017, 11:40",1st Place Quarters,Final
California-Santa Barbara,Chico State,9,4,"02/12/2017, 11:40",1st Place Quarters,Final
Air Force,California-Davis,8,9,"02/12/2017, 11:40",1st Place Quarters,Final
Whitman,Southern California,8,12,"02/12/2017, 11:40",1st Place Quarters,Final
Oregon State,Utah State,13,7,"02/12/2017, 10:20",Top Round of 16,Final
California-Santa Cruz,Nevada-Reno,8,12,"02/12/2017, 10:20",Top Round of 16,Final
California-Santa Barbara,Northern Arizona,6,5,"02/12/2017, 10:20",Top Round of 16,Final
Montana,Chico State,5,10,"02/12/2017, 17:20",Top Round of 16,Final
Air Force,San Jose State,12,7,"02/12/2017, 09:00",Top Round of 16,Final
Humboldt State,California-Davis,8,11,"02/12/2017, 09:00",Top Round of 16,Final
Whitman,Cal Poly-SLO (B),13,9,"02/12/2017, 16:00",Top Round of 16,Final
Las Positas,Southern California,7,10,"02/12/2017, 09:00",Top Round of 16,Final
bracket,Men's 3rd Place
California-Santa Barbara,California-Davis,11,8,"02/12/2017, 14:20",3rd Place Finals,Final
bracket,Men's 5th Place
Nevada-Reno,Air Force,11,9,"02/12/2017, 14:20",5th Place Finals,Final
Nevada-Reno,Whitman,13,7,"02/12/2017, 13:00",5th Place Semis,Final
Chico State,Air Force,5,10,"02/12/2017, 13:00",5th Place Semis,Final
bracket,Men's 7th Place
Chico State,Whitman,1,0,"02/12/2017, 14:20",7th Place Finals,Final
b,r,e,a,k
brackets,Men's 9th Place
bracket,Men's 9th Place
Utah State,San Jose State,0,0,"02/12/2017, 15:40",9th Place Semis,Cancelled
Humboldt State,California-Santa Cruz,0,0,"02/12/2017, 15:40",9th Place Semis,Cancelled
Utah State,Las Positas,10,9,"02/12/2017, 11:40",9th Place Quarters,Final
San Jose State,Montana,10,8,"02/12/2017, 18:40",9th Place Quarters,Final
Northern Arizona,Humboldt State,9,10,"02/12/2017, 11:40",9th Place Quarters,Final
Cal Poly-SLO (B),California-Santa Cruz,5,13,"02/12/2017, 18:40",9th Place Quarters,Final
b,r,e,a,k
brackets,Men's Bottom Bracket
bracket,Men's 17th Place
Carleton College-GoP,Gunn,0,0,"02/12/2017, 17:00",17th Place Finals,Cancelled
Carleton College-GoP,Claremont,13,6,"02/12/2017, 14:20",17th Place Semis,Final
Gunn,Occidental,9,8,"02/12/2017, 14:20",17th Place Semis,Final
Lewis & Clark,Carleton College-GoP,3,11,"02/12/2017, 13:00",17th Place Quarters,Final
Claremont,Santa Clara,9,8,"02/12/2017, 13:00",17th Place Quarters,Final
Gunn,Cal Poly-Pomona,9,8,"02/12/2017, 13:00",17th Place Quarters,Final
Occidental,Arizona State (B),10,6,"02/12/2017, 13:00",17th Place Quarters,Final
bracket,Men's 21st Place (1)
Arizona State (B),Lewis & Clark,5,9,"02/12/2017, 14:20",21st Place Semis (1),Final
bracket,Men's 21st Place (2)
Cal Poly-Pomona,Santa Clara,6,11,"02/12/2017, 14:20",21st Place Semis (2),Final
bracket,Men's 25th Place
Washington (B),California-Davis (B),0,0,"02/13/2017, 00:00",25th Place Finals,Cancelled
Washington (B),Oregon (B),10,8,"02/12/2017, 21:20",25th Place Semis,Final
California-Davis (B),Texas (B),10,7,"02/12/2017, 21:20",25th Place Semis,Final
California (B),Washington (B),9,11,"02/12/2017, 13:00",25th Place Quarters,Final
Nevada-Reno (B),Oregon (B),2,13,"02/13/2017, 03:00",25th Place Quarters,Final
Sacramento State,California-Davis (B),7,10,"02/13/2017, 03:00",25th Place Quarters,Final
Stanford (B),Texas (B),0,1,"02/12/2017, 20:00",25th Place Quarters,Final
bracket,Men's 29th Place (1)
Stanford (B),California (B),0,1,"02/12/2017, 21:20",29th Place Semis (1),Final
bracket,Men's 29th Place (2)
Sacramento State,Nevada-Reno (B),13,5,"02/12/2017, 21:20",29th Place Semis (2),Final
b,r,e,a,k
clusters,Extra Consolation
cluster,Extra Consolation
Texas (B),Humboldt State,6,13,"02/12/2017, 13:00",,Final
Chico State,California (B),8,3,"02/12/2017, 14:20",,Final
Carleton College-GoP,Occidental,13,8,"02/12/2017, 15:40",,Final
b,r,e,a,k
