Presidents' Day Tournament 2017,College - Men ,18,2,2017
https://play.usaultimate.org/events/Presidents-Day-Tournament-2017/schedule/Men/CollegeMen/
Chicago,9
97,Kevin Lin
b,r,e,a,k
Arizona,13
0,Brandon Alessini
0,Garrett Hable
0,Jake Hageman
0,Jaron Omololu
0,Kevin Dwork
0,Lorenzo Dova
0,Matthew Estremera
0,PRESTON KRAMER
0,Spencer Anderson
0,Trevor Smith
2,Zack Erlick
3,Logan Ashen
5,Martin Niemiec
12,Casey Tompa
13,Evan Baker
14,John Patinella
16,Ethan Bolze
17,Tripp Turchik
21,Mark Piazza
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
California-Davis,11
0,Bryan LoCoco
0,Callum Watts
0,Casey Shugarman
0,Devin Hom
0,Dylan Owens
0,Dylan Pyle
0,Evan  Martin
0,Jacob Deppmeier
0,Jarren Suzuki
0,Kevin Klein
0,Nicholas Helms
0,Spencer Sawyer
0,Trent Viau
0,Tycho Yacub
5,Julius Vo
11,Ryan Gallagher
14,Fredric Murolo
15,Nick Tolfa
25,Nathan Maddox
b,r,e,a,k
Cal Poly-SLO,4
0,Sunghoon Chung
02,Brennan Bryant
04,Daniel Hoffman
05,Aaron Shi
06,Gabe Ghirann
08,Dillon Whited
09,Nathan Pettyjohn
11,Hudson Stuck
13,Theodore Watkins
14,Dean Otsuka
15,James Popolow
17,Joshua (Slater) Levey
18,Alec Bandler
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
24,Cameron Wariner
25,Camden Reynolds
26,Jansen Selenis
28,Joseph Gagliano
33,Ian Sweeney
34,Aidan Mccoy
35,Justin Ting
53,Matthew Ferrari
82,Morgan Sommer
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Western Washington,5
0,Ryan Schluter
03,Dennis Casio
04,Chuck Tookey
05,NAT BREW
07,BEN LARSON
10,ADAM CHOI
11,Ian Browning
13,Nathan White
15,EARL LE
17,Christopher Penuelas
18,Ethan Katz
19,Jonas Golden
20,Daniel Mah
21,Joshua Kent
23,Yuval Arian
24,Zhi Chen
27,Aaron Glickman
29,Kunyao  Zhang 
38,Alexander Grey
43,Daniel Lorigan
55,Morgan Higgins
69,John George
80,Liam Bateman
82,Trevor McNamara
99,Gavin Maxwell
b,r,e,a,k
Oklahoma,16
0,Collin Dabbieri
0,Greg Olson
0,Joseph Dal Santo
0,J.D. Ingendorf
4,Ryan Kyle
6,Jason Christian
7,Logan Allen
9,Harper Stanfield
12,"Sam ""Suds"" Ward"
13,Cameron Guidry
13,Joseph Fortunato
14,Nathaniel Loyd
15,Andrew Turcotte
23,Addison Fehl
31,Kai Marshall
34,Cyle Famuliner
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
61,Stephen Wilson
72,Steven Wild
99,Wesley Zhang
b,r,e,a,k
California,12
1,Vitchyr Pong
3,Mason Chupka
4,Andrew Lin
6,Alexander Pan
7,JAMES FENG
8,Jesus Avila
9,Elliot Davis
10,Ben Chiu
14,Joshua Yuan
17,Ashwin Vaidyanathan
20,Greg Salazar
21,Derek Tang
22,Samuel Brocchini
25,Tommy Lin
26,Rajiv Sambharya
27,Liam Coyle
31,Justin Geffrey
32,Paul Han
42,Aaron Yuan
47,Rafael Castro
59,Liam Kreiss
77,Brian Kooperberg
81,Ben Bavonese
b,r,e,a,k
UCLA,17
0,Alex Gu
0,Alexander Julian
0,BEN KRAHENBUHL
0,Dylan Neff
0,Jarett King
0,Kevin Zhang
0,Konrad Niemiec
0,Matthew Yee
0,Mochi Li
0,Noah Anderson
0,Paul Young
0,Paul Ramstad
0,Ruochen Wang
4,Michael Peng
7,Preston Carroll
9,Cooper Tanquary
10,Suraj Patel
12,George Faour
18,Geoffrey Iyer
19,Joseph Schatzlein
23,Evan Soskin
32,Eric Siegel
38,Conor McNamara
44,Bryson Levisay
50,Ram Goli
62,Thomas Mendoza
85,Siddhesh Naik
b,r,e,a,k
s,t,a,g,e,s
pools,Men's Pool Play
pool,Pool A
Oregon,California-Santa Barbara,8,12,"02/18/2017, 10:30",Pool A
Chicago,San Diego State,13,5,"02/18/2017, 10:30",Pool A
Oregon,San Diego State,13,5,"02/18/2017, 11:45",Pool A
California-Santa Barbara,Chicago,7,8,"02/18/2017, 11:45",Pool A
pool,Pool B
Colorado,California-San Diego,9,8,"02/18/2017, 08:00",Pool B
Utah,California-Santa Cruz,13,8,"02/18/2017, 08:00",Pool B
Colorado,California-Santa Cruz,13,4,"02/18/2017, 09:15",Pool B
Utah,California-San Diego,10,8,"02/18/2017, 09:15",Pool B
pool,Pool C
Washington,California-Davis,13,2,"02/18/2017, 08:00",Pool C
Illinois,California-Davis,10,8,"02/18/2017, 09:15",Pool C
Washington,Arizona,11,8,"02/18/2017, 10:30",Pool C
Illinois,Arizona,10,6,"02/18/2017, 11:45",Pool C
pool,Pool D
Cal Poly-SLO,Western Washington,8,5,"02/18/2017, 08:00",Pool D
Cal Poly-SLO,Oklahoma,13,8,"02/18/2017, 09:15",Pool D
Western Washington,California,11,7,"02/18/2017, 10:30",Pool D
California,Oklahoma,10,11,"02/18/2017, 11:45",Pool D
b,r,e,a,k
pools,Men's Power Pools
pool,Pool E
Washington,California-Santa Barbara,13,5,"02/19/2017, 13:00",Pool E
Washington,Utah,13,8,"02/19/2017, 14:15",Pool E
Illinois,California-Santa Barbara,13,8,"02/19/2017, 15:30",Pool E
Illinois,Utah,11,12,"02/19/2017, 16:45",Pool E
pool,Pool F
Colorado,Western Washington,12,11,"02/19/2017, 11:45",Pool F
Cal Poly-SLO,Colorado,7,11,"02/19/2017, 11:45",Pool F
Chicago,Western Washington,11,10,"02/19/2017, 11:45",Pool F
Cal Poly-SLO,Chicago,12,4,"02/19/2017, 13:00",Pool F
pool,Pool G
California-San Diego,California-Santa Cruz,12,8,"02/19/2017, 08:00",Pool G
Arizona,California-Santa Cruz,9,10,"02/19/2017, 09:15",Pool G
Oregon,California-San Diego,12,9,"02/19/2017, 10:30",Pool G
Oregon,Arizona,13,8,"02/19/2017, 11:45",Pool G
pool,Pool K
San Diego State,Oklahoma,10,9,"02/19/2017, 14:15",Pool K
California,California-Davis,11,7,"02/19/2017, 14:15",Pool K
California,San Diego State,10,9,"02/19/2017, 15:30",Pool K
UCLA,Oklahoma,12,9,"02/19/2017, 15:30",Pool K
California-Davis,Oklahoma,12,9,"02/19/2017, 16:45",Pool K
California,UCLA,8,9,"02/19/2017, 16:45",Pool K
b,r,e,a,k
brackets,Men's Championship Bracket
bracket,Championship Bracket
Cal Poly-SLO,Colorado,7,12,"02/20/2017, 10:30",Men's Finals
Cal Poly-SLO,Washington,13,10,"02/20/2017, 09:15",Men's Semis
Colorado,Utah,13,6,"02/20/2017, 09:15",Men's Semis
Cal Poly-SLO,Illinois,13,6,"02/20/2017, 08:00",Men's Quarters
Utah,Chicago,11,10,"02/20/2017, 08:00",Men's Quarters
bracket,Men's 3rd Place
Washington,Utah,13,3,"02/20/2017, 10:30",Men's 3rd Place
bracket,Men's 5th Place
Illinois,Chicago,13,7,"02/20/2017, 13:00",Men's 5th Place
b,r,e,a,k
brackets,Men's 7th Place Bracket
bracket,Men's 7th Place
Oregon,Western Washington,13,9,"02/20/2017, 10:30",7th Place Finals
Oregon,California-Santa Barbara,11,6,"02/20/2017, 08:00",7th place Semis
UCLA,Western Washington,6,13,"02/20/2017, 09:15",7th place Semis
bracket,Men's 9th Place
California-Santa Barbara,UCLA,13,3,"02/20/2017, 11:45",9th Place Finals
b,r,e,a,k
pools,15th Place Pool
pool,Pool I
Arizona,Oklahoma,8,7,"02/20/2017, 10:30",Pool I
California-Davis,Arizona,7,10,"02/20/2017, 13:00",Pool I
b,r,e,a,k
pools,Men's 11th Place Pool
pool,Pool J
California-Santa Cruz,San Diego State,11,4,"02/20/2017, 14:15",Pool J
California-San Diego,San Diego State,13,8,"02/20/2017, 15:30",Pool J
b,r,e,a,k
