2017 Texas Mixed Sectionals,Club - Mixed ,9,9,2017
Round Rock,TX,2017-09-09,2017-09-10
https://play.usaultimate.org/events/2017-Texas-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Cosa Nostra,1
28,Noemi  Montiel 
35,Daniel Velasquez
69,Estephania Sanchez Flores
71,Daniel Aguilar
89,Aniel Manilla
91,Marcela Trejo
93,Saul Álvarez Rangel 
b,r,e,a,k
Risky Business,3
teamInfo,,"Dallas, Texas",http://www.riskybusinessultimate.com/,https://www.facebook.com/RiskyBusinessUltimate,https://twitter.com/RiskyBizUlti
0,Jake Floyd
0,Jena Douville
01,Austin Henke
02,Holly Lin
03,Allie Long
04,Arthur Corbitt
05,Bryan Rowes
07,Christopher Schultz-Davis
08,Elise Path
09,Dalio Losch
10,Laura Reed
11,Megan Pleshek
13,Senna Nilsson
14,Kristopher Dapprich
16,Tim Records
17,Austin Reed
18,Christina Jones
19,Natalie Clifton
21,Blake Abbott
25,Jen Kim
26,Richard Bovio
27,Natalie Zielinski
33,Angga Widodo
36,Christian Walker
37,Andrew Morton
88,Zoey Clark
b,r,e,a,k
Moontower,5
teamInfo,,"Austin, Texas",https://www.instagram.com/moontowerultimate/,https://www.facebook.com/moontowerultimate/,https://twitter.com/moontowerulti
0,Anna Pobletts
0,Brian Grundy
0,Danielle Rowe
0,Douglas Hannah
0,Eric (Egon) Hersh
0,Erin Phillips
0,Luis Torres
0,Michael Natenberg
0,Mike French
0,Nicholas Gonner
0,Olivia Angel
0,Robert Connelly
0,Scott Long
0,Tien-Tien Chan
0,Tom Atchity
0,Vanessa Bacorn
8,Mikayla Slimmer
9,Summer Wilson
9,Marshall Payne
11,Allegra Donadio
30,Mick Walter
44,Katia Krupa
55,Theodore Weisman
77,Tim Robbins
b,r,e,a,k
Tlacuaches,12
teamInfo,,"McAllen, Texas",,https://www.facebook.com/rgvultimate,https://twitter.com/TlacuachesRGV
0,Alan Castillo
0,Alan Jones
0,Ernesto Angulo
0,Israel DeLaCruz
0,Jennifer Roberts
0,John Isbell
0,Jorge Hinojosa
0,Nicholas Alcantar
0,Richard Tovar
0,Samantha Holley
0,Trae Martinez
1,Caila Smith
3,Enrique Martinez
7,Rene Ballesteros
10,Daniel Tyx
12,Katharine Jones
17,Ethan Plummer
17,Valeria Damken
18,Keith Timmer
20,LAURA NIKSTAD
21,Ryan Martinez
23,Michael Barnes
29,Jennifer Tabler
43,Jeffrey Bearden
69,John Foeller
69,Ernesto Gutierrez
69,Daryl Smith
b,r,e,a,k
Sun Bats,14
teamInfo,,"Austin, Texas",,,
0,Brandon Wilson
0,BRENDAN SMITH
0,Christine Wilson
0,Daniel Miron
0,Fynn McPherson
0,Guadalupe Garcia
0,Jessie Pierce
0,Leah Carter
0,Lilly Duong
0,Maggie Cheung
0,Mark Jennings
0,Patrick Fleming
0,Pedro Rivera
0,Sean Laughlin
0,SHELBY WIEDRICH
0,William Matthews
0,Alexander Zavoluk
0,Amanda Chang
0,Angela Vujosevic
18,Ashley Rambo
66,JODI RYSDYKE JR
b,r,e,a,k
tHUMP,4
teamInfo,,"Houston, Texas",,,
coaches,Jason Jensen
02,Pooja Desai
03,Samantha Gomez
03,Emma Culotta
05,Nathan Scott
06,Nick Carranza
07,Keziah Hill
08,Joyce Andrews
09,Josephine Berrios
10,Bryce Lippitz
11,Cameron Albin
12,Emily Leivy
13,Monika Hershey
14,Ryan Rundle
15,Philip Nelson
16,Nick Thomas
17,Emilie Garnier
18,Tanner Moore
23,Travis Vermaelen
27,Abigail Ginac
28,Christopher Perrotti
30,Alex Jang
31,Alex Bui
32,Andrew Amerson
33,Hung-wei Huang
44,Robert Benson
78,Samuel Floren
b,r,e,a,k
Tex Mix,6
teamInfo,,"Dallas, Texas",,https://www.facebook.com/TexMixUltimate/,https://twitter.com/TexMixUlti
0,Chelsea Gomez
0,JOSHUA PIROG
1,Kayleigh Renfro
2,Neil Campbell
3,David Santillan
4,Clayton Moore
5,Morgan Heim
6,Elisabeth Shelby
7,Abbey Hewitt
10,Daniel Naylor
12,Greg Hulet
15,Jenna Hay
16,Greg Mcclure
18,Elizabeth Rodriguez
21,John Grzywinski
23,Andrew Maloney
24,Anna Highsmith
25,MARISSA JAQUEZ
29,David Moen
31,Christen McClure
32,Austin Highsmith
41,James Robarge
44,Robert Rader
45,Zack Moncrief
77,GOUTHAM KANDRU
88,Daniel Figueroa
99,Rebecca Case
b,r,e,a,k
The Tossers,11
teamInfo,,"Austin, Texas",,,
0,Cindy Peterson
0,Colleen Kepner
0,Hoag Kepner
0,DAWN SKONIECZNY
0,Kevin McPherson
0,Kimmy  Wilson
0,Marcus (Mark) May
0,Matthew Weber
0,Michael Kelly
0,SHEILA OGDEN
2,Erik Atwell
4,Megan Bell
5,Cara Crouch
