Old Capitol Open 2017,College - Men ,25,3,2017
Marion,IA,2017-03-25,2017-03-26
https://play.usaultimate.org/events/Old-Capitol-Open-2017/schedule/Men/CollegeMen/
Minnesota-Duluth,1
Wisconsin-Milwaukee,Northern Iowa,11,3,"03/26/2017, 08:30",Pool C,Final
Wheaton (Illinois),Toledo,11,0,"03/26/2017, 10:00",Pool C,Final
Wisconsin-Milwaukee,Bethel,11,1,"03/26/2017, 10:00",Pool C,Final
Wheaton (Illinois),Wisconsin-Milwaukee,11,7,"03/26/2017, 11:30",Pool C,Final
Northern Iowa,Bethel,11,3,"03/26/2017, 11:30",Pool C,Final
pool,Pool D
Minnesota (B),Coe,13,1,"03/25/2017, 08:30",Pool D,Final
Creighton,Washington University (B),8,9,"03/25/2017, 08:30",Pool D,Final
Minnesota (B),Creighton,13,2,"03/25/2017, 10:30",Pool D,Final
Valparaiso,Washington University (B),7,1,"03/25/2017, 10:30",Pool D,Final
Washington University (B),Coe,11,7,"03/26/2017, 08:30",Pool D,Final
Valparaiso,Creighton,11,6,"03/26/2017, 08:30",Pool D,Final
Minnesota (B),Washington University (B),11,3,"03/26/2017, 10:00",Pool D,Final
Valparaiso,Coe,11,6,"03/26/2017, 10:00",Pool D,Final
Minnesota (B),Valparaiso,11,6,"03/26/2017, 11:30",Pool D,Final
Creighton,Coe,11,8,"03/26/2017, 11:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Minnesota-Duluth,Iowa,13,11,"03/26/2017, 14:40",1st Place,Final
Minnesota-Duluth,Minnesota (B),13,8,"03/26/2017, 13:00",Semis,Final
Iowa,Wisconsin-Milwaukee,12,11,"03/26/2017, 13:00",Semis,Final
bracket,3rd Place Game
Minnesota (B),Wisconsin-Milwaukee,13,5,"03/26/2017, 13:00",3rd Place,Final
bracket,5th Place Bracket
Valparaiso,Wheaton (Illinois),8,13,"03/26/2017, 13:00",5th Place,Final
bracket,7th Place Game
