D-I College Championships,College - Men ,27,5,2016
Raleigh,NC,2016-05-27,2016-05-30
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/
Georgia,8
99,Alex Tatum
b,r,e,a,k
Oregon,2
2,Kerry Athey
03,Cameron Ficher
05,Logan Chantelois
11,Tim McGinn
14,Michael Fielden
15,Max Moore
17,Jacob Lambert
19,Steven Pearlman
21,Spencer Latarski
22,Zach Meyer
23,Xander Cuizon Tice
24,Adam Rees
25,NICHOLAS HEATON
26,Colton Clark
32,Martin Harris
33,Ben Pettis
42,Will Lohre
55,Connor Matthews
64,Leandro Marx
66,William Watkins
68,James Shanahan
70,Christopher Strub
75,Marvin Waldvogel
80,Braedon Petrus
b,r,e,a,k
North Carolina,7
00,AARON WARSHAUER
01,Aaron Wan
03,JD Hastings
04,Suraj Madiraju
05,Nathan Kwon
06,Ben Maxson
07,Jesse Kovacs
08,ALEC TOLENTINO
10,Marcus Rovner
11,Taek Lee
12,Elijah Long
15,Vikram Sethuraman
16,Austin Banks
17,Spencer Beck
18,Dain Nielsen
19,Paden McBride
21,Matt Gouchoe-Hanas
23,Walker Matthews
24,Alexander Davis
25,David Voychuk
27,Ryan  Greaves
42,Alex (Evan) Grosskurth
50,Miles Lally
76,Chathan Driehuys
85,Andrew Mouw
b,r,e,a,k
Florida State,14
00,John Kern
02,Bobby Patterson
03,Tim Lootens
04,Gabe Azarcon
05,Thomas Mazza
06,Rob Leeds
07,Carlito Que
08,CHENTE ORTIZ
09,Scott Moore
11,LIAM RAWSON
14,Austin Bass
19,Bryce Vokus
21,Robert Larsen
22,Spencer Howett
23,Peter Van Brussel
24,Dylan Claerbout
25,Cole Friedes
26,Alex Winter
27,Connor Holcombe
33,Kody Cotton
34,Avery Van Brussel
35,James Dobson
36,Stephen  Muir
43,William Boor
46,Keno Catabay
50,Driss Ziane
80,Daniel Miller
b,r,e,a,k
Case Western Reserve,18
0,Dmitriy Estrin
03,Joseph Marmerstein
07,Jordan Liff
08,Kunal Rath
12,William Baskin
14,Kyle Rogers
15,Steven Tokar
17,Steven Her
18,Anthony Dario
22,Nathan Olszowy
23,Tarik Akyuz
25,MATT TEDESCO
26,Milo Korman
27,Kevin Talbot
30,Brian Ward
31,Matthew Chin
33,Jacob Lunn
43,Jake Rovner
72,Nick Longo
81,Mark Fertal
85,Michael Kasper
b,r,e,a,k
Wisconsin,6
00,Alexander Ogren
02,Branavan Yogarajah
03,Nicholas Vogt
04,Nicholas Ladas
05,Jeff Maskalunas
06,Ian Hahn
07,Avery Johnson
09,Erik Jorgensen
10,Sam Hebert
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
24,Eric von Kampen
25,Ross Barker
27,Rami Paust
31,JACOB ELIAS
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
49,John Tan
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Michigan,15
02,Wesley Chen
03,Alexander Russomanno
04,Vikram Mathias
05,Noah Backer
07,Dan Calabrese
10,Jake Steslicki
11,Zachary Goulson
14,Benjamin Page
15,Sam Greenwood
17,Jake Moyer
20,Adam Stautberg
21,Travis Compo
23,Max Teener
26,Noah Lybik
28,Andrew Suchezky
29,Christopher Jacobson
30,Parker Howard
33,Andy Yu
40,Robert (Bobby) Moyer
41,Daniel Lee
43,MICHAEL ROBERTS
59,Nicholas Gerber
64,Steven Jacobson
77,ALEXANDER ROBERTS
84,Joe Krieger
87,Josh Becker
b,r,e,a,k
Harvard,10
01,Adam Ehrenberg
02,Ryan Kerr
04,Bryn Huxley-Reicher
05,Andrew Brennan
06,James Thurm
07,BEN BANAVIGE
09,John Rahill
10,Olivia Player
11,Andrew O'Rourke
12,Benjamin Scharfstein
13,Michael Aderhold
14,John Stubbs
17,JONAH HAHN
18,Harry Stone
19,William Deuschle
22,Alexander Hem
23,Mark Vandenberg
24,David Reshef
31,Aron Szanto
37,Jack Deschler
39,Keiran Carpen
50,Jeffrey Naftaly
72,Ryan Plunkett
89,Milan Ravenell
91,Christopher Haley
b,r,e,a,k
Connecticut,19
00,Gavin Clemmey
01,Pat Kunkel
02,Matthew LeClair
03,Michael Rice
04,Brody O'Brien
05,Walter Esker
06,Phil Case
07,John Friedman
10,Owen Casey
11,Corey Danko
12,MILES RADIN
15,CHARLES MORGAN
16,Brian Abedon
17,Alex Jayakar
20,Nathan Getz
25,Jake Hansen
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
45,Philip Murray
48,Colin Ng
74,Alex Fishman
87,Bryan Maloney
96,Christian Bonebrake
b,r,e,a,k
North Carolina-Wilmington,3
01,William Stewart
02,GABRIEL FULLER
03,Colin White
05,DANIEL MERCER
09,Frederick Hennighausen
10,Kyle Warfel
11,Charlie Lian
12,Kevin Mateer
17,Keane Squeri 
18,Grayson Sanner
20,MATT MASON
22,Carl Matysek
23,Jack Williams
25,Jake Gallagher
27,John  Wright 
28,Joseph Sharp
33,Austin McGrayne
42,Jonathan Callahan
79,Erik Esposto
80,Xavier Maxstadt
88,Dalton Vestal
89,Davon Jaramillo
99,Thomas  Theunissen
b,r,e,a,k
Auburn,16
03,Blake Galloway
05,Eric Sjostrom
06,Garris Bugg
09,Dustin Register
11,Jack Missildine
12,Jonathan Arrington
16,Evan Caldwell
18,Robert Alongi
22,Rocco Magnella
23,Martin Newman
24,Samuel Murphree
25,Reid Williams
26,Hamilton  Wasnick
27,Michael Volz
28,Reid Thackerson
32,Trois White
33,James Hershey
35,Clark Missildine
37,Michael Strobel
44,Hank Womble
47,Joshua Connelly
83,Ryan Landry
85,Evan Boecking
87,William Thompson
b,r,e,a,k
Pittsburgh,5
02,Joseph Bender
03,Patrick Earles
05,Saul Graves
08,Leo Warren
09,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
21,Noah Robinson
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
28,SAM JENNINGS
29,Dan Goldstein
30,Vince Tranquillo
38,Jonah Wisch
48,Jimmy Towle
77,Dillon Tranquillo
79,Michael Ing
88,Jack Slevin
b,r,e,a,k
Minnesota,4
4,Josh Kautz
01,Ryan Osgar
02,Alexander Jirele
03,Connor Anderson
04,Benjamin Jagt
07,Zach Trosvig
08,Cole Wallin
09,Tom Duret
10,Anthony Poletto
11,Sam Kaminsky
18,James Nguyen
20,Blake Trantina
21,Joshua Pratt
22,Adam Meckstroth
23,Saurav Dubey
24,ISAAC RUFF
36,Donald Wood
40,NEIL PETERSEN
41,Samuel Bumsted
42,Thomas Bakko
47,Dan Wylie
48,Wyatt Mekler
77,Soham Shah
93,Justin Hill
99,Tristan Van De Moortele
b,r,e,a,k
Carleton College,9
00,Chris Sundquist
01,James Freed
02,Solomon Yanuck
03,Eli Miller
06,Alex Olson
09,Nikita Fomichev
10,Henry Fisher
11,Kohl Sparrman
12,Tim Schoch
13,Alexander Walker
14,Kenneth Lim
15,Eric Taylor
16,ANGUS LAMONT
17,Adam Throne
21,Jesse Bolton
23,Sef van Kan
27,Elliot Mawby
30,Natan Lee-Engel
33,Conor Eckert
53,David O'Dea
55,Jake Ritmire
91,Russell Hanson
b,r,e,a,k
Utah,20
00,Michael Lien
01,Braden Ohlsen
02,Caleb Felicetti
03,Matt Lansing
04,Eric Amerling
05,Ivan Martins
06,Brenden Fischer-Femal
07,Bryson Allison
09,Robert King
10,Michael Giere
11,Hunter Levis
12,Andrew Feller
15,Trey Taylor
17,JEFFREY LETSINGER
20,Anderson Fackler
21,Michael Affleck
25,ALEX BAKER
27,Simon Greenhalgh
27,Harrison Sucher
50,Alexander Knock
66,Joshua Zdrodowski
71,Greg Krumel
75,Jeffrey Santry
77,Connor Hess
84,Scott Sivola
88,KEVIN BRYANT
99,Sriram Aananthakrishnan
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Massachusetts,Georgia,11,15,"05/27/2016, 10:30",Pool A,Final
Texas A&M,Washington,15,13,"05/27/2016, 10:30",Pool A,Final
Georgia,Washington,14,11,"05/27/2016, 14:30",Pool A,Final
Texas A&M,Cal Poly-SLO,11,13,"05/27/2016, 14:30",Pool A,Final
Massachusetts,Cal Poly-SLO,15,8,"05/27/2016, 16:30",Pool A,Final
Massachusetts,Texas A&M,15,9,"05/28/2016, 08:30",Pool A,Final
Georgia,Cal Poly-SLO,15,13,"05/28/2016, 08:30",Pool A,Final
Massachusetts,Washington,14,13,"05/28/2016, 12:30",Pool A,Final
Georgia,Texas A&M,2,15,"05/28/2016, 12:30",Pool A,Final
Washington,Cal Poly-SLO,15,14,"05/28/2016, 14:30",Pool A,Final
pool,Pool B
Oregon,Case Western Reserve,14,12,"05/27/2016, 08:30",Pool B,Final
North Carolina,Florida State,16,14,"05/27/2016, 08:30",Pool B,Final
Oregon,North Carolina,14,12,"05/27/2016, 12:30",Pool B,Final
Colorado,Florida State,15,12,"05/27/2016, 12:30",Pool B,Final
Colorado,Case Western Reserve,15,11,"05/27/2016, 16:30",Pool B,Final
Oregon,Colorado,9,15,"05/28/2016, 10:30",Pool B,Final
North Carolina,Case Western Reserve,16,15,"05/28/2016, 10:30",Pool B,Final
Florida State,Case Western Reserve,15,11,"05/28/2016, 12:30",Pool B,Final
North Carolina,Colorado,12,15,"05/28/2016, 14:30",Pool B,Final
Oregon,Florida State,15,11,"05/28/2016, 14:30",Pool B,Final
pool,Pool C
Wisconsin,Michigan,15,9,"05/27/2016, 10:30",Pool C,Final
Harvard,Connecticut,15,10,"05/27/2016, 10:30",Pool C,Final
North Carolina-Wilmington,Wisconsin,11,15,"05/27/2016, 14:30",Pool C,Final
Harvard,Michigan,13,15,"05/27/2016, 14:30",Pool C,Final
North Carolina-Wilmington,Connecticut,12,15,"05/27/2016, 16:30",Pool C,Final
Michigan,Connecticut,12,9,"05/28/2016, 08:30",Pool C,Final
North Carolina-Wilmington,Harvard,12,15,"05/28/2016, 10:30",Pool C,Final
Wisconsin,Connecticut,15,9,"05/28/2016, 10:30",Pool C,Final
North Carolina-Wilmington,Michigan,14,12,"05/28/2016, 14:30",Pool C,Final
Wisconsin,Harvard,15,6,"05/28/2016, 14:30",Pool C,Final
pool,Pool D
Pittsburgh,Auburn,13,15,"05/27/2016, 08:30",Pool D,Final
Carleton College,Utah,15,6,"05/27/2016, 08:30",Pool D,Final
Minnesota,Utah,15,8,"05/27/2016, 12:30",Pool D,Final
Carleton College,Auburn,16,15,"05/27/2016, 12:30",Pool D,Final
Minnesota,Pittsburgh,13,15,"05/27/2016, 16:30",Pool D,Final
Minnesota,Carleton College,15,11,"05/28/2016, 08:30",Pool D,Final
Auburn,Utah,15,12,"05/28/2016, 08:30",Pool D,Final
Pittsburgh,Utah,15,7,"05/28/2016, 10:30",Pool D,Final
Minnesota,Auburn,13,14,"05/28/2016, 12:30",Pool D,Final
Pittsburgh,Carleton College,15,10,"05/28/2016, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Harvard,Minnesota,12,15,"05/30/2016, 14:30",Finals,Final
Harvard,North Carolina,13,11,"05/29/2016, 17:30",Semifinals,Final
Pittsburgh,Minnesota,13,14,"05/29/2016, 20:00",Semifinals,Final
Harvard,Georgia,14,13,"05/29/2016, 08:30",Quarters,Final
North Carolina,Auburn,15,13,"05/29/2016, 08:30",Quarters,Final
Pittsburgh,Wisconsin,14,12,"05/29/2016, 08:30",Quarters,Final
Minnesota,Colorado,15,11,"05/29/2016, 08:30",Quarters,Final
Oregon,Harvard,13,15,"05/28/2016, 17:15",Prequarters,Final
Michigan,North Carolina,12,15,"05/28/2016, 17:15",Prequarters,Final
Pittsburgh,Texas A&M,15,9,"05/28/2016, 17:15",Prequarters,Final
Massachusetts,Minnesota,10,14,"05/28/2016, 17:15",Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Placement Game #1
Washington,Utah,9,15,"05/29/2016, 08:30",Placement Game #1,Final
bracket,Placement Game #2
Case Western Reserve,Connecticut,14,16,"05/28/2016, 17:15",Placement Game #2,Final
bracket,Placement Game #3
Carleton College,Cal Poly-SLO,15,8,"05/28/2016, 17:15",Placement Game #3,Final
bracket,Placement Game #4
North Carolina-Wilmington,Florida State,13,6,"05/29/2016, 08:30",Placement Game #4,Final
b,r,e,a,k
