Warm up: A Florida Affair 2016,College - Men ,12,2,2016
Tampa,FL,2016-02-12,2016-02-14
https://play.usaultimate.org/events/Warm-up-A-Florida-Affair-2016/schedule/Men/CollegeMen/
Minnesota,10
12,Connor Ughetta
13,Dalton Smith
16,DAVID SMITH
17,Todd Schrader
18,Casey Aldridge
20,Nicolas Ceaser
21,Alex Garcia
21,Carson Smith
22,Zach Marbach
23,TRAVIS WINTER
24,Brendan Adams
27,Colin Smith
32,Jared Schueler
42,RYAN  JONES
80,Connor Cole
81,Luke Hebert
b,r,e,a,k
Northwestern,11
teamInfo,NUT,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/NUTUltimate
02,Benjamin Spielman
03,Joe Harari
07,Sahaj Kumar
08,Elliott Siu
09,Michael Hamburger
10,Matthew Niemer
11,Jeffrey Holm
12,Kyle Rutledge
13,Jeremy Piech
17,Nathan Yeazel
20,Jay Valdillez
24,Kedric Daly
25,Jonathan Piech
27,Edward Speyer
29,Michael Koho
31,Christopher Pierce
33,Jakub Jezusek
34,John Lanuti
36,Will Frolich
39,Alex Lin
41,Christian Rozolis
42,Henry Richey
57,Bif Reiser
90,Kyle Condron
b,r,e,a,k
Central Florida,5
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
coaches,Andrew Roca,Daniel Jakob
01,Austin Gaines
02,Kameron Knight
03,Terence Murphy
04,Kyle Reedy
05,Michael Fairley
06,Kyle Lockwood
08,Harrison Slate
09,JACOB RADFORD
10,James Dangler
11,Adam Lapikas
12,Matt Helms
13,Zachary Marks
16,Zachary Good
18,Tyler Carolino
25,Adam Vinson
26,Thomas Schulte
27,Austin Mercadante
30,Andrew McKelvey
32,Austin Malone
45,Jeffrey Shapiro
51,Michael Taylor
69,Joseph Behr
74,Stuart Little
84,Nick Ellison
87,Benjamin Ostman
88,Remi Prendergast
b,r,e,a,k
Brigham Young,3
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
0,Kevin Hodgson
0,Nolan Hutchings
0,Taylor Caldwell
0,Benjamin Hodson
0,Ryan Savage
0,Tanner Yorgason
4,Devon Terry
5,Spencer Hodson
6,Matt Ricks
7,Will Honey
10,Ben Olpin
13,Seokhee Burningham
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
23,Jesse Taylor
26,Robert Eckles
32,Nacody de la Rosa
50,Austin Alpeter
55,Wyatt Nethercott
64,Jason McKeen
72,Jordan Hill
93,DAKOTA FLANARY
b,r,e,a,k
Virginia Tech,16
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,
0,JESSE MATTHEWS
0,Christian Kingett
0,Saral Kumar
0,Craig  Benson
0,Alexander DeLuca
0,Daniel Sablosky
0,Alexander Wu
0,Christopher Granito
0,TOBY WHITE
0,Nicholas Gigliotti
0,Christian Gilbertson
0,Dylan Hitt
0,David Gardiner
6,Ryan Rossum
8,George Waskowicz
10,Lucas Fenstermacher
11,Conner Fox
12,Kyle Flynn
13,David van Pelt
21,Rhys Bergeron
22,Ferry Akbar Buchanan
28,Joe Novak
69,Geoffrey Israel
80,Antoine Davis
b,r,e,a,k
Florida State,8
teamInfo,DUF,"Tallahassee, Florida",modules/common/fsultimate.com,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
coaches,Peter van de Burgt,Matt Childs
0,John Kern
6,Rob Leeds
02,Bobby Patterson
03,Tim Lootens
04,Gabe Azarcon
05,Thomas Mazza
07,Carlito Que
08,CHENTE ORTIZ
09,Scott Moore
11,LIAM RAWSON
14,Austin Bass
19,Bryce Vokus
21,Robert Larsen
22,Spencer Howett
23,Peter Van Brussel
24,Dylan Claerbout
25,Cole Friedes
26,Alex Winter
27,Connor Holcombe
33,Kody Cotton
34,Avery Van Brussel
35,James Dobson
36,Stephen  Muir
46,Keno Catabay
50,Driss Ziane
80,Daniel Miller
b,r,e,a,k
Carleton College,4
teamInfo,CUT),"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
02,Solomon Yanuck
03,Eli Miller
06,Alex Olson
09,Nikita Fomichev
11,Kohl Sparrman
12,Tim Schoch
13,Alexander Walker
14,Kenneth Lim
15,Eric Taylor
16,ANGUS LAMONT
17,Adam Throne
21,Jesse Bolton
22,Chris Sundquist
23,Sef van Kan
27,Elliot Mawby
30,Natan Lee-Engel
33,Conor Eckert
53,David O'Dea
55,Jake Ritmire
91,Russell Hanson
b,r,e,a,k
Connecticut,6
teamInfo,UConn Grind,"Storrs, Connecticut",,,https://twitter.com/UConnGrind
01,Pat Kunkel
03,Michael Rice
05,Walter Esker
06,Phil Case
07,John Friedman
09,Ryan Kennedy
10,Owen Casey
11,Corey Danko
12,MILES RADIN
15,CHARLES MORGAN
16,Brian Abedon
17,Alex Jayakar
20,Nathan Getz
25,Jake Hansen
28,RYAN POSSARDT
31,John Wodatch
33,Daniel Reilly
45,Philip Murray
48,Colin Ng
87,Bryan Maloney
96,Christian Bonebrake
99,Gavin Clemmey
b,r,e,a,k
Illinois,9
teamInfo,Illinois Ultimate,"Champaign, Illinois",modules/common/www.illinoisultimate.com,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniUlti
coaches,Erik Huemiller
0,MARK PETERSON
0,Josh Deeman
0,Ryan Kantor
0,Ben Foster
0,ZI YANG KAN
0,Tung Shu Chu
0,Devin Kelly
0,Johnny Saniat
0,PRAYAG  PATEL
0,MICHAEL COSMOS
0,ALEX GUY
0,Jacob Trueb
0,Robert Gazdziak
0,Jacob  Cuthbert
1,NICK PROZOROVSKY
2,Ben Sabourin
3,Cody Gray
4,Tat Shing Thum
19,Jacob Komenda
21,Jarred Elliott
23,Hector Moreno
27,Wilson Wang
37,Walter Jaskowiak
81,Chris Buchta
97,Kevin Lin
b,r,e,a,k
Texas,14
teamInfo,TUFF,"Austin, Texas",http://texasultimate.wix.com/texasultimate,https://www.facebook.com/TexasUltimate,@texasultimate
0,WALTER LENOIR
01,Connor Leigh
03,Nathan Chen
05,Benjamin Snell
06,Christopher Schultz-Davis
10,Connor Breen
11,Dillon Larberg
12,Clark Clayton
13,Nash Mock
14,SHAWN STONE
16,Michael Hays
17,Vinay Valsaraj
18,RICHARD WONG
19,JOSH BRUNELLI
29,Logan Kinney
31,Luke Simerly
52,Holt Newton
77,Joel Clutton
83,Alexander You
96,Keivaun Waugh
b,r,e,a,k
Florida,7
teamInfo,Florida,"Gainesville, Florida",modules/common/www.ufultimate.com,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
06,Danny Bishop
07,Ryan Hiser
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,Brandon Turnage
15,Tanner Repasky
16,Ryan Goetz
18,Hayden Wachob
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
32,Patrick Gettino
39,Evan Murray
66,Daniel Conrad
69,ANDRIS OTISONS
96,Donovan Johnson
b,r,e,a,k
South Florida,13
teamInfo,Scallywags,"Tampa, Florida",,https://facebook.com/usfultimate,https://twitter.com/usfultimate
0,John Taylor
0,Dylon Dam
0,BENJAMIN BREWER
0,Sagar Shahani
0,Vikrant Pendharkar
0,Rocco Davis
0,Scott DeLuca
0,RODRIGO ANGULO
2,JASON TACKETT
8,Patrick Morris
9,Clay Hewett
12,MCGREGOR COYNE
16,Nathan Callihan
18,Alex DeSouza
21,Keith Patterson
27,Ryan Graydon
87,TAD PALMER
b,r,e,a,k
Auburn,2
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Robert Alongi
0,Harrison Lott
0,James Hershey
0,Jack Missildine
0,Samuel Murphree
0,Hank Womble
0,Jonathan Arrington
0,Jacob Helf
5,Eric Sjostrom
6,Evan Caldwell
6,Garris Bugg
9,Dustin Register
12,Ryan Landry
22,Rocco Magnella
23,Martin Newman
25,Reid Williams
27,Michael Volz
28,Reid Thackerson
30,JACK SMITH
35,Clark Missildine
37,Michael Strobel
85,Evan Boecking
b,r,e,a,k
Central Florida (B),20
teamInfo,Havoc,"Orlando, Florida",modules/common/www.centralfloridaultimate.com,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/UCF_Havoc
0,Michael O'Dowd
0,Eric De La Espriella
0,J. Austin Sweeney
0,Jared Abare
0,Tyler Bradley
0,Grant Cooper
0,James Medlin
0,Andre Fernandez
0,Brandon Garvin
0,Tyler Knowles
0,JORGE DE GOUVEIA
0,Erik Phillips 
0,JOHN COLLINS
0,Duc-Quy Nguyen
0,Jesse Lu
0,ANDREW CHIANG
1,Austin Lachmann
2,Justin Dos Santos
5,Alexander Mejido
8,Conor Forgey
10,Bryce Walker
11,Sebastian Martinez
11,Alexander McFerran
15,Timothy Conner
18,Alex Schmoling
20,John Scott
33,Hayden Nielander
39,Alex Warters
45,Joseph Holland
49,Nicholas Coury
57,Kyle Stinson
84,Timothy Gleeson
88,Thomas Milana
b,r,e,a,k
TEAM_NAME_NOT_FOUND,0
b,r,e,a,k
Florida (B),21
teamInfo,Florida B,"Gainesville, Florida",,,
0,Julian Tolentino
0,ADAM STOLLER
0,Jonathan  Beaubrun
0,Andy Therathanakorn
0,Sterling Miller
0,Brian Palmer
0,Noah Barnes
0,Jesse Everett
0,Parks Weatherford
3,Jose Varillas
3,Steven Nguy
5,Ely Levine
9,Colby Cashion
11,TROY BRYANT
29,Hayden Chappel
b,r,e,a,k
Florida State (B),24
teamInfo,DUF Lite,"Tallahassee, Florida",http://www.fsultimate.com/mens-ultimate,,
0,Alexander Messick
0,Robert (Jack) Menzel
0,Shawn Lake
0,Cameron Robertson
2,Alexander Claffey
9,Bryce Frohlich
00,John T
03,Conner Smith
05,Trevor Stade
06,Jonathan Sapp
12,TYLER LEVESQUE
13,Eric Vlach
16,COLE STADE
19,Henry Marcille
20,Joshua Goraum
23,Peter Backhaus
27,BRADLEY PATTERSON
28,Spencer Bluni
30,JEREMY SANCHEZ
33,Daniel Parlier
35,Michael (Dalton) Carter
42,Christopher Niesen
44,Cameron Mele
69,Patrick Cox
69,David Heether
b,r,e,a,k
Ave Maria,19
teamInfo,Cristeros,"Ave Maria, Florida",,,
0,Gerard Pontarelli
0,John Gieger
0,Joseph Free
0,Marcello Marsalli
0,Joe Swehla
0,Elijah Newcomb
0,Nicholas Higa
0,john lesniewski
0,James Lesniewski
0,John Beller
0,Justin Godde
0,Justin Kelley
4,Mike Harrington
7,Christian Amland
8,George de los Reyes
9,Aaron Bostrom
02,John Lowrey
24,John Thrun
33,Daniel Scanlan
b,r,e,a,k
Northwestern (B),25
teamInfo,Bolt,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/BoltUltimate
0,Manish Narasimman
01,Alek Jansen
04,Jonathan Huang
05,COLLIN BARNWELL
06,William Blackwell
18,Bryan Richman
22,James Schuller
30,Kevin Lee
32,John Hruska
35,Patrick Doyle
37,KYLE MCCALL
43,Bharat Iyer
44,Isaiah Mendoza
46,Andrew SaLoutos
47,Bruce Johnson
48,Robert Gray
49,Peter Pribyl Pierdinock
51,Elijah Goering
52,Ben Richards
55,DANIEL SANDERS
58,Theodore Bisdikian
66,Arseniy Minasov
73,Benjamin Laning
81,Theodore Chryssos
82,John Burtis
99,Joshua Venegas
b,r,e,a,k
Pittsburgh (B),26
teamInfo,En Sabah Nur-B,"Pittsburgh, Pennsylvania",modules/common/pittultimate.org,,https://twitter.com/pittb_ultimate
0,ALEX ORSENO
0,Michael Sapienza
0,Henry Novara
7,Richard Boyle
14,Kenneth McQuail
20,ERIK MCLANE
23,Peter Niesman
24,Ben Morgenstern
29,Hafeez Shams
31,David Tulin
33,Max Thompson
37,Noah Weintraub
39,ROGER XUE
42,ADRIAN DICKER
44,Matt Walheim
45,David Menard
66,KEVIN GLORIUS-PATRICK
70,XAVIER TORGERSON
77,QUENTIN TORGERSON
87,Daniel Goldstein
96,Kamal Raslan
99,Patrick Asinger
99,Dan Mercader
b,r,e,a,k
Auburn (B),18
teamInfo,Auburn,"Auburn, Alabama",modules/common/auburnultimate.wordpress.com,modules/common/facebook.com/auburnultimate,@AuburnUltimate
0,Trois White
0,Cody Wheeler
0,William Thompson
0,Samuel Boddie
0,Ryan Weesner
0,Trevor Spengeman
0,Jack Corrigan
0,Matthew Zheng
0,William Huser
20,Mitch Parker
26,Hamilton  Wasnick
b,r,e,a,k
Florida Gulf Coast,23
teamInfo,FGCU Eagles,"Fort Myers, Florida",,https://www.facebook.com/groups/867685003261127/,
0,Dylan Eskridge
0,Parker Jagert
0,Samuel KOZLOWSKI
0,Paul Page
6,Sean Miloff
12,Christopher Linskey
20,Austin Arden
31,Alexander Rodriguez
33,Matthew Frisbee
80,Tyler McMahon
99,Zachary Domrase
b,r,e,a,k
South Florida (B),27
teamInfo,Scourge,"Tampa, Florida",,https://www.facebook.com/USFUltimate,@usfultimate
0,Weston Howell
0,JONATHON BURROUGHS
0,Aaron Daniel
0,Jacob Schleicher
0,Paul Bednarek
0,Andrew Romero
0,Tam Mai
0,William Buchanan
7,Christian Villar
17,Joseph Ungos
37,Christopher Tiedge
40,ADAM WOODARD
42,Jason Norwood
b,r,e,a,k
s,t,a,g,e,s
clusters,Elite
cluster,Friday & Saturday
Minnesota,Pittsburgh,13,11,"02/12/2016, 09:00",,Final
Arizona State,Wisconsin,5,13,"02/12/2016, 09:00",,Final
Texas A&M,Northwestern,13,6,"02/12/2016, 09:00",,Final
Central Florida,Brigham Young,13,10,"02/12/2016, 09:00",,Final
Virginia Tech,Florida State,10,13,"02/12/2016, 09:00",,Final
Carleton College,Connecticut,11,13,"02/12/2016, 09:00",,Final
Illinois,Texas,10,13,"02/12/2016, 09:00",,Final
Central Florida,Connecticut,13,10,"02/12/2016, 11:10",,Final
Texas A&M,Pittsburgh,13,11,"02/12/2016, 11:10",,Final
Florida,Northwestern,13,3,"02/12/2016, 11:10",,Final
Arizona State,Virginia Tech,5,13,"02/12/2016, 11:10",,Final
Minnesota,Brigham Young,13,11,"02/12/2016, 11:10",,Final
South Florida,Texas,7,13,"02/12/2016, 11:10",,Final
Illinois,Florida State,11,13,"02/12/2016, 11:10",,Final
Carleton College,Auburn,13,10,"02/12/2016, 11:10",,Final
Texas A&M,Carleton College,8,13,"02/12/2016, 13:20",,Final
Florida,Minnesota,13,4,"02/12/2016, 13:20",,Final
Wisconsin,Texas,13,10,"02/12/2016, 13:20",,Final
South Florida,Northwestern,13,10,"02/12/2016, 13:20",,Final
Connecticut,Brigham Young,7,13,"02/12/2016, 13:20",,Final
Central Florida,Auburn,10,11,"02/12/2016, 13:20",,Final
Pittsburgh,Illinois,13,2,"02/12/2016, 13:20",,Final
Florida,Virginia Tech,13,6,"02/12/2016, 15:30",,Final
Arizona State,Minnesota,8,10,"02/12/2016, 15:30",,Final
Florida State,Auburn,13,11,"02/12/2016, 15:30",,Final
Illinois,Brigham Young,5,13,"02/12/2016, 16:00",,Final
Carleton College,Arizona State,13,5,"02/12/2016, 17:30",,Final
Florida State,Texas A&M,9,13,"02/12/2016, 17:30",,Final
South Florida,Connecticut,13,11,"02/12/2016, 18:00",,Final
Florida,Wisconsin,13,11,"02/12/2016, 18:00",,Final
Pittsburgh,South Florida,13,7,"02/13/2016, 09:00",,Final
Central Florida,Texas,10,13,"02/13/2016, 09:00",,Final
Northwestern,Virginia Tech,8,13,"02/13/2016, 09:00",,Final
Auburn,Arizona State,12,13,"02/13/2016, 09:00",,Final
Wisconsin,Brigham Young,13,6,"02/13/2016, 09:00",,Final
Illinois,South Florida,13,5,"02/13/2016, 11:10",,Final
Pittsburgh,Texas,13,8,"02/13/2016, 11:10",,Final
Connecticut,Arizona State,13,8,"02/13/2016, 11:10",,Final
Minnesota,Central Florida,13,9,"02/13/2016, 11:10",,Final
Florida,Brigham Young,11,13,"02/13/2016, 11:10",,Final
Auburn,Texas A&M,13,14,"02/13/2016, 11:10",,Final
Wisconsin,Virginia Tech,12,14,"02/13/2016, 11:10",,Final
Northwestern,Florida State,12,14,"02/13/2016, 11:10",,Final
Illinois,Virginia Tech,6,13,"02/13/2016, 13:20",,Final
Auburn,Connecticut,10,13,"02/13/2016, 13:20",,Final
Northwestern,Minnesota,6,13,"02/13/2016, 13:20",,Final
Florida,Texas A&M,10,13,"02/13/2016, 13:20",,Final
Wisconsin,Florida State,13,10,"02/13/2016, 13:20",,Final
Texas,Carleton College,7,13,"02/13/2016, 13:20",,Final
Brigham Young,South Florida,13,6,"02/13/2016, 13:20",,Final
Auburn,Illinois,13,5,"02/13/2016, 15:30",,Final
Northwestern,Connecticut,3,13,"02/13/2016, 15:30",,Final
Minnesota,Texas A&M,13,6,"02/13/2016, 15:30",,Final
Brigham Young,Texas,10,13,"02/13/2016, 15:30",,Final
Central Florida,Carleton College,10,12,"02/13/2016, 16:00",,Final
Pittsburgh,Wisconsin,9,11,"02/13/2016, 16:00",,Final
South Florida,Virginia Tech,5,13,"02/13/2016, 17:30",,Final
Florida State,Arizona State,11,13,"02/13/2016, 17:30",,Final
Florida,Carleton College,13,10,"02/13/2016, 18:00",,Final
Central Florida,Pittsburgh,7,13,"02/13/2016, 18:00",,Final
b,r,e,a,k
clusters,Emerging Powerhouse
cluster,Friday & Saturday
Central Florida (B),TEAM_NAME_NOT_FOUND,13,10,"02/12/2016, 09:00",,Final
Florida (B),Florida State (B),13,7,"02/12/2016, 09:00",,Final
Florida (B),Ave Maria,13,11,"02/12/2016, 10:45",,Final
Northwestern (B),Florida State (B),5,13,"02/12/2016, 12:30",,Final
Northwestern (B),Ave Maria,10,13,"02/12/2016, 14:15",,Final
Pittsburgh (B),TEAM_NAME_NOT_FOUND,13,3,"02/12/2016, 14:15",,Final
Pittsburgh (B),Auburn (B),13,1,"02/12/2016, 16:00",,Final
Northwestern (B),Florida Gulf Coast,3,13,"02/12/2016, 16:00",,Final
Florida State (B),Ave Maria,14,13,"02/12/2016, 16:00",,Final
Florida (B),Northwestern (B),13,5,"02/12/2016, 16:00",,Final
Pittsburgh (B),Central Florida (B),13,4,"02/12/2016, 16:00",,Final
Pittsburgh (B),South Florida (B),13,2,"02/12/2016, 17:45",,Final
TEAM_NAME_NOT_FOUND,Auburn (B),8,13,"02/12/2016, 17:45",,Final
Florida State (B),Florida Gulf Coast,12,8,"02/12/2016, 17:45",,Final
TEAM_NAME_NOT_FOUND,South Florida (B),3,13,"02/12/2016, 19:30",,Final
Central Florida (B),Auburn (B),13,7,"02/12/2016, 19:30",,Final
Florida Gulf Coast,Ave Maria,9,13,"02/12/2016, 19:30",,Final
Florida (B),Florida Gulf Coast,13,4,"02/12/2016, 21:15",,Final
Central Florida (B),South Florida (B),10,8,"02/12/2016, 21:15",,Final
Auburn (B),South Florida (B),4,13,"02/13/2016, 06:00",,Final
TEAM_NAME_NOT_FOUND,Ave Maria,7,13,"02/13/2016, 09:00",,Final
Pittsburgh (B),Northwestern (B),13,0,"02/13/2016, 09:00",,Final
Pittsburgh (B),Florida State (B),11,13,"02/13/2016, 10:45",,Final
TEAM_NAME_NOT_FOUND,Florida (B),3,13,"02/13/2016, 10:45",,Final
Central Florida (B),Florida State (B),6,13,"02/13/2016, 15:30",,Final
South Florida (B),Florida (B),2,13,"02/13/2016, 16:00",,Final
Central Florida (B),Florida Gulf Coast,12,7,"02/13/2016, 17:45",,Final
South Florida (B),Northwestern (B),13,8,"02/13/2016, 17:45",,Final
Auburn (B),Ave Maria,3,13,"02/13/2016, 22:30",,Final
Auburn (B),Florida Gulf Coast,2,13,"02/13/2016, 23:00",,Final
b,r,e,a,k
brackets,Elite Brackets
bracket,Sunday
Minnesota,Florida,14,13,"02/14/2016, 13:30",Championship,Final
Minnesota,Texas A&M,15,9,"02/14/2016, 11:15",Semifinals,Final
Wisconsin,Florida,11,12,"02/14/2016, 11:15",Semifinals,Final
Texas A&M,Carleton College,15,13,"02/14/2016, 09:00",Wildcards,Final
Wisconsin,Virginia Tech,13,9,"02/14/2016, 09:00",Wildcards,Final
bracket,T 7th
Connecticut,Pittsburgh,9,15,"02/14/2016, 11:00",T 7th,Final
Connecticut,Florida State,14,12,"02/14/2016, 09:00",Round Name,Final
bracket,T 7th
Arizona State,Texas,5,15,"02/14/2016, 11:00",T 7th,Final
Arizona State,Central Florida,13,12,"02/14/2016, 09:00",Round Name,Final
bracket,13th
Auburn,Northwestern,11,8,"02/14/2016, 11:00",13th,Final
Auburn,South Florida,14,10,"02/14/2016, 09:00",Round Name,Final
Northwestern,Illinois,14,13,"02/14/2016, 09:00",Round Name,Final
bracket,5th/6th
Carleton College,Virginia Tech,15,5,"02/14/2016, 11:00",5th,Final
bracket,3rd/4th
Texas A&M,Wisconsin,0,0,"02/14/2016, 13:30",3rd,Cancelled
bracket,15th/16th
South Florida,Illinois,8,13,"02/14/2016, 13:30",15th/16th,Final
bracket,11th/12th
Florida State,Central Florida,0,0,"02/14/2016, 23:00",11th/12th,Cancelled
b,r,e,a,k
brackets,Emerging Powerhouse Brackets
bracket,Championship
Florida (B),Pittsburgh (B),12,13,"02/14/2016, 13:30",Championship,Final
Florida (B),Ave Maria,14,3,"02/14/2016, 11:00",Semifinals,Final
Pittsburgh (B),Florida State (B),15,8,"02/14/2016, 11:00",Semifinals,Final
Central Florida (B),Ave Maria,11,15,"02/14/2016, 09:00",Wildcards,Final
Pittsburgh (B),South Florida (B),15,3,"02/14/2016, 16:30",Wildcards,Final
bracket,7th
Florida Gulf Coast,Northwestern (B),15,8,"02/14/2016, 18:00",7th,Final
Florida Gulf Coast,TEAM_NAME_NOT_FOUND,15,1,"02/14/2016, 16:00",Round Name,Final
Auburn (B),Northwestern (B),8,15,"02/14/2016, 16:00",Round Name,Final
bracket,Consolation
Central Florida (B),South Florida (B),8,13,"02/14/2016, 18:00",5th,Final
bracket,3rd/4th
Ave Maria,Florida State (B),0,0,"02/14/2016, 13:30",3rd/4th,Cancelled
bracket,9th/10th
TEAM_NAME_NOT_FOUND,Auburn (B),0,0,"02/14/2016, 18:00",9th/10th,Cancelled
b,r,e,a,k
pools,Team List
pool,Pool A
pool,Pool B
b,r,e,a,k
