Southeast Men's Regionals,Club - Men ,10,9,2016
Atlanta,GA,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Southeast-Mens-Regionals-2016/schedule/Men/Club-Men/
Florida United,1
27,Christopher Church
33,Nick Jewell
37,Matthew Wright
41,Andrell Caldwell
43,Robert Locke
52,Connor Thompson
71,WILLIAM GORDON
77,Bryan Kohut
99,Travis Muthig
b,r,e,a,k
Orlando Citronauts,14
0,Jacob Larsen
01,Austin Gaines
02,Kameron Knight
03,Tyler Knowles
04,Thomas Milana
06,Kyle Lockwood
09,Parks Weatherford
10,James Dangler
11,Adam Lapikas
12,Josias Beaubrun
13,Zachary Marks
14,WILLIAM IGAR
15,Jonathan Miller
17,Conor Forgey
19,Justin Dos Santos
22,Jacob Lane
23,Shannon Mosley
24,Sean Plunkett
27,Robert Matthew Hankin
32,Austin Malone
57,Kyle Stinson
87,Benjamin Ostman
88,Duc-Quy Nguyen
96,Michael O'Dowd
99,JORGE DE GOUVEIA
b,r,e,a,k
Ironmen,6
0,Matthew Hardman
0,Thomas Echols
0,Chris Browning
0,Martin Newman
0,Blake Galloway
0,James  Poe
0,Payton Garlington
0,Jason Russell
0,Thomas Ballard
0,Michael Venezia
0,Michael Burke
0,Samuel Murphree
0,Ray Davenport
0,Josh Currey
0,Tanner Robinson
0,Christopher McBride
5,Eric Sjostrom
10,Scott Stone
11,Kelvin Williams
13,Ethan Downs
13,Carter Rae
16,Alexander Cape
18,Dane Jorgensen
23,Alexander Hill
24,Travis Midkiff
32,JUSTIN THIGPEN
45,Nathan Oaks
b,r,e,a,k
Turbine,3
0,Thomas Grigg
2,Charlie Muniz
3,Dean Culver
7,Preston Earp
8,Matthew Rushing
01,Andrew Cohen
11,Player Pierce
13,CJ Colicchio
14,Stephen Poulos
14,Peter Barry
15,Kerry Green
16,Sean Kelley
17,Schuyler Kylstra
21,Cam Bellando
22,taylor minch
24,LUIS ROYO ROMERO
25,Michael Pannone
27,Daniel Schopler
33,Jesse Lieberman
40,Jon Stone
71,Clint McSherry
72,Benjamin Landry
76,Clayton Noblit
79,Matt Bode
80,Benj Thomsen
81,Michael Ball
88,Alan Best
b,r,e,a,k
Right Coast,10
0,Ian Hutton
0,Austin McGrayne
0,Tommy Lamar
0,Stephen Bender
0,Kevin Mateer
0,JARRETT BOWEN
0,DANIEL MERCER
0,Bryan Conklin
0,Xavier Maxstadt
0,Josh Norris
0,Jason Alexander
0,MATT MASON
2,Carl Matysek
3,Colin White
6,Kyle Warfel
9,Frederick Hennighausen
10,Luke Hancock
10,William Stewart
13,Matthew Ellis
13,Christopher Byrd
22,Brian Casey
42,Jonathan Callahan
52,Connor Russell
84,Rouse Carlton
88,Dalton Vestal
89,Davon Jaramillo
99,Thomas  Theunissen
b,r,e,a,k
Memphis Belle,15
0,Matt Bledsoe
1,Nathan Wiemers
1,Harrison Hayes
1,John (Jack) Dowling
3,Dalton DeLuca
4,Joseph Walter
5,Jesse Dahms
7,Andy Ballard
8,Marshall Hatcher
8,ROB BRICE
9,Josh Moore
10,Shannon Allen
11,Jon Thomas Williams
13,Brian Koch
14,MARK ALLMON
20,Sam Wilson
21,John Laubscher
23,Samuel Peter
24,ZACHARY BRANSON
25,RUSSELL CARR
27,Garrett Wilson
39,Stephen Lewoczko
44,Robert Stroup
77,Jeff Williams
99,John-Michael Leppert
b,r,e,a,k
Ring of Fire,5
00,JD Hastings
00,Tristan Green
00,Micah Hood
00,Hunter Taylor
00,Jack Williams
00,Jakeem Polk
00,Jeff Nordgren
00,Joey Cretella
00,Danny Schmitt
00,Jake Coleman
00,Evan Howey
00,Matthew Wilson
00,Tim McAllister
00,Justin Allen
00,Shane Sisco
00,Noah Saul
00,Ryan Sitler
00,Matt Gouchoe-Hanas
00,Josh Mullen
00,David Richardson
00,Jacob Fairfax
00,Jonathan Nethercutt
00,Terrence Mitchell
00,Solomon Yanuck
00,Joshua Hartzog
00,Henry Fisher
33,Mark Lin
b,r,e,a,k
Sour Mash,9
0,MITCHELL SHOPE
0,WILLIAM DEAN HINTON
0,Tony Brown
0,Clay Leach
0,Garrett Bruce
0,Justin Moore
0,Drew Himsworth
0,Adam Paicely
0,JORDAN BATES
0,Cameron Snook
2,Grant Waldron
2,Mac McClellan
5,Chase Hammond
5,Christopher Vanags
7,Beau Waldron
8,Ross Markle
11,James Wright
12,Phillip Dougherty
12,Benjamin Godwin
14,Aaron Moredock
22,Paul Lally
33,Cole Hudgin
34,John Carden
42,Andy Barnhart
44,LUKE HUDGIN
44,Jon Meade
b,r,e,a,k
Cash Crop,4
0,Harold Henderson
0,Ryan  Schanz
0,Jacob McGoogan
0,Rhys Gretsch
0,Sean Murray
0,Alex (Evan) Grosskurth
0,Michael Neve
0,Clayton Carey
0,Walker Matthews
0,MARSHALL WARD
1,Mason Gardner
1,Tyler French
4,Spencer Olmsted
5,George Lampron
6,Ben Maxson
7,Jordan Taylor
8,Ryan Werkmeister
9,Jacob Mouw
10,Marcus Rovner
12,Liam Searles-Bohs
13,Alexander Walker
14,Kiron Allen
14,Dillon Lanier
15,Daniel Rolando
17,Spencer Beck
17,Brian Clark
45,Elijah Long
b,r,e,a,k
Shotgun,16
0,Adharsh Ponnapakkam
0,Vincent Liang
0,ELI TIMM
0,Timothy Robb
0,Logan Kruger
0,Michael Perry
0,PAUL WHITENER
0,David Hutzel
0,JOHN BLOCH
0,Billy Donatuti
0,BRANDON XUEREB
0,Xin Shu
0,Thomas Drew
0,JAMES BRIER
0,Matt Nice
1,Philip Lopez
8,Troy Nunez Jr
8,Peter Warwick
10,Jack Baba
13,James Braendel
23,Shamit Dua
38,DAVID  MONDSCHEIN
38,Andrew Dreis
44,Benjamin Lamport
69,Mitchell Lutz
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Florida United,BaNC,13,2,"09/10/2016, 08:00",Pool A,Final
Bullet,UpRoar,13,3,"09/10/2016, 08:00",Pool A,Final
Florida United,UpRoar,13,6,"09/10/2016, 09:50",Pool A,Final
Bullet,BaNC,13,7,"09/10/2016, 09:50",Pool A,Final
Florida United,Bullet,13,8,"09/10/2016, 11:40",Pool A,Final
BaNC,UpRoar,13,12,"09/10/2016, 11:40",Pool A,Final
pool,Pool B
Chain Lightning,Lost Boys,13,10,"09/10/2016, 08:00",Pool B,Final
Freaks,Orlando Citronauts,13,5,"09/10/2016, 08:00",Pool B,Final
Chain Lightning,Orlando Citronauts,13,2,"09/10/2016, 09:50",Pool B,Final
Freaks,Lost Boys,13,9,"09/10/2016, 09:50",Pool B,Final
Chain Lightning,Freaks,12,10,"09/10/2016, 13:30",Pool B,Final
Lost Boys,Orlando Citronauts,13,6,"09/10/2016, 13:30",Pool B,Final
pool,Pool C
Turbine,Right Coast,13,10,"09/10/2016, 08:00",Pool C,Final
Ironmen,Memphis Belle,13,8,"09/10/2016, 08:00",Pool C,Final
Turbine,Memphis Belle,13,7,"09/10/2016, 09:50",Pool C,Final
Ironmen,Right Coast,13,11,"09/10/2016, 09:50",Pool C,Final
Turbine,Ironmen,10,13,"09/10/2016, 13:30",Pool C,Final
Right Coast,Memphis Belle,13,8,"09/10/2016, 13:30",Pool C,Final
pool,Pool D
Cash Crop,Sour Mash,11,13,"09/10/2016, 08:00",Pool D,Final
Ring of Fire,Shotgun,13,2,"09/10/2016, 08:00",Pool D,Final
Cash Crop,Shotgun,13,4,"09/10/2016, 09:50",Pool D,Final
Ring of Fire,Sour Mash,13,2,"09/10/2016, 09:50",Pool D,Final
Cash Crop,Ring of Fire,8,13,"09/10/2016, 11:40",Pool D,Final
Sour Mash,Shotgun,13,12,"09/10/2016, 11:40",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Ring of Fire,Chain Lightning,13,10,"09/11/2016, 13:30",1st Place Finals,Final
Florida United,Ring of Fire,9,13,"09/11/2016, 11:40",1st Place Semis,Final
Ironmen,Chain Lightning,6,13,"09/11/2016, 11:40",1st Place Semis,Final
Florida United,Freaks,13,7,"09/11/2016, 09:50",1st Place Quarters,Final
Ring of Fire,Turbine,12,10,"09/11/2016, 09:50",1st Place Quarters,Final
Ironmen,Sour Mash,13,6,"09/11/2016, 09:50",1st Place Quarters,Final
Chain Lightning,Cash Crop,13,10,"09/11/2016, 09:50",1st Place Quarters,Final
Freaks,Right Coast,13,8,"09/10/2016, 15:20",1st Place Prequarters,Final
Turbine,Lost Boys,15,14,"09/10/2016, 15:20",1st Place Prequarters,Final
BaNC,Sour Mash,11,13,"09/10/2016, 15:20",1st Place Prequarters,Final
Cash Crop,Bullet,13,12,"09/10/2016, 15:20",1st Place Prequarters,Final
bracket,3rd Place
Florida United,Ironmen,13,10,"09/11/2016, 13:30",3rd Place Game,Final
bracket,5th Place
Freaks,Cash Crop,11,9,"09/11/2016, 13:30",5th Place Game,Final
Freaks,Turbine,13,7,"09/11/2016, 11:40",5th Place Semis,Final
Sour Mash,Cash Crop,7,9,"09/11/2016, 11:40",5th Place Semis,Final
bracket,7th Place
Turbine,Sour Mash,9,7,"09/11/2016, 13:30",7th Place Game,Final
bracket,9th Place Bracket
Lost Boys,BaNC,13,10,"09/11/2016, 11:40",9th Place Game,Final
Right Coast,Lost Boys,12,13,"09/11/2016, 08:00",9th Place Semis,Final
BaNC,Bullet,13,12,"09/11/2016, 08:00",9th Place Semis,Final
bracket,11th Place
Right Coast,Bullet,13,11,"09/11/2016, 09:50",11th Place Game,Final
bracket,13th Place Bracket
UpRoar,Memphis Belle,1,0,"09/11/2016, 11:40",13th Place,Final
UpRoar,Shotgun,12,11,"09/11/2016, 08:00",13th Place Semis,Final
Orlando Citronauts,Memphis Belle,8,13,"09/11/2016, 08:00",13th Place Semis,Final
bracket,15th Place
Shotgun,Orlando Citronauts,13,11,"09/11/2016, 09:50",15th Place Game,Final
b,r,e,a,k
