Philly Open 2016,Club - Mixed ,6,8,2016
https://play.usaultimate.org/events/Philly-Open-2016/schedule/Mixed/Club-Mixed
Mixed Nuts,1
0,Ian McDonnell
0,LINDSEY GETCHES
0,Taylor Gilman
00,Adams Nager
00,Kasha Patel
00,LT Tucker
00,LINDSAY WONG
00,Blaire Thomson
00,Jacob Rathjens
00,Ian Garner
00,Angelena Bohman
00,Ryan Anderson
00,Jonathan Huang
00,CHRISTINE SZARKO
00,ANDREW MCCOY
00,Elizabeth Reeves
00,ALLEN SMITH
00,Bonnie Marlow
00,William Bloomhardt
00,BRYCE KOBAYASHI
00,James McIntyre
00,Morgan Danner
00,Nykolas Lotocky
18,RACHEL MAYER
b,r,e,a,k
Pandas,15
1,Patrick Sheil
2,Melissa Albano
3,George Liang
5,Michael Silverman
7,Jessica Uscamayta
12,Michaela Dudley
13,Sarah Durando
14,Andrew Caccioppoli
17,RACHEL CONWAY
22,Elena López
29,Ryan Cullinane
30,Emily Chiang
32,Ryan Cullen
44,Christopher White
45,Patrick  Rehain 
48,S T
56,Daniel Clark
64,Ryan Elam
69,BRUCE REED
87,Daniel Hakakian
88,Mickey Borsellino
96,Kathleen Lynch
98,Dominick Durando
b,r,e,a,k
MxD,4
0,Nathan Prior
0,SHANNON COOPER
0,Brandon Cannell
0,CORY RYAN
0,Erik Larmore
0,Lily Nguyen
0,Adam Weiss
0,Andrew Creighton
05,Peter Mancini
20,Myco Paulo
22,Ryan Swift
54,Genevieve Leo
b,r,e,a,k
The Bandits,9
01,Tom Sum
02,Allison Friedman
03,John Denman
04,Alyssa Willis
05,Gregory Yen
07,Jimmy Wang
08,Theresa Buckalew
09,Kelly Fonner
10,CAL CACCIAGUIDA
14,Joseph Friedman
15,Megan Kuhfuss Golrick
17,Devin Foster
21,JONATHAN HOLLOWAY
22,Peggy Monkemeier
23,Chanelle Banta
24,Steven Willis
36,Kyle Golrick
41,Anthony Sapichino
44,Anna Tabatchnick
51,Patrick Callahan
53,Wes Halter
71,Cristina Kamper
72,Andrew Haviland
80,Ken Calello
87,Kevin Potter
88,Nicole Hair
b,r,e,a,k
Unlimited Swipes,16
0,Susan Sheng
0,Adam Smith
0,Brian Brockunier
0,Madeline Abel
0,Tyler Rockey
0,JONATHAN LIN
0,Kelsey McDermott
0,William Menges
0,Michael Cuan
0,ALICE CHANG
0,HEATHER PAVLAK
0,Elizabeth Merritt
0,Lauren Woods
0,Erin Casey
0,Dustin Thai
0,Jessica Wentling
1,Bradley Parcella
5,Michael Valdez
06,Michael Settles
