Uprising 4 2016,College - Men ,2,4,2016
Saratoga Springs,NY,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Uprising-4-2016/schedule/Men/CollegeMen/
RIT,5
Le Moyne,Boston College (C),13,5,"04/03/2016, 01:30",Pool C,Final
pool,Pool D
Syracuse,Gannon,W,F,"04/02/2016, 09:00",Pool D,Final
Edinboro,Vermont (B),13,8,"04/02/2016, 09:00",Pool D,Final
Syracuse,Vermont (B),13,4,"04/02/2016, 12:00",Pool D,Final
Edinboro,Gannon,W,F,"04/02/2016, 12:00",Pool D,Final
Syracuse,Edinboro,11,12,"04/02/2016, 13:30",Pool D,Final
Gannon,Vermont (B),F,W,"04/02/2016, 13:30",Pool D,Final
pool,Pool E
Rensselaer Polytech,Norwich,13,4,"04/02/2016, 09:00",Pool E,Final
Marist,Boston College (B),10,9,"04/02/2016, 09:00",Pool E,Final
Rensselaer Polytech,Boston College (B),13,3,"04/02/2016, 10:30",Pool E,Final
Marist,Norwich,13,5,"04/02/2016, 10:30",Pool E,Final
Rensselaer Polytech,Marist,13,5,"04/02/2016, 12:00",Pool E,Final
Norwich,Boston College (B),8,13,"04/02/2016, 12:00",Pool E,Final
pool,Pool F
MIT,Amherst (B),13,1,"04/02/2016, 10:30",Pool F,Final
Keene State,Amherst (B),13,2,"04/02/2016, 12:00",Pool F,Final
Keene State,MIT,7,13,"04/02/2016, 13:30",Pool F,Final
Keene State,Massachusetts (B),11,13,"04/02/2016, 16:30",Pool F,Final
MIT,Massachusetts (B),13,4,"04/02/2016, 18:00",Pool F,Final
Massachusetts (B),Amherst (B),13,2,"04/02/2016, 19:30",Pool F,Final
b,r,e,a,k
brackets,Championship
bracket,1st
Amherst,Wentworth Institute of Technology,5,10,"04/03/2016, 13:30",1st,Final
RIT,Amherst,9,10,"04/03/2016, 12:00",1st-Semis,Final
Wentworth Institute of Technology,Stonehill,9,7,"04/03/2016, 12:00",1st-Semis,Final
SUNY-Cortland,Amherst,6,8,"04/03/2016, 10:30",1st-Quarters,Final
Wentworth Institute of Technology,Maine,8,6,"04/03/2016, 10:30",1st-Quarters,Final
Stonehill,Rensselaer Polytech,9,7,"04/03/2016, 10:30",1st-Quarters,Final
RIT,MIT,13,12,"04/03/2016, 10:30",1st-Quarters,Final
Amherst,Marist,13,5,"04/03/2016, 09:00",1st-Play In,Final
Maine,Wesleyan,1,0,"04/03/2016, 09:00",1st-Play In,Final
Ithaca,Rensselaer Polytech,3,12,"04/03/2016, 09:00",1st-Play In,Final
Saint Rose,MIT,5,11,"04/03/2016, 09:00",1st-Play In,Final
bracket,9th
Saint Rose,Wesleyan,1,0,"04/03/2016, 13:30",9th,Final
Saint Rose,Marist,10,7,"04/03/2016, 12:00",9th-Semis,Final
Wesleyan,Ithaca,1,0,"04/03/2016, 12:00",9th-Semis,Final
bracket,5th
MIT,Rensselaer Polytech,9,7,"04/03/2016, 13:30",5th,Final
MIT,SUNY-Cortland,7,5,"04/03/2016, 12:00",5th-Semis,Final
Maine,Rensselaer Polytech,0,1,"04/03/2016, 12:00",5th-Semis,Final
bracket,3rd
RIT,Stonehill,0,1,"04/03/2016, 13:30",3rd,Final
b,r,e,a,k
brackets,13th Bracket
bracket,13th
Edinboro,Vermont (B),10,8,"04/03/2016, 13:30",13th,Final
SUNY-Oneonta,Edinboro,9,11,"04/03/2016, 12:00",13th-Semis,Final
Massachusetts (B),Vermont (B),9,10,"04/03/2016, 18:00",13th-Semis,Final
Edinboro,Le Moyne,10,7,"04/03/2016, 09:00",13th-Quarters,Final
Massachusetts (B),Syracuse,11,8,"04/03/2016, 15:00",13th-Quarters,Final
Massachusetts-Lowell,SUNY-Oneonta,8,13,"04/03/2016, 10:30",13th-Quarters,Final
Boston University,Vermont (B),0,1,"04/03/2016, 10:30",13th-Quarters,Final
SUNY-Oneonta,Keene State,12,8,"04/03/2016, 09:00",13th-Play In,Final
Vermont (B),Boston College (B),8,3,"04/03/2016, 09:00",13th-Play In,Final
bracket,15th
SUNY-Oneonta,Massachusetts (B),6,12,"04/03/2016, 19:30",15th,Final
bracket,Consolation
Massachusetts-Lowell,Boston University,1,0,"04/03/2016, 13:30",17th,Final
b,r,e,a,k
clusters,Classic CO
cluster,CO Saturday
Edinboro,Marist,10,11,"04/02/2016, 15:00",,Final
Rensselaer Polytech,Syracuse,11,9,"04/02/2016, 15:00",,Final
MIT,Le Moyne,11,6,"04/02/2016, 15:00",,Final
Wesleyan,Massachusetts (B),13,4,"04/02/2016, 21:00",,Final
b,r,e,a,k
brackets,19th Bracket
bracket,19th
Boston College (C),Boston College (B),5,7,"04/03/2016, 01:30",19th,Final
Boston College (C),Le Moyne,12,11,"04/03/2016, 00:00",19th-Semis,Final
Norwich,Boston College (B),3,10,"04/03/2016, 12:00",19th-Semis,Final
Boston College (C),Keene State,1,0,"04/03/2016, 22:30",19th-Quarters,Final
Gannon,Le Moyne,0,1,"04/03/2016, 10:30",19th-Quarters,Final
Norwich,Syracuse,11,9,"04/03/2016, 10:30",19th-Quarters,Final
Boston College (B),Amherst (B),10,9,"04/03/2016, 10:30",19th-Quarters,Final
bracket,Consolation
Syracuse,Gannon,1,0,"04/03/2016, 13:30",23rd,Final
Amherst (B),Syracuse,0,1,"04/03/2016, 12:00",23rd-Semis,Final
Gannon,Keene State,0,0,"04/03/2016, 12:00",23rd-Semis,Final
bracket,21st
Le Moyne,Norwich,0,1,"04/03/2016, 13:30",21st,Final
b,r,e,a,k
