Bring the Huckus 6,College - Men ,27,2,2016
Mercer,NJ,2016-02-27,2016-02-28
https://play.usaultimate.org/events/Bring-the-Huckus-6/schedule/Men/CollegeMen/
Richmond,9
0,Kevin Scagnelli
0,Patrick Legg
0,Joshua Brawdy
0,Dylan Hoerner
0,Evan Arthur
0,Daniel Galvin
0,Lucas Bauer
0,Cheikh Proctor
0,Zac Holbrook
0,Michael Castellano
0,Morgan Brown
0,Justin Jemiolo
2,Adam Bubb
3,Harry Jones
3,Dylan Leitner
4,Matthew Lancaster
7,CHRIS  JONES
8,Shane Watts
8,Shawn Watts
9,Jonathan Gill
10,Kyle McDonald
17,Christian Salvati
19,Mark Hughes
29,Austin Darling
44,Jacob Shirk
50,Jake McKay
69,Kolton Stow
b,r,e,a,k
Shippensburg,11
0,Cole Gottdank
0,Samuel Parness
0,Jacob Ryan
0,Matthew Bellan
0,Demetrius Laster
0,Max Rainsford
1,Eric Scanlan
2,James Roop
2,TRUE BLACK
2,Connor Lynch
5,JUSTIN MILLER
6,Edward Vaz
8,Joshua Walther
9,Francis Dick
11,Brayden Tiner
12,DANIEL HILL
14,Spenser Strickler
17,Matthew Kloza
19,Garrett Hall
20,Bryan Walter
22,Zachary Sands
27,Joe Garver
62,Micah Matechik
71,Doulton Campbell
86,Mark Kruise
99,BRIAN HOERTZ
b,r,e,a,k
Johns Hopkins,18
0,Joseph Min
2,CALEB WARREN
2,Sam Pallay
7,THOMAS MARGE
10,Miles McKey
11,Vincent Wu
14,Gabriel Kaptchuk
15,Casey Zhu
16,Zach Sabin
23,Angelo Olcese
25,Aleck Zhao
35,Leon Santhakumar
36,JOSEPH YU
59,Andrew Zhu
71,Derek Modzelewski
72,Sebastian Chen
77,JIURU LI
81,Neal Billig
90,Kendrick Hougen
b,r,e,a,k
St Joseph's,19
0,Matthew Duplak
0,Zachary Luszik
0,BRIAN RADERMACHER
0,William Weaver
0,Edgar Knerr IV
0,Martin Gallagher
0,Bryan Doherty
0,Matt Iovannone
0,DANIEL TUMOLO
0,John Hughes 
0,Tyler Bartholomew
0,Daniel Tully
0,Ryan Mantone
0,Conor Burke
1,Cory Blazer
3,GREGORY RICE
4,THOMAS FLYNN
6,MICHAEL CORCORAN
7,Matt Lescavage
15,Peter Golish
25,RYAN COYLE
27,Christopher Tran
29,Garrett Chu
32,Andrew Chirichella
45,Patrick Dillon
b,r,e,a,k
SUNY-Cortland,27
0,Brian Lee
0,Nicholas boyd
0,Patrick Lachance
0,Michael Ortiz
0,Joseph  Zambito
0,William Shambo
0,Alex Pressman
0,Thomas Danz
0,Adam Cusner
0,Eric London
3,Richard Milleville
10,Ben Phillips
59,Joseph Rispoli
80,Anthony Coppola
94,James  O'Connell
b,r,e,a,k
Stockton,26
1,MIKE CALLORI
2,Dominick Durando
10,Bryan Hummel
24,John Fenlon
62,Scott Ribinsky
79,Vaughn DePalma-Farr
88,Tom Leung
b,r,e,a,k
College of New Jersey,20
0,Andrew Cameron
0,Alexander Cretella
0,Brian Litt
0,Jordan Disick
0,SHEA PAYTAS
0,Joseph Mazzarella
0,Michael Jozwiak
0,Timothy Osborn
0,David Hubert
0,Amit Rana
0,Tom Athan
0,Abin Alexander 
0,Colin Kochenash
0,Chris Shaffer
1,Bryan Santana
7,Gregory Borowski
10,Ryan Borchers
12,Zach Kaplan
13,Nicholas Landolfi
15,Keller Gordon
21,Max Gruttadauria
22,Nicholas Pellegrino
23,Otto Gomez
26,Philip Treu
29,Steven Powers
31,Henry Shen
33,Elijah Smith
48,JOSEPH SCHWINDT
93,Christopher Hranj
b,r,e,a,k
Hartford,28
0,Stephen DeRosa
0,Rob Thomas
0,Mathew Payson
0,Nicholas Hertzler
0,JARED FRANZ
0,Ethan Wagner
0,Adam Pasternack
1,Mohamed Shaw
18,Justin Starr
27,Mathew Cyr
32,Logan Edwards
b,r,e,a,k
Syracuse,12
0,Ryan Shaw
0,Jeffrey Spivack
0,Jay Boyington
0,Garrett Rightler
0,Michael Zivik
0,Jonathan Schulz
0,Matthew Alpert
0,Brian Walsh
2,Reese Laviolette
4,Christopher Granados-Kramer
05,Elijah Newsome
11,Jesse Newman
14,Brendan Harper
18,Ben Eckstein
19,Sebastian Arruda
20,Benjamin Kropp
33,Daniel Probst
69,Jeff Goldberg
84,Christopher McGlynn
88,Danny Feinman
95,Nicholas Granados-Kramer
99,Ryan Benincase
b,r,e,a,k
Army,17
0,Montana  Bilger
0,Charles Wagner
0,Bradley whitehall
0,Kyle Bohn
0,Ian Betzel
0,Stephen Kelly
0,JULEN TOTORICA
0,Harrison Gudorf
0,Hunter Hill
1,Gino Nicosia
3,SAMUEL HARTFORD
4,NATE PIERINGER
8,Jacob Sroka
9,Joe Allen
11,Benjamin Sims
15,Daniel Brown
16,Zachary Lucas
b,r,e,a,k
Wesleyan,25
0,Noah Dirks
0,Ellis Richmond
0,Robert Kanjo
0,Matthew Erodici
0,Noah Sellman
0,Henry Kinder
0,LARS BERG
0,Sam Gord
0,ELI SPECTOR
0,Charlie King
0,Sam Horenstein
0,Dan Kim
0,Marcus Kener
0,Timothy Levin
0,Jesse Broad-Cavanagh
0,Maxwell McGleughlin
8,Finnian Day
01,Peter Sohmer
13,Emerson Obus
29,Noah Miller-Medzon
44,Silas Newman
60,Christopher Moetell
90,Benjamin Klausner
b,r,e,a,k
MIT,24
0,Jonathan Uesato
0,Richard Yip
0,Solan Israel-Megerssa
0,Eric Wong
0,MITCHELL SHOPE
0,THOMAS AVILA
0,Kevin Li
3,BRANDON TRAN
4,JOEL BROOKS
11,Gil Goldshlager
24,Paolo Gentili
29,Steven Homberg
30,Justin Yuan
42,Hao Shen
b,r,e,a,k
Princeton,16
0,Matt Lefebvre
0,Ted Callon
0,Nadeem Demian
0,Paul Witten
0,Zane Friedkin
0,Oakley Richins
0,Jeffrey Diament
0,Alex Fogg
0,Maxson Jarecki
0,Kavinayan Sivakumar
0,Alec Jacob Ranzato
1,Kiffa Conroy
4,Seho Young
9,Andrew Huang
11,Charles Coburn
12,Sean Treacy
16,Nicholas Nelsonwood
17,Rocco Amorosso
19,Zach Weed
21,Anthony Markowitz
27,Victor Zhou
37,Dylan Baroody
42,Noah Hastings
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
Columbia,13
0,Eli Kahn
0,Neil Orzechowski
0,Itamar Klein
0,Bryce Harlan
0,David Shan
0,Simon Anuszczyk
0,Alexander Bienstock
0,VICTOR CASTANO
0,Daniel Miron
0,ERIC SIMMONS
0,Paul Michael Custodio
0,Devon Harvey
0,Benjamin Zhu
0,Michael Pinkham
0,Sagar Lal
0,ISAIAH FELDMAN-SCHWARTZ
0,Matthew Abel
4,Dennis Bienstock
7,JiMin Ko
11,Kristian Lundberg
16,Stephen Leong
17,Matthew Sagianis
18,Kenneth  Underwood
45,Colton Doering
74,Edward Tang
b,r,e,a,k
Stevens Tech,29
5,PETER MISTHOS
01,Colby Chaffin
02,Ryan Gutmann
03,Blake Luxoro
04,Brandon Lynch
06,Jonah Mania
08,Jeffrey  Martino
09,Charles Cannon
10,Keyur Ved
14,Miles Wascher
15,Anthony Palandro
17,Scott Borgstedt
21,Nicholas Minervini
25,Matrix Arthur
28,Colin Aitken
32,Ben  Reydel
33,James Goldman
37,Nicholas Dantuono
38,TJ Stanton
49,Ivan Dickson
50,Jared Davi
55,Jeremy Doll
64,Andrew Parlette
66,Zachary Milhard
73,Louis Ihle
83,Nick Raguseo
84,Luke Pacchiana
92,Michael Guglielmo
95,Ira Seidman
96,Ronald Ankner
97,Joseph Conway
b,r,e,a,k
Marist,21
0,Brian Beyer
0,Hilera Hardy
0,John Mosho
0,Marco Amleto
0,Christian Haupt
1,Daniel Jast
1,James Holden
4,Adam Conte
8,Zachary Schultz
9,Parker Rennels
10,David Wallace
17,Christopher Rachek
19,BRYAN ROCKWOOD
20,BRANDON FLEISCHHACKER
23,Paul Nemergut
24,Jared Brady
25,Ronald Cavaliere 
26,Michael O'Rourke
32,AVERY DECKER
33,Daniel Grogan
36,Peter Ohanesian
44,Mark Harris
89,Michael Traina
b,r,e,a,k
Northeastern,15
0,Alexander Soltoff
0,Jorden Van Emmerik
0,JUSTIN WONG
0,Sumner Cushman
0,Justin Tran
0,Jonathan Wagner
0,Cory Hard
3,Brian Wyer
7,SAMUEL THERRIEN
9,JESSE HARRIS
11,Samuel Letcher
12,YEEHIN LI
17,Ben Goossen
20,Jonah Kurman-Faber
24,John Capreol
25,Ilya Yudkovich
29,Daniel Doherty
32,Matthew Schwartz
39,Benjamin Meltzer
40,Liam Henry
41,Frederick Sheehan
45,Matthew Cook
45,Cameron Levenstein
54,James Beck
b,r,e,a,k
NYU,14
0,Nathaniel Eisen
0,Jake Dahill-Fuchel
0,Cullen Weidenaar
0,Aaron Lau
0,Allen Zhou
0,Daniel Seeto
0,Rob Chiarelli
0,Roy Rinberg
0,Feroz Khalidi
0,Albert Su
2,Antonio Vayas
4,Jaime Perez
5,Theodore Chang
7,Jevons Liu
9,Gerald Tigol
9,Victor Kao
15,Rohith Rao
19,Jesse Rice
27,Jason Angell
30,Rajat  Pillai
31,Morgan Robison
52,Anton Boutkov
54,David Zemmol
69,Matthew Meserve
b,r,e,a,k
Boston University,30
0,MALIK ODEH
0,THOMAS COHEN
0,Cody Karjadi
0,Michael Woo
0,Matthew Cote
0,Andrew Cutler
0,JONATHAN BERLOWITZ
0,Ike Hammond
3,AARON PLOSKER
10,Brad Kutler
13,Jonah Rosner
30,Andre LeVan
69,Brian McGrath
76,Arthur Small
98,DYLAN MAWBY
b,r,e,a,k
Rowan,23
0,Steven Graham
0,Nick Piotti
0,Nick Murphy
0,Trevor Silva
0,Dallin Eggert
0,Tyler Flockton
0,Eric Weber
0,Chris Zaleski
0,Cameron Gayle
0,Eneris Nurja
0,Robert Alberino
0,Jeffrey Nelson
0,MICHAEL MAERTEN
0,SHANE PHILIPPI
0,Matt Stone
04,Robert Altieri
18,DAVID NELSON
22,Collin Hurler
56,ZACHARY HUNT
72,Michal Helmstetter
78,Dean Kullmann
79,Dalton Trembow
81,Troy Zirkel
85,Michael Campanella
b,r,e,a,k
Ithaca,22
0,Steven Kaufman
0,Nicholas  Dell'Amore
0,Dan Kustin
0,Sam Fischer
0,Jacob Rosen
0,Benjamin Kaplan
0,Michael Villani
0,Scott Goodheart
0,DREW STIERHOFF
0,Alec Tucker
0,James Choinski
2,Callahan Cohane
3,Adam Sharabi
7,Matt Ristaino
10,CHRIS YEH
11,Quentin LeVant
14,Zack Smolen
16,Adam Schneider
20,Adrian Baker
21,Andrew  Seiden
25,Christopher Falcone
69,Daniel Percival
b,r,e,a,k
Connecticut (B),40
0,Douglas Bretherton
0,Alex Kennedy
0,Robert Ernst
0,Robert Ranieri
0,Jonathan  Novitski
0,Jeffrey Steiner
0,Meyer Gilden
0,Philip Gross
0,Jesse Deluca
0,Steven Purugganan
3,Kiran Prakash
4,Ryan Paes
13,David Beaulieu
18,Jordan Layne
30,Andong Li
69,Jonathan White
94,JOSEPH CARBONE
b,r,e,a,k
Saint Rose,31
0,Jeffrey Raway
5,Matthew Kerendian
8,Kevin Pedraza
9,Christian Milea
10,Jonathan McRae
19,Jason Zobre
20,Thomas Hulle
22,Tyler Champine
24,Michael Aurrichio
30,Rob DeAngelo
31,Connor Braddock
32,Zach Grappone
33,Alvaro Sosa-Suarez
44,Joshua Hulslander
53,Ryan Wind
68,Matthew Leja
88,James Hodge
b,r,e,a,k
Swarthmore,32
0,Sam Wallach Hanson
0,David Holmgren
0,TEO GELLES
0,Christian Morrow
0,Shantanu Jain
0,Patrick Trainor
0,Sam Gardner
0,Lee Tarlin
4,Joseph Corcoran
7,Muhaiminul Haque
14,Tim Nguyen
42,Alexander Jin
63,Benjamin Goodman
64,Daniel Lai
b,r,e,a,k
Lehigh (B),36
9,Correll French
10,Christian Chapis
12,Steven Imburgio
13,Thomas Ferris
16,Jadon Sargeant
19,Andrew Gibson
23,Zachary Fisher
25,Jonathan Chisholm
29,Simon  Hwang
31,NITIS UDORNPIM
32,John Clark
37,Sean Cranney
47,Daniel Patracuolla
50,Anmol Madaan
54,Noah Haber
60,Michael Trongone
61,Timothy Predmore
64,Jericho Kashulines
67,Vito Scocozzo
71,David Widdowson
72,Juan Shiraishi
75,Marshall Stallings
83,Noah Katz
88,William Delucia
90,TROY WILLIAMS
93,Thomas McManus
95,Justin Landowne
96,Noah Michaeli
98,Troy Egar
b,r,e,a,k
Georgetown (B),35
0,Suraj Pillai
0,Nick Stabile
0,Michael Kamel
0,Giancarlo Merola
0,Patrick Seaman
0,Christopher Dunn
0,NICK GRECO
0,James Zhang
0,Jonny Amon
0,ADRIAN HERTEL
0,Andrew Sullivan
0,Timothy Ingrassia
0,Andrew Parda
0,Sean Berman
0,Luke Curran
12,William Glynn
13,Alexander Coopersmith
31,Eamon Coburn
42,James Patton
48,Will Delaney
58,Alexander Yamron
60,Thomas Mingey
73,Nicholas Jenkins
b,r,e,a,k
Boston University (B),37
0,Theodore kahn
0,Walter Obrochta
0,Marc Buchmayer
0,Constante Palad Jr
6,Skye McKay
34,Nate Avish
40,Skovran Cunningham
43,Alexander Samaha
44,Michael Stewart
47,Andrew Mark
56,Tyler Adams
80,Greg Berman
b,r,e,a,k
Northeastern (B),38
0,Daniel Faust
0,Daniel Bowler
0,Daniel Collins
0,Logan Shore
0,John Vaughn
0,Jeremy McDavid
0,Joshua  Bricknell
2,David McDevitt
4,Camden Bickel
5,Dylan Loughran
16,Brendon Wong
23,Thomas Gannon
27,Dan Hennagin
28,JASON HERSHMAN
35,Warren Cutler
37,Andrew Pitman
42,Alex Velto
46,Alexander Hughes
49,David Frymoyer
50,Chase Gray
81,Winston Ge
95,Rory McGloin
b,r,e,a,k
Norwich,42
02,Derek Stanley
04,BOBBY FERM
06,Ryan Dau
07,Lucas Medlin
08,Darren Tsan
09,Joshua Currier
11,Craig Nielsen
12,Patrick Bateman
14,Peter Kase
16,Elliot Jennings
18,TAYLOR WARING
23,MILLIND FAUNCE
27,Jordan Character
42,Jesse Gillette
44,Joseph Greenwell
47,Rob Lamarre
64,Jack Carnahan
b,r,e,a,k
Rutgers (B),43
0,Michael Korsun
0,Sean Trzaska
0,Daniel Gwon
0,Robert Bornstein
0,Brandon Yu
0,Tatsat Parekh
0,Ryan Coleman
0,Luis Perez
0,Clement Lai
1,Daniel Kline
13,Summer Zheng
32,Kyle Calhoun
42,Mickey Borsellino
52,Darren Khong
69,RODRIGO ARAUJO
77,Joseph Yu
b,r,e,a,k
Hofstra,39
0,Eric Katzen
0,Brian Stieglitz
0,Israel Marin
0,Daniel Valverde
3,John Aleman
00,Joseph Murphy
00,THOMAS BUTLER
00,Benjamin Denaga
00,Jonathan Cordero
00,Adam Drill
00,Gabriel De Oliveira
00,Joshua Sullivan
00,SAMUEL KAPLAN
02,Brian Kelly
09,Tae Wan Kim
55,Michael Perez
66,SPENCER RIGGINS
b,r,e,a,k
SUNY-Buffalo (B),41
0,Matthew Benjamin
0,JOHN ONCHER
0,John Scala
0,Darwin Chen
0,Jedidiah Kalmanofsky
0,Christian Wilenski
0,Sam Isaac
3,Joseph Morrello
6,Gary Li
7,Christian Tjahjadi-Lopez
20,Dakota Cross
23,Bryce Potter
66,Cody Clement-Sanders
72,Joshua Labonte
b,r,e,a,k
Rider,33
0,Ryan Yeates
7,Napoleon Bennett
10,Chris Buneo
11,Konstantinos Linardos
12,Alex Galda
17,Reuss Idler
21,Justin Strauber
23,Evan Colisto
27,Edward Rodriguez
31,James Nabial
34,Danny Zarek
46,Dillon Steltz
51,Adam Chojnowski
97,Douglas Martinson
b,r,e,a,k
Stevens Tech (B),44
0,Daniel Fortino
0,Benjamin Vafis
0,Justin DeTone
0,Michael Ryan
0,Christian Jensen
0,Nicolas Camporeale
2,Robert Herley
7,Evan Bedser
12,Jonathan Bobkov
24,Andrew Chen
88,Anthony Bianco
b,r,e,a,k
American (B),34
0,Keun Won Lee
0,Abraham Cruz
0,Fraser Bird
0,Luc Marzano
0,Alexander Wang
0,Jack Mannix
0,Dylan Johnson
0,Joonhee Park
0,Matthew Schilke
0,Francis Peabody
0,Harold  Gregg
5,Tim McPhillips
9,Alexander Werner
47,David Lim
96,Colin Dougherty
b,r,e,a,k
Rowan (B),46
0,Rysn Grover
0,Quinn McHugh
0,Brennan Appleman
0,Patrick Schornstaedt
0,James Dailey
0,tyler bishof
0,Brian Satterlee
0,Tanner Smith
0,John Donahue
0,Matthew Stec
0,Zachary Davis
0,Daniel Bede
0,Jerome Malaran
2,Stephen Rivera-Lau
3,Riyyan Shariff
5,Brian Rivera-Lau
7,Doug Petro
9,Ian Fletcher
21,Hunter Davis
83,John Boyko
92,JOSEPH NALBACH
96,Kyle  Jacober 
b,r,e,a,k
MIT (B),45
0,Andrew He
0,Christopher Krause
0,SAMMY LUO
0,Zachary Collins
0,Jordan Benjamin
0,HAO LI
0,Anthony Colangeli
0,Tom Broughton
0,Lawson Kosulic
0,Kevin Shen
0,Jeffrey Zhang
b,r,e,a,k
Messiah (B),47
03,Nathan Baum
08,Keith Wei Luen Lim
09,Huey Hum
12,Nik Sloop
15,Colin Campbell
19,Paul Zwart
36,Ben Kragt
38,Jake Lucas
50,Matt Burkhead
81,Zachary Feister
84,Carter Stowman
95,Nicholas Balten
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool
pool,Pool A
New Hampshire,Richmond,3,13,"02/27/2016, 10:00",Pool A,Final
Rutgers,George Mason,9,6,"02/27/2016, 10:00",Pool A,Final
New Hampshire,Rutgers,13,4,"02/27/2016, 11:30",Pool A,Final
American,George Mason,12,7,"02/27/2016, 11:30",Pool A,Final
George Mason,Richmond,4,8,"02/27/2016, 13:00",Pool A,Final
American,Rutgers,13,6,"02/27/2016, 13:00",Pool A,Final
New Hampshire,George Mason,12,5,"02/27/2016, 14:30",Pool A,Final
American,Richmond,10,8,"02/27/2016, 14:30",Pool A,Final
New Hampshire,American,11,7,"02/27/2016, 16:00",Pool A,Final
Rutgers,Richmond,6,11,"02/27/2016, 16:00",Pool A,Final
pool,Pool B
Williams,SUNY-Fredonia,12,4,"02/27/2016, 10:00",Pool B,Final
Temple,Boston College,7,10,"02/27/2016, 10:00",Pool B,Final
Williams,Temple,11,8,"02/27/2016, 11:30",Pool B,Final
Messiah,Boston College,12,7,"02/27/2016, 11:30",Pool B,Final
Boston College,SUNY-Fredonia,8,3,"02/27/2016, 13:00",Pool B,Final
Messiah,Temple,9,7,"02/27/2016, 13:00",Pool B,Final
Williams,Boston College,13,3,"02/27/2016, 14:30",Pool B,Final
Messiah,SUNY-Fredonia,9,8,"02/27/2016, 14:30",Pool B,Final
Williams,Messiah,13,9,"02/27/2016, 16:00",Pool B,Final
Temple,SUNY-Fredonia,9,6,"02/27/2016, 16:00",Pool B,Final
b,r,e,a,k
pools,Pool 1
pool,Pool C
Shippensburg,SUNY-Cortland,13,8,"02/27/2016, 10:00",Pool C,Final
St Joseph's,Stockton,10,8,"02/27/2016, 10:00",Pool C,Final
Shippensburg,St Joseph's,13,8,"02/27/2016, 11:30",Pool C,Final
Johns Hopkins,Stockton,11,7,"02/27/2016, 11:30",Pool C,Final
Stockton,SUNY-Cortland,7,10,"02/27/2016, 13:00",Pool C,Final
Johns Hopkins,St Joseph's,13,7,"02/27/2016, 13:00",Pool C,Final
Shippensburg,Stockton,13,2,"02/27/2016, 14:30",Pool C,Final
Johns Hopkins,SUNY-Cortland,10,9,"02/27/2016, 14:30",Pool C,Final
Shippensburg,Johns Hopkins,13,8,"02/27/2016, 16:00",Pool C,Final
St Joseph's,SUNY-Cortland,11,10,"02/27/2016, 16:00",Pool C,Final
pool,Pool D
Syracuse,Hartford,7,11,"02/27/2016, 10:00",Pool D,Final
Army,Wesleyan,12,8,"02/27/2016, 11:30",Pool D,Final
Wesleyan,Hartford,7,11,"02/27/2016, 13:00",Pool D,Final
Syracuse,Wesleyan,13,6,"02/27/2016, 14:30",Pool D,Final
Army,Hartford,6,8,"02/27/2016, 14:30",Pool D,Final
Syracuse,Army,10,9,"02/27/2016, 16:00",Pool D,Final
College of New Jersey,Wesleyan,10,9,"02/28/2016, 00:00",Pool D,Final
Syracuse,College of New Jersey,7,10,"02/28/2016, 01:30",Pool D,Final
Army,College of New Jersey,9,11,"02/28/2016, 03:00",Pool D,Final
College of New Jersey,Hartford,9,7,"02/28/2016, 06:00",Pool D,Final
pool,Pool E
Columbia,Stevens Tech,10,7,"02/27/2016, 10:00",Pool E,Final
Marist,MIT,8,10,"02/27/2016, 10:00",Pool E,Final
Columbia,Marist,8,5,"02/27/2016, 11:30",Pool E,Final
Princeton,MIT,9,11,"02/27/2016, 11:30",Pool E,Final
MIT,Stevens Tech,8,5,"02/27/2016, 13:00",Pool E,Final
Princeton,Marist,12,2,"02/27/2016, 13:00",Pool E,Final
Columbia,MIT,9,10,"02/27/2016, 14:30",Pool E,Final
Princeton,Stevens Tech,10,6,"02/27/2016, 14:30",Pool E,Final
Columbia,Princeton,4,10,"02/27/2016, 16:00",Pool E,Final
Marist,Stevens Tech,3,7,"02/27/2016, 16:00",Pool E,Final
pool,Pool F
NYU,Boston University,12,8,"02/27/2016, 10:00",Pool F,Final
Ithaca,Rowan,9,11,"02/27/2016, 10:00",Pool F,Final
NYU,Ithaca,13,5,"02/27/2016, 11:30",Pool F,Final
Northeastern,Rowan,11,5,"02/27/2016, 11:30",Pool F,Final
Rowan,Boston University,6,8,"02/27/2016, 13:00",Pool F,Final
Northeastern,Ithaca,13,1,"02/27/2016, 13:00",Pool F,Final
NYU,Rowan,11,6,"02/27/2016, 14:30",Pool F,Final
Northeastern,Boston University,12,11,"02/27/2016, 14:30",Pool F,Final
NYU,Northeastern,5,10,"02/27/2016, 16:00",Pool F,Final
Ithaca,Boston University,1,13,"02/27/2016, 16:00",Pool F,Final
b,r,e,a,k
brackets,Champ Bracket
bracket,Championship Bracket
New Hampshire,Boston College,9,5,"02/28/2016, 15:30",Championship,Final
Temple,New Hampshire,5,9,"02/28/2016, 14:00",1st-Semis,Final
Boston College,Williams,8,7,"02/28/2016, 14:00",1st-Semis,Final
Richmond,Temple,8,10,"02/28/2016, 12:30",1st-Quarters,Final
New Hampshire,Messiah,10,9,"02/28/2016, 12:30",1st-Quarters,Final
American,Boston College,6,8,"02/28/2016, 12:30",1st-Quarters,Final
SUNY-Fredonia,Williams,5,10,"02/28/2016, 12:30",1st-Quarters,Final
Richmond,Connecticut (B),13,8,"02/28/2016, 11:00",1st-PQ,Final
Temple,George Mason,7,6,"02/28/2016, 11:00",1st-PQ,Final
