USA Ultimate National Championships,Club - Mixed ,29,9,2016
Rockford,IL,2016-09-29,2016-10-02
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2016/schedule/Mixed/Club-Mixed
Metro North,8
17,Emily Dayton
18,Kevin Herrera
19,Ari Davidson
20,Lauren Perucco
21,Anneke Vermaak
22,Stephen Haynes
24,Justin Simanson
27,Michael Swain
29,Christopher Reichel
31,Michelle VanSchyndel
34,Matthew Becker
37,RACHEL OKERSTROM
44,Rachel Enyeart
48,Peter Guerin
88,Claire Kelley
99,Sam Loveland
b,r,e,a,k
Public Enemy,14
01,Jarrod Hockett
02,Colby Keen
03,ANDREW WATSON
04,Rowdy Howell
05,Darius Tse
06,Chris Pleshek
07,Lindsey Kappen
08,REBECCA PHILP
09,Krystina Morris
10,Zoey Clark
11,Matthew Davis
12,Frank Macon
13,Senna Nilsson
19,Jonathan Higgins
22,Bryan Bush
23,Carrie Kulp
24,Jenna Bigbie
26,Trevor Wiltz
29,Jessica Gamwell
41,Cara Utesch
42,Paul Utesch
48,Alex Welcing
55,SEAN REED
57,Abbey Hewitt
69,GREGORY  GIPSON
80,Matthew Ondek
b,r,e,a,k
Alloy,7
02,Megan Briggeman
03,Maria Bajzek
06,Jordan Roof
08,Nicholas Audette
10,Stephanie Kane
11,Michael Reeves
12,Nicole Fiorentino
13,Jesse Kummer
14,Lauren Franke
18,Jed Farber
22,Mark Pitts
24,Alexander Thomas
26,Kelsey Cowles
27,Anson Reppermund
30,AARON KANE
33,AARON BUSS
33,Eliana Bonifacino
44,Kenny Furdella
47,MICHAEL VAN NESS
48,Jimmy Towle
52,Ellis Baehr
59,Bryan Bernard
82,Isaac Smith
85,William Hefferon
86,Robert Paolini
91,Jeremy Kanter
b,r,e,a,k
Drag'n Thrust,3
00,Alicia Carr
01,Jeffrey Trosvig
02,Emily Regan
03,Patrick Niles
04,Erica Baken
05,Brett Sullivan
06,Jake McKean
07,David Shirley
08,Claire Oakley
09,Jay Drescher
10,Martha Lien
12,Daniel Collom
13,Jacob Lien
14,Austin Lien
15,"Mary ""Patty"" King"
16,Brian Schoenrock
17,Eric Vandermolen
18,Greg Arenson
19,Mike Clark
21,Chip Chang
31,Josh Hemmesch
33,Jaime Glader
34,James Kittlesen
35,Sarah Anciaux
37,Sierra Barthen
42,Meredith Bray
44,Sarah Meckstroth
b,r,e,a,k
Steamboat,6
00,Jeff Kula
02,Nancy Haskell
03,Eddie Mack
04,Katherine Claiborne
05,Ryan Gorman
07,Bryan Walsh
08,Tim Settles
10,Jennifer Golan
12,Josh Findley
13,Kristin Baxter
17,Claire Schwaba
18,Kellan Gibboney
21,Scott Schriner
22,Brittany Winner
23,Nichole Kwee
24,Mya Hernandez
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
44,EVAN PRIEST
77,Daniel Khoe
78,Tiffany Lim
99,Kevin Kula
b,r,e,a,k
No Touching!,15
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
06,Sheila Cheng
07,Brianna Andrighetti
09,Tyler McKean
12,Michael Tschida
13,Paul Norgaard
16,Lindsay Trosvig
18,Kirsten Walters
20,Jimmy James McDonald
21,David Klink
26,Joe Andrighetti
29,Sam Pepe
33,Graham Brayshaw
42,Sam Valesano
47,Vu Nguyen
53,Erik Bredesen
74,Wade Moravec
76,Dan VanBergen
77,G. Scott Walters
78,Jeremy Keiser
86,Aaron Hushagen
88,Jeremiah Gagner
99,Lauren Keiser
b,r,e,a,k
Love Tractor,10
01,Spencer Norman
02,CHRIS HART
04,David Protter
05,Jack (John) McShane
06,John (Clay) Heinzel-Nelson
08,Scott Forrester
09,James Cantwell
10,Brian Carroll
11,Megan Henderson
12,Joe Iannacone
13,Christine Kamin
14,Stephanie Redfern
15,Lauren Rindels
16,Madeline Kreider Carlson
17,Brady Cowiestoll
18,STEPHANIE FROST
19,Garrett Moulder
20,Amelia Zutz
21,Amanda 'Leia' Walker
23,Camden Kittredge
25,Julia Ting
33,David Kamin
35,Kate Pearson
41,Katie Patterson
44,Jacob Zax
74,Stanley Strunk
91,Matthew Zemel
b,r,e,a,k
Mischief,5
00,Matt West
00,GRACE FLINTERMANN
02,Adam Brown
03,Preeti Nalavade
04,DREW KIM
05,Robert Yeagle
06,James Hansell
07,Devon Williams
08,Jessica Madding
09,Andrew Berry
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
19,Ari Weitzman
20,Jenny Wang
25,Jacob Trivisoserrano
28,Catherine Chen
34,Evan Boucher
36,Matthew Heffernan
47,Gina Schumacher
66,Jackie Wang
80,Kevin Smith
85,Evan Brydon
b,r,e,a,k
Seattle Mixtape,4
0,Mike Cavanaugh
03,Cam Bailey
04,Jesse Bolton
05,Lauren Pattie
06,Kahyee Fong
07,Rachel Bleakney-Bailey
08,Meagan Kapostasy
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
15,Drew Johnson
19,Cole Johnson
20,Grace Noah
21,Lucia Williams
22,Evan Klein
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
31,Henry Phan
32,Daniel Walton
33,Deborah Barker
50,Nicholas Dare
81,Lani Nguyen
85,Phil Paul
99,Khalif El-Salaam
b,r,e,a,k
shame.,9
02,Hugh Carey
03,Kelcie Glick
04,Isabel Cisneros
05,Henry Adams
06,Quinn Finer
07,Emily Hanson
08,Bailey Russel
09,Nate Roth
10,Doug Stenclik
11,Danielle Love
13,Kyle Enns
14,Jade McLaughlin
15,John Kearns
20,Joshua Ackley
22,Annika Walters
23,Miranda Markland
24,Zackary Fleming
25,Nicholas Snuszka
27,Chris Gauen
46,Elizabeth Murphy
48,Aubree Dietrich
50,WILLIAM HADEN CHOMPHOSY
52,Marilyn Reich
55,OLIVER FEIND
56,Jacob Juszak
64,Michael Lin
82,Joel Anton
b,r,e,a,k
G-Unit,16
00,Lisa Fitton
01,Joshua Layton
02,Bennett Wachob
04,Drew Magee
05,Jose Varillas
06,Adam Carr
07,Danny Bishop
08,ERIC SIEVERS
09,Tori Taylor
11,Jacob Dummeldinger
15,Tanner Repasky
16,Patrick Gettino
17,Megan Reeves
18,Hayden Wachob
21,Joshua Hyde
23,Graham Culbertson
24,Larissa Ferreira
33,DREW WARD
41,Reba Havis
42,Alleigh Grover
66,Hayley Cotton
69,Jaime Estes
80,Kelsea LeBeau
88,Daniel Conrad
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
AMP,Ambiguous Grey,11,9,"09/29/2016, 09:00",Pool A,Final
Metro North,Blackbird,12,11,"09/29/2016, 09:00",Pool A,Final
AMP,Blackbird,15,9,"09/29/2016, 11:15",Pool A,Final
Metro North,Ambiguous Grey,11,6,"09/29/2016, 11:15",Pool A,Final
AMP,Metro North,9,12,"09/29/2016, 13:30",Pool A,Final
Ambiguous Grey,Blackbird,14,10,"09/29/2016, 13:30",Pool A,Final
pool,Pool B
Slow White,NOISE,14,11,"09/29/2016, 11:15",Pool B,Final
Alloy,Public Enemy,12,13,"09/29/2016, 11:15",Pool B,Final
Slow White,Public Enemy,15,6,"09/29/2016, 13:30",Pool B,Final
Alloy,NOISE,9,12,"09/29/2016, 13:30",Pool B,Final
Slow White,Alloy,15,7,"09/29/2016, 15:45",Pool B,Final
NOISE,Public Enemy,14,9,"09/29/2016, 15:45",Pool B,Final
pool,Pool C
Drag'n Thrust,Love Tractor,13,7,"09/29/2016, 09:00",Pool C,Final
Steamboat,No Touching!,15,9,"09/29/2016, 09:00",Pool C,Final
Drag'n Thrust,No Touching!,15,9,"09/29/2016, 13:30",Pool C,Final
Steamboat,Love Tractor,14,11,"09/29/2016, 13:30",Pool C,Final
Drag'n Thrust,Steamboat,14,10,"09/29/2016, 15:45",Pool C,Final
Love Tractor,No Touching!,9,15,"09/29/2016, 15:45",Pool C,Final
pool,Pool D
Seattle Mixtape,shame.,16,15,"09/29/2016, 09:00",Pool D,Final
Mischief,G-Unit,12,9,"09/29/2016, 09:00",Pool D,Final
Seattle Mixtape,G-Unit,15,11,"09/29/2016, 11:15",Pool D,Final
Mischief,shame.,15,11,"09/29/2016, 11:15",Pool D,Final
Seattle Mixtape,Mischief,11,12,"09/29/2016, 15:45",Pool D,Final
shame.,G-Unit,13,5,"09/29/2016, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Metro North,Slow White,11,15,"10/02/2016, 10:00",1st Place Finals,Final
Metro North,Mischief,14,11,"10/01/2016, 12:30",Semifinals,Final
Drag'n Thrust,Slow White,9,15,"10/01/2016, 11:30",Semifinals,Final
Metro North,NOISE,15,7,"09/30/2016, 11:45",Quarterfinals,Final
Steamboat,Mischief,9,11,"09/30/2016, 11:45",Quarterfinals,Final
Drag'n Thrust,Seattle Mixtape,13,6,"09/30/2016, 14:00",Quarterfinals,Final
AMP,Slow White,7,15,"09/30/2016, 14:00",Quarterfinals,Final
NOISE,No Touching!,15,12,"09/30/2016, 09:00",Pre-Quarters,Final
Public Enemy,Steamboat,8,15,"09/30/2016, 09:00",Pre-Quarters,Final
Seattle Mixtape,Ambiguous Grey,15,12,"09/30/2016, 09:00",Pre-Quarters,Final
shame.,AMP,10,13,"09/30/2016, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,5th Place Bracket (Pro Flight)
AMP,Steamboat,11,12,"10/01/2016, 09:00",5th Place Finals,Final
AMP,NOISE,13,10,"09/30/2016, 16:15",5th Place Semis,Final
Steamboat,Seattle Mixtape,14,8,"09/30/2016, 16:15",5th Place Semis,Final
bracket,Pro Flight Play-In / 7th Place Bracket (1)
NOISE,Blackbird,13,15,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place,Final
Blackbird,No Touching!,15,6,"09/30/2016, 16:15",9th Semis,Final
shame.,Blackbird,9,15,"09/30/2016, 11:45",9th Quarters,Final
Alloy,No Touching!,15,16,"09/30/2016, 11:45",9th Quarters,Final
bracket,Pro Flight Play-In / 7th Place Bracket (2)
Ambiguous Grey,Seattle Mixtape,12,15,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place,Final
Public Enemy,Ambiguous Grey,11,13,"09/30/2016, 16:15",9th Semis,Final
Public Enemy,Love Tractor,12,11,"09/30/2016, 11:45",9th Quarters,Final
G-Unit,Ambiguous Grey,6,15,"09/30/2016, 11:45",9th Quarters,Final
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
No Touching!,Public Enemy,7,15,"10/01/2016, 09:00",11th Place Finals,Final
bracket,13th Place
Alloy,Love Tractor,15,8,"10/01/2016, 09:00",13th Place Finals,Final
shame.,Alloy,10,15,"09/30/2016, 14:00",13th Place Semis,Final
Love Tractor,G-Unit,15,8,"09/30/2016, 14:00",13th Place Semis,Final
bracket,15th Place
shame.,G-Unit,15,16,"10/01/2016, 09:00",15th Place Finals,Final
b,r,e,a,k
clusters,Crossover - 4 Seeds from Pool Play
cluster,Crossover - 4 Seeds from Pool Play
Alloy,G-Unit,14,13,"09/30/2016, 09:00",,Final
Love Tractor,Blackbird,15,11,"09/30/2016, 09:00",,Final
b,r,e,a,k
