TCT Select Flight Invite 2016,Club - Men ,13,8,2016
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-2016/schedule/Men/Club-Men/
SoCal Condors,1
5,Jonah Malenfant
6,Corey Clifford
8,Roberto Caballero
12,Ryan Welch
14,Tyler Thomegreene
21,Donovan ODowd
22,Mitchell McGahan
27,Krishna Mahajan
30,Curtis Cammack
34,Luis Caballero
35,Ryan Pesch
69,EVAN HEBERLEIN
85,Jesus Caballero
96,Tucker Hoffman
99,Samuel Reis
b,r,e,a,k
Streetgang,13
1,Justin Goodman
01,Mike Dehnbostel
02,GEOFFREY IRVING
05,Zac Goldberg
09,Christopher Schmidt
10,Benjamin Eto
12,Jake Hare
16,Joseph Huppert
17,STEVE JOLLOTA
21,Reggie Sung
22,Adam Fischlin
23,Matt Theologidy
23,Jason Glassy
26,Jacob Gutkowski
28,Michael Padula
42,MARK SLADER
52,Jacob Fella
55,Trevor Purdy
81,Scott Radlauer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SoCal Condors,Black Market,12,6,"08/13/2016, 09:00",Pool A
Big Wrench,SmokeStack,12,8,"08/13/2016, 09:00",Pool A
SoCal Condors,SmokeStack,13,4,"08/13/2016, 10:40",Pool A
Big Wrench,Black Market,11,9,"08/13/2016, 10:40",Pool A
SoCal Condors,Big Wrench,13,7,"08/13/2016, 12:20",Pool A
Black Market,SmokeStack,13,6,"08/13/2016, 12:20",Pool A
pool,Pool B
Furious George,Temper,9,10,"08/13/2016, 09:00",Pool B
Brickyard,Space City Ignite,13,9,"08/13/2016, 09:00",Pool B
Furious George,Space City Ignite,13,5,"08/13/2016, 10:40",Pool B
Brickyard,Temper,4,13,"08/13/2016, 10:40",Pool B
Furious George,Brickyard,11,8,"08/13/2016, 14:00",Pool B
Temper,Space City Ignite,13,6,"08/13/2016, 14:00",Pool B
pool,Pool C
Phoenix,Plex,12,6,"08/13/2016, 09:00",Pool C
Beachfront Property,MKE,11,9,"08/13/2016, 09:00",Pool C
Phoenix,MKE,15,14,"08/13/2016, 12:20",Pool C
Beachfront Property,Plex,12,13,"08/13/2016, 12:20",Pool C
Phoenix,Beachfront Property,13,3,"08/13/2016, 14:00",Pool C
Plex,MKE,13,7,"08/13/2016, 14:00",Pool C
pool,Pool D
H.I.P,Imperial,13,7,"08/13/2016, 10:40",Pool D
Medicine Men,Streetgang,12,11,"08/13/2016, 10:40",Pool D
H.I.P,Streetgang,13,5,"08/13/2016, 12:20",Pool D
Medicine Men,Imperial,13,6,"08/13/2016, 12:20",Pool D
H.I.P,Medicine Men,13,6,"08/13/2016, 14:00",Pool D
Imperial,Streetgang,13,8,"08/13/2016, 14:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
H.I.P,Medicine Men,13,7,"08/14/2016, 11:20",1st Place Finals
Furious George,H.I.P,8,13,"08/14/2016, 09:40",1st Place Semis
Medicine Men,Temper,11,9,"08/14/2016, 09:40",1st Place Semis
SoCal Condors,Furious George,11,12,"08/14/2016, 08:00",1st Place Quarters
H.I.P,Plex,13,6,"08/14/2016, 08:00",1st Place Quarters
Phoenix,Medicine Men,6,13,"08/14/2016, 08:00",1st Place Quarters
Temper,Big Wrench,13,9,"08/14/2016, 08:00",1st Place Quarters
bracket,3rd Place
Furious George,Temper,9,13,"08/14/2016, 11:20",3rd Place
bracket,5th Place Bracket
SoCal Condors,Phoenix,13,8,"08/14/2016, 13:30",5th Place Finals
SoCal Condors,Plex,13,2,"08/14/2016, 09:40",5th Place Semis
Phoenix,Big Wrench,13,6,"08/14/2016, 09:40",5th Place Semis
bracket,9th Place (tie)
Space City Ignite,Imperial,8,13,"08/14/2016, 11:20",9th Place Semis
Black Market,Space City Ignite,13,14,"08/14/2016, 09:40",9th Place Quarters
MKE,Imperial,9,12,"08/14/2016, 09:40",9th Place Quarters
bracket,9th Place (tie)
Beachfront Property,Brickyard,10,13,"08/14/2016, 11:20",9th Place Semis
Beachfront Property,Streetgang,13,10,"08/14/2016, 09:40",9th Place Quarters..
SmokeStack,Brickyard,7,13,"08/14/2016, 09:40",9th Place Quarters..
bracket,13th Place (tie)
Black Market,MKE,1,0,"08/14/2016, 13:00",13th place semis
bracket,13th Place (tie)
Streetgang,SmokeStack,13,10,"08/14/2016, 13:30",13th place semis
b,r,e,a,k
