Ohio Valley D-I College Men's Regionals,College - Men ,30,4,2016
Columbus,OH,2016-04-30,2016-05-01
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Lehigh,8
2,TRUE BLACK
5,JUSTIN MILLER
6,Edward Vaz
8,Joshua Walther
9,Francis Dick
11,Brayden Tiner
12,DANIEL HILL
14,Spenser Strickler
17,Matthew Kloza
19,Garrett Hall
20,Bryan Walter
22,Zachary Sands
27,Joe Garver
62,Micah Matechik
71,Doulton Campbell
86,Mark Kruise
99,BRIAN HOERTZ
b,r,e,a,k
Ohio State,3
2,Max Heuft
3,KEVIN SMEARSOLL
4,Eric Schumacher
5,Eric Momenee
5,GARRETT MARKLEY
6,ETHAN SPADE
7,Cody Fox
8,Benjamin Luce
9,Ryan Kindell
10,Peter Crofut
11,HAMZA DODO
14,Dan  Mrachko
15,Ethan Stahlman
17,Marcus Perry
19,Paul Arters
20,Andrew Klarner
21,Zach Sieber
22,Jesse Weber
23,Benjamin Whiteman
24,JEREMY MOSS
24,Michael Verma
25,Dan Urbanek
27,Neil Taylor
35,Mitchell O'Connor
42,Steven Moliterno
69,Hartley Stevenson
b,r,e,a,k
Cincinnati,6
0,Jacob Miller
0,Matt Dowling
0,SCOTT ALVERSON
0,Kyle Romard
0,Nathan Lauback
2,Nicholas Betsch
3,Elliot Skindzier
5,Sophainara Long
6,Ryan Adams
7,Jacob Turner
15,Keegan North
18,Kevin Parker
23,Steven Kolp
28,JOSHUA BRUGGEMAN
33,Justin Latz
41,Adam Turner
42,Cody Bruser
43,Stephen Kenny
49,Tanner Segbers
64,DAVID MILLER
69,Connor Messmore
77,Samuel Kratt
b,r,e,a,k
Pittsburgh (B),13
0,Matthew Reynolds
0,Henry Novara
0,ALEX ORSENO
2,Dan Mercader
4,Patrick Asinger
6,Chen Su
7,Richard Boyle
10,Alexander Reisser
14,Kenneth McQuail
20,ERIK MCLANE
23,Peter Niesman
24,Ben Morgenstern
29,Hafeez Shams
33,Max Thompson
37,Noah Weintraub
44,Matt Walheim
45,David Menard
52,Ryan Andersen
66,KEVIN GLORIUS-PATRICK
87,Daniel Goldstein
96,Kamal Raslan
b,r,e,a,k
Villanova,12
0,Jon Feikens
0,Demetrios Kyriannis
0,Garrett Flott
0,Ethan Fortin
0,Sam Olson
0,Justin Marcotte
0,John Krause
0,Matt Kerlin
0,Austin Rios
0,Joe Donovan
0,Sean Kane
0,William Dewey
0,Ryan Cullen
0,Steven Jankowski
0,Peter Mahotiere
0,Jonathan Nikolaidis
0,Don Pontrelli
0,Stephen Gagnier
0,Jonathan Collins
0,David Castelli
3,Peter Fedoryk
9,Casey Vaughn
10,Joseph Viger
10,Chris Dixon
18,Brendan Merrick
19,Dale Mittleman
22,Sal Oliver
27,Chris Keane
33,Andrew Deshler
42,Luke Natalo
45,Brent Studenroth
66,Jackson Hubble
88,Christopher White
b,r,e,a,k
Penn State,4
0,Jeremy Olbum
0,Jonathan Peterson
0,Marc Sands
0,Victor Shen
1,Joseph Hacker
2,Alexander Paulos
4,Adam Shrager
9,Andrew Rechenberg
11,David Sellers
15,Colin Masino
17,Alex Liu
17,Terrence Kong
19,Fred Wolf
20,Graham Walker
21,Codi Wood
22,Tal Cohen
23,Ian Dietrich
23,Matt Snyder
24,Samir Kalavar
25,Marcus Thaw
25,Nate Long
27,Matthew Brenfleck
33,BOBBY GOBAO
42,Patrick Kelly
66,Robert Jenkins
72,Nathaniel Donaher
77,Sean Wrobel
b,r,e,a,k
Ohio,5
0,Clay Densmore
0,Andrew Noll
0,Jonathan Snowden
0,Anthony Gulla
0,Trevor Hawks
0,Colin Heslet
1,Lloyd Furuta
2,Alex Flamm
3,Marshal Paz
5,Adam Hock
6,Cameron Haldin
7,NATHAN BROWN
10,thomas stargell
11,KELLEY MCANDREWS
15,Stephen Withers
19,NOAH TONDARI
22,Aaron Musser
33,Matthew Olson
41,Cody Petitt
42,P. Mike Rattanasengchanh
43,Mike Dios
47,Karlis Walsh
72,Shane Spiegel
92,Wally Gaida
99,Andrew Grogan
b,r,e,a,k
Temple,11
0,John Logue
0,Alexander Reiner
03,NICHOLAS WILSON
05,Chey Jones
08,Evan Kashan
09,PIERCE LUCK
10,Adriene Khon
11,JULIAN MAKARECHI
12,Eli Segal
14,Joseph Connolly
16,William Shutt
18,Adam Novak
20,Nicholas LaRue
21,Francisco Gomez
26,WILLIAM ELLIS
27,KD Okello
31,Paul Klimkowski
32,Robert Walker
33,Jeremy Fus
35,Matthew Wilson
37,Ryan Coughlan
39,Michael Facinelli
44,Igor Smola
59,Kyle Betley
69,Zach Klee
80,Benjamin Cozzolino
88,KRISTIAN WILLIAMS
99,Jordan Clever
b,r,e,a,k
Carnegie Mellon,14
0,Kevin Wang
0,Christopher Grossack
0,Kaizad Taraporevala
0,ThomasJae Garcia
0,Benjamin Fishbaum
0,ZIYU XU
0,Ryan Christianson
0,Richard Lee
9,James Yang
9,Foster Boales
10,Justin Abel
14,Joseph Gu
16,Dylan Steele
17,Jasper Tom
18,Mark Wuebbens
21,SEAN KANE
28,Max Simpson
31,Justin Forman
34,Justin Chang
52,Aaron Collins
72,Thomas Swayze
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Pittsburgh,Dayton,13,6,"04/30/2016, 09:00",Pool A,Final
Lehigh,Akron,15,8,"04/30/2016, 09:00",Pool A,Final
Pittsburgh,Akron,15,8,"04/30/2016, 11:00",Pool A,Final
Lehigh,Dayton,15,10,"04/30/2016, 11:00",Pool A,Final
Pittsburgh,Lehigh,12,14,"04/30/2016, 13:00",Pool A,Final
Dayton,Akron,14,12,"04/30/2016, 13:00",Pool A,Final
pool,Pool B
Case Western Reserve,West Chester,15,10,"04/30/2016, 09:00",Pool B,Final
Pennsylvania,Shippensburg,15,11,"04/30/2016, 09:00",Pool B,Final
Case Western Reserve,Shippensburg,15,10,"04/30/2016, 11:00",Pool B,Final
Pennsylvania,West Chester,15,16,"04/30/2016, 11:00",Pool B,Final
Case Western Reserve,Pennsylvania,15,11,"04/30/2016, 13:00",Pool B,Final
West Chester,Shippensburg,14,16,"04/30/2016, 13:00",Pool B,Final
pool,Pool C
Ohio State,Villanova,15,7,"04/30/2016, 09:00",Pool C,Final
Cincinnati,Pittsburgh (B),14,12,"04/30/2016, 09:00",Pool C,Final
Ohio State,Pittsburgh (B),15,1,"04/30/2016, 11:00",Pool C,Final
Cincinnati,Villanova,13,11,"04/30/2016, 11:00",Pool C,Final
Ohio State,Cincinnati,15,3,"04/30/2016, 13:00",Pool C,Final
Villanova,Pittsburgh (B),10,15,"04/30/2016, 13:00",Pool C,Final
pool,Pool D
Penn State,Temple,15,8,"04/30/2016, 09:00",Pool D,Final
Ohio,Carnegie Mellon,15,11,"04/30/2016, 09:00",Pool D,Final
Penn State,Carnegie Mellon,15,6,"04/30/2016, 11:00",Pool D,Final
Ohio,Temple,15,14,"04/30/2016, 11:00",Pool D,Final
Penn State,Ohio,15,7,"04/30/2016, 13:00",Pool D,Final
Temple,Carnegie Mellon,13,9,"04/30/2016, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Penn State,Case Western Reserve,9,15,"05/01/2016, 13:00",1st Place Finals,Final
Lehigh,Penn State,7,14,"04/30/2016, 15:00",1st Place Semis,Final
Ohio State,Case Western Reserve,13,14,"04/30/2016, 15:00",1st Place Semis,Final
bracket,2nd Place Bracket
Penn State,Pittsburgh,11,15,"05/01/2016, 15:00",2nd Place Finals,Final
Lehigh,Pittsburgh,10,15,"05/01/2016, 13:00",2nd Place Semis,Final
Lehigh,Pennsylvania,14,13,"05/01/2016, 11:00",2nd Place Quarters,Final
Pittsburgh,Ohio State,15,9,"05/01/2016, 11:00",2nd Place Quarters,Final
Cincinnati,Pennsylvania,10,15,"05/01/2016, 09:00",2nd Place Prequarters,Final
Pittsburgh,Ohio,15,10,"05/01/2016, 09:00",2nd Place Prequarters,Final
Cincinnati,Temple,13,10,"04/30/2016, 15:00",2nd Place Play In,Final
Dayton,Pennsylvania,2,15,"04/30/2016, 15:00",2nd Place Play In,Final
Pittsburgh,West Chester,15,2,"04/30/2016, 15:00",2nd Place Play In,Final
Pittsburgh (B),Ohio,10,15,"04/30/2016, 15:00",2nd Place Play In,Final
bracket,7th Place
Cincinnati,Ohio,0,0,"05/01/2016, 11:00",7th Place,Cancelled
bracket,9th Place Bracket
Dayton,Pittsburgh (B),11,9,"05/01/2016, 11:40",9th Place Finals,Final
Temple,Dayton,10,11,"05/01/2016, 10:00",9th Place Semis,Final
West Chester,Pittsburgh (B),12,13,"05/01/2016, 10:00",9th Place Semis,Final
bracket,11th Place
Temple,West Chester,10,11,"05/01/2016, 11:40",11th Place,Final
bracket,13th Place Bracket
Carnegie Mellon,Shippensburg,9,10,"05/01/2016, 11:40",13th Place Finals,Final
Akron,Carnegie Mellon,9,11,"05/01/2016, 10:00",13th Place Semis,Final
Villanova,Shippensburg,8,11,"05/01/2016, 10:00",13th Place Semis,Final
bracket,15th Place
Akron,Villanova,11,8,"05/01/2016, 11:40",15th Place,Final
b,r,e,a,k
