22nd Annual Layout Pigout 2016,College - Men ,19,3,2016
Haverford,PA,2016-03-19,2016-03-20
https://play.usaultimate.org/events/22nd-Annual-Layout-Pigout-2016/schedule/Men/CollegeMen/
Richmond,5
00,Eric Jovinelly
00,Peter Bachman-Gregori
00,Seth Krivchenia
00,Jacob Finkelstein
00,Charles Griffiths
00,Daiki Sugiyama
00,Thomas Lemons
00,Justin Greenbaum
00,Aaron Blumberg
00,Alex Solomon
12,ZACHARY CHARREN-DIEHL
84,Matt Lubitz
b,r,e,a,k
St Joseph's,11
teamInfo,St. Joseph's,"Philadelphia, Pennsylvania",,,
0,Matthew Duplak
0,Zachary Luszik
0,BRIAN RADERMACHER
0,William Weaver
0,Edgar Knerr IV
0,Martin Gallagher
0,Bryan Doherty
0,Clay Kissane
0,Matt Iovannone
0,DANIEL TUMOLO
0,John Hughes 
0,Tyler Bartholomew
0,Daniel Tully
0,Ryan Mantone
0,Conor Burke
1,Cory Blazer
3,GREGORY RICE
4,THOMAS FLYNN
6,MICHAEL CORCORAN
7,Matt Lescavage
15,Peter Golish
25,RYAN COYLE
27,Christopher Tran
29,Garrett Chu
32,Andrew Chirichella
45,Patrick Dillon
b,r,e,a,k
Swarthmore,14
teamInfo,Earthworms,"Swarthmore, Pennsylvania",,,@WormsUltimate
0,Sam Wallach Hanson
0,Harry Huchra
0,Lee Tarlin
0,TEO GELLES
0,Andrew Gilchrist-Scott
0,Christian Morrow
0,Sam Gardner
0,David Holmgren
0,Shantanu Jain
0,Patrick Trainor
4,Joseph Corcoran
7,Muhaiminul Haque
14,Tim Nguyen
42,Alexander Jin
63,Benjamin Goodman
64,Daniel Lai
93,Max Franklin
b,r,e,a,k
Brown (B),15
teamInfo,Brown - B,"Providence, Rhode Island",,,
0,Jonathan Sheinfeld
0,Naveen Srinivasan
0,Asher Woodbury
0,Neil Chandra
0,Lukas Skuja
0,Justin Lee
0,Vaughn Campbell
0,David Strout
15,Ansel Vahle
b,r,e,a,k
Emerson,19
teamInfo,Skunks,"Boston, Massachusetts",,https://www.facebook.com/emerskunks/,https://twitter.com/emerskunks
07,Stig Regan
11,Jack Worth
12,Conner Carrico
13,Brandon Raciti
21,Erik Picone
23,Noah Wisch
42,Simon Gibson Penrose
72,Sahil Patel
b,r,e,a,k
Rider,18
teamInfo,Rider Rangers,"Lawrenceville, New Jersey",,modules/common/www.facebook.com/riderultimate,
0,Ryan Yeates
2,Ryan Tsang
7,Napoleon Bennett
10,Chris Buneo
11,Konstantinos Linardos
12,Alex Galda
14,Jose Vargas
17,Reuss Idler
21,Justin Strauber
23,Evan Colisto
27,Edward Rodriguez
31,James Nabial
34,Danny Zarek
46,Dillon Steltz
51,Adam Chojnowski
97,Douglas Martinson
b,r,e,a,k
RIT,13
teamInfo,RIT Spudheds,"Rochester, New York",,,
0,Christian Gileski
0,Daniel Horrigan
0,Bryan Bausinger
0,MICHAEL TANIS
0,Louis Kline
0,James Erb
0,Anthony Miuccio
0,Ian Taylor
0,Aaron  Liu
0,Michael Keegan
0,Iain Tracton
0,Zephram Carroll
0,Eric Yoon
0,ZACHARY LAW
8,Connor Fortin
9,John Ackerman
24,Jacob Watts-St. Germain
55,CASEY GONTA
b,r,e,a,k
Philadelphia,12
teamInfo,Diskfunctional,"Philadelphia, Pennsylvania",,,
4,Ryan Bukovsky
05,Jason Horne
07,Zane Colville
11,Dan Alderfer
13,Gerald Morgan-Brown
16,Timothy Duddy
17,James Pollard
18,Matthew Hughes
21,Dylan Courtney
22,STEPHEN DENGLER
24,Alex Marino
27,John Perfetti
99,John Simons
b,r,e,a,k
Gettysburg,16
teamInfo,Pan Fried Funk,"Gettysburg, Pennsylvania",,,
0,John Gentes
0,Brian Ruether
0,Alexandra Ecker
0,Hayden Hall
0,Jeffrey Kohart
0,Arianna Bacon
0,David Dunkelberger
0,Danielle Jones
0,Colby Sites
0,PETER YERGEAU
0,Samuel Wilensky
0,David Julien
0,Kevin Olson
0,Jonathan Hu
11,Liz Grimes
22,Travis Sowell
b,r,e,a,k
West Chester (B),20
teamInfo,West Chester,"West Chester, Pennsylvania",,,
0,Andrew Galen
0,Ryan Brooke
0,Bryce Livers
06,Brendan Bittle
08,ADAM LASALLE
11,Quintin Blank
12,Logan Ferraro
13,Matthew Brown
14,Dan Ruban
16,Alex Zamory
20,Michael Salomone
21,Brian Crenny
22,James Firestone
25,Kevin Souser
28,Timothy Czaja
36,Damien Yasipour
38,Michael Popeck
44,Georgiy Soltanov
46,Luke Reno
54,Ryan McNamara
89,Gabriel Myers
b,r,e,a,k
Ursinus,17
teamInfo,Ursinus,"Collegeville, Pennsylvania",https://www.ursinus.edu/live/news/471-ultimate-frisbee,https://www.facebook.com/Ursinus-College-Ultimate-Frisbee-1555500514772790/?ref=aymt_homepage_panel,
00,Evan Hunt
00,Brandon Kull
00,ANDREW  VECHY
00,Brent Garcia
00,Megan McTaggart
00,Berett Babrich
00,Vincent Razzano
00,Rowan Davis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Franciscan,East Carolina,13,9,"03/19/2016, 09:00",Pool A,Final
Richmond,Amherst,13,9,"03/19/2016, 09:00",Pool A,Final
Franciscan,Richmond,10,13,"03/19/2016, 10:40",Pool A,Final
Brandeis,Amherst,13,9,"03/19/2016, 10:40",Pool A,Final
Franciscan,Brandeis,11,13,"03/19/2016, 12:20",Pool A,Final
Richmond,East Carolina,13,6,"03/19/2016, 12:20",Pool A,Final
Franciscan,Amherst,13,11,"03/19/2016, 14:00",Pool A,Final
Brandeis,East Carolina,13,5,"03/19/2016, 14:00",Pool A,Final
Amherst,East Carolina,13,5,"03/19/2016, 15:40",Pool A,Final
Brandeis,Richmond,10,13,"03/19/2016, 15:40",Pool A,Final
pool,Pool B
Williams,Bowdoin,13,6,"03/19/2016, 09:00",Pool B,Final
Haverford,Muhlenberg,10,13,"03/19/2016, 09:00",Pool B,Final
Bowdoin,Haverford,9,10,"03/19/2016, 10:40",Pool B,Final
Bowdoin,Muhlenberg,13,5,"03/19/2016, 12:20",Pool B,Final
Williams,Muhlenberg,13,4,"03/19/2016, 14:00",Pool B,Final
Williams,Haverford,13,4,"03/19/2016, 15:40",Pool B,Final
SUNY-Geneseo,Muhlenberg,13,7,"03/19/2016, 22:40",Pool B,Final
Williams,SUNY-Geneseo,13,11,"03/20/2016, 12:20",Pool B,Final
SUNY-Geneseo,Haverford,5,10,"03/20/2016, 02:00",Pool B,Final
SUNY-Geneseo,Bowdoin,2,13,"03/20/2016, 03:40",Pool B,Final
pool,Pool C
St Joseph's,Emerson,10,13,"03/19/2016, 09:00",Pool C,Final
Brown (B),Rider,13,7,"03/19/2016, 09:00",Pool C,Final
St Joseph's,Brown (B),13,5,"03/19/2016, 10:40",Pool C,Final
Swarthmore,Rider,13,2,"03/19/2016, 10:40",Pool C,Final
Rider,Emerson,7,13,"03/19/2016, 12:20",Pool C,Final
Swarthmore,Brown (B),13,6,"03/19/2016, 12:20",Pool C,Final
St Joseph's,Rider,13,4,"03/19/2016, 14:00",Pool C,Final
Swarthmore,Emerson,13,10,"03/19/2016, 14:00",Pool C,Final
St Joseph's,Swarthmore,13,11,"03/19/2016, 15:40",Pool C,Final
Brown (B),Emerson,13,12,"03/19/2016, 15:40",Pool C,Final
pool,Pool D
Philadelphia,RIT,5,13,"03/19/2016, 09:00",Pool D,Final
Gettysburg,West Chester (B),13,8,"03/19/2016, 09:00",Pool D,Final
Philadelphia,Gettysburg,13,3,"03/19/2016, 10:40",Pool D,Final
RIT,Gettysburg,13,2,"03/19/2016, 12:20",Pool D,Final
RIT,West Chester (B),13,2,"03/19/2016, 14:00",Pool D,Final
Philadelphia,West Chester (B),13,8,"03/19/2016, 15:40",Pool D,Final
RIT,Ursinus,13,4,"03/19/2016, 16:40",Pool D,Final
Ursinus,West Chester (B),8,13,"03/19/2016, 18:20",Pool D,Final
Philadelphia,Ursinus,13,8,"03/19/2016, 20:00",Pool D,Final
Gettysburg,Ursinus,F,W,"03/19/2016, 21:40",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
