College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
02,Caitlin Hegg
05,Robin Fassett-Carman
06,Chloe Rowse
07,Frances Gellert
12,Anna Doctor
13,Kiera Connelly
14,Stella Gardner
15,Emily Komie
16,Abigail Lew
17,Patty Weicht
18,Audrey Mills
19,Cate Ellison
20,Marlee Akerson
21,Elizabeth Alvin
23,Rachael Maxwell
27,EMMA SARGENT
28,Monica Weindling
32,ALEXIE MILLIKIN
64,Annie Brewster
71,Erika Hiromitsu
81,Corey Baron
b,r,e,a,k
Vermont,17
0,Rayne Hanke
0,Meghan Kibblehouse
0,Olivia Phillips
0,Olivia Benjamin
0,MEAGHAN FOLEY
0,Megan Tammaro
0,Emma Weatherhogg 
0,Madison Westfall
0,Rayna Wachs
0,Linda Jencyowski
0,Sammy Chandhok
0,Rebecca Stormberg
0,Kyle Weatherhogg
0,Dana Miller
0,Corey Atkins
0,Olivia Arent
6,Emma Denman
19,Cassandra Smith
b,r,e,a,k
Penn State,16
0,Melissa Javier
0,Haleigh Cavalier
0,Blake Ratner
0,Melissa McCloskey
0,Mary Mcaliney
0,Myranda Armstrong
0,Malti McKinnon
0,Maya Karl
0,Erica Rothkopf
0,Guinevere Rauch
0,Kara Peng
0,Kaila Lessner
0,Natalie McDowell
0,Leah Galamba
0,Torey Vayer
2,Cassidy  Camplese
4,CARA CLARK
9,Michelle Tran
19,Amel Awadelkarim
27,Brooke Ruggieri
37,Joanna Chen
80,Tara Peng
b,r,e,a,k
Iowa State,18
02,Jean Colangelo
03,Kelly Hewitt
04,Brittnee Grimshaw
05,Megan Halverson
07,Jessica Mazzio
09,Samantha Kokjohn
10,Abigail Poplawski
11,Emma Lorenz
12,Linda Morton
13,Clare Maksimovich
14,Taylor Reth
18,Sarah Leichty
19,Alyssa Maristela
20,Caitlin Durston
23,Blair Holck
24,Megan Jameson
33,Sarah Tallman
41,Natalie Bidner
51,Jamie Steyer
52,Rachel Bates
73,Kaitlyn Christiansen
84,Sara Stuedemann
b,r,e,a,k
Minnesota,10
01,LINDSAY HOEPPNER
02,Stephanie Wood
03,Makella Daley
06,AMANDA AHO
08,Greta Regan
09,Sara  Helm
11,Alyson Gagner
12,Heather Taylor
14,Emma Jaschke
16,ALYSON PROM
17,Jessie Kostecki
18,Anna Miller
19,Alyssa Belsito
20,Kajsa Beatty
21,EMILY Jones
22,Rachel Elbing
23,REBECCA STEINMAN
24,Lindy Sowmick
30,Louise Beck
33,Kayla Blanek
35,Sarah Anciaux
36,Ratih Sutrisno
54,Lauren Guzman
66,Clare Riley
b,r,e,a,k
Florida State,15
0,Lisa Fitton
04,ZOE STAPLETON
05,Katie Dooley
06,Shannon Grill
09,Julia Gregory
15,Lindsi Allman
17,Carolina Gonzalez-Llanos
18,Lauren Brooker
19,Kaley Weldon
21,Natalie Dix
22,Bretania  Forbes
25,Gabrielle Payne
32,Connie Barroso
33,KRISTIN LLOYD
36,Alexa Fritsche
39,Diana Elsner
40,Grace Tummel
43,Reagan Walker
44,Gabby Sehres
52,SKYLAR SWORDS
66,Hayley Cotton
85,Rachael Thompson
b,r,e,a,k
Northeastern,19
05,Eleanor Patten
06,Lauren Bertino
09,Harriet Booth
11,ALEXANDRA ROSIN
12,Nicole Canning
13,Ellen  Harsha 
14,Mei Bruist
15,Julianne Kloza
18,Natalie Hopkins
23,Anna Cullen
26,Ariel Bloch
33,Samantha Gray
36,Elizabeth Way
37,Hannah Walter
38,Maggie Soto
39,Katharine Gilbert
45,Eva Davis
49,Lamia Farah
64,Tracey Lum
66,Lydia Auch
76,Mary Chen
88,Gianna Scioletti
91,Anna Sciaruto
b,r,e,a,k
Kansas,11
0,Mackenzie Burns
07,Malaina Piyassaphan
08,Lilly Bakker
09,Brandi Schneider
10,Grace Roth
11,Jordan Alonzo
12,Clare Frantz
13,Camille Curley
14,Kelsey Akin
15,Caitlin Fitzgerald
17,Sydney Nelson
21,JORDAN KACZOR
23,Alexa Kaczor
25,Miriam Delrahim
28,Megan Burns
37,Stasha Beermann
45,Janie Reiter
49,Heather Fielding Gebhardt
99,Sarah Murphy
b,r,e,a,k
Southern California,14
0,Catherine Chung
0,Jolene Liu
0,Jean Frazier
0,Rhea Choudhury
0,Brianne Low
0,Rachel Litz
0,Alana Archer
0,Valentina Valdez
0,Connie Chan
8,Becklin Davis
10,Julia Johnson
11,Christie Yeh
12,Linda Hamon
15,Rachel Chang
18,Sophia Zhou
22,Alyssa Perez
24,Avalon Igawa
b,r,e,a,k
Northwestern,20
02,Alexandra Hu
03,Sara Gnolek
04,Allegra Wilson
08,Grace Goulson
11,ABBY MATHIER
13,Phoebe Evans
15,Bridget Miles
16,Sarah Kim
18,Jessica Hoffman
21,Jennifer Evans
22,Katherine George
24,Lena Goren
25,Hindeke Tewodros
27,JESSICA AXELROD
31,Rachel Inderhees
33,Kelsey Dennis
47,Anri Brod
b,r,e,a,k
Tufts,13
0,Jojo Emerson
0,Shayna Solomon
0,Emily Eickhoff
0,Rachel Kramer
0,WINNIE ZHANG
0,Kei Thurber
0,Laura Fradin
0,Meredith Bernstein
0,Caroline Passalacqua
0,JILLIAN GERKE
0,Samantha Schmidt
0,Valerie Willocq
0,Rebekah Waller
0,Megan Wilson
0,Hadley Gibson
0,Kelsey-Claire Gallagher
0,Maeve O'Sullivan
0,Emily Eibl
4,Hannah Crowley
19,Emily Decker
b,r,e,a,k
Wisconsin,12
0,Claire Cech
0,Lauren Allin
0,Madison Letcher
1,Jackie Welsch
2,Sabrina Hoffman
3,Carly Siewert
4,Lorraine Guerin
7,Grace Backes
8,Evie Adams
9,Lilly Iverson
10,Caitlin Murphy
12,Kaitlynne Roling
14,Anna Hrovat-Staedter
16,Molly Berkholtz
18,Sarah Mondschein
20,Jenna Thorp
21,Anneke Vermaak
22,Michelle Zaber
23,Caroline Mueller
24,Lauren Roach
25,Jamie  Brown
27,Taylor Srebnick
42,ALEXA AMUNDSON
b,r,e,a,k
Boston College,28
0,Ellie Ray
0,MEGAN EBNER
0,Meghan Koehler
7,MELISSA WARTEN
8,Lexi Cornwall
11,Juliette Lloyd
12,Sarah Steiger
14,KEELIN HENDERSON
18,Emily Almonte
19,Olivia Hampton
21,Megan Vanderhooft
24,Christina Levano
29,Katie Lamirato
36,Ashley Wu
39,SARAH ODELL
55,Alyssa Florack
57,Daniele de Groot
77,Catherine Kolodziej
b,r,e,a,k
Texas State,21
0,Ashley Abrigo
0,Natalie Mellerski
0,Courtney Snyder
0,LEXIE QUILES
0,Hannah Rondan
0,Amanda Bland
0,Martie Swinhoe
0,JERRY BENAVIDEZ
0,Makenzi  Hammer 
0,Valerie Sotelo
0,Maggie Douglass
0,Melissa Farber
0,Alyssa Flores
0,Erin Bostick
0,Jessica Kishi
0,Conner  Gonzales 
12,Anne Ortiz
b,r,e,a,k
Colorado State,29
0,BROOKE WALSH
0,Erin Berg
0,Annalee Altenberg
0,Rachel Ericson
0,BEATRIZ DEL RIO
0,Maddie Pielert
0,Kat Killingsworth
0,Kaci Cessna
0,OLIVIA GEORGIA
0,JEANETT JANSEN
0,Cristiana Falvo
3,Molly Clay
6,ARIEL LOPEZ-SANTILLANA
9,Kiera Lindgren
12,Mollie Phillips
14,Nicole Bauer
18,Laura McLean
21,Rachel Street
23,Hannah Hinchsliff
27,Danielle Reimanis
48,Aubree Dietrich
b,r,e,a,k
Texas-San Antonio,36
0,Sophia  Kohlmann-McCulloch 
0,Alexandra Zaborowske
0,Krystal Trlicek
0,Vangelina Osteguin
