South Central Mixed Regionals,Club - Mixed ,10,9,2016
Tulsa,OK,2016-09-10,2016-09-11
https://play.usaultimate.org/events/South-Central-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Love Tractor,1
Love Tractor,theRUB,15,6,"09/10/2016, 08:00",Pool A,Final
Sweet Action,Balloon,15,4,"09/10/2016, 08:00",Pool A,Final
Love Tractor,Balloon,15,5,"09/10/2016, 10:00",Pool A,Final
Sweet Action,theRUB,15,11,"09/10/2016, 10:00",Pool A,Final
Love Tractor,Sweet Action,15,7,"09/10/2016, 12:00",Pool A,Final
theRUB,Balloon,12,11,"09/10/2016, 12:00",Pool A,Final
pool,Pool B
shame.,Wildstyle,15,3,"09/10/2016, 08:00",Pool B,Final
tHUMP,Risky Business,14,11,"09/10/2016, 08:00",Pool B,Final
shame.,Risky Business,15,3,"09/10/2016, 10:00",Pool B,Final
tHUMP,Wildstyle,13,10,"09/10/2016, 10:00",Pool B,Final
shame.,tHUMP,15,7,"09/10/2016, 12:00",Pool B,Final
Wildstyle,Risky Business,13,14,"09/10/2016, 12:00",Pool B,Final
pool,Pool C
Cosa Nostra,The Strangers,15,7,"09/10/2016, 08:00",Pool C,Final
Freetail,Mixtape,15,6,"09/10/2016, 08:00",Pool C,Final
Cosa Nostra,Mixtape,15,4,"09/10/2016, 10:00",Pool C,Final
Freetail,The Strangers,15,10,"09/10/2016, 10:00",Pool C,Final
Cosa Nostra,Freetail,15,8,"09/10/2016, 12:00",Pool C,Final
The Strangers,Mixtape,15,3,"09/10/2016, 12:00",Pool C,Final
pool,Pool D
Public Enemy,Mesteño,15,10,"09/10/2016, 08:00",Pool D,Final
Moontower,Mixed on the Rock,15,5,"09/10/2016, 08:00",Pool D,Final
Public Enemy,Mixed on the Rock,15,4,"09/10/2016, 10:00",Pool D,Final
Moontower,Mesteño,8,15,"09/10/2016, 10:00",Pool D,Final
Public Enemy,Moontower,14,5,"09/10/2016, 12:00",Pool D,Final
Mesteño,Mixed on the Rock,15,2,"09/10/2016, 12:00",Pool D,Final
b,r,e,a,k
clusters,Cross Over Play
cluster,4th Round Cross Overs
Love Tractor,Cosa Nostra,15,6,"09/10/2016, 14:00",,Final
shame.,Public Enemy,15,5,"09/10/2016, 14:00",,Final
Mesteño,Risky Business,15,8,"09/10/2016, 14:00",,Final
Freetail,theRUB,12,8,"09/10/2016, 14:00",,Final
tHUMP,Moontower,8,15,"09/10/2016, 14:00",,Final
Sweet Action,The Strangers,14,10,"09/10/2016, 14:00",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Public Enemy,shame.,12,15,"09/11/2016, 12:00",1st Place Finals,Final
Love Tractor,Public Enemy,8,15,"09/11/2016, 10:00",1st Place Semis,Final
Cosa Nostra,shame.,9,15,"09/11/2016, 10:00",1st Place Semis,Final
Love Tractor,Moontower,15,3,"09/11/2016, 08:00",1st Place Quarters,Final
Public Enemy,Freetail,14,8,"09/11/2016, 08:00",1st Place Quarters,Final
Cosa Nostra,Mesteño,15,10,"09/11/2016, 08:00",1st Place Quarters,Final
Sweet Action,shame.,6,15,"09/11/2016, 08:00",1st Place Quarters,Final
bracket,7th Place Bracket
Sweet Action,Moontower,13,14,"09/11/2016, 12:00",7th Place,Final
bracket,5th Place Bracket
Freetail,Mesteño,13,9,"09/11/2016, 14:00",5th Place,Final
bracket,9th Place Bracket
theRUB,Risky Business,9,11,"09/11/2016, 12:00",9th Place Finals,Final
The Strangers,theRUB,10,13,"09/11/2016, 10:00",9th Place Semis,Final
Risky Business,tHUMP,15,7,"09/11/2016, 10:00",9th Place Semis,Final
The Strangers,Balloon,15,11,"09/11/2016, 08:00",9th Place Quarters,Final
theRUB,Wildstyle,15,6,"09/11/2016, 08:00",9th Place Quarters,Final
Risky Business,Mixtape,15,10,"09/11/2016, 08:00",9th Place Quarters,Final
tHUMP,Mixed on the Rock,15,13,"09/11/2016, 08:00",9th Place Quarters,Final
bracket,13th Place Bracket
Wildstyle,Mixed on the Rock,15,6,"09/11/2016, 12:00",13th place Finals,Final
Balloon,Wildstyle,10,12,"09/11/2016, 10:00",13th Place Semis,Final
Mixtape,Mixed on the Rock,11,15,"09/11/2016, 10:00",13th Place Semis,Final
bracket,11th Place Bracket
The Strangers,tHUMP,0,0,"09/11/2016, 12:00",11th Place Finals,Cancelled
bracket,15th Place Bracket
Balloon,Mixtape,9,5,"09/11/2016, 12:00",15th Place Finals,Final
bracket,3rd Place Bracket
Cosa Nostra,Love Tractor,9,15,"09/11/2016, 14:00",3rd Place Finals,Final
Freetail,Cosa Nostra,7,15,"09/11/2016, 12:00",3rd Place Semis,Final
Mesteño,Love Tractor,6,14,"09/11/2016, 12:00",3rd Place Semis,Final
Moontower,Freetail,5,15,"09/11/2016, 10:00",3rd Place Quarters,Final
Mesteño,Sweet Action,13,8,"09/11/2016, 10:00",3rd Place Quarters,Final
b,r,e,a,k
