Garden State 6,College - Men ,2,4,2016
Princeton,NJ,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Garden-State-6/schedule/Men/CollegeMen/
Messiah,4
1,Kiffa Conroy
4,Seho Young
9,Andrew Huang
11,Charles Coburn
12,Sean Treacy
16,Nicholas Nelsonwood
17,Rocco Amorosso
19,Zach Weed
21,Anthony Markowitz
27,Victor Zhou
37,Dylan Baroody
42,Noah Hastings
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
Navy,10
0,Alexander Beal
0,David Escalera
0,Charles Schillings
0,Ryan Waterman
6,Nicholas Ramzi
8,Jay Wallen
10,John Faucher
11,Bernard Forney
17,William Kruger
20,Thomas Wilson
26,Greg Murtha
27,Sam Weaver
33,Niles Moffat
35,Andrew Anderson
50,Jeremiah Harding
54,Spencer Cobb
99,Lawrence Wilson
b,r,e,a,k
Rutgers,11
0,Paul Savarskyy
0,Roy Roldan
0,Dyllon Jeng
0,Peter Jeng
0,Grant Roginski
0,Ian Lee
0,Joshua Shamouil
0,NEHAR DAMLE
5,Kevin Tam
6,Dmitry Suvorov
9,Dean  Klimek
10,Shashank Alladi
14,Brendon Pierce
17,LEON CHEUNG
19,Andrew Auyeung
20,KYLE POTKAY
23,Zhaoyuan Miao
25,Ryan Mendoza
27,KEVIN SHEN
31,Francis Joe
32,ALEXANDER KONG
36,Tanner Yuhas
49,ANDREW LEE
64,Benjamin Levy
b,r,e,a,k
Catholic,26
0,Arthur Dedoulis
0,Hunter Haddad
0,Nick Manna
0,Christopher Gillie
0,Jake Donnelly
0,Timothy Lampert
0,Kevin Motylinski
0,Javier Alvarez-Garza
0,Jackson Martinez
0,Ryan Slattery
0,John Schepis
2,KYLE ADAIR
4,Luke Alcaraz
7,DAVID ANTOL
8,Peter Warwick
9,Christopher Kramer
13,Jacob Lapierre
13,John O'Donnell
15,Matthew Marczyk
17,Patrick Walsh
25,James Carroll
33,James McLeod
35,James Walsh
38,Doug McLeod
45,Christopher Caruso Jr
51,Michael Gross
55,JOSEPH MIRABILE
77,Saba Owens
93,Finbar Kantor
b,r,e,a,k
Millersville,18
0,Ryan Peterson
0,Richard Clemmer
0,Jon Parker
1,Patrick Clemens
4,Eric Ritchey
14,Scott Gerber
20,Dan Pagano
22,Shane Billbrough
34,JOSH CESCHINI
42,Shane Bookhultz
43,Nicholas Diehl
44,RYAN YOUNG
65,Robert Yu
72,Justin Creighton
b,r,e,a,k
Maine-Farmington,27
0,Daniel Picard
0,Luke Atchison
0,David Scammon
0,joseph menard
0,Alan Smat
0,David Mallow
0,Cory McCullough
0,Glenn Lumbert
0,Elliot Gorr
0,Tim Bullard
0,Jacob Legere
0,Gage Currie
0,Gunnar Heckler
0,Matthew Hernandez
0,Jacob Violette
0,Joe Brichetto
0,David Dean
0,Dominic Martorano
0,Zachary  Wheeler
4,John McCullagh
7,Matthew Wilbanks
8,Holden Cookson
10,Timothy  Pacini
15,SPENCER LLOYD-REES
b,r,e,a,k
Hofstra,19
0,Benjamin Denaga
0,Jonathan Cordero
0,Adam Drill
0,SAMUEL KAPLAN
0,Brian Stieglitz
0,Israel Marin
0,Daniel Valverde
0,Nicholas Miller
0,Colin McGuire
0,Joseph Murphy
0,Eric Katzen
2,Brian Kelly
3,John Aleman
5,Andrew Detres
6,Joshua Sullivan
9,Tae Wan Kim
10,THOMAS BUTLER
21,Gabriel De Oliveira
22,TYLER GRIES
24,Michael Fernandez
28,Liam Doogue
31,Gabriel Salzman
33,Ian Weimer
55,Michael Perez
66,SPENCER RIGGINS
72,Frank Castelluccio
b,r,e,a,k
Colgate,20
0,Jacob Wasserman
0,Eric Hechler
0,Steven McDermott
0,Jonathan Santiago
02,John Patrick (JP) Letourneau
03,Noah Campbell
04,Josh Winward
07,Malcolm Seamans
10,JOHN WALLBRINK
11,Michael O'Brien
13,Zachary Lazow
15,Zachary Moran
17,William Sherwood
19,Alex Kappler
22,Ben Apple
24,Quinn Kim
25,Ethan Jones
81,Stephen Paolini
90,Payton Baker
b,r,e,a,k
College of New Jersey,12
0,Andrew Cameron
0,Jordan Disick
0,Alexander Cretella
0,Tom Athan
0,SHEA PAYTAS
0,Colin Kochenash
0,Michael Jozwiak
0,Amit Rana
0,Chris Shaffer
0,Brian Litt
0,Joseph Mazzarella
0,Abin Alexander 
0,Timothy Osborn
1,Bryan Santana
7,Gregory Borowski
10,Ryan Borchers
12,Zach Kaplan
13,Nicholas Landolfi
15,Keller Gordon
21,Max Gruttadauria
22,Nicholas Pellegrino
23,Otto Gomez
26,Philip Treu
29,Steven Powers
31,Henry Shen
33,Elijah Smith
48,JOSEPH SCHWINDT
93,Christopher Hranj
b,r,e,a,k
Muhlenberg,17
0,Or Ayash
0,Guangya Wang
0,Dan DeRemigi
0,Golan Gil-More
0,Lucas Kasle
0,Daniel McGrady
0,Daniel Zuckerman
0,Eric Jovinelly
0,Peter Bachman-Gregori
0,Seth Krivchenia
0,Jacob Finkelstein
0,Charles Griffiths
0,Daiki Sugiyama
0,Thomas Lemons
0,Justin Greenbaum
0,Alex Solomon
7,Sam Evans
8,Matt Goldberg
10,David Behrmann
12,ZACHARY CHARREN-DIEHL
33,Jason Ulman
34,Aaron Schwartz
37,Aaron Blumberg
84,Matt Lubitz
b,r,e,a,k
Emerson,25
07,Stig Regan
11,Jack Worth
12,Conner Carrico
13,Brandon Raciti
21,Erik Picone
23,Noah Wisch
25,Nicholas Chieffo
42,Simon Gibson Penrose
44,Ross Ketschke
72,Sahil Patel
b,r,e,a,k
Shenandoah,28
3,Shawn Miller
4,Darius  Hardy
5,Joey Lisko
9,Daniel Hillgren
10,Mansour Aldehaiman
24,Jeremy Flaherty
33,Tony Rodriguez
68,ERIC BATEMAN
91,Matthew Poell
b,r,e,a,k
Rochester,14
0,Avi Milder
0,Ian Campbell
0,Mathew Chiang
0,Alex Hankin
0,Erik Patak
0,Brendan Eder
0,Cameron Barreto
0,David Schatz-Mizrahi
0,Jeff Taylor
0,Timothy Walsh
0,DAVID MEISTER
0,Gabriel Werman
0,ALEXANDER WEINSTEIN
0,Thomas Hogrefe
0,Jeremy Warner
0,Matthew Liebling
0,Dmitri Ostapenko
0,Daniel Gomez
0,Alex Crowley
5,Richard Lange
10,Thomas Mariano
10,Christopher Wong
11,Benjamin Dantowitz
15,THOMAS RZATKIEWICZ
19,David McFarland-Porter
21,Brendan Chin
23,Cal Goheen
27,Grant Eidam
29,EZRA PORTER
45,Christopher Dawson
52,Paul Szewczyk
58,John Piotrowski
64,Benjamin Soiefer
97,Tyler Knight
99,Hassler Thurston
99,Jacob Margolis
99,Sam VanNoy
99,Benjamin Parkinson
b,r,e,a,k
Stevens Tech,15
1,Colby Chaffin
2,Ryan Gutmann
3,Blake Luxoro
4,Brandon Lynch
5,PETER MISTHOS
6,Jonah Mania
8,Jeffrey  Martino
9,Charles Cannon
10,Keyur Ved
14,Miles Wascher
21,Nicholas Minervini
25,Matrix Arthur
28,Colin Aitken
32,Ben  Reydel
37,Nicholas Dantuono
38,TJ Stanton
49,Ivan Dickson
55,Jeremy Doll
64,Andrew Parlette
73,Louis Ihle
83,Nick Raguseo
84,Luke Pacchiana
92,Michael Guglielmo
95,Ira Seidman
96,Ronald Ankner
b,r,e,a,k
Salisbury,23
0,JASON SMITH
0,Tyler Wojciechowski
0,Brandon Monahan
0,Brian Hickman
0,Matthew Wojciechowski
0,Timothy Bender
0,Coye Gerald
0,Matthew Evans
0,Connor McMichen
0,Andrew Bausch
1,Paul Bauer
5,ZACH RADOV
7,Caleb Buchman
13,Myles Williams
15,Jacob O'Neil
16,Andrew Haney
99,griffin McWilliams
b,r,e,a,k
Assumption College,22
00,David Kenney
00,Joshua Baker
00,Zachary  Gati
00,Stephen Melaragni
00,Andrew St. Germain
00,Aaron Bohn
00,Timothy Wood
00,David Gazzola
00,Brian Noone
04,Quentin Bond
b,r,e,a,k
SUNY-Stony Brook,16
0,Isaac Chinitz
0,Seamus Maloney
0,Josiah Zoodsma
0,Corey Cox
0,Adam Arslanian
1,Justin Maldonado
4,Frederick Hahn
10,Sean McCoy
11,Matt Losquadro
15,James Green
21,Christopher Cabot
24,Benjamin Sokolowsky
b,r,e,a,k
Swarthmore,24
0,Sam Wallach Hanson
0,Harry Huchra
0,Lee Tarlin
0,Andrew Gilchrist-Scott
0,Christian Morrow
0,Sam Gardner
0,David Holmgren
0,Shantanu Jain
0,Patrick Trainor
4,Joseph Corcoran
7,Muhaiminul Haque
17,Kevin Lai
42,Alexander Jin
63,Benjamin Goodman
64,Daniel Lai
93,Max Franklin
b,r,e,a,k
Rowan,13
0,ZACHARY HUNT
0,MICHAEL MAERTEN
0,Tyler Flockton
0,Eric Weber
0,Steven Graham
0,Eneris Nurja
0,Chris Zaleski
0,SHANE PHILIPPI
0,Dallin Eggert
0,Cameron Gayle
0,Jeffrey Nelson
0,Nick Piotti
0,Matt Stone
0,Nick Murphy
0,Robert Alberino
0,Trevor Silva
0,James Dailey
4,Robert Altieri
18,DAVID NELSON
22,Collin Hurler
72,Michal Helmstetter
78,Dean Kullmann
79,Dalton Trembow
81,Troy Zirkel
85,Michael Campanella
b,r,e,a,k
Franklin & Marshall,21
0,Connor Protter
0,Armando  Herrera
0,Jacob Lichtblau
0,grant sundstrom
0,Josh Aronson
0,Christian Marchini
0,Jacob Wolfe
0,Ryan Price
1,Andrew Stuart
3,Marshall Tomat
7,BEN AKERS
8,Kurt Drottar
10,MICHAEL LATOURETTE
11,James Mullmann
14,Alexander Moog
17,Ryan Stull
21,Josh McGinnis
23,Max Azuelos
29,Jacob Freedman
36,Paul Murray
42,Andrew Boak
42,Sam Berk-Hinckley
69,Samuel Bryant
71,James Lubin
b,r,e,a,k
Rowan (B),35
0,Daniel Bede
0,Brennan Appleman
0,Quinn McHugh
0,Tanner Smith
0,Brian Satterlee
0,Matthew Stec
0,Jerome Malaran
0,tyler bishof
0,John Donahue
0,Rysn Grover
0,Patrick Schornstaedt
0,Zachary Davis
2,Stephen Rivera-Lau
3,Riyyan Shariff
5,Brian Rivera-Lau
7,Doug Petro
9,Ian Fletcher
21,Hunter Davis
83,John Boyko
92,JOSEPH NALBACH
96,Kyle  Jacober 
b,r,e,a,k
Princeton (B),34
0,Nathaniel Moses
0,Alexander Yablonski
0,Andrew Wang
0,Kimihiro Yabuki
0,Patrick Chen
0,Craig Poskanzer
0,Blake Lawson
0,Brandon Lanchang
0,Andrew Goh
8,Tony Jin
9,THOMAS COLOCCI
12,Shamay Agaron
13,James Almeida
19,Joshua Murray
20,Louis Tambellini
22,Joseph Puryear III
24,Mark Tengi
26,Simon Gee
31,Joseph Yates
33,Jeremy Zullow
50,Christian Gray
69,Christopher Chu
80,James Poindexter
b,r,e,a,k
West Chester (B),32
0,Andrew Galen
0,Ryan Brooke
0,Bryce Livers
06,Brendan Bittle
08,ADAM LASALLE
11,Quintin Blank
12,Logan Ferraro
13,Matthew Brown
14,Dan Ruban
16,Alex Zamory
20,Michael Salomone
21,Brian Crenny
22,James Firestone
25,Kevin Souser
28,Timothy Czaja
36,Damien Yasipour
38,Michael Popeck
44,Georgiy Soltanov
46,Luke Reno
54,Ryan McNamara
89,Gabriel Myers
b,r,e,a,k
Rutgers (B),31
0,Brandon Yu
0,Daniel Gwon
0,Clement Lai
0,Tatsat Parekh
0,Ryan Coleman
0,Robert Bornstein
0,Sean Trzaska
0,Luis Perez
0,Michael Korsun
0,Samir Kamat
0,Alexander Huang
1,Daniel Kline
10,Jason Kang
13,Summer Zheng
32,Kyle Calhoun
42,Mickey Borsellino
52,Darren Khong
69,RODRIGO ARAUJO
77,Joseph Yu
b,r,e,a,k
Messiah (B),30
3,Nathan Baum
8,Keith Wei Luen Lim
9,Huey Hum
12,Nik Sloop
15,Colin Campbell
19,Paul Zwart
27,ANDREW FLORO
38,Jake Lucas
50,Matt Burkhead
81,Zachary Feister
84,Carter Stowman
95,Nicholas Balten
b,r,e,a,k
Stevens Tech (B),33
0,Andrew Chen
0,Daniel Fortino
0,Benjamin Vafis
0,James Goldman
0,Jared Davi
0,Justin DeTone
0,Michael Ryan
0,Nicolas Camporeale
0,Joseph Conway
0,Anthony Palandro
0,Thomas Osterman
0,Christian Jensen
0,Zachary Milhard
2,Robert Herley
7,Evan Bedser
12,Jonathan Bobkov
17,Scott Borgstedt
88,Anthony Bianco
b,r,e,a,k
s,t,a,g,e,s
pools,Power
pool,Pool A
George Washington,SUNY-Binghamton,13,7,"04/02/2016, 09:00",Pool A,Final
George Washington,West Chester,13,12,"04/02/2016, 10:30",Pool A,Final
Messiah,West Chester,13,12,"04/02/2016, 12:00",Pool A,Final
Messiah,SUNY-Binghamton,13,8,"04/02/2016, 13:30",Pool A,Final
West Chester,Pennsbury High School,13,5,"04/02/2016, 15:00",Pool A,Final
George Washington,Messiah,11,13,"04/02/2016, 15:00",Pool A,Final
West Chester,SUNY-Binghamton,13,5,"04/02/2016, 15:00",Pool A,Final
Messiah,Pennsbury High School,13,10,"04/02/2016, 16:30",Pool A,Final
Pennsbury High School,SUNY-Binghamton,7,13,"04/02/2016, 18:00",Pool A,Final
George Washington,Pennsbury High School,13,5,"04/02/2016, 19:30",Pool A,Final
pool,Pool B
William & Mary,Shippensburg,13,7,"04/02/2016, 09:00",Pool B,Final
Villanova,Princeton,13,6,"04/02/2016, 09:00",Pool B,Final
William & Mary,Navy,13,2,"04/02/2016, 10:30",Pool B,Final
Shippensburg,Princeton,13,8,"04/02/2016, 10:30",Pool B,Final
Princeton,Navy,13,4,"04/02/2016, 12:00",Pool B,Final
Villanova,Shippensburg,13,8,"04/02/2016, 12:00",Pool B,Final
William & Mary,Princeton,13,7,"04/02/2016, 13:30",Pool B,Final
Villanova,Navy,13,4,"04/02/2016, 13:30",Pool B,Final
William & Mary,Villanova,11,13,"04/02/2016, 15:00",Pool B,Final
Shippensburg,Navy,13,5,"04/02/2016, 15:00",Pool B,Final
b,r,e,a,k
pools,Classic
pool,Pool C
Rutgers,Maine-Farmington,13,7,"04/02/2016, 09:00",Pool C,Final
Millersville,Catholic,11,12,"04/02/2016, 10:30",Pool C,Final
Catholic,Maine-Farmington,12,11,"04/02/2016, 12:00",Pool C,Final
Rutgers,Catholic,13,9,"04/02/2016, 13:30",Pool C,Final
Millersville,Maine-Farmington,13,9,"04/02/2016, 13:30",Pool C,Final
Hofstra,Catholic,7,13,"04/02/2016, 15:00",Pool C,Final
Rutgers,Millersville,13,10,"04/02/2016, 15:00",Pool C,Final
Rutgers,Hofstra,13,4,"04/02/2016, 16:30",Pool C,Final
Millersville,Hofstra,13,4,"04/02/2016, 18:00",Pool C,Final
Hofstra,Maine-Farmington,8,13,"04/02/2016, 21:00",Pool C,Final
pool,Pool D
College of New Jersey,Shenandoah,13,0,"04/02/2016, 09:00",Pool D,Final
Colgate,Emerson,13,1,"04/02/2016, 09:00",Pool D,Final
College of New Jersey,Colgate,11,13,"04/02/2016, 10:30",Pool D,Final
Muhlenberg,Emerson,13,3,"04/02/2016, 10:30",Pool D,Final
Emerson,Shenandoah,13,4,"04/02/2016, 12:00",Pool D,Final
Muhlenberg,Colgate,8,13,"04/02/2016, 12:00",Pool D,Final
College of New Jersey,Emerson,13,3,"04/02/2016, 13:30",Pool D,Final
Muhlenberg,Shenandoah,13,0,"04/02/2016, 13:30",Pool D,Final
College of New Jersey,Muhlenberg,13,6,"04/02/2016, 15:00",Pool D,Final
Colgate,Shenandoah,13,3,"04/02/2016, 15:00",Pool D,Final
pool,Pool F
Stevens Tech,Salisbury,13,11,"04/02/2016, 10:30",Pool F,Final
Rochester,Salisbury,13,7,"04/02/2016, 12:00",Pool F,Final
Rochester,Stevens Tech,13,11,"04/02/2016, 13:30",Pool F,Final
Rochester,Assumption College,13,2,"04/02/2016, 16:30",Pool F,Final
Stevens Tech,Assumption College,13,0,"04/02/2016, 18:00",Pool F,Final
Assumption College,Salisbury,1,13,"04/02/2016, 19:30",Pool F,Final
pool,Pool E
SUNY-Stony Brook,Swarthmore,13,10,"04/02/2016, 10:30",Pool E,Final
Rowan,Swarthmore,11,13,"04/02/2016, 12:00",Pool E,Final
Rowan,SUNY-Stony Brook,11,13,"04/02/2016, 13:30",Pool E,Final
Rowan,Franklin & Marshall,13,5,"04/02/2016, 16:30",Pool E,Final
SUNY-Stony Brook,Franklin & Marshall,13,5,"04/02/2016, 18:00",Pool E,Final
Franklin & Marshall,Swarthmore,5,13,"04/02/2016, 19:30",Pool E,Final
b,r,e,a,k
pools,Develop
pool,Pool G
Rutgers (B),Princeton (B),3,8,"04/02/2016, 09:00",Pool G,Final
Stevens Tech (B),Rowan (B),6,7,"04/02/2016, 09:00",Pool G,Final
West Chester (B),Stevens Tech (B),6,5,"04/02/2016, 10:10",Pool G,Final
Princeton (B),Rowan (B),4,7,"04/02/2016, 10:10",Pool G,Final
Rutgers (B),Rowan (B),6,9,"04/02/2016, 11:20",Pool G,Final
West Chester (B),Princeton (B),6,8,"04/02/2016, 11:20",Pool G,Final
Rutgers (B),West Chester (B),8,9,"04/02/2016, 12:30",Pool G,Final
Stevens Tech (B),Princeton (B),7,8,"04/02/2016, 12:30",Pool G,Final
Rutgers (B),Stevens Tech (B),8,2,"04/02/2016, 14:30",Pool G,Final
West Chester (B),Rowan (B),7,8,"04/02/2016, 14:30",Pool G,Final
Messiah (B),West Chester (B),4,7,"04/02/2016, 15:00",Pool G,Final
Messiah (B),Rutgers (B),8,9,"04/02/2016, 16:10",Pool G,Final
Messiah (B),Stevens Tech (B),11,4,"04/02/2016, 17:20",Pool G,Final
Messiah (B),Rowan (B),10,11,"04/02/2016, 18:30",Pool G,Final
Messiah (B),Princeton (B),4,10,"04/02/2016, 20:30",Pool G,Final
b,r,e,a,k
brackets,Championship
bracket,1st
William & Mary,George Washington,13,7,"04/03/2016, 14:30",1st,Final
Messiah,William & Mary,7,11,"04/03/2016, 13:00",Semis,Final
George Washington,Villanova,10,9,"04/03/2016, 13:00",Semis,Final
Messiah,Rochester,13,1,"04/03/2016, 11:30",Quarters,Final
Colgate,William & Mary,9,11,"04/03/2016, 11:30",Quarters,Final
George Washington,Shippensburg,13,12,"04/03/2016, 11:30",Quarters,Final
SUNY-Binghamton,Villanova,6,11,"04/03/2016, 11:30",Quarters,Final
Princeton,Rochester,2,9,"04/03/2016, 10:00",Pre-Quarters,Final
Shippensburg,Rutgers,11,10,"04/03/2016, 10:00",Pre-Quarters,Final
SUNY-Binghamton,SUNY-Stony Brook,13,1,"04/03/2016, 10:00",Pre-Quarters,Final
West Chester,Colgate,5,9,"04/03/2016, 10:00",Pre-Quarters,Final
bracket,9th
Rutgers,SUNY-Stony Brook,0,1,"04/03/2016, 14:30",9th,Final
Princeton,Rutgers,8,11,"04/03/2016, 11:30",9th-Semis,Final
SUNY-Stony Brook,West Chester,9,7,"04/03/2016, 13:00",9th-Semis,Final
bracket,11th
Princeton,West Chester,0,1,"04/03/2016, 14:30",11th,Final
bracket,5th
Rochester,Shippensburg,0,1,"04/03/2016, 14:30",5th,Final
Rochester,Colgate,1,0,"04/03/2016, 13:00",5th-Semis,Final
Shippensburg,SUNY-Binghamton,10,8,"04/03/2016, 13:00",5th-Semis,Final
bracket,7th
Colgate,SUNY-Binghamton,0,1,"04/03/2016, 14:30",7th,Final
bracket,3rd
Messiah,Villanova,10,12,"04/03/2016, 14:30",3rd,Final
b,r,e,a,k
brackets,13th Bracket
bracket,13th
Stevens Tech,Navy,8,7,"04/03/2016, 14:30",13th,Final
Millersville,Stevens Tech,0,1,"04/03/2016, 13:00",13th-Semis,Final
College of New Jersey,Navy,1,10,"04/03/2016, 13:00",13th-Semis,Final
Swarthmore,Stevens Tech,6,7,"04/03/2016, 10:00",13th-Quarters,Final
Catholic,College of New Jersey,3,7,"04/03/2016, 10:00",13th-Quarters,Final
Rowan,Navy,4,6,"04/03/2016, 11:30",13th-Quarters,Final
Millersville,Pennsbury High School,1,0,"04/03/2016, 17:30",13th-Quarters,Final
Rowan,Salisbury,10,6,"04/03/2016, 10:00",13th-Play In,Final
Millersville,Muhlenberg,11,10,"04/03/2016, 10:00",13th-Play In,Final
bracket,Consolation
Swarthmore,Catholic,2,8,"04/03/2016, 13:00",19th,Final
Muhlenberg,Catholic,3,9,"04/03/2016, 11:30",19th-Semis,Final
Salisbury,Swarthmore,0,1,"04/03/2016, 11:30",19th-Semis,Final
bracket,Consolation
Salisbury,Muhlenberg,0,1,"04/03/2016, 14:30",21st,Final
bracket,Consolation
bracket,15th
Millersville,College of New Jersey,0,1,"04/03/2016, 14:30",15th,Final
b,r,e,a,k
brackets,23rd Bracket
bracket,23rd
Emerson,Franklin & Marshall,1,0,"04/03/2016, 19:00",23rd,Final
Maine-Farmington,Emerson,0,1,"04/03/2016, 11:30",23rd-Semis,Final
Franklin & Marshall,Rowan (B),9,5,"04/03/2016, 17:30",23rd-Semis,Final
Princeton (B),Maine-Farmington,5,7,"04/03/2016, 10:00",23rd-Quarters,Final
Emerson,Rutgers (B),13,3,"04/03/2016, 10:00",23rd-Quarters,Final
Franklin & Marshall,West Chester (B),10,7,"04/03/2016, 16:00",23rd-Quarters,Final
Rowan (B),Assumption College,1,0,"04/03/2016, 16:00",23rd-Quarters,Final
bracket,31st
Hofstra,Shenandoah,11,5,"04/03/2016, 17:30",31st,Final
Stevens Tech (B),Hofstra,2,13,"04/03/2016, 16:00",31st-Semis,Final
Messiah (B),Shenandoah,0,1,"04/03/2016, 16:00",31st-Semis,Final
bracket,33rd
Stevens Tech (B),Messiah (B),1,0,"04/03/2016, 19:00",33rd,Final
bracket,25th
Maine-Farmington,Rowan (B),0,1,"04/03/2016, 13:00",25th,Final
bracket,27th
Princeton (B),West Chester (B),7,4,"04/03/2016, 13:00",27th,Final
Princeton (B),Rutgers (B),6,2,"04/03/2016, 11:30",27th-Semis,Final
West Chester (B),Assumption College,1,0,"04/03/2016, 17:30",27th-Semis,Final
bracket,29th
Emerson,Franklin & Marshall,13,6,"04/03/2016, 19:00",29th,Final
b,r,e,a,k
