Trouble in Vegas 2016,College - Men ,19,3,2016
Las Vegas,NV,2016-03-19,2016-03-20
https://play.usaultimate.org/events/Trouble-in-Vegas-2016/schedule/Men/CollegeMen/
Wisconsin,1
0,Matthew Loughridge 
0,Kyle Kirkland
1,Jack Ostrand
5,Son Nguyen
6,Christopher Larson
6,CARL AKACICH
7,Sean Chapel
10,Zane Barber
18,SAM RHEINS
40,Dan Nowicki
b,r,e,a,k
Santa Clara (B),34
teamInfo,Scratch,"Santa Clara, California",,,
0,Christopher Halter
0,Pearce Ropion
0,Robert Walker
0,Pranav Swaminathan
0,Julian Callin
0,Alex Most
0,ROBERT NGUYEN
0,Trevor Huffard
0,Jordan  CHO
0,Peter Adamis
0,Ricky Matthews
0,Matt Kordonsky
0,Jack Carlson
4,John Daugherty
b,r,e,a,k
Arizona (B),32
teamInfo,Swashbucklers,"Tucson, Arizona",sunburnultimate.com,,
0,Robert Main
0,Jacob Groh
0,Quinton Fitzpatrick
0,Wesley Bohult
0,Jared Averett
0,Jake Hageman
0,Jackson Fontaine 
0,Tyler Crockett
0,ALEX LINDAHL
11,Kyle Fullerton
24,Alejandro Apodaca
55,Raymond Rash
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wisconsin,Southern California,13,10,"03/19/2016, 10:00",Pool A,Final
Arizona,California,13,8,"03/19/2016, 10:00",Pool A,Final
Wisconsin,Arizona,13,5,"03/19/2016, 11:30",Pool A,Final
Brigham Young,California,13,9,"03/19/2016, 11:30",Pool A,Final
California,Southern California,7,13,"03/19/2016, 13:00",Pool A,Final
Brigham Young,Arizona,13,10,"03/19/2016, 13:00",Pool A,Final
Wisconsin,California,13,2,"03/19/2016, 14:30",Pool A,Final
Brigham Young,Southern California,13,7,"03/19/2016, 14:30",Pool A,Final
Wisconsin,Brigham Young,12,10,"03/19/2016, 16:00",Pool A,Final
Arizona,Southern California,10,9,"03/19/2016, 16:00",Pool A,Final
pool,Pool B
Luther,San Diego State,10,11,"03/19/2016, 08:30",Pool B,Final
Luther,Chico State,10,11,"03/19/2016, 10:00",Pool B,Final
Colorado State,San Diego State,11,13,"03/19/2016, 10:00",Pool B,Final
Luther,Colorado State,10,12,"03/19/2016, 11:30",Pool B,Final
San Diego State,Chico State,9,8,"03/19/2016, 11:30",Pool B,Final
Colorado State,Chico State,13,7,"03/19/2016, 14:30",Pool B,Final
pool,Pool C
North Texas,New Mexico,11,13,"03/19/2016, 08:30",Pool C,Final
Colorado-Denver,Occidental,6,13,"03/19/2016, 08:30",Pool C,Final
North Texas,Occidental,4,13,"03/19/2016, 10:00",Pool C,Final
Colorado-Denver,New Mexico,13,6,"03/19/2016, 10:00",Pool C,Final
North Texas,Colorado-Denver,6,13,"03/19/2016, 11:30",Pool C,Final
New Mexico,Occidental,11,13,"03/19/2016, 11:30",Pool C,Final
pool,Pool D
Montana State,California-Irvine,13,4,"03/19/2016, 08:30",Pool D,Final
Colorado College,California-Irvine,13,3,"03/19/2016, 10:00",Pool D,Final
Colorado College,Montana State,13,8,"03/19/2016, 11:30",Pool D,Final
Colorado College,Grand Canyon,13,2,"03/19/2016, 14:30",Pool D,Final
Montana State,Grand Canyon,13,4,"03/19/2016, 16:00",Pool D,Final
Grand Canyon,California-Irvine,11,13,"03/19/2016, 17:30",Pool D,Final
pool,Pool E
Northern Arizona,Cal Poly-Pomona,12,7,"03/19/2016, 08:30",Pool E,Final
Northern Colorado,Westmont,13,9,"03/19/2016, 08:30",Pool E,Final
Northern Arizona,Westmont,13,9,"03/19/2016, 10:00",Pool E,Final
Northern Colorado,Cal Poly-Pomona,10,13,"03/19/2016, 10:00",Pool E,Final
Northern Arizona,Northern Colorado,13,8,"03/19/2016, 11:30",Pool E,Final
Cal Poly-Pomona,Westmont,13,10,"03/19/2016, 11:30",Pool E,Final
pool,Pool F
Miami,Cal State-Fullerton,13,9,"03/19/2016, 10:00",Pool F,Final
Nevada-Reno,Cal State-Fullerton,13,10,"03/19/2016, 11:30",Pool F,Final
Miami,Nevada-Reno,11,13,"03/19/2016, 14:30",Pool F,Final
Utah State,Nevada-Reno,10,11,"03/19/2016, 22:00",Pool F,Final
Miami,Utah State,12,6,"03/19/2016, 23:30",Pool F,Final
Utah State,Cal State-Fullerton,13,5,"03/20/2016, 02:30",Pool F,Final
pool,Pool G
Utah Valley,Caltech,7,13,"03/19/2016, 10:00",Pool G,Final
Colorado Mines,Utah Valley,13,7,"03/19/2016, 11:30",Pool G,Final
Colorado Mines,Caltech,13,11,"03/19/2016, 14:30",Pool G,Final
Colorado Mines,Fresno State,13,3,"03/19/2016, 16:00",Pool G,Final
Caltech,Fresno State,13,9,"03/19/2016, 17:30",Pool G,Final
Utah Valley,Fresno State,13,10,"03/19/2016, 20:30",Pool G,Final
pool,Pool H
Colorado (B),Arizona State (B),7,10,"03/19/2016, 10:00",Pool H,Final
Brigham Young (B),Santa Clara (B),13,6,"03/19/2016, 10:00",Pool H,Final
Arizona State (B),Santa Clara (B),12,9,"03/19/2016, 11:30",Pool H,Final
Brigham Young (B),Arizona (B),13,0,"03/19/2016, 11:30",Pool H,Final
Colorado (B),Arizona (B),13,6,"03/19/2016, 13:00",Pool H,Final
Colorado (B),Santa Clara (B),13,6,"03/19/2016, 14:30",Pool H,Final
Arizona (B),Arizona State (B),6,13,"03/19/2016, 14:30",Pool H,Final
Colorado (B),Brigham Young (B),8,11,"03/19/2016, 14:30",Pool H,Final
Arizona (B),Santa Clara (B),3,13,"03/19/2016, 14:30",Pool H,Final
Brigham Young (B),Arizona State (B),9,10,"03/19/2016, 16:00",Pool H,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Wisconsin,Arizona,13,5,"03/20/2016, 14:30",Finals,Final
Wisconsin,Colorado State,12,9,"03/20/2016, 13:00",Semi-Finals,Final
Arizona,San Diego State,11,8,"03/20/2016, 13:00",Semi-Finals,Final
Wisconsin,Luther,13,6,"03/20/2016, 11:30",Quarterfinals,Final
Southern California,Colorado State,10,12,"03/20/2016, 11:30",Quarterfinals,Final
Arizona,Colorado College,13,8,"03/20/2016, 11:30",Quarterfinals,Final
California,San Diego State,10,11,"03/20/2016, 11:30",Quarterfinals,Final
Occidental,Luther,7,13,"03/20/2016, 10:00",PreQFs,Final
Colorado-Denver,Colorado State,2,13,"03/20/2016, 10:00",PreQFs,Final
Arizona,Arizona State (B),13,2,"03/20/2016, 10:00",PreQFs,Final
Colorado College,Chico State,13,11,"03/20/2016, 10:00",PreQFs,Final
Southern California,Miami,13,5,"03/20/2016, 10:00",PreQFs,Final
California,Nevada-Reno,13,9,"03/20/2016, 10:00",PreQFs,Final
Occidental,Montana State,13,6,"03/19/2016, 13:00",Crossover,Final
Colorado Mines,Colorado-Denver,12,13,"03/19/2016, 13:00",Crossover,Final
Colorado College,Cal Poly-Pomona,13,7,"03/19/2016, 14:30",Crossover,Final
Northern Arizona,Miami,11,12,"03/20/2016, 08:30",Crossover,Final
Nevada-Reno,Caltech,13,4,"03/20/2016, 08:30",Crossover,Final
bracket,3rd Place
Colorado State,San Diego State,13,8,"03/20/2016, 14:30",3rd Place,Final
bracket,5th Place
Luther,Colorado College,10,6,"03/20/2016, 14:30",5th Place,Final
Luther,Southern California,10,6,"03/20/2016, 13:00",L QFs,Final
Colorado College,California,13,8,"03/20/2016, 13:00",L QFs,Final
bracket,7th Place
California,Southern California,9,12,"03/20/2016, 14:30",7th Place,Final
bracket,9th Place
Occidental,Nevada-Reno,8,12,"03/20/2016, 14:30",9th Place,Final
Occidental,Miami,11,8,"03/20/2016, 13:00",9 SFs,Final
Chico State,Nevada-Reno,7,9,"03/20/2016, 13:00",9 SFs,Final
Santa Clara (B),Occidental,6,11,"03/20/2016, 11:30",9 QFs,Final
Miami,Colorado-Denver,13,5,"03/20/2016, 11:30",9 QFs,Final
Arizona State (B),Chico State,6,10,"03/20/2016, 11:30",9 QFs,Final
Colorado (B),Nevada-Reno,6,12,"03/20/2016, 11:30",9 QFs,Final
bracket,11th Place
Chico State,Miami,13,9,"03/20/2016, 14:30",11th Place,Final
bracket,13th Place
Arizona State (B),Colorado-Denver,3,13,"03/20/2016, 14:30",13th Place,Final
Colorado (B),Arizona State (B),5,6,"03/20/2016, 13:00",13 SFs,Final
Colorado-Denver,Santa Clara (B),11,9,"03/20/2016, 13:00",13 SFs,Final
bracket,15th Place
Santa Clara (B),Colorado (B),2,7,"03/20/2016, 14:30",15th Place,Cancelled
b,r,e,a,k
brackets,17th Place
bracket,T17th Place A
Northern Arizona,Utah State,4,7,"03/20/2016, 23:30",T17th Place A,Final
Montana State,Northern Arizona,9,12,"03/20/2016, 10:00",17A SFs,Final
Utah State,Westmont,13,4,"03/20/2016, 22:00",17A SFs,Final
Montana State,Utah Valley,1,0,"03/20/2016, 08:30",17A QFs,Final
Northern Arizona,North Texas,13,8,"03/20/2016, 08:30",17A QFs,Final
Utah State,Grand Canyon,11,9,"03/20/2016, 20:30",17A QFs,Final
Colorado Mines,Westmont,9,13,"03/20/2016, 08:30",17A QFs,Final
bracket,T21st Place A
Colorado Mines,North Texas,8,13,"03/20/2016, 11:30",T21st Place A,Final
Colorado Mines,Grand Canyon,13,7,"03/20/2016, 16:00",21A SFs,Final
North Texas,Utah Valley,1,0,"03/20/2016, 16:00",21A SFs,Final
bracket,T17th Place B
Cal Poly-Pomona,Northern Colorado,13,8,"03/20/2016, 11:30",T17th Place B,Final
New Mexico,Cal Poly-Pomona,8,13,"03/20/2016, 10:00",17B SFs,Final
Northern Colorado,Caltech,13,9,"03/20/2016, 10:00",17B SFs,Final
California-Irvine,New Mexico,5,13,"03/20/2016, 08:30",17B QFs,Final
Cal Poly-Pomona,Cal State-Fullerton,13,10,"03/20/2016, 08:30",17B QFs,Final
Northern Colorado,Fresno State,13,4,"03/20/2016, 14:30",17B QFs,Final
Caltech,Arizona (B),13,2,"03/20/2016, 08:30",17B QFs,Final
bracket,T21st Place B
Arizona (B),Cal State-Fullerton,8,10,"03/20/2016, 11:30",T21st Place B,Final
Arizona (B),Fresno State,12,8,"03/20/2016, 16:00",21B SFs,Final
Cal State-Fullerton,California-Irvine,13,6,"03/20/2016, 10:00",21B SFs,Final
bracket,T23rd Place A
Utah Valley,Grand Canyon,0,1,"03/20/2016, 23:30",T23rd Place A,Final
bracket,T23rd Place B
California-Irvine,Fresno State,0,0,"03/20/2016, 17:30",T23rd Place B,Cancelled
b,r,e,a,k
