D-I College Championships,College - Women ,27,5,2016
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2016/schedule/Women/CollegeWomen/
Virginia,13
21,Sarah Adams
22,Melanie Jochheim-Atkins
23,Linnea Soo
24,Mia Letterie
25,Caitlin Scott
28,Claire Revere
30,Lindsey Scott
32,Alissa Soo
33,Margo Heffron
37,Mackenzie Timbel
39,Jessica Kostelnik
42,Elissa Picozzi
92,Hannah Filley
b,r,e,a,k
Texas,9
00,Marissa Land
03,Domenica Sutherland
04,Cameron Bryan
05,Andrea Esparza
10,Gaby Cuina
13,Julia Schmaltz
15,Sydney Overman
16,Olivia Angel
17,Kathryn Herbers
20,Susan Gilbert
21,Katelynn Zacharias
23,Laura  Gerencser
24,Sara Lee
25,Melinda Gidlow
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
99,Alexandra Magid
b,r,e,a,k
Wisconsin,16
01,Jackie Welsch
02,Sabrina Hoffman
03,Carly Siewert
04,Lorraine Guerin
05,Lauren Allin
07,Grace Backes
08,Evie Adams
09,Lilly Iverson
10,Caitlin Murphy
12,Kaitlynne Roling
14,Anna Hrovat-Staedter
16,Molly Berkholtz
18,Sarah Mondschein
20,Jenna Thorp
21,Anneke Vermaak
22,Michelle Zaber
23,Caroline Mueller
24,Lauren Roach
25,Jamie  Brown
27,Taylor Srebnick
28,Madison Letcher
42,ALEXA AMUNDSON
60,Claire Cech
b,r,e,a,k
Central Florida,4
00,Nicole Feldman
06,Alexa Wood
07,Sarah Gifford
08,Shayna Brock
10,Mia Griner
11,Janina Freystaetter
13,Chloe Baldino
19,Blake Harris
22,Alexus Davenport
27,Gentry Maddox
66,Stephanie Williams
88,Emily Hayes
b,r,e,a,k
Ottawa,20
03,Sarah Brown
05,PASCALE ROBINEAU-CHARETTE
06,Alexandra Kobza
07,Maude Carrier-LaForte
11,Rebecca Jacobs
12,Kelsey Buchmayer
15,ALYSSA MAINWOOD
16,Corrine Giorgetti
25,Caitlin Fowler
26,Meagan Doyle
29,Bayley Quinn
34,Ashley Benard-Legris
43,Anna Blinder
44,Isabelle Bedard
72,CAMILLE BEDARD
97,Katrine  Fortin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Oregon,Colorado,15,11,"05/27/2016, 10:30",Pool A
California,Virginia,12,14,"05/27/2016, 10:30",Pool A
Colorado,Virginia,8,14,"05/27/2016, 14:30",Pool A
California,Colorado College,15,10,"05/27/2016, 14:30",Pool A
Oregon,Colorado College,15,8,"05/27/2016, 16:30",Pool A
Oregon,California,15,10,"05/28/2016, 08:30",Pool A
Colorado,Colorado College,14,13,"05/28/2016, 08:30",Pool A
Oregon,Virginia,14,16,"05/28/2016, 12:30",Pool A
Colorado,California,15,12,"05/28/2016, 12:30",Pool A
Virginia,Colorado College,13,15,"05/28/2016, 14:30",Pool A
pool,Pool B
British Columbia,Dartmouth,13,14,"05/27/2016, 08:30",Pool B
UCLA,Chaos (Independent),11,15,"05/27/2016, 08:30",Pool B
British Columbia,UCLA,11,14,"05/27/2016, 12:30",Pool B
Pittsburgh,Chaos (Independent),15,10,"05/27/2016, 12:30",Pool B
Pittsburgh,Dartmouth,3,15,"05/27/2016, 16:30",Pool B
British Columbia,Pittsburgh,15,9,"05/28/2016, 10:30",Pool B
UCLA,Dartmouth,13,11,"05/28/2016, 10:30",Pool B
Chaos (Independent),Dartmouth,9,15,"05/28/2016, 12:30",Pool B
UCLA,Pittsburgh,12,7,"05/28/2016, 14:30",Pool B
British Columbia,Chaos (Independent),15,10,"05/28/2016, 14:30",Pool B
pool,Pool C
Washington,Ohio State,15,7,"05/27/2016, 10:30",Pool C
Michigan,Southern California,15,9,"05/27/2016, 10:30",Pool C
Stanford,Washington,14,10,"05/27/2016, 14:30",Pool C
Michigan,Ohio State,14,10,"05/27/2016, 14:30",Pool C
Stanford,Southern California,15,4,"05/27/2016, 16:30",Pool C
Ohio State,Southern California,15,8,"05/28/2016, 08:30",Pool C
Stanford,Michigan,15,6,"05/28/2016, 10:30",Pool C
Washington,Southern California,15,4,"05/28/2016, 10:30",Pool C
Stanford,Ohio State,15,11,"05/28/2016, 14:30",Pool C
Washington,Michigan,7,15,"05/28/2016, 14:30",Pool C
pool,Pool D
Whitman,Wisconsin,15,10,"05/27/2016, 08:30",Pool D
Texas,Ottawa,15,12,"05/27/2016, 08:30",Pool D
Central Florida,Ottawa,15,2,"05/27/2016, 12:30",Pool D
Texas,Wisconsin,15,14,"05/27/2016, 12:30",Pool D
Central Florida,Whitman,10,11,"05/27/2016, 16:30",Pool D
Central Florida,Texas,9,13,"05/28/2016, 08:30",Pool D
Wisconsin,Ottawa,14,10,"05/28/2016, 08:30",Pool D
Whitman,Ottawa,15,9,"05/28/2016, 10:30",Pool D
Central Florida,Wisconsin,11,12,"05/28/2016, 12:30",Pool D
Whitman,Texas,15,6,"05/28/2016, 12:30",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Whitman,Stanford,10,12,"05/30/2016, 12:00",Finals
Virginia,Whitman,9,15,"05/29/2016, 12:00",Semifinals
Stanford,Oregon,15,13,"05/29/2016, 14:30",Semifinals
Dartmouth,Virginia,13,15,"05/29/2016, 08:30",Quarters
British Columbia,Whitman,9,15,"05/29/2016, 08:30",Quarters
Colorado,Stanford,5,15,"05/29/2016, 08:30",Quarters
Oregon,UCLA,15,8,"05/29/2016, 08:30",Quarters
Dartmouth,Washington,15,11,"05/28/2016, 17:15",Prequarters
Michigan,British Columbia,9,15,"05/28/2016, 17:15",Prequarters
Texas,Colorado,9,15,"05/28/2016, 17:15",Prequarters
Oregon,Wisconsin,15,4,"05/28/2016, 17:15",Prequarters
b,r,e,a,k
brackets,Placement Brackets
bracket,Placement Game #1
California,Ottawa,15,8,"05/29/2016, 08:30",Placement Game #1
bracket,Placement Game #2
Chaos (Independent),Ohio State,13,10,"05/28/2016, 17:15",Placement Game #2
bracket,Placement Game #3
Central Florida,Colorado College,6,13,"05/28/2016, 17:15",Placement Game #3
bracket,Placement Game #4
Southern California,Pittsburgh,13,14,"05/29/2016, 08:30",Placement Game #4
b,r,e,a,k
