TCT Pro-Elite Challenge 2016 (Colorado Cup),Club - Mixed ,30,7,2016
Aurora,CO,2016-07-30,2016-07-31
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2016-Colorado-Cup/schedule/Mixed/Club-Mixed
Metro North,1
23,Nichole Kwee
24,Holly Denecour
27,Christopher Powers
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
61,Bryan Walsh
78,Tiffany Lim
99,Kevin Kula
b,r,e,a,k
NOISE,7
teamInfo,,"Madison, Wisconsin",http://noiseultimate.wordpress.com/,,www.twitter.com/NOISEUltimate
coaches,Nick Heckman
02,Joel Malerba
03,Daniel Rowan
04,Vanessa Cannaday
06,Dane Warner
07,Josh Davidson
08,Maria Signore Becker
09,Sam Loveland
11,Brittany Hoegh
12,Elizabeth Arakaki
13,Sabrina Hoffman
14,Lauren Perucco
16,Frank Qin
17,Emily Dayton
18,Kevin Herrera
19,Ari Davidson
21,Anneke Vermaak
22,Stephen Haynes
24,Justin Simanson
27,Michael Swain
29,Christopher Reichel
31,Michelle VanSchyndel
34,Matthew Becker
37,RACHEL OKERSTROM
43,Kevin Cannaday
44,Rachel Enyeart
48,Peter Guerin
b,r,e,a,k
7 Figures,11
teamInfo,,"Los Angeles, California",,,
01,Peter Zhou
02,Daniel Oettinger
04,Gary Molano
05,Joseph Forbes
06,Shereen Rabie
10,Emma Frankel
14,Christopher Cogswell
15,KATHRYN FOWLER
16,Rachel Chang
18,Camille Wilson
21,Sophie Hines
22,Christopher Feeney
22,Alyssa Perez
23,Connie Wang
25,Han Chen
27,Connie Chan
30,Russell Gaskamp
33,Adam Bronstein
34,Jacob Bartholomew
35,Alison Forbes
45,Michael Sylvester
64,Nathan Warden
67,alexander carey
80,Brandon Severson
b,r,e,a,k
Bird,14
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,
0,Lisa Qiu
2,Adam Trautman
3,Bryan Vohnoutka
4,Kelsey Mork
7,Cole Jensen
8,Clayton Thomas
10,Erin Mirocha
12,Michael Ruble
13,GORDON STECKLEIN
16,Rebecca Morales
19,Elly Fireside-Ostergaard
23,David Stemper
28,Joseph Nelson
30,THOMAS GRUND
42,Kayla Blanek
43,Dustin Rooffener
44,ASHLEY WEST
53,Emma Piorier
54,Dylan DeClerck
88,Aaron Swaney
96,Brian Edgerton
b,r,e,a,k
Love Tractor,6
teamInfo,,"Denver, Colorado",http://www.lovetractorultimate.com/,https://www.facebook.com/lovetractorultimate/,https://twitter.com/love_tractor
2,CHRIS HART
01,Spencer Norman
03,Peter Cowiestoll Wilson
04,David Protter
05,Jack (John) McShane
06,John (Clay) Heinzel-Nelson
08,Scott Forrester
09,James Cantwell
11,Megan Henderson
12,Joe Iannacone
13,Christine Kamin
14,Stephanie Redfern
15,Lauren Rindels
16,Madeline Kreider Carlson
17,Brady Cowiestoll
18,STEPHANIE FROST
19,Garrett Moulder
20,Amelia Zutz
21,Amanda 'Leia' Walker
23,Camden Kittredge
25,Julia Ting
33,David Kamin
35,Kate Pearson
41,Katie Patterson
44,Jacob Zax
74,Stanley Strunk
91,Matthew Zemel
b,r,e,a,k
Blackbird,3
teamInfo,,"San Francisco, California",,https://www.facebook.com/Blackbird-Ultimate-128109440599257,https://twitter.com/Blackbird_SF
02,Corey Lee
03,Castle Sinicrope
04,Deanna Bjorkquist
05,Thomas Hendrickson
06,Scott Mahr
07,Rachel Holz
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
13,Sally Mimms
14,Mia Hagen
17,William Finn
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
40,Mac Taylor
51,Ryan Scribner
99,Tim Gilligan
b,r,e,a,k
Ambiguous Grey,10
teamInfo,,"Washington, District of Columbia",http://www.agultimate.com,https://www.facebook.com/AmbiguouslyGrey,https://twitter.com/ambiguouslygrey
01,SHANNON PACE
02,Sara Peczkowski
03,ALANNA McKee
04,Kelly Ross
06,Maggie John
07,Peter MacArthur
08,Jennifer Perry
09,Jarnail Bajwa
11,Kevin Chiang
12,James (Jim)  Boley
14,Justin Solis
15,Zachary Norrbom
16,Aden Richards
17,Kyle Khalifa
21,Andrew Allen
22,Lincoln Verlander
23,Antoine Davis
24,Adilina Malave
27,Ernest Svenson
32,Anthony McLean
42,Ellen Greytak
46,Benjamin Scharadin
70,Brian O'Hara
73,Mark Flores
81,Alexander Taylor
88,Christina Chang
b,r,e,a,k
Mesteño,15
teamInfo,,"Denver, Colorado",,https://www.facebook.com/mestenoultimate,
0,Kate Guidera
0,Scott Harper
0,Jose Maldonado
0,Rhonda Kracker
0,Maria Schwab
0,Danielle Swales
0,Hannah Zax
0,Steven Stanish
0,Kelly Pippins
0,Nate Hopp
0,Moriah LaRocque
0,Ryan Meinkoth
5,Stephen Lin
7,Chris O'Connell
8,Lauren Foster
8,Noel Brennan
9,Jamian Jacobs
11,Christina Contreras
12,DAVID MARES
15,Zachary Radcliff
15,Jim Nolte
26,Drew Parker
32,Keith Richardson
37,Ryan Hummel
41,Emma Richardson
50,Sebastian Duffell
99,Scott Salvati
b,r,e,a,k
Wild Card,9
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,,https://twitter.com/WildCardult
0,Lauren Nelson
0,Ian Engler
0,Casey Terp
0,Eva Petzinger
0,John Rahill
0,Katharine Sullivan
0,Kara Hammer
0,Jodi Robert
0,Megan Wilson
0,Albert Lee
0,Kate Trenerry
0,Luke Lanoue
0,Maxwell Rick
0,VIRGINIA  HILL
0,Robin Meyers
0,Eliza Chang
0,Daniel Moder
0,Nathaniel Dick
5,Andrew Pillsbury
11,Lloyd Olson
22,Alina Li
24,Lucas Davies
33,Samantha Gray
37,Matthew Heath
42,Anthony Lamanna
47,ALEXANDRA HILEY
b,r,e,a,k
Alloy,4
teamInfo,,"Pittsburgh, Pennsylvania",https://pghalloy.com,https://www.facebook.com/pghalloy/,https://twitter.com/pghalloy
coaches,Josh Briggeman
01,Christie Lawry
02,Megan Briggeman
03,Maria Bajzek
04,Elizabeth Johnson
06,Jordan Roof
08,Nicholas Audette
10,Stephanie Kane
11,Michael Reeves
12,Nicole Fiorentino
13,JEREMY SLIDER
14,Lauren Franke
17,Jesse Kummer
18,Jed Farber
22,Mark Pitts
24,Alexander Thomas
26,Kelsey Cowles
27,Anson Reppermund
29,JOHN MONTOYA
30,AARON KANE
31,AARON BUSS
33,Eliana Bonifacino
48,Jimmy Towle
59,Bryan Bernard
82,Isaac Smith
85,William Hefferon
86,Robert Paolini
91,Jeremy Kanter
b,r,e,a,k
The Chad Larson Experience,5
teamInfo,,"Ames, Iowa",,,
0,Ethan Levine
01,Kevin Seiler
03,Taiwo Misra
04,Kat Songer
06,Lana Seiler
07,John Misra
08,Brittnee Grimshaw
09,Linda Morton
10,Charlie Hubbard
11,Jennifer Corcoran
13,Dan Kresowik
14,Jessica Brisbois
16,CAMILLE NELSON
20,Neal Hanke
22,Daniel Brennan
23,Michael (Mike) Petersen
24,Blair Holck
25,Ryan Tucker
28,Michael Brisbois
31,Doug Jacobs
49,Stephanie Jacobs
52,Jacob Kersten
61,Kelly Hubbard
75,Nick Turco
77,KURT BRORSEN
97,Sarah Pesch
b,r,e,a,k
The Administrators,16
teamInfo,,"Willamette Valley, Oregon",,,https://twitter.com/admitators
0,Pete Overright
9,Ian Lawson
02,Aaron Adamson
03,Kendall Jorgensen
05,Spencer Magnusson
06,Carmen Ellis
07,Jacob Wigen
08,Colin Donald
10,Jacob Artz
11,Anna Hosford
12,Kelly Marx
13,Roxanne Myslewski
15,Rachel Auerbach
16,Philip Rollo
17,RACHEL REITER
19,MATTHEW KORTE
21,KEVIN CHAMBERS
22,Michelle Hendrick
24,Jared Fitzpatrick
28,Victoria Li
42,SARAH BURNAP
44,Jonathan Sebert
45,George Zimmerman
47,David Marble
48,Brian Pearson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Metro North,Cosa Nostra,13,6,"07/30/2016, 08:00",Pool A,Final
Mischief,Platypi,13,6,"07/30/2016, 08:00",Pool A,Final
Metro North,Platypi,13,10,"07/30/2016, 12:00",Pool A,Final
Mischief,Cosa Nostra,13,6,"07/30/2016, 12:00",Pool A,Final
Metro North,Mischief,13,9,"07/30/2016, 14:00",Pool A,Final
Cosa Nostra,Platypi,13,10,"07/30/2016, 14:00",Pool A,Final
pool,Pool B
Steamboat,7 Figures,12,9,"07/30/2016, 08:00",Pool B,Final
NOISE,Bird,13,8,"07/30/2016, 08:00",Pool B,Final
Steamboat,Bird,13,9,"07/30/2016, 10:00",Pool B,Final
NOISE,7 Figures,13,12,"07/30/2016, 10:00",Pool B,Final
Steamboat,NOISE,13,7,"07/30/2016, 12:00",Pool B,Final
7 Figures,Bird,13,9,"07/30/2016, 12:00",Pool B,Final
pool,Pool C
Blackbird,Ambiguous Grey,10,9,"07/30/2016, 10:00",Pool C,Final
Love Tractor,Mesteño,13,7,"07/30/2016, 10:00",Pool C,Final
Blackbird,Mesteño,12,11,"07/30/2016, 12:00",Pool C,Final
Love Tractor,Ambiguous Grey,13,9,"07/30/2016, 12:00",Pool C,Final
Blackbird,Love Tractor,8,13,"07/30/2016, 14:00",Pool C,Final
Ambiguous Grey,Mesteño,13,7,"07/30/2016, 14:00",Pool C,Final
pool,Pool D
Alloy,Wild Card,8,12,"07/30/2016, 08:00",Pool D,Final
The Chad Larson Experience,The Administrators,13,5,"07/30/2016, 08:00",Pool D,Final
Alloy,The Administrators,13,6,"07/30/2016, 10:00",Pool D,Final
The Chad Larson Experience,Wild Card,8,10,"07/30/2016, 10:00",Pool D,Final
Alloy,The Chad Larson Experience,15,13,"07/30/2016, 14:00",Pool D,Final
Wild Card,The Administrators,11,8,"07/30/2016, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Metro North,Love Tractor,10,13,"07/31/2016, 14:00",1st Place Finals,Final
Metro North,Blackbird,13,8,"07/31/2016, 10:00",1st Place Semis,Final
Love Tractor,Steamboat,13,6,"07/31/2016, 10:00",1st Place Semis,Final
Metro North,Ambiguous Grey,12,11,"07/31/2016, 08:00",1st Place Quarters,Final
Wild Card,Blackbird,12,13,"07/31/2016, 08:00",1st Place Quarters,Final
Love Tractor,Cosa Nostra,13,11,"07/31/2016, 08:00",1st Place Quarters,Final
Steamboat,The Chad Larson Experience,14,13,"07/31/2016, 08:00",1st Place Quarters,Final
NOISE,Ambiguous Grey,7,13,"07/30/2016, 16:00",1st Place Prequarters,Final
Blackbird,7 Figures,14,12,"07/30/2016, 16:00",1st Place Prequarters,Final
Cosa Nostra,Alloy,13,11,"07/30/2016, 16:00",1st Place Prequarters,Final
The Chad Larson Experience,Mischief,13,10,"07/30/2016, 16:00",1st Place Prequarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Blackbird,Steamboat,7,13,"07/31/2016, 12:00",3rd Place,Final
bracket,5th Place Bracket
Ambiguous Grey,Cosa Nostra,7,13,"07/31/2016, 12:00",5th Place Finals,Final
Ambiguous Grey,Wild Card,11,7,"07/31/2016, 10:00",5th Place Semis,Final
Cosa Nostra,The Chad Larson Experience,13,11,"07/31/2016, 10:00",5th Place Semis,Final
bracket,7th Place
Wild Card,The Chad Larson Experience,7,13,"07/31/2016, 12:00",7th Place,Final
bracket,9th Place Bracket
NOISE,Mischief,9,12,"07/31/2016, 10:00",9th Place Finals,Final
NOISE,7 Figures,12,9,"07/31/2016, 08:00",9th Place Semis,Final
Alloy,Mischief,9,10,"07/31/2016, 08:00",9th Place Semis,Final
bracket,11th Place
7 Figures,Alloy,8,13,"07/31/2016, 10:00",11th Place,Final
b,r,e,a,k
pools,13th-16th Place (Round Robin)
pool,13th Place Round Robin
Platypi,Mesteño,13,7,"07/30/2016, 16:00",13th Place Round Robin,Final
Bird,The Administrators,12,11,"07/30/2016, 16:00",13th Place Round Robin,Final
Platypi,The Administrators,11,10,"07/31/2016, 12:00",13th Place Round Robin,Final
Bird,Mesteño,13,10,"07/31/2016, 12:00",13th Place Round Robin,Final
Platypi,Bird,10,12,"07/31/2016, 14:00",13th Place Round Robin,Final
Mesteño,The Administrators,12,7,"07/31/2016, 14:00",13th Place Round Robin,Final
b,r,e,a,k
