Motown Throwdown 2016,Club - Men ,30,7,2016
https://play.usaultimate.org/events/Motown-Throwdown-2016/schedule/Men/Club-Men/
Mad Men,1
28,Patrick Logan
55,CHRIS BRAY
72,Phillip Warren
91,CLAYTON COFFMAN
b,r,e,a,k
Kettering,18
0,Francis Carr
0,Kevin Mellendorf
0,Andrew Harris
0,Andrew Williams
0,Colin Donar
2,Landon Cathers
4,Matthew Donar
5,Gabriel Anzivino
8,Kyle Spengler
8,Matthew Rodefeld
10,Robert Connolly
15,Joel Bloch
18,Jason Dietrich
20,Justin Gauss
28,Seth Hillaker
b,r,e,a,k
Brickyard,3
1,Keenan Plew
2,Nickolas Hutton
3,Christian Avila
6,Joseph Cari
7,Nathan Sevenish
7,Levi Jacobs
8,Kip Curtis
9,David Hortemiller
11,Colton Steiner
12,Colin Ringwood
16,Heath Kalaba
17,Ryan Jarvis
18,Carlton Anker
19,SPENCER LOSCAR
20,Nick Loughran
22,Kyle Cox
23,Zach Zebarth
28,Samuel Sohn
30,Walter Kasprzycki
33,Dana Granholm
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
76,Jason Yoder
78,Michael Ames
85,John Jones
87,Rick Gross
b,r,e,a,k
Schweingeist,6
0,Kyle Romard
0,Brennan Kirkpatrick
0,Daniel Brissette
0,Joshua Fisher
0,Daniel Latz
2,Nicholas Betsch
3,Elliot Skindzier
3,Justin Latz
4,Bryan Buechner
5,Sophainara Long
6,Ben Krumpelman
18,Kevin Parker
22,Jacob Chialastri
24,Michael Verma
30,Zachary Ford
33,Liam Holthaus
41,Adam Turner
43,Stephen Kenny
43,Stephen Moore
49,Tanner Segbers
77,Samuel Kratt
b,r,e,a,k
Spoiler,11
0,Travis Compo
0,BRIAN BROWN
0,Joe Krieger
0,Robert (Bobby) Moyer
0,Henry Tyler
0,Kenneth Debacker
0,Max Teener
2,Justin Perticone
4,Jonathan Paruk
7,Jonathan Lee
8,Daniel Brown
13,Ryan Donnelly
17,Brendan McCann
17,Andrew Foldesi
18,David Innis
22,Nathan Adamski
25,Ryan Yergin
31,Scott Hetu
32,Cody Smith
47,Aakar Mehra
50,Ryan Ernst
b,r,e,a,k
Kekionga,14
0,Jon Swartling
0,Trevor Lloyd
0,Corey Halbert
0,RYAN HAINES
0,Dylan Arango
0,Jerson Gutierrez
0,Andrew Warren
0,Andrew Fenstermacher
0,Andrew Erlandson
0,DYLAN MIHAVICS
3,Jonathon Wenger
10,Peter Wilhelm
13,Garrett Voss
22,Daniel Sponaugle
31,Brian Wilson
38,Daniel Overstreet
48,Tim Perkey
52,Garrett Fuelling
55,SHANE FEEMSTER
73,Steven Zurawski
b,r,e,a,k
Chimney,19
0,Neil Taylor
0,Steven Tokar
0,Carter Wang
0,David Arters
0,Andrew Thompson
0,Victor Monaco
0,Dmitriy Estrin
0,Ellis Saupe
0,Joseph Rains
4,Zach Byrnes
9,Parker Rennels
16,Joseph Bunch
22,Aaron Musser
b,r,e,a,k
Beachfront Property,5
0,Drew Levorsen
0,Nick Myhre
0,Judah Newman
0,STEFAN BREITLING
0,Michael Ng
0,ZACH DUEY
0,Kyle Sternkopf
0,Tyler Barrett
0,Nate Boddy
0,Jeffrey Weis
0,MICHAEL CALDERBANK
4,Gabriel Valencia
7,Jack Shanahan
13,Karl Beck
27,Joseph Illichman
33,Wesley Groth
63,Zubair Abdulla
b,r,e,a,k
Black Market,4
0,Joseph Conerty
01,Daniel Vockeroth
02,Joe Sidrys
04,Zachary Schwulst
06,Kevin Cleary
07,Kevin Yngve
08,Johnny Saniat
14,David Woods
16,Kevin DeAngelis
19,Steven Czechowski
22,Brian Rathunde
23,Ryan Smith
31,Daniel Miller
34,Christopher O'Hara
36,Timothy Fergus
45,Chris Santiago
57,Max Richards
62,Patrick Kaufmann
73,PATRICK HANSEN
76,Cameron Albin
80,Peter Bennett
84,CJ O'Brien
87,Adam Wright
95,Zachary Diener
b,r,e,a,k
Cream City Crooks,12
02,Oliver Rytman
03,Frank Ontaneda
07,Tyler Holmes
09,Blake Marlowe
10,DEVON ARMSTRONG
11,Kristian Taylor
15,Liam Scobey-Polacheck
17,Dan Laurila
18,Grant Wagner
19,Michael Morrison
21,Jake Leutenegger
24,Jacob Buckley
26,Caleb Giebink
33,Jayd Phelps
36,Madison Olesen
52,Ian Erly
77,Mark David
82,Andrew Czekalski
88,Avery Weishoff
b,r,e,a,k
Spoiler Ice,20
0,Ben Sadis
0,NICHOLAS SAKAMOTO
0,Mark Donohue
0,Andrew Winters
0,LUCAS PRICE
0,Victor Arena
0,Alex Barber
0,Griffin Bergers
1,Bryant Vergara
3,MICHAEL LYNCH
11,Elliot Deeds
16,Bradley Nelson
22,Colin Case
26,Owen Funk
35,Kevin Anthony
35,Jacob Kujawa
42,Michael Herman
45,Peter Arts
49,Adam Assink
83,Andrew Curtin
91,Nicholas Simopoulos
b,r,e,a,k
Midnight Meat Train,13
0,Austin Sroczynski
0,Mike Zaagman
0,Zachary Paradis
0,Tanner Schut
0,Sean Rohen
0,COLIN SCHUURMAN
0,Matt Leistra
0,Jarrett Skorup
0,Henry Patterson
7,Tyler Mitchuson
10,Perry-David van Dillen
10,Gabe Quakkelaar
21,Jake Blankemeier
22,Max Carpenter
24,Trevor Deimel
99,Steve Trierweiler
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Mad Men,B-Yard,13,2,"07/30/2016, 09:00",Pool A
Black Market II,Dirty D,14,15,"07/30/2016, 09:00",Pool A
Mad Men,Black Market II,13,6,"07/30/2016, 10:40",Pool A
AK Pipeline,Dirty D,13,9,"07/30/2016, 10:40",Pool A
Dirty D,B-Yard,13,4,"07/30/2016, 12:20",Pool A
AK Pipeline,Black Market II,11,9,"07/30/2016, 12:20",Pool A
Mad Men,Dirty D,13,4,"07/30/2016, 14:00",Pool A
AK Pipeline,B-Yard,13,5,"07/30/2016, 14:00",Pool A
Mad Men,AK Pipeline,13,1,"07/30/2016, 15:00",Pool A
Black Market II,B-Yard,13,7,"07/30/2016, 15:00",Pool A
pool,Pool B
Smokestack,Kettering,13,2,"07/30/2016, 09:00",Pool B
Enigma,Ascension,13,8,"07/30/2016, 09:00",Pool B
Smokestack,Enigma,12,11,"07/30/2016, 10:40",Pool B
Flying Pig,Ascension,13,5,"07/30/2016, 10:40",Pool B
Ascension,Kettering,13,8,"07/30/2016, 12:20",Pool B
Flying Pig,Enigma,13,8,"07/30/2016, 12:20",Pool B
Smokestack,Ascension,13,6,"07/30/2016, 14:00",Pool B
Flying Pig,Kettering,13,5,"07/30/2016, 14:00",Pool B
Smokestack,Flying Pig,13,6,"07/30/2016, 15:40",Pool B
Enigma,Kettering,13,4,"07/30/2016, 15:40",Pool B
pool,Pool C
Brickyard,Chimney,13,1,"07/30/2016, 09:00",Pool C
Spoiler,Kekionga,13,9,"07/30/2016, 09:00",Pool C
Brickyard,Spoiler,13,5,"07/30/2016, 10:40",Pool C
Schweingeist,Kekionga,13,5,"07/30/2016, 10:40",Pool C
Kekionga,Chimney,12,10,"07/30/2016, 12:20",Pool C
Schweingeist,Spoiler,13,11,"07/30/2016, 12:20",Pool C
Brickyard,Kekionga,13,2,"07/30/2016, 14:00",Pool C
Schweingeist,Chimney,13,2,"07/30/2016, 14:00",Pool C
Brickyard,Schweingeist,13,7,"07/30/2016, 15:40",Pool C
Spoiler,Chimney,13,4,"07/30/2016, 15:40",Pool C
pool,Pool D
Black Market,Spoiler Ice,13,7,"07/30/2016, 09:00",Pool D
Cream City Crooks,Midnight Meat Train,12,14,"07/30/2016, 09:00",Pool D
Black Market,Cream City Crooks,13,4,"07/30/2016, 10:40",Pool D
Beachfront Property,Midnight Meat Train,13,1,"07/30/2016, 10:40",Pool D
Midnight Meat Train,Spoiler Ice,9,13,"07/30/2016, 12:20",Pool D
Beachfront Property,Cream City Crooks,13,6,"07/30/2016, 12:20",Pool D
Black Market,Midnight Meat Train,13,4,"07/30/2016, 14:00",Pool D
Beachfront Property,Spoiler Ice,13,4,"07/30/2016, 14:00",Pool D
Black Market,Beachfront Property,6,13,"07/30/2016, 15:40",Pool D
Cream City Crooks,Spoiler Ice,11,6,"07/30/2016, 15:40",Pool D
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st Place Bracket
Mad Men,Smokestack,11,13,"07/31/2016, 14:10",1st Place Finals
Mad Men,Beachfront Property,13,9,"07/31/2016, 12:30",Semis
Brickyard,Smokestack,8,13,"07/31/2016, 12:30",Semis
Schweingeist,Beachfront Property,8,13,"07/31/2016, 10:40",Quarters
Brickyard,Black Market,11,10,"07/31/2016, 10:40",Quarters
AK Pipeline,Smokestack,7,13,"07/31/2016, 10:40",Quarters
Mad Men,Spoiler,13,8,"07/31/2016, 12:30",Quarters
Schweingeist,Enigma,12,11,"07/31/2016, 09:00",Pre-Quarters
Black Market,Dirty D,13,5,"07/31/2016, 09:00",Pre-Quarters
AK Pipeline,Cream City Crooks,13,10,"07/31/2016, 09:00",Pre-Quarters
Spoiler,Flying Pig,13,6,"07/31/2016, 12:30",Pre-Quarters
bracket,3rd Place
Beachfront Property,Brickyard,13,9,"07/31/2016, 14:10",3rd Place
bracket,5th Place Bracket
Black Market,AK Pipeline,13,1,"07/31/2016, 14:10",5th Place
Black Market,Schweingeist,13,10,"07/31/2016, 12:30",5th Place Semis
Spoiler,AK Pipeline,10,12,"07/31/2016, 12:30",5th Place Semis
bracket,7th Place
Schweingeist,Spoiler,9,5,"07/31/2016, 14:10",7th Place
bracket,9th Place Bracket
Enigma,Dirty D,13,10,"07/31/2016, 14:10",9th Place
Flying Pig,Enigma,11,13,"07/31/2016, 12:30",9th Place Semis
Dirty D,Cream City Crooks,14,12,"07/31/2016, 12:30",9th Place Semis
Flying Pig,Spoiler Ice,13,5,"07/31/2016, 10:40",9th Place Quarters
Black Market II,Enigma,6,13,"07/31/2016, 10:40",9th Place Quarters
Dirty D,Ascension,13,8,"07/31/2016, 10:40",9th Place Quarters
Kekionga,Cream City Crooks,11,13,"07/31/2016, 10:40",9th Place Quarters
Spoiler Ice,B-Yard,13,5,"07/31/2016, 09:00",9th Place Pre-Quarters
Black Market II,Midnight Meat Train,13,11,"07/31/2016, 09:00",9th Place Pre-Quarters
Ascension,Chimney,13,10,"07/31/2016, 09:00",9th Place Pre-Quarters
Kekionga,Kettering,13,4,"07/31/2016, 09:00",9th Place Pre-Quarters
bracket,11th Place Bracket
Flying Pig,Cream City Crooks,7,9,"07/31/2016, 14:10",11th Place
bracket,13th Place Bracket
Kekionga,Black Market II,0,1,"07/31/2016, 14:10",13th Place
Spoiler Ice,Kekionga,6,13,"07/31/2016, 12:30",13th Place Semis
Black Market II,Ascension,13,6,"07/31/2016, 12:30",13th Place Semis
bracket,15th Place Bracket
Spoiler Ice,Ascension,5,7,"07/31/2016, 14:10",15th Place
bracket,17th Place Bracket
B-Yard,Midnight Meat Train,0,0,"07/31/2016, 14:10",17th Place
B-Yard,Kettering,13,7,"07/31/2016, 22:40",17th Place Semis
Midnight Meat Train,Chimney,13,5,"07/31/2016, 22:40",17th Place Semis
bracket,19th Place Bracket
Kettering,Chimney,8,13,"07/31/2016, 12:30",19th Place
b,r,e,a,k
