Cooler Classic 28,Club - Mixed ,20,8,2016
https://play.usaultimate.org/events/Cooler-Classic-28/schedule/Mixed/Club-Mixed
NOISE,1
14,WILLIAM FLANARY
16,Amanda Stapleton
19,Nicole Johnson
21,James Hean
23,Patrick Lansdon
24,Thomas Robinson
27,Evan Kerr
28,Cole Stiegler
35,Alexis Abbeduto
37,Thomas Kindred
42,Raleke Hughes
66,Tyler Stutzman
69,Mahliyah Adkins-Threats
88,WILLIAM HEAN
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Chalice,10
0,Katharine (Katie) Lewis
0,Brian Judge
0,Alyssa Renaud
0,JESSE JACOBS
0,Julia Hill
0,Julia Clare
0,CHRISTINA LEWIS
0,Kate Halloran
0,Neil Wessling
0,Kellen Key
0,Justin Van Sant
0,JEREMY COVEY
0,Dustin Tierney
0,Stephen Hawkins
0,Lindsay Stith
0,Theodore (Joe) MacDonald
0,KILLIAN HOLLO
0,Jessica Zilch
0,Patrick Porter
0,Eliza Hutchings
0,Gabriella Lavezzi
4,Henry Sundermann
11,Justin Peabody
21,Nathaniel Mahieu
98,Julia Schroeder
b,r,e,a,k
Des Moines Metro,6
0,James West
0,T.J. Scovel
0,Katherine Goode
0,Kayla Anderson
0,Karen Hill
0,Christa Fisher
0,Andy Woolard
0,Daniel Forsyth
0,Brad Ashley
0,Aaron Bowles
0,Vincent Rice
3,Richelle Rock
5,Paul Fritzell
6,Jonathan Kramer
7,Trevor Rice
8,Grant Maynard
8,Joseph Kosterman
11,Austin Wehrwein
14,Rebecca Kramer
14,Kelli Rice
21,Alexis Rose
23,Jordan Queckboerner
24,Curtis Nuzback
29,Adam Levine
52,Bryan Hall
94,RENEE HURLEY
b,r,e,a,k
Risky Business,13
0,Elise Path
0,Arthur Corbitt
0,TYLER WACKER
0,Austin Henke
0,JESSICA CHAMBERS
0,Kristopher Dapprich
0,Dalio Losch
0,ANNA REHFUSS
0,HUGH BOND
0,Christina Jones
0,Cailin O'Mara
0,Jonathan Daugherty
0,KATRINA COX
0,Jen Kim
0,Derek Schmidt
0,Robin Osborne
3,Allie Long
5,Bryan Rowes
6,Christopher Schultz-Davis
19,Angga Widodo
22,Paul DiFiore
36,Christian Walker
37,Andrew Morton
b,r,e,a,k
Coalition Ultimate,9
1,Jordan Rosevold
2,Estelle Taquet
3,CALEB Graceheart
4,Scott Schultz
4,Josh Kautz
5,Jacob Johnson
7,RYAN MCHUGH
8,Callie Auman
10,Josiah Moore
13,Mikala LaFavor
14,Aaron Schneider
14,Melissa Brown
18,JOHN LAFAVOR
19,Gavin Sunde
23,Clancy Ferris
24,Nate Phillips
25,Benjamin Elliott
28,Megan  Huntley
32,MELISSA LaFrance
33,Kevin Knutson
34,Caty Ferris Schultz
43,Michael Loper
44,Colin Williams
52,Riley Tauer
66,Clare Riley
88,Scott Voermans
89,Isaac  Leonard
b,r,e,a,k
Mastodon,11
0,CLAIRE RAMEY
0,COLLEEN MOSER
0,Aric Doak
0,VICKIE SU
0,Roy Fang
0,Katie Blise
1,Adam Klaus
1,Caitlin Clevenger
1,Justin Chenevert
4,Jonathan Davis
7,Steven Whelan
8,Evie Adams
8,Jocelyn Beleutz
10,Joseph Anistranski
11,Paderic Driscoll
11,Julia Reich
13,Daniel Huncosky
14,Nicholas Moore
20,Noah Webster
21,Jessica Liu
22,Emilia Lewis
25,Kelly Bruce
31,Patrick Miller
34,Chase O'Brien
49,Jennifer Moore
55,Darren Yu
b,r,e,a,k
Mojo Jojo,8
0,Lexie Kretschmer
0,RISHAWN RADZIWILL
0,Carly Siewert
0,Patrick Cashman
0,Jennifer Degen
0,Graham Sutherland
0,Kathleen Burich
0,Jesse Wolfe
0,Donna Johnston
0,Alex Kaplan
0,Amanda Huber
0,April Strzelczyk Haverstock
0,Lindsey Pieper
0,Esau Gotlieb
0,Stephanie Pieper
0,Dayna Trimborn
0,Stephanie O'Connor
0,Tyler Brickle
5,Daniel Schultz
6,Ryan Fortune
14,Ben Valley
22,Robert  Kostick
41,Jenni Konigsburg
48,Andrew Dornbush
55,Patrick Jones
84,Jake Kretschmer
91,Michael Merwin
b,r,e,a,k
ELevate,12
2,Kevin Schwartzenberg
3,Tricia Chee
3,Christopher Leeson
4,Matthew Nickels
5,Emily Molloy
12,Pedrom Rejai
13,Samantha Sadlier
15,YEVANIT RESCHECHTKO
17,Dan Hiben
18,Mati Chessin
25,Sean Mills
26,Scott Anding
27,REGINA MUHR
28,Alexander McEachin
29,ANNABELLE DAVEY
31,Alexandra Ulp
32,Sandra Helquist
33,Alyssa Graham
36,Talia Fishman-Strait
42,Ryan Albright
47,Jeff Sommars
57,Noah Christians
66,Taylor Dall
71,Matt Gubernick
99,Samuel Fishman-Strait
b,r,e,a,k
Wingdings,7
0,Huynh Vo
0,ALYSSA BOHLENDER
0,Ben Ransom
0,Robert Mitchell McCarthy
0,BRETT HURST
0,Jamison DiSalvo
0,Katie Filosa
0,Andrew Weeks
0,Jessica Derry
0,Eric Olsen
2,Kayla Baird
4,Kaira Carter
5,Sarah Stoker
6,Tara Blutt
8,Chandler Good
9,Daniel Hansen
05,Matt Stoker
10,Brian Lucido
11,Jacob Badger
12,Katie Walther
14,Taylor Weigel
19,Johanna Chambers
23,Anna Austin
27,Scott Ehlinger
28,Trevor Sawatzky
40,Daniel Schoen
54,Alec Sauerbrei
b,r,e,a,k
Spirit Fowl,17
0,Vincent Vik
0,Hannah Larson
0,Daniel Herrera
4,Kelsey Kuhlman
6,AMANDA AHO
8,Greta Regan
9,Mitch Rotert
10,Derek Klein
11,Justin Wollin
13,Camille Curley
13,Sam Eherenman
16,Mitchell Rose
17,Hannah Zobitz
17,JENNY ASTURIAS
25,Elaine Sundberg
38,Sarah Koshak
72,Billy Peterson
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
Toast,18
0,Lydia Korodan
0,JONATHAN PYLE
0,Matthew Bailey
0,Christopher Hoxsey
0,MICHAEL SEROTA
0,Corie Auger
0,Brian Jager
1,Michael Mansfield
5,Jill Santos
6,Courtney Guthrie
14,MELISSA Jager
16,Samantha Phillips
19,Aaron Riess
20,Zach Jawahir
23,Jason Howard
29,Charles Blum
67,Andrew Zoerman
84,Michael Weber
91,Michael Cannon
b,r,e,a,k
Skyhawks,14
06,Alison Lanski
07,Cameron Smick
11,Aaron Weaver
12,Caitlin Hayner-Slattery
13,Danica Keefe
14,Andrew McNally
17,Michael Wellman
18,Briana Mork
20,Jeff Martin
24,Matthew Foster
45,Kirk Kuespert
47,Pierce Witmer
79,Hannah Scrafford
85,Michael Stephen
88,Franklin Mejia
99,Timothy Powers
b,r,e,a,k
Doppler Effect,21
0,Allegra Rosenbaum
0,Justin Panhans
0,Martha Dunbar
0,Rebecca Ostman
0,Alissa Graff
0,Nicholas Dal Pra
0,WHITNEY SHYU
0,David  Cole
0,Samantha Brenz
8,PAUL FOLK
15,Joel Bloch
17,Mark McCarthy
26,Travis Hare
47,Dan Kwass
50,Kyle Richardson
66,Daniel Fonte
b,r,e,a,k
The Abusement Park,16
0,Christopher Fuchs
0,Heather Fredrickson
01,Ryan Dudgeon
02,Kasey Kenealy
03,DAVID HOFFMAN
04,ADAM BARSELLA
05,Thom Kenealy
08,AMALIA CARMONA
09,Christina Hedges
12,DAN BOLIVAR
13,Brian Keefe
14,Jennifer Mohrig
15,Eric Bens
16,Tom Carter
17,Jon Blinderman
20,RACHEL Barsella
23,Mary Hermann
26,Heather  Shore
35,Benjamin Seasly
37,Daniel Fitzgerald
44,Daniel Verzuh
50,DINA VU
55,Patrick Gleason
61,Lauren Zurawski
74,JONATHAN CERNANEC
85,Julia Butterfield
99,Kyle Hill
b,r,e,a,k
Free Ride,15
0,Elizabeth Woods
0,Matt Standen
0,Kristin Anda
0,Isaac Pearlstone
0,Caroline Taylor
0,Bethany Beebe
0,John Lithio
0,Samuel Mosley
0,Conor Irwin
0,Melissa Huegerich
0,Joseph Huegerich
0,Sabrina Lavezzi
0,FRESA JACOBS
1,JONATHAN ADAMS
1,Alexis Kerman
1,SHERRI MANKOFSKY
3,CARLI STANDEN
4,William Horwitz
5,Logan Nuernberger
13,Kristina Kohl
17,Ryan Tray
23,Emily Armbruster
24,Patrick Preston
29,Thomas Preston
59,Justin Krantz
63,Louie Bertoncin
95,Joel Williams
b,r,e,a,k
Stackcats,19
0,BETSY MERBITZ
0,Eric Martin
0,Melissa Witmer
0,Evan Power
0,Ryan Kurnik
0,Matt Tansley
0,SAMANTHA Martin
0,Saul Lipton
0,Krystle Ocampo
0,Rachel Hunt
0,Jackson Todd
0,Halley McLean
0,Anthony Oplawski
0,Alexandra Moxley
0,Mark Valzonis
0,Monica Oplawski
0,Andrew Maturo
0,Bethany Blackwood
5,Lauren Brauer
6,Vincent Curkov
7,Michael Hyland
9,BOB WEDSTER
12,Matthew Bonges
24,Kyle Brooks
42,Benton Fletcher
44,Zach Raab
71,CATIE NEWHOUSE
b,r,e,a,k
Jabba the Huck,20
2,Amy Copper
3,ANGELO SORCE
6,Bridget Doherty
7,Laura Rolfes
8,Kamille Martinez
10,KAJETAN DROZD
12,Jonathan Berggren
15,Kayle Devaughan
16,Jennifer Shouldice
24,Kelly Crowley
24,Jessica Fairhurst
27,Eddie Dudek
28,Thomas Logisz
30,Jessica Johnson
32,Allison Radike
37,Steve Janda
62,Mitchell Morton
69,Casimir Ksiazek III
72,Alyssa Bennett
77,Joseph Cacciatore
82,Steven Jeka
99,Ryan Logan
99,Kyle Hanley
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool
pool,Real Pool A
NOISE,Mad Udderburn,13,5,"08/20/2016, 09:00",Real Pool A
Minnesota Star Power,panIC,13,10,"08/20/2016, 09:00",Real Pool A
NOISE,No Touching,13,4,"08/20/2016, 10:45",Real Pool A
panIC,Mad Udderburn,11,13,"08/20/2016, 10:45",Real Pool A
No Touching,panIC,10,13,"08/20/2016, 12:30",Real Pool A
Minnesota Star Power,Mad Udderburn,13,2,"08/20/2016, 12:30",Real Pool A
NOISE,panIC,13,4,"08/20/2016, 14:15",Real Pool A
Minnesota Star Power,No Touching,8,13,"08/20/2016, 14:15",Real Pool A
NOISE,Minnesota Star Power,9,7,"08/20/2016, 16:00",Real Pool A
No Touching,Mad Udderburn,12,9,"08/20/2016, 16:00",Real Pool A
b,r,e,a,k
pools,Tier 2 Pools
pool,Pool B
Des Moines Metro,Chalice,9,13,"08/20/2016, 09:00",Pool B
Coalition Ultimate,Risky Business,11,13,"08/20/2016, 09:00",Pool B
Des Moines Metro,Risky Business,13,11,"08/20/2016, 10:45",Pool B
Coalition Ultimate,Chalice,5,13,"08/20/2016, 10:45",Pool B
Des Moines Metro,Coalition Ultimate,13,8,"08/20/2016, 12:30",Pool B
Chalice,Risky Business,13,5,"08/20/2016, 12:30",Pool B
pool,Pool C
Wingdings,Mastodon,8,13,"08/20/2016, 09:00",Pool C
Mojo Jojo,ELevate,13,8,"08/20/2016, 09:00",Pool C
Wingdings,ELevate,9,13,"08/20/2016, 10:45",Pool C
Mojo Jojo,Mastodon,7,13,"08/20/2016, 10:45",Pool C
Wingdings,Mojo Jojo,7,11,"08/20/2016, 12:30",Pool C
Mastodon,ELevate,13,7,"08/20/2016, 12:30",Pool C
b,r,e,a,k
pools,Tier 3 Pools
pool,Pool D
Skyhawks,Toast,10,13,"08/20/2016, 10:45",Pool D
Spirit Fowl,Doppler Effect,13,5,"08/20/2016, 10:45",Pool D
Skyhawks,Doppler Effect,11,9,"08/20/2016, 12:30",Pool D
Spirit Fowl,Toast,13,12,"08/20/2016, 12:30",Pool D
Skyhawks,Spirit Fowl,9,12,"08/20/2016, 14:15",Pool D
Toast,Doppler Effect,13,7,"08/20/2016, 14:15",Pool D
pool,Pool E
Free Ride,Stackcats,13,7,"08/20/2016, 10:45",Pool E
The Abusement Park,Jabba the Huck,14,12,"08/20/2016, 10:45",Pool E
Free Ride,Jabba the Huck,13,8,"08/20/2016, 12:30",Pool E
The Abusement Park,Stackcats,13,9,"08/20/2016, 12:30",Pool E
Free Ride,The Abusement Park,7,13,"08/20/2016, 14:15",Pool E
Stackcats,Jabba the Huck,10,8,"08/20/2016, 14:15",Pool E
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Wingdings,Spirit Fowl,9,12,"08/20/2016, 16:00",
Coalition Ultimate,The Abusement Park,8,6,"08/20/2016, 16:00",
Toast,Free Ride,13,7,"08/20/2016, 16:00",
Doppler Effect,Stackcats,11,10,"08/20/2016, 16:00",
Skyhawks,Jabba the Huck,9,10,"08/20/2016, 16:00",
b,r,e,a,k
brackets,1st Place Bracket
bracket,1st Place Bracket
NOISE,No Touching,14,12,"08/21/2016, 13:00",Finals
NOISE,panIC,15,9,"08/21/2016, 11:00",Semis
Minnesota Star Power,No Touching,10,12,"08/21/2016, 11:00",Semis
Des Moines Metro,NOISE,9,15,"08/21/2016, 09:00",Quarters
Mad Udderburn,panIC,6,15,"08/21/2016, 09:00",Quarters
Chalice,Minnesota Star Power,8,11,"08/21/2016, 09:00",Quarters
No Touching,Risky Business,15,7,"08/21/2016, 09:00",Quarters
Des Moines Metro,Mojo Jojo,11,9,"08/20/2016, 14:15",Pre-Quarters
Chalice,ELevate,10,6,"08/20/2016, 14:15",Pre-Quarters
Risky Business,Mastodon,10,9,"08/20/2016, 14:15",Pre-Quarters
bracket,3rd Place Bracket
panIC,Minnesota Star Power,9,10,"08/21/2016, 13:00",3rd Place
bracket,5th Place
Chalice,Des Moines Metro,1,0,"08/21/2016, 15:00",5th Place Finals
Chalice,Risky Business,14,6,"08/21/2016, 13:00",5th Place Semis
Des Moines Metro,Mad Udderburn,13,11,"08/21/2016, 13:00",5th Place Semis
Chalice,Spirit Fowl,15,7,"08/21/2016, 11:00",5th Place Quarters
Toast,Risky Business,13,14,"08/21/2016, 11:00",5th Place Quarters
Mastodon,Des Moines Metro,3,15,"08/21/2016, 11:00",5th Place Quarters
Wingdings,Mad Udderburn,7,12,"08/21/2016, 11:00",5th Place Quarters
Spirit Fowl,Coalition Ultimate,14,9,"08/21/2016, 09:00",5th Place Pre-Quarters
Mojo Jojo,Toast,9,13,"08/21/2016, 09:00",5th Place Pre-Quarters
Mastodon,The Abusement Park,15,5,"08/21/2016, 09:00",5th Place Pre-Quarters
ELevate,Wingdings,10,12,"08/21/2016, 09:00",5th Place Pre-Quarters
bracket,7th Place
Risky Business,Mad Udderburn,0,1,"08/21/2016, 15:00",7th Place
bracket,9th Place
Toast,Mastodon,8,15,"08/21/2016, 15:00",9th Place Finals
Spirit Fowl,Toast,0,1,"08/21/2016, 13:00",9th Place Semis
Mastodon,Wingdings,13,11,"08/21/2016, 13:00",9th Place Semis
bracket,11th Place
Spirit Fowl,Wingdings,0,1,"08/21/2016, 15:00",11th Place
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place 
Mojo Jojo,Free Ride,1,0,"08/21/2016, 15:00",13th Place
Coalition Ultimate,Mojo Jojo,9,13,"08/21/2016, 13:00",Round Name
ELevate,Free Ride,11,12,"08/21/2016, 13:00",Round Name
Coalition Ultimate,Stackcats,15,10,"08/21/2016, 11:00",Round Name
Mojo Jojo,Jabba the Huck,13,10,"08/21/2016, 11:00",Round Name
ELevate,Doppler Effect,15,7,"08/21/2016, 11:00",Round Name
The Abusement Park,Free Ride,10,13,"08/21/2016, 11:00",Round Name
Skyhawks,Stackcats,10,15,"08/21/2016, 09:00",Round Name
bracket,15th Place
Coalition Ultimate,ELevate,11,6,"08/21/2016, 15:00",15th Place
bracket,Placement Game 1
The Abusement Park,Stackcats,10,13,"08/21/2016, 13:00",Placement Game 1
bracket,Placement Game 2
Jabba the Huck,Doppler Effect,12,11,"08/21/2016, 13:00",Placement Game 2
b,r,e,a,k
