Metro East D-I College Men's Regionals,College - Men ,30,4,2016
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Connecticut,1
10,Shashank Alladi
14,Brendon Pierce
17,LEON CHEUNG
19,Andrew Auyeung
20,KYLE POTKAY
23,Zhaoyuan Miao
25,Ryan Mendoza
27,KEVIN SHEN
31,Francis Joe
32,ALEXANDER KONG
36,Tanner Yuhas
49,ANDREW LEE
64,Benjamin Levy
b,r,e,a,k
SUNY-Buffalo,10
0,Conor Lenahan
0,Sian Ho Ng
0,Benjamin Mozo
0,Nick Lenhard
1,Paul DeGennaro
2,Jeremy Sawyer
3,Seth Wittlinger
4,Roy Cineus
9,Sean Bowers
10,Steven Bennett
11,Scott Scheers
21,Max Hattem
22,Paul Sperr
35,Connor Bracy
41,STEVEN KAHN
44,Zachary Flint
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Connecticut (B),15
0,Douglas Bretherton
0,Alex Kennedy
0,Robert Ernst
0,Robert Ranieri
0,Jonathan  Novitski
0,Jeffrey Steiner
0,Meyer Gilden
0,Aaron Rosenbloom Snow
0,Michael Vollmer
0,Philip Gross
0,Jesse Deluca
0,Kyle Flannery
0,Steven Purugganan
3,Kiran Prakash
4,Ryan Paes
13,David Beaulieu
18,Jordan Layne
23,Daniel Conner
30,Andong Li
69,Jonathan White
94,JOSEPH CARBONE
b,r,e,a,k
NYU,4
0,Cullen Weidenaar
0,Allen Zhou
0,Nathaniel Eisen
0,Jake Dahill-Fuchel
0,Daniel Seeto
0,Rob Chiarelli
0,Roy Rinberg
0,Feroz Khalidi
0,Wyatt Lien
0,MATAN YAH BEN ZION
0,Albert Su
2,Antonio Vayas
4,Jaime Perez
5,Theodore Chang
7,Jevons Liu
9,Gerald Tigol
9,Victor Kao
12,ANDERSON CHAN
15,Rohith Rao
19,Jesse Rice
27,Jason Angell
30,Rajat  Pillai
31,Morgan Robison
52,Anton Boutkov
54,David Zemmol
69,Matthew Meserve
b,r,e,a,k
SUNY-Binghamton,5
0,Connor Brown
0,Daelin Fischman
0,Daniel Thornton
3,Jordan Cangialosi
4,Christopher LaTourette
5,Andrew Gonzalez
6,YUNUS TEKIN
10,GAVIN MORROW
12,Mark Donohue
13,Trey McIntyre
14,NATHAN HOLAHAN
15,Timothy Bobrowski
19,Nicholas Cortina
20,Matt Fuller
22,Alex Cox
28,Michael Harley
42,Matthew Sausner
44,Karandeep Ahluwalia
68,Justin Thomas
72,Adam Neu
88,Stephen Snelson
b,r,e,a,k
Rochester,9
0,David Schatz-Mizrahi
0,Dmitri Ostapenko
0,Avi Milder
0,Brendan Eder
0,Jeff Taylor
0,Ian Campbell
0,Alex Crowley
0,Alex Hankin
0,Mathew Chiang
0,Erik Patak
0,Gabriel Werman
0,Timothy Walsh
0,Jeremy Warner
0,Cameron Barreto
0,DAVID MEISTER
0,ALEXANDER WEINSTEIN
0,Matthew Liebling
0,Thomas Hogrefe
0,Daniel Gomez
5,Richard Lange
10,Christopher Wong
10,Thomas Mariano
11,Benjamin Dantowitz
15,THOMAS RZATKIEWICZ
19,David McFarland-Porter
21,Brendan Chin
23,Cal Goheen
27,Grant Eidam
29,EZRA PORTER
45,Christopher Dawson
52,Paul Szewczyk
58,John Piotrowski
64,Benjamin Soiefer
97,Tyler Knight
99,Benjamin Parkinson
99,Sam VanNoy
99,Jacob Margolis
99,Hassler Thurston
b,r,e,a,k
Cornell (B),16
0,Patrick Blancero
0,Dan Laine
0,Daniel Cohen
0,Devin Lehmacher
0,Alex Zhou
0,Jineet Patel
0,Lee Blecher
0,Christopher Sciavolino
0,NICK HOLMES
0,Benjamin Cohen
0,Kyle Easop
0,WILLIAM PETTEE
0,Jesse Schloss
1,Donald Quinones
10,Samuel Hoffman
11,Daniel Arauz
12,Michael Bunis
44,John Bartlett
47,Patrick Voorhees
68,Andrew Parmet
69,Aaron Bu
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Connecticut,SUNY-Albany,15,7,"04/30/2016, 11:00",Pool A
Waterloo,SUNY-Stony Brook,15,10,"04/30/2016, 11:00",Pool A
Connecticut,SUNY-Stony Brook,15,5,"04/30/2016, 13:00",Pool A
Connecticut,Waterloo,15,1,"04/30/2016, 15:00",Pool A
SUNY-Albany,SUNY-Stony Brook,15,8,"04/30/2016, 15:00",Pool A
pool,Pool B
Cornell,Yale,15,6,"04/30/2016, 11:00",Pool B
Cornell,Columbia,15,7,"04/30/2016, 13:00",Pool B
Cornell,Princeton,15,5,"04/30/2016, 15:00",Pool B
pool,Pool C
RIT,SUNY-Buffalo,16,15,"04/30/2016, 11:00",Pool C
Rutgers,Connecticut (B),15,11,"04/30/2016, 11:00",Pool C
RIT,Connecticut (B),15,12,"04/30/2016, 13:00",Pool C
Rutgers,SUNY-Buffalo,15,13,"04/30/2016, 13:00",Pool C
RIT,Rutgers,15,11,"04/30/2016, 15:00",Pool C
SUNY-Buffalo,Connecticut (B),15,10,"04/30/2016, 15:00",Pool C
pool,Pool D
NYU,Rochester,15,12,"04/30/2016, 11:00",Pool D
SUNY-Binghamton,Cornell (B),15,4,"04/30/2016, 11:00",Pool D
NYU,Cornell (B),15,9,"04/30/2016, 13:00",Pool D
SUNY-Binghamton,Rochester,15,6,"04/30/2016, 13:00",Pool D
NYU,SUNY-Binghamton,15,11,"04/30/2016, 15:00",Pool D
Rochester,Cornell (B),15,3,"04/30/2016, 15:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Original Bracket
Connecticut,Princeton,0,0,"05/01/2016, 11:00",1st Place Quarters
NYU,Rutgers,0,0,"05/01/2016, 11:00",1st Place Quarters
RIT,SUNY-Binghamton,0,0,"05/01/2016, 11:00",1st Place Quarters
Cornell,Waterloo,0,0,"05/01/2016, 11:00",1st Place Quarters
Princeton,SUNY-Buffalo,15,10,"04/30/2016, 17:00",1st Place Prequarters
Rutgers,Yale,1,0,"04/30/2016, 17:00",1st Place Prequarters
SUNY-Albany,SUNY-Binghamton,8,15,"04/30/2016, 17:00",1st Place Prequarters
Rochester,Waterloo,12,15,"04/30/2016, 17:00",1st Place Prequarters
bracket,1st Place Bracket
Cornell,Connecticut,12,15,"05/07/2016, 11:00",Finals
Cornell,NYU,15,9,"05/07/2016, 09:00",Semis
Connecticut,Rutgers,15,5,"05/07/2016, 09:00",Semis
b,r,e,a,k
