TCT Elite-Select Challenge 2016 (Oshadega Invite),Club - Women ,9,7,2016
Columbus,OH,2016-07-09,2016-07-10
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2016-Oshadega-Invite/schedule/Women/Club-Women/
Phoenix,1
teamInfo,,"Baltimore/Washington, District of Columbia",backhandedultimate.org,https://www.facebook.com/BackhandedUltimate,https://twitter.com/Backhanded_Ulti
1,Emily McAfee
2,Molly Barlow
5,Emma Powers
7,"Wint ""Olivia"" Oo"
8,Bridget Gallagher
10,Wei Gao
12,Britta Schaffmeyer
13,Echo Presgraves
14,Claire Rostov
18,Courtney Greene
20,Kristina Humm
21,Alice Bauman
22,Zara Cadoux
23,GLORIA DIEDERICH
25,Samantha Ellerbeck
26,Katharine Lindquist
33,Catherine Reeves
37,Carolyn Clendenin
40,Jacqueline Feil
44,Natalie Forman
47,Marlena Luhr
66,Jody Lanza-Gregory
84,Diana Lam
88,Veronica Eder
b,r,e,a,k
Ozone,2
teamInfo,,"Atlanta, Georgia",http://ozoneultimate.com/,https://www.facebook.com/OzoneUltimate,https://twitter.com/ozoneultimate/
0,Samantha Daugherty
0,Sierra Rimmer
0,Leah Tsinajinnie
0,Kristina Chambers
0,Anraya Palmer
0,India Stubbs
2,Emily Leonard
3,Paige Carver
7,Lane Siedor
8,Marissa Hannah
10,Sophie Darch
11,Caroline Pearson
12,Ashley Brown
14,Allison Snow
18,Hannah Leathers
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
31,Samantha Jones
32,Haley Reese
33,KRISTIN LLOYD
44,Mira Walker
55,Evelina Pierce
83,Shanye Crawford
b,r,e,a,k
Rival,13
teamInfo,,"Columbus/Ann Arbor, Ohio",http://www.rivalultimate.com/,https://www.facebook.com/rivalultimate/,https://twitter.com/RivalUltimate
coaches,DeAnna Ball,Andrew Theiss
01,Sadie Jezierski
02,Ashley Welsh
03,Alaine Wetli
04,Sarah Butts
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
11,Tracey Lo
12,Katie Backus
13,Samantha Brenz
14,Theresa Zettner
15,Brittany Wright
16,Sarah Craycraft
18,Caitlin Harley
20,Sophia Knowles
21,Danielle Runzo
22,Talia Barth
27,Bailey Besser
28,Lauren Ficek
30,Jodi McCloskey
31,Sara Scott
37,Hannah Henkin
77,Amanda Noonan
b,r,e,a,k
Green Means Go,7
teamInfo,,"Philadelphia, Pennsylvania",http://greenmeansgoultimate.wordpress.com,https://www.facebook.com/phillygreenmeansgo/,https://twitter.com/PhillyGMG
00,Jocelyn Corey
00,Shannon Tsai
00,Beata Artz
02,Margie Guy
03,Angela Martin
05,YOLANDA SCARPATI
06,Malti McKinnon
11,Vicki Chen
12,Gillian Crysler
14,Sarah Gleeson
16,Kathryn Ritzmann
18,Elaine Dziemianowicz
19,Amel Awadelkarim
20,Danielle Walsh
21,Mackenzie Perkett
23,Nichole Smith
24,Casey Gorman
26,Ashley Un
28,Kelsey Johnson
29,Jackie Fane
44,Natalie Gustafson
b,r,e,a,k
Colorado Small Batch,12
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SmallBatchUltimate/,https://twitter.com/SmallBatchUlti
coaches,Rebecca Mitchell,Michael Lovinguth
0,SARAH HONG
0,Katherine Macri
0,Hilary Walker
0,Kiera Lindgren
0,Heather Kraft
0,Anna Updyke
0,Katelynn Benton
0,PETRA KOWALSKI
0,Esther Nemethy
3,Emily Stege
3,Molly Clay
7,Carolyn Vlach
8,Victoria Elmore
8,RACHEL ACKER
9,Elizabeth McCullagh
17,Melinda Alvey
21,Hannah Matthys
24,Hilary Egan
25,Kati Turner
28,Candace Yeh
29,Lisa Doan
35,Sarah Hoistad
36,Lani Kawamoto
56,Jodie Navarre
b,r,e,a,k
Wildfire,9
teamInfo,,"San Diego, California",,https://www.facebook.com/WildfireUltimate,https://twitter.com/sd_wildfire
0,Erin Crider
2,Melissa Dunn
3,Jane Carlen
5,Rachel Ling
8,Alexa Cohen
9,Chelsea Baldemor
01,Sharon Tseng
04,Kristen Pojunis
10,Julia Johnson
11,Tiffanie Gallo
12,Linda Hamon
14,Chelsea Cotton
15,Brittany Cabriales
16,Laura Wehlitz
17,SARAH MCNEES
18,Natalie Griffin
19,Amanda Albi
21,Jane Griffin
24,Vivi Stevens
30,KELLY TIDWELL
36,MICHELLE CURTIS
52,Annie Ngo
69,Angela Wells
87,Melissa Kan
89,Brenda Stevens
b,r,e,a,k
Nemesis,6
teamInfo,,"Chicago, Illinois",http://www.chicago-nemesis.com/,https://www.facebook.com/pages/Nemesis/471825896168151,https://twitter.com/ChicagoNemesis
coaches,Lindsey Hack
0,Eileen Duffner
01,Allison Fish
04,Monica Matsumoto
05,MOLLY SCHULMAN
06,Risa Umeno
07,Mary Colleen Hannon
08,Christina Sur
11,Katherine George
12,Megan Tormey
13,Jessica Sipperley
15,Danielle Blatt
17,Erika Danckers
19,Rachel Foster
20,Alex Chudler
21,Amanda Dobbyn
22,Rachel Bradley
23,Emily Hadel
25,Joann Wong
27,Angelina Kim
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
94,Emilie Willingham
99,Kathleen Dyer
b,r,e,a,k
Heist,3
teamInfo,,"Madison, Wisconsin",http://heistultimate.wordpress.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
coaches,Robyn Fennig
02,Jessica Serednesky
03,Liza Minor
05,Rose Glinka
07,Austin Prucha
08,Adrienne Wells
10,Alison Vandegrift
11,Melissa Gibbs
12,Jasmine Draper-Matthew
13,Brittney Kokinos
17,KELLY WIESE
19,Kayla Emrick
23,Anna Williams
24,Kristen Brenner
30,Jean Huang
31,Mary VanDuyne
33,Emily Wehrwein
40,Amelia Cuarenta
42,Elizabeth Gronert
44,Hannah Frank
47,STEPHANIE KNELL
55,Liz Narmour
77,Laurel Schmidt
91,Georgia Bosscher
b,r,e,a,k
6ixers,5
teamInfo,,"Toronto, Ontario CA",,https://www.facebook.com/6ixersUltimate/,https://twitter.com/6ixersultimate
1,Krystal Dos Santos
4,Sarah Granziol
7,Jeannette Quach
11,Laura Kinoshita
12,Joey Cheung
14,Miriam Tingle
15,JESSIE WU
16,Jessica Chen
17,Nicolette Bertsch
19,Vernie Aguda
20,Lauren Kimura
21,Elisa Tran
22,Sarah Bobak
26,JENNIFER LAM
28,Jenna McLeod
45,Emmalyne Azucena
50,SAMANTHA CHEUNG
77,Karen Chan
90,Jordan Meron
93,Naomi Redmond
b,r,e,a,k
Schwa,4
teamInfo,,"Portland, Oregon",,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Katie Weatherhead
0,Lillian Weaver
0,Ellen Kalenscher
0,Kendra Wahl
0,Emily Flock
0,Samantha Rodenberg
0,Eva Popp
2,Clea Poklemba
4,Natalie Hancock
5,MARGARET WILSON-MOSES
10,Kimber Coles
11,Emily Flanders
13,Kelly Hansen
14,JENNIFER TIBBALS
15,Sarah Read-Brown
16,Adrienne (Adie) Bovee
16,Jenica Villamor
18,Julia Sherwood
21,Nicola Bruce
25,Lauren Truxillo
29,Alice White-Cyr
35,Chelsea Twohig
43,Ella Hansen
77,Strat Stratton
b,r,e,a,k
Hot Metal,10
teamInfo,,"Pittsburgh, Pennsylvania",http://hotmetalultimate.wix.com/hotmetal,,@hotmetalult
coaches,Ben Banyas
2,Jen Kacin
2,Megan MacGillivray
4,Marla Breitbarth
6,Natalie Barnhart
11,Hannah Blizzard
13,Jessica Sourbeer
14,Caterina Pagano
18,Susan Devaraj
19,Kalie Thompson
20,Lakshmi Ilango
22,Molly Moore
31,Sharon Yee
32,Katie Cleveland
37,Sarah Lemanski
48,Julia Murphy
50,Mallorie Barber
51,MELANIE CALLAHAN
52,Kelly Gilmour
54,Sarah Russek
55,Kim Gilmour
56,GENEVIEVE WILSON
69,Charlotte Koerner
71,Verena Woloson
b,r,e,a,k
Maeve,15
teamInfo,,"Dallas, Texas",http://www.dfwwomensultimate.com/,https://www.facebook.com/groups/305488136201592/,https://twitter.com/MaeveDfw
02,Hien Le
03,Bethani Eberhart
04,Caroline Bantug
05,Katie Metzler
07,Andrewa Ritchie
09,Samantha Gillen
11,LIBBY EUBANKS
13,Christina Choffel Ashcraft
15,Caroline OConnell
16,Sarah Kaufman
17,Emiko FitzGerald
20,KIMBERLY HYDE
24,Skye Fernandez
26,Maricar Lafita Navarro
30,Tanika Graham
31,Brittany Kendlehart
33,Shannon Durbin
34,Madison Tomasek
35,Laura Brewer
39,Mattina Maloney
41,Yvette Tran
64,Lukiih Cuan
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Phoenix,Pop,13,5,"07/09/2016, 09:00",Pool A,Final
Underground,Backhanded,13,3,"07/09/2016, 09:00",Pool A,Final
Phoenix,Underground,13,6,"07/09/2016, 12:30",Pool A,Final
Pop,Backhanded,9,7,"07/09/2016, 12:30",Pool A,Final
Phoenix,Backhanded,13,2,"07/09/2016, 14:15",Pool A,Final
Underground,Pop,10,5,"07/09/2016, 14:15",Pool A,Final
pool,Pool B
Ozone,Colorado Small Batch,12,5,"07/09/2016, 09:00",Pool B,Final
Green Means Go,Rival,6,11,"07/09/2016, 09:00",Pool B,Final
Ozone,Green Means Go,10,8,"07/09/2016, 10:45",Pool B,Final
Colorado Small Batch,Rival,6,12,"07/09/2016, 10:45",Pool B,Final
Ozone,Rival,11,6,"07/09/2016, 12:30",Pool B,Final
Green Means Go,Colorado Small Batch,9,5,"07/09/2016, 12:30",Pool B,Final
pool,Pool C
Heist,Wildfire,9,12,"07/09/2016, 10:45",Pool C,Final
Nemesis,Wildfire,11,12,"07/09/2016, 12:30",Pool C,Final
Heist,Nemesis,5,13,"07/09/2016, 14:15",Pool C,Final
pool,Pool D
Schwa,Hot Metal,13,7,"07/09/2016, 09:00",Pool D,Final
6ixers,Maeve,13,5,"07/09/2016, 09:00",Pool D,Final
Schwa,6ixers,7,12,"07/09/2016, 10:45",Pool D,Final
Hot Metal,Maeve,12,9,"07/09/2016, 10:45",Pool D,Final
Schwa,Maeve,13,6,"07/09/2016, 14:15",Pool D,Final
6ixers,Hot Metal,13,4,"07/09/2016, 14:15",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
6ixers,Schwa,13,8,"07/10/2016, 12:30",Finals,Final
Heist,6ixers,9,11,"07/10/2016, 10:45",Semis,Final
Schwa,Underground,11,10,"07/10/2016, 10:45",Semis,Final
Phoenix,Heist,13,14,"07/10/2016, 09:00",Quarters,Final
Green Means Go,6ixers,8,12,"07/10/2016, 09:00",Quarters,Final
Wildfire,Schwa,8,13,"07/10/2016, 09:00",Quarters,Final
Underground,Ozone,12,9,"07/10/2016, 09:00",Quarters,Final
Rival,Heist,6,13,"07/09/2016, 16:15",Pre-Quarters,Final
Nemesis,Green Means Go,7,10,"07/09/2016, 16:15",Pre-Quarters,Final
Pop,Schwa,1,13,"07/09/2016, 16:15",Pre-Quarters,Final
Underground,Hot Metal,13,2,"07/09/2016, 16:15",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Heist,Underground,9,13,"07/10/2016, 12:30",3rd Place,Final
bracket,5th Place Bracket
Phoenix,Wildfire,11,12,"07/10/2016, 12:30",5th Place Finals,Final
Phoenix,Green Means Go,11,9,"07/10/2016, 10:45",5th Place Semis,Final
Wildfire,Ozone,13,8,"07/10/2016, 10:45",5th Place Semis,Final
bracket,7th Place
Green Means Go,Ozone,9,8,"07/10/2016, 12:30",7th Place,Final
bracket,9th Place Bracket
Rival,Hot Metal,9,13,"07/10/2016, 10:45",9th Place Finals,Final
Rival,Nemesis,13,8,"07/10/2016, 09:00",9th Place Semis,Final
Pop,Hot Metal,7,13,"07/10/2016, 09:00",9th Place Semis,Final
bracket,11th Place
Nemesis,Pop,10,8,"07/10/2016, 10:45",11th Place,Final
b,r,e,a,k
pools,13th-15th Place (Round Robin)
pool,Pool E
Backhanded,Colorado Small Batch,11,10,"07/10/2016, 10:45",Pool E,Final
Backhanded,Maeve,8,10,"07/10/2016, 12:30",Pool E,Final
Colorado Small Batch,Maeve,13,12,"07/10/2016, 14:15",Pool E,Final
b,r,e,a,k
