T-Town Throwdown XII,College - Men ,30,1,2016
https://play.usaultimate.org/events/T-Town-Throwdown-XII/schedule/Men/CollegeMen/
Florida,1
0,Cody Eberly
0,Jacob Kunisch
0,Miles Christensen
0,Brent Anders
0,Nate Hilliard 
0,Isaac Schlagel
3,Dominic Frazier
6,Craig Block
8,Danny Yates
11,Elijah Jaime
13,Owen Eason
14,Daniel Sorrells
17,Nicholas Peterson
21,Wesley Seat
28,Patrick Mullin
32,Daniel Bekken
37,Brandon Jackson
77,John Boyer III
87,Tannon Hedges
b,r,e,a,k
Mississippi State,20
0,Mitchell Corder
0,Skylar Jones
0,Ethan Lishen
0,Daniel Gallagher
0,Zachary Baer
0,Tanner Robinson
0,Grant Weesner
0,Ben Caldwell
0,Jacob Griffin
1,Jake Brouwer
11,Jon Thomas Williams
11,Nathan Burch
18,Trey  Leonard
29,Dalton Blakeney
44,TATE KIRBY
b,r,e,a,k
Alabama,5
0,Michael Nazario
0,Landon Sagle
0,Mark Garlington
0,Matthew Pettepher
0,Austin Herriott
0,Nathan Lyle
2,Tucker McMillen
5,Payton Garlington
6,Clayton Tylka
7,KEVIN ALLEN
8,Jeremiah  McLeroy
9,James  Poe
11,Chase Maze
16,Nathan Mulder
22,Cameron Elmore
24,MICHAEL GRYDER
28,HUNTER BONHAM
33,Liam Holthaus
40,Matthew McCay
45,Nathan Oaks
49,JACOB BAXTER
50,Terren Moore
59,Daniel Conner
83,CRAIG LENOIR
84,Denis O'Sullivan
b,r,e,a,k
Notre Dame,4
01,Charles Grunhard
04,Sean Brady
07,Luke Brennan
10,William OBrien
11,Jacob Scobey-Polacheck
14,Andrew McNally
22,Sean Gaouette
25,Andrew Geisel
34,Collin Klenke
37,Daniel Fitzgerald
38,Samuel DeTrempe
44,Daniel Verzuh
48,Luke Shanahan
51,MATTHEW FARRELL
63,Kel  Beatty
64,John Szigety
72,Joseph Norby
73,PATRICK HANSEN
74,JONATHAN CERNANEC
75,Jeremy Doyle
87,Steven Campillo
88,Franklin Mejia
b,r,e,a,k
Clemson,13
0,Andrew Perham
0,Jacob Hoppel
0,Adam Edwards
2,Ryland Bristow
9,Thomas Loar
11,JARRYD BOYLE
12,Connor Kinzie
13,ZACHARY PRICE
15,Hunter Hamvas
21,Andrew Brownlow
23,Tom McGinley
25,Sambath Vong
27,Jacob Thompson
36,Johnathan Dillard
55,Mitchell Fanning
72,Nicholas D'Orsi
75,Joseph Alvarez
77,James Berry
84,Paul Fang
91,Kenneth Peters
b,r,e,a,k
Kentucky,12
0,Brandon Guyton
0,Tim Watson
0,Kaleb Fields
0,Jay White
0,Nicholas Roller
0,Daniel Ma
0,Chris Parrill
0,Adam Zimmerman
0,Trent Minch
0,Austin Anderson
0,Cory Radcliff
0,Ted Ferguson
0,Gaelen Athanaze
0,Charles Voorhees
0,Phil Cockriel
0,Austin Edwards
1,Adam Houk
3,Kyle Anderson
5,Jeremy Staab
7,Robert Larson
11,Christopher Empie
17,Sean Shields
19,Stephen Hendrickson
27,Jacob Royster
31,Jackson Bell
69,Logan Graham
92,Matthew Cook
94,Austin Obenauf
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Florida,Georgia Southern,15,5,"01/30/2016, 08:00",Pool A
Arkansas,Georgia Southern,15,3,"01/30/2016, 13:15",Pool A
Florida,Arkansas,15,8,"01/30/2016, 15:00",Pool A
Arkansas,Indiana Wesleyan,13,4,"01/30/2016, 16:45",Pool A
Indiana Wesleyan,Georgia Southern,11,10,"01/30/2016, 18:30",Pool A
Florida,Indiana Wesleyan,13,6,"01/30/2016, 20:15",Pool A
pool,Pool B
Auburn,Xavier,13,2,"01/30/2016, 08:00",Pool B
Indiana,Alabama-Birmingham,11,13,"01/30/2016, 08:00",Pool B
Auburn,Indiana,13,2,"01/30/2016, 09:45",Pool B
Alabama-Birmingham,Xavier,12,7,"01/30/2016, 11:30",Pool B
Auburn,Alabama-Birmingham,13,7,"01/30/2016, 13:15",Pool B
Indiana,Xavier,11,7,"01/30/2016, 15:00",Pool B
Tennessee-Chattanooga,Indiana,8,10,"01/31/2016, 01:30",Pool B
Tennessee-Chattanooga,Xavier,9,10,"01/31/2016, 03:15",Pool B
Auburn,Tennessee-Chattanooga,13,7,"01/31/2016, 05:00",Pool B
Tennessee-Chattanooga,Alabama-Birmingham,12,8,"01/31/2016, 06:45",Pool B
pool,Pool C
Purdue,Alabama-Huntsville,13,8,"01/30/2016, 08:00",Pool C
Georgia Tech,Purdue,10,12,"01/30/2016, 09:45",Pool C
LSU,Alabama-Huntsville,13,4,"01/30/2016, 09:45",Pool C
LSU,Purdue,13,5,"01/30/2016, 11:30",Pool C
Georgia Tech,Alabama-Huntsville,13,2,"01/30/2016, 13:15",Pool C
Georgia Tech,LSU,11,8,"01/30/2016, 15:00",Pool C
Georgia Tech,Emory,13,12,"01/30/2016, 22:00",Pool C
Alabama-Huntsville,Emory,6,12,"01/31/2016, 01:30",Pool C
LSU,Emory,13,3,"01/31/2016, 03:15",Pool C
Purdue,Emory,12,4,"01/31/2016, 05:00",Pool C
pool,Pool D
Notre Dame,Mississippi State,10,12,"01/30/2016, 08:00",Pool D
Alabama,Clemson,10,7,"01/30/2016, 09:45",Pool D
Clemson,Mississippi State,5,9,"01/30/2016, 11:30",Pool D
Notre Dame,Clemson,13,8,"01/30/2016, 13:15",Pool D
Alabama,Mississippi State,6,9,"01/30/2016, 13:15",Pool D
Notre Dame,Alabama,8,10,"01/30/2016, 15:00",Pool D
Kentucky,Clemson,9,13,"01/30/2016, 22:00",Pool D
Notre Dame,Kentucky,13,2,"01/30/2016, 23:45",Pool D
Alabama,Kentucky,13,6,"01/31/2016, 01:30",Pool D
Kentucky,Mississippi State,7,11,"01/31/2016, 05:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Florida,Auburn,15,8,"01/31/2016, 14:00",Championship
Florida,Georgia Tech,15,10,"01/31/2016, 12:00",Semifinals
LSU,Auburn,14,15,"01/31/2016, 12:00",Semifinals
Florida,Purdue,14,12,"01/31/2016, 10:00",Quarterfinals
Mississippi State,Georgia Tech,9,15,"01/31/2016, 10:00",Quarterfinals
Indiana Wesleyan,LSU,9,13,"01/31/2016, 17:00",Quarterfinals
Arkansas,Auburn,12,14,"01/31/2016, 10:00",Quarterfinals
Alabama-Birmingham,Purdue,5,15,"01/31/2016, 08:00",Pre-Quarters
Indiana,Georgia Tech,14,15,"01/31/2016, 08:00",Pre-Quarters
Indiana Wesleyan,Alabama,15,8,"01/31/2016, 15:00",Pre-Quarters
Arkansas,Notre Dame,15,7,"01/31/2016, 08:00",Pre-Quarters
bracket,5th Place Bracket
Purdue,Arkansas,11,10,"01/31/2016, 14:00",5th Place
Purdue,Mississippi State,11,9,"01/31/2016, 12:00",Round 1
Indiana Wesleyan,Arkansas,5,13,"01/31/2016, 19:00",Round 1
bracket,3rd Place Game
Georgia Tech,LSU,10,8,"01/31/2016, 14:00",3rd Place
bracket,7th Place Game
Mississippi State,Indiana Wesleyan,15,8,"01/31/2016, 21:00",7th Place
bracket,9th Place Bracket
Notre Dame,Alabama-Birmingham,13,9,"01/31/2016, 12:00",9th Place
Alabama,Notre Dame,6,15,"01/31/2016, 10:00",Round 1
Alabama-Birmingham,Indiana,15,10,"01/31/2016, 10:00",Round 1
bracket,11th Place Game
Alabama,Indiana,9,11,"01/31/2016, 12:00",11th Place
bracket,17th Place Bracket
Emory,Alabama-Huntsville,0,1,"02/01/2016, 02:00",17th Place
Emory,Kentucky,15,9,"01/31/2016, 07:00",Round 1
bracket,19th Place Game
bracket,15th Place Game
Xavier,Tennessee-Chattanooga,6,11,"02/01/2016, 02:00",15th Place
bracket,13th Place Bracket
Georgia Southern,Clemson,7,11,"01/31/2016, 12:00",13th Place
Georgia Southern,Tennessee-Chattanooga,15,14,"02/01/2016, 00:00",Round Name
Xavier,Clemson,3,15,"01/31/2016, 10:00",Round Name
Georgia Southern,Kentucky,15,5,"01/31/2016, 22:00",Round Name
Tennessee-Chattanooga,Emory,15,8,"02/01/2016, 05:00",Round Name
Xavier,Alabama-Huntsville,14,13,"01/31/2016, 08:00",Round Name
b,r,e,a,k
