Great Lakes D-I College Men's Regionals,College - Men ,30,4,2016
https://play.usaultimate.org/events/Great-Lakes-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Michigan,1
22,Kord Champley
23,Dyllan Williams
24,Cobi Christiansen
32,Job Runge
44,Jack Hockenberry
51,Nathan Page
60,RYAN KALLAS
69,Chas Cox
b,r,e,a,k
Michigan State,7
00,Patric LaJoye
00,DEREK KEIGHTLY
00,Nicolas Theisen
00,Brandon Lin
00,Ashton Hoffman
00,Ryan Nussdorfer
00,Daniel Stephens
00,David Vanderzee
00,Blake Seippel
00,Ryan Yergin
00,BRIAN BROWN
00,Patrick Sharp
00,Daniel Brown
00,Jake Blankemeier
00,Matthew Goeman
00,MATTHEW KAPLAN
12,Kyle Nussdorfer
14,Jay Andreani
37,EITAN SPIVAK
39,BRIAN WYSS
42,Mohamadou Diatta
82,Kevin Kern
90,Michael Giles
b,r,e,a,k
Grand Valley State,14
0,Christopher Kisner
01,Mason Paul
02,Justin Perticone
03,Logan Bollaert
05,Jon Bale
06,Keegan Zemper
07,Jeremy Pigula
09,John Akers
10,Matthew Nelson
11,Robert Decook
13,Ben Magro
15,Adam Heiss
16,Neson Nesmith
17,Connor Lukas
20,Zach Jawahir
22,ANDREW WADAGA
62,Matt Laylin
69,Ryan Muliett
88,Mark Whitton
96,Phillip Zauel
97,Jason Sharnas 
98,Michael Durand
b,r,e,a,k
Notre Dame,3
1,Charles Grunhard
2,Charles Labuz
4,Sean Brady
5,Benjamin Israel
7,Luke Brennan
10,William OBrien
11,Jacob Scobey-Polacheck
12,Robert Stiller
14,Andrew McNally
20,Patrick McMahon
22,Sean Gaouette
34,Collin Klenke
37,Daniel Fitzgerald
38,Samuel DeTrempe
44,Daniel Verzuh
48,Luke Shanahan
51,MATTHEW FARRELL
63,Kel  Beatty
64,John Szigety
72,Joseph Norby
73,PATRICK HANSEN
74,JONATHAN CERNANEC
75,Jeremy Doyle
87,Steven Campillo
88,Franklin Mejia
b,r,e,a,k
Illinois,6
0,MARK PETERSON
0,Josh Deeman
0,Ryan Kantor
0,Ben Foster
0,ZI YANG KAN
0,Tung Shu Chu
0,Devin Kelly
0,Johnny Saniat
0,PRAYAG  PATEL
0,MICHAEL COSMOS
0,ALEX GUY
0,Jacob Trueb
0,Robert Gazdziak
0,Jacob  Cuthbert
1,NICK PROZOROVSKY
2,Ben Sabourin
3,Cody Gray
4,Tat Shing Thum
19,Jacob Komenda
21,Jarred Elliott
23,Hector Moreno
27,Wilson Wang
37,Walter Jaskowiak
81,Chris Buchta
97,Kevin Lin
b,r,e,a,k
Indiana,10
00,Jackson Sills
00,Kip Curtis
00,Paul Bean
00,David Wang
00,Joshua Duncan
00,Rollen Dice
00,Carlton Anker
00,MARK YELLON
00,Steven Anderson
00,Charles Lowe
00,Zephyr Wenrich
00,Nathan Roush
00,Matthew Nadler
00,Eric Hannan
00,Forrest Levy
00,Daniel Sullivan
00,William Kasprzycki
00,Adrian Golay
00,Clark Barco
00,Benjamin Gerroll
00,Adam Schobinger
00,Robert Woodcock
04,Ryan Opal
05,Connor Regan
11,MACKENZIE CONRAD
13,JAKE FRIEDLY
b,r,e,a,k
Kentucky,15
0,Brandon Guyton
0,Tim Watson
0,Kaleb Fields
0,Jay White
0,Cory Radcliff
0,Gaelen Athanaze
0,ROBERT GAGALA
0,Charles Voorhees
0,STEPHEN CHAN
0,Austin Edwards
1,Adam Houk
3,Kyle Anderson
5,Jeremy Staab
7,Robert Larson
11,Christopher Empie
17,Sean Shields
19,Stephen Hendrickson
27,Jacob Royster
31,Jackson Bell
69,Logan Graham
92,Matthew Cook
94,Austin Obenauf
b,r,e,a,k
Northwestern,4
02,Benjamin Spielman
03,Joe Harari
07,Sahaj Kumar
08,Elliott Siu
09,Michael Hamburger
10,Matthew Niemer
11,Jeffrey Holm
12,Kyle Rutledge
13,Jeremy Piech
17,Nathan Yeazel
20,Jay Valdillez
24,Kedric Daly
25,Jonathan Piech
27,Edward Speyer
29,Michael Koho
31,Christopher Pierce
33,Jakub Jezusek
34,John Lanuti
36,Will Frolich
39,Alex Lin
41,Christian Rozolis
42,Henry Richey
57,Bif Reiser
90,Kyle Condron
b,r,e,a,k
Chicago,5
0,Kenneth Debacker
0,Jeffrey Weis
0,Ryan Thiermann
0,Will Clay
0,Willem Longendyke
0,David Ran
2,MAX BLUESTONE
7,MICHAEL LIU
9,Eli Cohen
9,Zachary Schuyler
06,Judah Newman
10,Jeff Zhao
24,Michael Pardo
30,Nicholas McDonnell
31,MATTHEW CARTIER
32,Sean McSweeney
34,ABHISAAR YADAV
36,Percy Stogdon
40,Anthony Davis
49,Cameron Menezes
63,Jason  Vallee
b,r,e,a,k
Michigan (B),9
0,ALEC LYBIK
0,Anton Loukianov
0,Ben Gould
9,Peter Sonnega
13,Benjamin Bielajew
16,Bradley Nelson
18,David Innis
19,JOSEPH MONDRAGON
22,Colin Case
24,Christopher Bauer
31,Thomas Haley
32,Wills  Weimer
37,MATT HECKER
42,Ben Sadis
44,Bryant Vergara
49,Adam Assink
54,Alexander Wang
55,Michael Digiovanni
58,Aaron Parsons
61,Ryan Fattal
67,Anton Yang
69,Joris von Moltke
71,Carson Boden
72,Paul Vander
81,Cameron Beversluis
86,Felix Zhu
91,Nicholas Simopoulos
95,Michael Vizzini
96,Alan Xu
99,Sean Lang
b,r,e,a,k
Louisville,16
0,Sage Morrison
0,JEREMY DORNING
0,Cameron Blankenbuehler
0,kevin seo
0,Joshua McHargue
0,Connor Mitchell
0,Trevor Gingrich
0,Kianna Johnson
0,Tess McGrew
0,Xavier Payne
0,Elizabeth Schaaf
0,Kevin Carrico
3,Raymond Palazzo
5,Adam Holstein-Seibert
7,Benjamin Petrey
8,Conor King
42,Connor Jackson
88,Caleb Combs
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Michigan,Loyola-Chicago,13,4,"04/30/2016, 09:00",Pool A
Illinois State,Ball State,11,7,"04/30/2016, 09:00",Pool A
Michigan,Ball State,13,3,"04/30/2016, 10:40",Pool A
Illinois State,Loyola-Chicago,9,10,"04/30/2016, 10:40",Pool A
Michigan,Illinois State,13,9,"04/30/2016, 12:20",Pool A
Loyola-Chicago,Ball State,11,8,"04/30/2016, 12:20",Pool A
pool,Pool B
Purdue,Eastern Illinois,11,9,"04/30/2016, 09:00",Pool B
Michigan State,Grand Valley State,10,9,"04/30/2016, 09:00",Pool B
Purdue,Grand Valley State,13,7,"04/30/2016, 10:40",Pool B
Michigan State,Eastern Illinois,7,13,"04/30/2016, 10:40",Pool B
Purdue,Michigan State,13,2,"04/30/2016, 12:20",Pool B
Eastern Illinois,Grand Valley State,13,6,"04/30/2016, 12:20",Pool B
pool,Pool C
Notre Dame,Indiana,10,3,"04/30/2016, 09:00",Pool C
Illinois,Kentucky,13,6,"04/30/2016, 09:00",Pool C
Notre Dame,Kentucky,13,3,"04/30/2016, 10:40",Pool C
Illinois,Indiana,13,6,"04/30/2016, 10:40",Pool C
Notre Dame,Illinois,10,9,"04/30/2016, 12:20",Pool C
Indiana,Kentucky,7,4,"04/30/2016, 12:20",Pool C
pool,Pool D
Northwestern,Michigan (B),13,5,"04/30/2016, 09:00",Pool D
Chicago,Louisville,9,8,"04/30/2016, 09:00",Pool D
Northwestern,Louisville,13,3,"04/30/2016, 10:40",Pool D
Chicago,Michigan (B),13,3,"04/30/2016, 10:40",Pool D
Northwestern,Chicago,12,11,"04/30/2016, 12:20",Pool D
Michigan (B),Louisville,10,9,"04/30/2016, 12:20",Pool D
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
Michigan,Notre Dame,15,9,"05/01/2016, 13:00",1st Place Finals
Michigan,Illinois,15,10,"05/01/2016, 11:00",1st Place Semis
Notre Dame,Purdue,16,15,"05/01/2016, 11:00",1st Place Semis
Michigan,Indiana,15,7,"05/01/2016, 09:00",1st Place Quarters
Northwestern,Illinois,11,12,"05/01/2016, 09:00",1st Place Quarters
Notre Dame,Chicago,14,11,"05/01/2016, 09:00",1st Place Quarters
Purdue,Loyola-Chicago,15,7,"05/01/2016, 09:00",1st Place Quarters
Eastern Illinois,Indiana,6,8,"04/30/2016, 14:10",1st Place Prequarters
Illinois,Michigan State,13,5,"04/30/2016, 14:10",1st Place Prequarters
Illinois State,Chicago,10,15,"04/30/2016, 14:00",1st Place Prequarters
Michigan (B),Loyola-Chicago,12,14,"04/30/2016, 14:00",1st Place Prequarters
bracket,3rd Place
Illinois,Purdue,11,10,"05/01/2016, 13:00",3rd Place
bracket,5th Place
Chicago,Northwestern,5,11,"05/01/2016, 13:00",5th Place Final
Indiana,Chicago,9,12,"05/01/2016, 11:00",5th Place Semis
Northwestern,Loyola-Chicago,15,13,"05/01/2016, 11:00",5th Place Semis
bracket,7th Place
Indiana,Loyola-Chicago,13,7,"05/01/2016, 13:00",7th Place
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
Illinois State,Michigan State,13,9,"05/01/2016, 11:00",9th Place Finals
Eastern Illinois,Illinois State,13,15,"05/01/2016, 09:00",9th Place Semis
Michigan State,Michigan (B),15,8,"05/01/2016, 09:00",9th Place Semis
bracket,11th Place
Eastern Illinois,Michigan (B),12,15,"05/01/2016, 11:00",11th Place
b,r,e,a,k
brackets,Bronze Bracket
bracket,13th Place
Ball State,Grand Valley State,4,15,"05/01/2016, 11:00",13th Place Finals
Ball State,Louisville,15,14,"05/01/2016, 09:00",13th Place Semis
Grand Valley State,Kentucky,15,9,"05/01/2016, 09:00",13th Place Semis
bracket,15th Place
Louisville,Kentucky,6,14,"05/01/2016, 11:00",15th Place
b,r,e,a,k
