Big D in Little d 2016,College - Men ,30,1,2016
Denton,TX,2016-01-30,2016-01-31
https://play.usaultimate.org/events/Big-D-in-Little-d-2016/schedule/Men/CollegeMen/
Texas Christian,1
9,Ben Giles
10,Ryan Smeltzer
11,Matthew Sutton
21,Alexander Brouwer
25,Austin Hangebrauck
28,MATT RINN
41,Austin Workman
82,Baylor Bresemann
91,David Roper
b,r,e,a,k
Central Arkansas,10
0,Jordan Bingham
0,Garrett Brown
0,Dylan Green
0,LAKE HOLLOWELL
1,CHRISTIAN BIGGS
3,Eriq Deaver
11,Frank Macon
15,Dustin Leigh
22,Daniel Toomer
33,Raymond Graham
51,Will Tucker
b,r,e,a,k
Kansas State,7
0,Erick  Neilson
0,Darien Parr
0,Spencer Roberts
0,Ryan Irvin
0,Cole Muse
0,Brett Dare
10,Sam Nichols
19,Branden Schneider
59,John Wildman
88,Matthew Price
b,r,e,a,k
Southern Methodist,18
0,Travis Siems
0,Jena Douville
0,David Palumbo
0,Drew Schindler
01,Joseph Lee Bruno
02,Bryant  Lowry
03,Dillon Cox
05,Tristan Sandor
12,Kyle Turner
14,Reed Altorfer
15,Benjamin Horton
17,Johnathan Barr
19,Tyler Shulman
27,Alex  Roman
37,Clayton Moore
42,Alec Siems
50,Brandon Guerra
69,Nick Hoffmann
88,Karl Juhnke
b,r,e,a,k
Arkansas (B),23
0,Jeffrey Bishop
0,Ethan Werkmeister
0,Austin Bryant
0,Drake Jackson
0,Eric Wiskur
0,Michael Dasso
0,Skylar Watson
0,Keith Urbanski
0,Ryan Richardson
0,Slaton Guy
11,Trent Woessner
14,Bradley Stalder
24,Ryland Arnold
25,Collin Walbe
31,Gardner Beaulieu
50,CHARLIE ADAMS
81,Jeremy Steuart
96,Nicholas Hamblen
b,r,e,a,k
Rice,6
0,Connor Stuart-Paul
0,David Lam
0,Avery Zaleski
0,Jack Kaplan
0,Ronen Wdowinski
0,Nicholas Leisle
0,JAMES KITTLEMAN
0,ELI BADGIO
0,Linden Shih
0,JUNY CHO
0,Charles Grimes
0,Patrick Kelly
0,Johnny Frohlichstein
3,Abhijit  Brahme 
3,Brian Walker
4,Austin Benavides
6,Alexander Heath
12,Dillan Prince
13,Alexander Jiang
19,Andrew Marshall
21,Sam Burke
42,JAMES BELLAH
b,r,e,a,k
North Texas,14
00,BRIAN TU
01,Evan Garner
06,Aramis Dixon
07,DOUGLAS FENDERSON
08,David Lowell
10,Johnathan Kirtland
11,Eian Brent
13,Andy Evans
14,BRANDON LOCKLEAR
15,Louis Gingras
19,Corrie williams
20,VICTOR LINEROS
25,Stewart Williamson
28,Cameron Young
46,Jonathan Lawrence
66,Ruben Paquian
69,Slayter Marwitz
77,Ian Ambrose
b,r,e,a,k
Ohio Wesleyan,11
0,Nicholas Melvin
0,Matthew Yung
0,Armando Polizzi
01,Kyle Murray
02,Steven  Mora 
04,Alec Martin
07,Gabe Kaufman
12,WILLIAM MILANICK
13,COLBREN TROGSTAD-ISAACSON
17,TAD BUSTIN
22,Alec Weyneth
24,Sam Schurer
28,Joshua Martineau
32,Zachary Hill
42,Espen Stalder
b,r,e,a,k
Texas State,3
00,Blake Hillier
01,Garrett Gonzales
03,Alexander Polasek
04,Trenton Hebert
05,GILBERTO FERREIRA
06,Joseph Feeney
07,Cole Lamkins
09,Jacob Solfronk
10,Austin Elms
13,James Washburn
14,Ben Arnecke
15,James Sims
16,Travis Musgrove
17,Brandon Robinson
22,Stephen Blevins
23,Jonathan (Johnny) Russell
25,Robert Hausmann
30,Kris Schneider
42,Matthew Mills
44,David Haeussler
45,MITCHELL SANDERSON
47,Manuel Arche-Pagan
50,Michael Racz
69,Cole Smith
88,ROSS HOLTKAMP
91,Ethan Troxell
92,john zavala
96,Joey Kincaid
99,Joseph Smith
b,r,e,a,k
Dallas,19
09,Thomas Crawford
11,Sean Mangan
12,DAVID FLYNN
17,Philip Lenzen
20,Adam Brill
22,Kevin Key
23,John Stein
25,Holden Berg
29,Jacob Owens
34,COLIN MCNAMARA
39,Connor McNamara
b,r,e,a,k
Texas Christian (B),22
0,Curtis Hansen
0,Timothy Martin
0,Caleb Dena
0,JACK HERR
0,William Baledge
0,Andrew Fletcher
0,Ryan Szabo
0,Zach Hoepfl
27,Daniel Hooks
33,ROBERT WOOD
34,Caleb Ellison
56,Ryan McLoughlin
b,r,e,a,k
John Brown,4
00,Spencer Patterson
00,James Deer
00,Josiah Johnson
00,Mitchell Guthrie
00,Austin Rider
00,Anson Stoller
00,Drew Fain
00,Thomas Friesen
00,Parker Gulbranson
02,Ryan Gulbranson
13,Bradley Herschend
14,Ethan Penner
15,Grant Bruner
18,Brendan Culp
19,Ethan Bolthouse
20,Aric Powers
33,Jonathan Rothfus
66,Mark Belvardi
81,Jacob Hash
b,r,e,a,k
Texas-Arlington,13
0,Greg Loftis
9,Matthew Muir
02,Arshad Mustafaa
04,Jonathan Conway
06,brady reeder
10,Connor Landwehr
11,cole oyer
12,DOUGLAS HAWTHORNE
13,Nathanael Summers
15,Frederick Christen
17,Darren Phillips
21,John Cruz
23,Asher Frailey
27,Andrew Fowler
28,Nathan Dayvault
32,Ryan Buckingham
47,CRUZ SALINAS
60,Joe Sobansky
73,Vu Tran
77,Matthew McCormick
88,Andrew Harris
89,Jake Floyd
91,Tony Sanchez
b,r,e,a,k
Oklahoma,5
04,Ryan Kyle
06,Jacob Barlowe
07,Logan Allen
09,Harper Stanfield
12,"Sam ""Suds"" Ward"
13,Kai Marshall
13,Cameron Guidry
14,Nathaniel Loyd
16,Andrew Seldenrust
26,NATHAN SCOTT
33,Adam Pollock
36,Christopher Leonard
38,Alex Mudd
44,Dillon Bruer
61,Stephen Wilson
67,Nathan Richbourg
69,Nicholas Estes
98,Cameron Bock
99,Wesley Zhang
b,r,e,a,k
Texas (B),12
0,Eric Wise
0,DANIEL SMARDA
0,Jarred Canning
0,ISAAC KRAVITZ
0,Zain Asher
0,Albert Lee
0,ALEX DEXTER
0,John Jacobs
00,Kyle Aisenbrey
11,Reese Bowman
14,Mutahir Ahmad
16,James Driver
17,Mitchell Roberts
20,Henry Furuta
21,Mahid  Aulakh
24,Brian Gfroerer
28,justin lam
32,Siddharth Kurwa
33,Kaan Demirbas
b,r,e,a,k
Texas A&M (Commerce),20
00,Jackson Dailey
03,Ben Underbrink
04,Tucker Simms
05,Ridgeway Hale
06,Brendan Pace
07,Drew McCullough
08,Nathaniel Holcomb
09,Johnson Andre
10,Clay Gibson
13,ANNA REHFUSS
14,Nicole Glenn
15,Melissa Roszhart
24,Ian Dittmar
27,Christopher Hazlett
42,Dacota Fernandez
70,Clint Blackwell
81,Lincoln Andre
b,r,e,a,k
North Texas (B),21
0,Justin England
0,Ian Zurutuza 
0,KYLE  DAVIS
0,Ricardo Vela
0,Justin Smith
0,Jorge Gallegos
0,Kenneth Cole
0,Markus Smith
9,Benjamin Meaders
11,Landon Hoover
15,Corey Gendron
17,Matt Klespis
55,Jacob Hanson
90,Myles Ochoa
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Texas Tech,Tulsa,13,9,"01/30/2016, 08:00",Pool A,Final
Harding,Tulsa,10,8,"01/30/2016, 09:30",Pool A,Final
Texas Christian,Harding,13,5,"01/30/2016, 11:00",Pool A,Final
Harding,Texas Tech,3,13,"01/30/2016, 12:30",Pool A,Final
Texas Christian,Tulsa,13,0,"01/30/2016, 12:30",Pool A,Final
Texas Christian,Texas Tech,13,8,"01/30/2016, 14:00",Pool A,Final
Texas Christian,Oklahoma State,13,8,"01/30/2016, 15:00",Pool A,Final
Harding,Oklahoma (B),11,7,"01/30/2016, 15:00",Pool A,Final
Texas Christian,Oklahoma (B),13,2,"01/30/2016, 16:30",Pool A,Final
Oklahoma State,Texas Tech,10,12,"01/30/2016, 16:30",Pool A,Final
Oklahoma State,Tulsa,13,8,"01/30/2016, 18:00",Pool A,Final
Texas Tech,Oklahoma (B),13,2,"01/30/2016, 18:00",Pool A,Final
Tulsa,Oklahoma (B),13,5,"01/30/2016, 21:00",Pool A,Final
Oklahoma State,Harding,10,12,"01/30/2016, 21:00",Pool A,Final
Oklahoma State,Oklahoma (B),13,4,"01/31/2016, 02:30",Pool A,Final
pool,Pool B
Baylor,Kansas State,13,2,"01/30/2016, 08:00",Pool B,Final
Texas-Dallas,Southern Methodist,10,5,"01/30/2016, 08:00",Pool B,Final
Baylor,Arkansas (B),13,1,"01/30/2016, 09:30",Pool B,Final
Kansas State,Texas-Dallas,6,11,"01/30/2016, 09:30",Pool B,Final
Kansas State,Southern Methodist,12,5,"01/30/2016, 11:00",Pool B,Final
Texas-Dallas,Arkansas (B),13,5,"01/30/2016, 11:00",Pool B,Final
Kansas State,Arkansas (B),12,5,"01/30/2016, 12:30",Pool B,Final
Baylor,Southern Methodist,12,4,"01/30/2016, 12:30",Pool B,Final
Southern Methodist,Arkansas (B),10,8,"01/30/2016, 14:00",Pool B,Final
Baylor,Texas-Dallas,7,10,"01/30/2016, 14:00",Pool B,Final
Central Arkansas,Arkansas (B),13,1,"01/30/2016, 22:00",Pool B,Final
Central Arkansas,Southern Methodist,13,5,"01/30/2016, 23:30",Pool B,Final
Baylor,Central Arkansas,13,3,"01/31/2016, 01:00",Pool B,Final
Central Arkansas,Texas-Dallas,6,13,"01/31/2016, 02:30",Pool B,Final
Kansas State,Central Arkansas,9,11,"01/31/2016, 04:00",Pool B,Final
pool,Pool C
Ohio Wesleyan,Texas Christian (B),13,6,"01/30/2016, 08:00",Pool C,Final
Ohio Wesleyan,Dallas,11,6,"01/30/2016, 09:40",Pool C,Final
Rice,Dallas,13,5,"01/30/2016, 11:20",Pool C,Final
Rice,Texas Christian (B),13,2,"01/30/2016, 13:00",Pool C,Final
Dallas,Texas Christian (B),9,6,"01/30/2016, 14:40",Pool C,Final
Rice,Ohio Wesleyan,13,5,"01/30/2016, 14:40",Pool C,Final
Texas State,Rice,9,11,"01/30/2016, 15:00",Pool C,Final
North Texas,Dallas,13,8,"01/30/2016, 15:00",Pool C,Final
Texas State,Texas Christian (B),9,7,"01/30/2016, 16:40",Pool C,Final
Rice,North Texas,12,10,"01/30/2016, 16:40",Pool C,Final
Texas State,Ohio Wesleyan,10,13,"01/30/2016, 18:20",Pool C,Final
North Texas,Texas Christian (B),13,0,"01/30/2016, 18:20",Pool C,Final
Ohio Wesleyan,North Texas,8,9,"01/30/2016, 20:00",Pool C,Final
Texas State,Dallas,8,4,"01/30/2016, 20:00",Pool C,Final
Texas State,North Texas,8,13,"01/31/2016, 04:40",Pool C,Final
pool,Pool D
John Brown,Oklahoma,13,5,"01/30/2016, 08:00",Pool D,Final
Texas (B),Texas A&M (Commerce),9,8,"01/30/2016, 09:30",Pool D,Final
John Brown,Texas (B),12,1,"01/30/2016, 11:00",Pool D,Final
Oklahoma,Texas A&M (Commerce),12,4,"01/30/2016, 11:00",Pool D,Final
John Brown,Texas A&M (Commerce),13,6,"01/30/2016, 12:30",Pool D,Final
Oklahoma,Texas (B),W,L,"01/30/2016, 14:00",Pool D,Final
Texas-Arlington,Texas A&M (Commerce),13,3,"01/30/2016, 15:00",Pool D,Final
Texas (B),North Texas (B),13,2,"01/30/2016, 15:00",Pool D,Final
John Brown,North Texas (B),13,0,"01/30/2016, 16:30",Pool D,Final
Oklahoma,Texas-Arlington,10,11,"01/30/2016, 16:30",Pool D,Final
Texas (B),Texas-Arlington,6,11,"01/30/2016, 19:30",Pool D,Final
Oklahoma,North Texas (B),W,L,"01/30/2016, 19:30",Pool D,Final
Texas A&M (Commerce),North Texas (B),13,4,"01/30/2016, 21:00",Pool D,Final
John Brown,Texas-Arlington,13,5,"01/30/2016, 21:00",Pool D,Final
Texas-Arlington,North Texas (B),13,4,"01/31/2016, 01:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Texas Christian,Oklahoma,15,5,"01/31/2016, 14:00",Finals,Final
Texas Christian,John Brown,15,9,"01/31/2016, 12:00",Semi-Finals,Final
Rice,Oklahoma,13,15,"01/31/2016, 12:00",Semi-Finals,Final
Texas Christian,Texas-Arlington,12,8,"01/31/2016, 17:00",Quarter-Finals,Final
Baylor,John Brown,10,11,"01/31/2016, 10:00",Quarter-Finals,Final
Rice,Texas Tech,14,12,"01/31/2016, 10:00",Quarter-Finals,Final
Oklahoma,Texas-Dallas,12,11,"01/31/2016, 10:00",Quarter-Finals,Final
Texas Christian,Kansas State,15,3,"01/31/2016, 08:00",Pre-Quarters,Final
Texas-Arlington,Ohio Wesleyan,13,11,"01/31/2016, 15:00",Pre-Quarters,Final
Baylor,Harding,15,11,"01/31/2016, 08:00",Pre-Quarters,Final
John Brown,Texas State,15,9,"01/31/2016, 15:00",Pre-Quarters,Final
Rice,Texas (B),15,4,"01/31/2016, 08:00",Pre-Quarters,Final
Texas Tech,Central Arkansas,15,6,"01/31/2016, 22:00",Pre-Quarters,Final
North Texas,Oklahoma,5,13,"01/31/2016, 15:00",Pre-Quarters,Final
Texas-Dallas,Oklahoma State,15,8,"01/31/2016, 15:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place
John Brown,Rice,0,0,"01/31/2016, 14:00",3rd Place Game,Cancelled
b,r,e,a,k
brackets,Bracket Play
bracket,5th Place
Baylor,Texas Tech,13,14,"01/31/2016, 14:00",5th Place Game,Final
Texas-Arlington,Baylor,0,1,"01/31/2016, 19:00",5th Place Semi-Finals,Final
Texas Tech,Texas-Dallas,15,8,"01/31/2016, 12:00",5th Place Semi-Finals,Final
b,r,e,a,k
brackets,Bracket Play
bracket,7th Place
Texas-Arlington,Texas-Dallas,7,15,"01/31/2016, 21:00",7th Place Game,Final
b,r,e,a,k
brackets,Bracket Play
bracket,9th Place
Harding,Oklahoma State,13,14,"01/31/2016, 21:00",9th Place Game,Final
Kansas State,Harding,7,11,"01/31/2016, 12:00",9th Place Semi-Finals,Final
Texas (B),Oklahoma State,0,15,"01/31/2016, 19:00",9th Place Semi-Finals,Final
Kansas State,Ohio Wesleyan,11,10,"01/31/2016, 10:00",9th Place Quarter-Finals,Final
Harding,Texas State,10,7,"01/31/2016, 17:00",9th Place Quarter-Finals,Final
Texas (B),Central Arkansas,15,3,"02/01/2016, 00:00",9th Place Quarter-Finals,Final
North Texas,Oklahoma State,9,12,"02/01/2016, 00:00",9th Place Quarter-Finals,Final
b,r,e,a,k
brackets,Bracket Play
bracket,11th Place
Kansas State,Central Arkansas,15,7,"02/01/2016, 04:00",11th Place Game,Final
b,r,e,a,k
brackets,Bracket Play
bracket,13th Place
Ohio Wesleyan,North Texas,12,9,"01/31/2016, 21:00",13th Place Game,Final
Ohio Wesleyan,Texas State,11,8,"01/31/2016, 19:00",13th Place Semi-Finals,Final
Central Arkansas,North Texas,0,12,"02/01/2016, 02:00",13th Place Semi-Finals,Final
b,r,e,a,k
brackets,Bracket Play
bracket,15th Place
Texas State,Texas (B),2,8,"01/31/2016, 21:00",15th Place Game,Final
b,r,e,a,k
brackets,Bracket Play
bracket,17th Place
Tulsa,Texas A&M (Commerce),15,8,"01/31/2016, 12:00",17th Place Game,Final
Tulsa,Dallas,14,13,"01/31/2016, 10:00",17th Place Semi-FInals,Final
Southern Methodist,Texas A&M (Commerce),9,13,"01/31/2016, 10:00",17th Place Semi-FInals,Final
Tulsa,Arkansas (B),15,8,"01/31/2016, 08:00",17th Place Quarter-Finals,Final
Dallas,North Texas (B),15,4,"01/31/2016, 15:00",17th Place Quarter-Finals,Final
Southern Methodist,Oklahoma (B),15,10,"01/31/2016, 15:00",17th Place Quarter-Finals,Final
Texas A&M (Commerce),Texas Christian (B),15,5,"01/31/2016, 08:00",17th Place Quarter-Finals,Final
b,r,e,a,k
brackets,Bracket Play
bracket,19th Place
Dallas,Southern Methodist,7,15,"01/31/2016, 12:00",19th Place Game,Final
b,r,e,a,k
brackets,Bracket Play
bracket,21st Place
Arkansas (B),Texas Christian (B),8,7,"01/31/2016, 12:00",21st Place Game,Final
Arkansas (B),North Texas (B),9,4,"01/31/2016, 17:00",21st Place Semi-Finals,Final
Oklahoma (B),Texas Christian (B),7,11,"01/31/2016, 17:00",21st Place Semi-Finals,Final
b,r,e,a,k
brackets,Bracket Play
bracket,23rd Place
North Texas (B),Oklahoma (B),0,0,"02/01/2016, 02:00",23rd Place Game,Cancelled
b,r,e,a,k
