Garden State 6,College - Women ,2,4,2016
Princeton,NJ,2016-04-02,2016-04-03
https://play.usaultimate.org/events/Garden-State-6/schedule/Women/CollegeWomen/
Vermont,1
27,Sophia Warne Rowe
69,Elena Garrido
81,Vanessa Fath
91,Stephanie Watson
b,r,e,a,k
West Chester,11
0,Shelby  McClay
0,Alicia Wagner
0,CLAUDIA GREEN
0,Rachel Alfano
0,Anna Dyska
0,Kelly Malkinski
0,Christina Burke
1,Sara Frank
2,Nayah Cruz
5,Lindsay McKenna
7,Danielle Byers
8,Liz Hart
11,Melissa Cantasano
12,Alexis Arbutina
13,Katherine Cryan
15,Mallory Drake
18,Kristen Henry
19,Courtney Potts
25,Francesca Crespo
27,Hannah Short
36,Rachel Crew
60,CHRISTINA LAMMEY
69,Ashley Cantasano
b,r,e,a,k
Connecticut,3
2,Ariel Virgulto
3,Claire Suits
6,Lindsey Bonitz
7,Shannon Hall
9,Anna Schofer
11,Nora Mitchell
12,Montana Bertoli
13,Marissa Aldieri
14,Marissa Amichetti
17,Elizabeth Bamford
18,Cassondra Hunter
19,Emily Giampaoli
20,Marissa Beggin
21,Maura Beggin
23,Zoe Kaplan
24,Stephanie Hubli
28,Sonya Haupt
29,Jacqueline Millisits
b,r,e,a,k
Haverford,6
0,Susan Kelly
0,Rosemary Cohen
0,Ana Daviduke
0,Larkin Johnson
0,Katharine Frank
2,Zoe Lewis
2,Faith Danglo
5,Paloma Paez-Coombe
7,Opal Bednarik
11,Rosemary Ventura
12,ELENA HARRISS-BAUER
18,Grace Thiele
22,Marilee Oldstone-Moore
23,Madeleine Durante
24,Madison Tillman
25,Nava Kidon
26,Adriana Cvitkovic
32,Molly Strange
69,Theresa Diffendal
71,Audra Devoto
b,r,e,a,k
Dickinson,19
0,Emily Smith
0,Emma Lynch
0,Cora  Swanson
0,Jessica Huang
0,LINDA GENSER
0,Sarah Sloan
0,Cecilie Macpherson
0,Zoe Rollenhagen
0,Emily Grimes
0,Olivia Boggiano-Peterson 
4,Justine Cenzer
18,Kayla Simpson
b,r,e,a,k
Hofstra,14
3,Bridget Weston
7,Mary McFarlin
13,MADI SCHEFFER
15,LAUREN CURLETT
18,Pauline Seibert
19,Kelsey Kresge
21,Carolina Carrera
22,Sarah Terpning
24,Maureen Oliva
28,Margaret Cinicola
43,Kellie O'Brien
47,Miranda Pasquarella
73,Caitlin McCarthy
77,ERIN HADDEN
99,Emily Meredith
b,r,e,a,k
Wesleyan,20
0,Eileen Connor
0,Sage Loomis
0,Emily Weinstock-Collins
0,Lily Gould
0,Laura  Bither
0,Kathryn Wheeler
0,Amabel Jeon
0,Tessa Hill
0,OONA WALLACE
0,LUCY SALWEN
3,Chi Chi Wakabayashi
b,r,e,a,k
SUNY-Binghamton,4
0,Kerianne Coulon
0,Cassandra Silano
0,Danica Vasa
0,Allison Geismar
0,Kimberly Lato
0,Jamie Hong
0,Kylie McClay
0,Christina McGovern
0,ALISON ROMAN
0,Danielle Moraski
24,Zuzanna Rybicka
b,r,e,a,k
Messiah,5
0,Olivia Mingora
3,Anna McKay
7,Molly Dempsey
8,Phoebe Chua
9,Janelle Myers
10,Deborah Ting
13,Olivia Tamm
15,Ashley Hah
16,Z-Ean Chung
17,Alisha Li
21,Tjia Ern Lau
22,Nicole Singiser
26,Angela Martin
28,Meagan McIlhenny
33,Aimee Hudson
b,r,e,a,k
Lehigh,13
0,Jeanne Espourteille
0,Marissa Cannon
0,Madison Cannon
0,Dana Waxenberg
2,Elizabeth Archibald
3,JENNA SMALLEY
7,Juliet Chung
11,Rebecca Woods
12,Emily Sechrist
19,Erin Barclay
20,Brianne Barker
21,ISABELLE MINDEL
21,Lindsay Levin
23,Diana Yeh
27,Emily Wilkinson
31,Meredith Hoo
32,Taylor Stewart
48,CHRISTINA DINAPOLI
52,Bess Lorman
70,Tamara Hass
72,Lorraine Carnes
97,Kelly Skewis
b,r,e,a,k
SUNY-Stony Brook,12
0,Kaitlin Bristol
0,Nicolle Navaretta
0,Allison Dowling
0,Nicole Coveny
03,Brigett Echeverria
17,Whitney McCarthy
19,Caitlin (Katie) Heinlein
23,Leanne Beyel
30,Jessica Jolley
56,Kelly Pabon
b,r,e,a,k
College of New Jersey,22
0,Alexa Anderson
0,Emma Califano
0,Jackie Kaletski
0,Adriana Mendizabal
0,Katie LaBarbera
0,Kaitlyn Njoroge
0,Julia Lekht
0,Anna Kellaher
0,ANNE VANCLEVE
0,Nina Mitarotondo
0,Jamie Lee
0,Nicole York
0,Michelle Silvestri
0,Rebecca Snyder
0,Karoline Perez
0,Alisha Basak
0,Alyssa Beier
7,DANIELLE DEGRAW
11,Alexa Jones
12,Cara Silvestri
14,Emily Schnorr
14,Nicole Petrillo
15,Miriam Meller
18,Nicole Montemarano
21,Elizabeth O'Grady
24,Sabrina Todaro
26,Sarah Clooney
b,r,e,a,k
Princeton (B),30
0,Susannah Crowell
0,Allyson Brown
0,Linhchi Nguyen
0,Anya Hargil
0,Caitlin Miller
0,Katherine Wojton
0,Helen Park
0,Lindsey Conlan
0,Lilly Quach
0,Gabriella Chu
0,Emily Tang
0,Nora Bradley
0,Andrea Ayala
0,Joyce Lee
0,Alexandria Bouchard
0,Kimberly Peterson
0,Iris Rukshin
0,Sonia Howlett
0,Pleasant Garner
15,Katherine Pizano
b,r,e,a,k
Wesleyan (B),27
0,YAEL DAVIDOV
0,Louisa Winchell
0,Kazumi Fish
0,Anastasiya Makarova
0,SARAH DOBROW
0,Eva Steinberg
0,Daphne Gampel
0,Joanna Krupp
0,Rebecca McCord
0,Eloise Seda
b,r,e,a,k
Colgate,23
01,Chloe Matonis
02,Rhys Webb
03,Megan Carney
04,Erin O'Connor
05,Mey McLean
06,Sydney Schultz
07,Katherine Epes
08,Julia Cooper
11,Skye Nieves
11,Sonya Dexter
12,Susie Waltz
13,Taylor Garry
b,r,e,a,k
Georgetown (B),26
6,Anushka Agarwal
13,EMILIE UHRHAMMER
14,Julia Dunne
15,Anamaria  Carrasco
16,Olivia Brooks
26,Abby Lindsay
27,Tatiana Lebreton
28,Phoebe Sauter
29,Noa Krakoff
30,Julia Hennrikus
33,MJ Kozak
36,Meredith Forsyth
40,Tara Smith
47,Katherine Burns
55,Paige Harouse
58,Katie Hyland
64,Maryellen Campbell
69,Giselle Wallace
70,Elizabeth Morris
88,Lucy  Kapples
92,Greer Richey
93,STEPH SZAKATS
94,Madeleine Augostini
99,CAROLINE SZAKATS
b,r,e,a,k
Rowan,31
0,Hannah Work
0,Julianne Smith
0,Carolyn Oxner
0,Ciara Moore
0,Kadie Carvin
0,Brittany  Ngo
0,Abigail Osborne
0,Rachael Haines
0,Melissa Glenn
0,Nora Buggy
0,Sam Brech
5,Alyssa van Doorn
11,Rachel Rivera
17,Emily Ilic
b,r,e,a,k
Brandeis,25
0,EMILY WEISFELD
0,Grace Barredo
0,Lucy Miller-Suchet
0,Tahlia Quartin
0,Pichya Nimit
0,Neena  Carr
0,Talia Zapinsky
0,Cristina Chen
0,Carly KleinStern
0,Georgia Nichols
0,Sophie Grutzner
3,Rochelle Fayngor
13,Emily Koleske
15,Becca Epstein
16,Leah Levine
18,Devin Feigelson
31,Sofia Lavrentyeva
66,Eliana Bernstein
b,r,e,a,k
Pennsbury High School (B),32
00,Alexa Sebastiano
00,Emily Bradbury
05,Olivia Alongi
08,Hailey  Gulich 
13,Allie Argenti 
18,Grace Pinkstone
19,Olivia Bradbury
23,Sara Kervick
27,Samantha Nelligan
33,Cameron Hickman
44,Aimee Snyder
54,Kira Crain
b,r,e,a,k
Villanova,24
0,Christina Wolken
0,JULIA BARNETT
0,Bridget Gile
0,Kaitlyn Murray
0,Katie Heroux
0,Ashley Seyfried
0,SAHER-ZAHRA KHAN
0,CAROLINE KEEFE
0,Alexandra Connors
0,Grace Horner
0,Julie Chen
1,Francesca Corna
12,Kristina Duarte
16,Chesla Sayers
b,r,e,a,k
Franklin & Marshall,21
0,Madison Moore
0,Maureen Walsh
0,Emily Brown
0,Gwendolyn Yale
0,Lindsay Williams
0,Lydia Storey
0,Elana Horowitz
0,Sara Katz
0,Misa Katagi
0,Yuxi Zhu
0,Canna Liu
0,Elisha Thomas
0,Alexis Larson
10,Phoebe Walsh
17,Julia Lake
19,Sally Wynn
22,Courtney Flynn
22,Lauren Matt
b,r,e,a,k
Pennsylvania (B),29
0,Luming Yang
0,Shiyi Fong
0,Guadalupe Ceja
0,Claire Shoyer
0,Naomi Kadish
0,Catherine Yarovoi
0,Jolie Gittleman
0,Melanie Murphy
0,Isabella Gong
0,Erica  Suarez
0,Jenny Zhang
0,Vidisha Srivastav
0,Weiwei Meng
0,Xinyi Chen
4,Marisa Reeves
16,Elizabeth Colletti
b,r,e,a,k
Connecticut (B),28
0,Hannah Bonitz
0,Zoe Smiarowski
0,Nidhi Patel
0,Katherine Kolc
0,Amy Wilichowski
00,Cassidy Cooley
01,Jessica Araujo
04,Michelle Costa
08,Jacqueline Wolff
09,Yutong Gao
10,Joann Duman
16,Marcela  Nelson
18,Shea Berry
22,Marisa Taliercio
25,Joanna Scuteri
27,Amy Heussinger
28,Sara Tiffany
31,Morgan Trefny
33,Caroline Kimball
36,Rebecca Hill
40,Emily Sweeney
41,Jenny Bottiglieri
42,Denese Samuels
75,Emily Karr
97,Laura Caserta
b,r,e,a,k
s,t,a,g,e,s
pools,Power
pool,Pool A
Vermont,Catholic,13,0,"04/02/2016, 10:00",Pool A,Final
Carnegie Mellon,American,5,9,"04/02/2016, 10:00",Pool A,Final
Vermont,Carnegie Mellon,13,5,"04/02/2016, 11:30",Pool A,Final
Temple,American,10,9,"04/02/2016, 11:30",Pool A,Final
American,Catholic,9,4,"04/02/2016, 13:00",Pool A,Final
Temple,Carnegie Mellon,9,7,"04/02/2016, 13:00",Pool A,Final
Vermont,American,11,5,"04/02/2016, 14:30",Pool A,Final
Temple,Catholic,11,6,"04/02/2016, 14:30",Pool A,Final
Vermont,Temple,10,4,"04/02/2016, 16:00",Pool A,Final
Carnegie Mellon,Catholic,4,6,"04/02/2016, 16:00",Pool A,Final
pool,Pool B
Maryland,Philadelphia,8,4,"04/02/2016, 10:00",Pool B,Final
Pennsylvania,Towson A,9,5,"04/02/2016, 10:00",Pool B,Final
Maryland,Pennsylvania,8,6,"04/02/2016, 11:30",Pool B,Final
Princeton,Towson A,6,10,"04/02/2016, 11:30",Pool B,Final
Towson A,Philadelphia,10,3,"04/02/2016, 13:00",Pool B,Final
Princeton,Pennsylvania,8,7,"04/02/2016, 13:00",Pool B,Final
Maryland,Towson A,9,10,"04/02/2016, 14:30",Pool B,Final
Princeton,Philadelphia,13,0,"04/02/2016, 14:30",Pool B,Final
Maryland,Princeton,7,8,"04/02/2016, 16:00",Pool B,Final
Pennsylvania,Philadelphia,13,2,"04/02/2016, 16:00",Pool B,Final
pool,Pool C
Connecticut,Dickinson,13,2,"04/02/2016, 10:00",Pool C,Final
West Chester,Hofstra,7,5,"04/02/2016, 10:00",Pool C,Final
Connecticut,West Chester,9,10,"04/02/2016, 11:30",Pool C,Final
Haverford,Hofstra,13,4,"04/02/2016, 11:30",Pool C,Final
Hofstra,Dickinson,6,8,"04/02/2016, 13:00",Pool C,Final
Haverford,West Chester,6,11,"04/02/2016, 13:00",Pool C,Final
Connecticut,Hofstra,13,3,"04/02/2016, 14:30",Pool C,Final
Haverford,Dickinson,9,8,"04/02/2016, 14:30",Pool C,Final
Connecticut,Haverford,11,2,"04/02/2016, 16:00",Pool C,Final
West Chester,Dickinson,10,2,"04/02/2016, 16:00",Pool C,Final
pool,Pool D
SUNY-Binghamton,Wesleyan,4,10,"04/02/2016, 10:00",Pool D,Final
SUNY-Stony Brook,Lehigh,7,8,"04/02/2016, 10:00",Pool D,Final
SUNY-Binghamton,SUNY-Stony Brook,10,7,"04/02/2016, 11:30",Pool D,Final
Messiah,Lehigh,9,7,"04/02/2016, 11:30",Pool D,Final
Lehigh,Wesleyan,6,7,"04/02/2016, 13:00",Pool D,Final
Messiah,SUNY-Stony Brook,4,11,"04/02/2016, 13:00",Pool D,Final
SUNY-Binghamton,Lehigh,13,5,"04/02/2016, 14:30",Pool D,Final
Messiah,Wesleyan,9,4,"04/02/2016, 14:30",Pool D,Final
SUNY-Binghamton,Messiah,10,5,"04/02/2016, 16:00",Pool D,Final
SUNY-Stony Brook,Wesleyan,4,8,"04/02/2016, 16:00",Pool D,Final
b,r,e,a,k
pools,Classic
pool,Pool F
Wesleyan (B),Princeton (B),6,8,"04/02/2016, 11:30",Pool F,Final
College of New Jersey,Princeton (B),13,3,"04/02/2016, 13:00",Pool F,Final
College of New Jersey,Wesleyan (B),13,1,"04/02/2016, 14:30",Pool F,Final
pool,Pool G
Georgetown (B),Rowan,12,2,"04/02/2016, 11:30",Pool G,Final
Colgate,Rowan,9,4,"04/02/2016, 13:00",Pool G,Final
Colgate,Georgetown (B),8,5,"04/02/2016, 14:30",Pool G,Final
pool,Pool H
Brandeis,Pennsbury High School (B),9,6,"04/02/2016, 11:30",Pool H,Final
Villanova,Pennsbury High School (B),6,8,"04/02/2016, 19:00",Pool H,Final
Villanova,Brandeis,3,9,"04/02/2016, 20:30",Pool H,Final
pool,Pool E
Connecticut (B),Pennsylvania (B),2,9,"04/02/2016, 11:30",Pool E,Final
Franklin & Marshall,Pennsylvania (B),9,8,"04/02/2016, 13:00",Pool E,Final
Franklin & Marshall,Connecticut (B),12,2,"04/02/2016, 14:30",Pool E,Final
b,r,e,a,k
clusters,Classic CO
cluster,Classic Saturday 
Franklin & Marshall,Pennsbury High School (B),6,7,"04/02/2016, 16:00",,Final
College of New Jersey,Georgetown (B),12,5,"04/02/2016, 16:00",,Final
Colgate,Princeton (B),10,4,"04/02/2016, 16:00",,Final
Brandeis,Pennsylvania (B),12,7,"04/02/2016, 16:00",,Final
Wesleyan (B),Rowan,13,12,"04/02/2016, 16:00",,Final
Connecticut (B),Villanova,W,F,"04/02/2016, 22:00",,Final
b,r,e,a,k
clusters,Sunday Games
cluster,Sunday Games
Lehigh,Vermont,3,6,"04/03/2016, 10:00",,Final
West Chester,Pennsylvania,5,6,"04/03/2016, 10:00",,Final
SUNY-Binghamton,American,F,W,"04/03/2016, 10:00",,Final
Messiah,Temple,6,7,"04/03/2016, 10:00",,Final
College of New Jersey,Pennsylvania (B),5,6,"04/03/2016, 10:00",,Final
Colgate,Franklin & Marshall,4,3,"04/03/2016, 10:00",,Final
Pennsbury High School (B),Princeton (B),F,W,"04/03/2016, 10:00",,Final
Brandeis,Georgetown (B),5,4,"04/03/2016, 10:00",,Final
Princeton,Haverford,5,2,"04/03/2016, 10:00",,Final
American,Pennsylvania,3,4,"04/03/2016, 11:30",,Final
Colgate,Hofstra,0,3,"04/03/2016, 11:30",,Final
Brandeis,Philadelphia,4,3,"04/03/2016, 11:30",,Final
Connecticut (B),Pennsbury High School (B),W,F,"04/03/2016, 11:30",,Final
College of New Jersey,Rowan,5,3,"04/03/2016, 11:30",,Final
Princeton (B),Carnegie Mellon,F,W,"04/03/2016, 11:30",,Final
SUNY-Stony Brook,Pennsylvania (B),5,4,"04/03/2016, 11:30",,Final
Georgetown (B),Villanova,5,4,"04/03/2016, 17:30",,Final
b,r,e,a,k
