Southeast Mixed Regionals,Club - Mixed ,10,9,2016
Atlanta,GA,2016-09-10,2016-09-11
https://play.usaultimate.org/events/Southeast-Mixed-Regionals-2016/schedule/Mixed/Club-Mixed
Bucket,1
00,Anthony Lopez
00,Catherine Linton
00,Shaun McLaughlin
00,Megan Grande
00,Christopher Cawley
01,Stacy Werse
02,Steven Kobrin
06,Frank Grande
07,Casey Burrows
08,Kevin Ruda
17,IAIN FORGEY
24,Timothy Elfrink
25,Brandon Garcia
26,Samantha Young
33,Edwin Sanchez
35,Elijah Grady
81,JONATHON LANCASTER
b,r,e,a,k
Swing State,11
0,Nick Hunter
0,BRITTANY FAHY
0,Eric Kieffer
0,Quentin Voorhees
0,Michelle Floyd
0,Spencer Gall
0,Rebecca Poznansky
0,Erika Neave
0,Chase Stein
0,Ginger Price
0,Brett Knowles
0,Jaime Benites
1,Shawna Zielstorff
2,Laura Payne
3,Andrew Allen
3,Terence Murphy
4,Timothy Miller
5,STACEY HERDEGEN
7,KELSEY VIARS
9,Johnathan Hunter
11,Jacob Clary
19,Alex Mayes
21,Jeffrey Walker
25,Zach Floyd
36,RACHEL ACUNA
83,Matthew Wilensky
86,Mark Mendelevitz
b,r,e,a,k
Toro,2
01,Emily Witt
02,John McNaughton
06,Peter Wentz
07,Janelle Bosse
08,George Guthrie
09,TJ McCourt
10,Theran Riedel
10,Lauren Marcey
12,Erin Wiltgen
13,Kathryn Morrison
14,Brendan Smith
17,Dylan Shields
22,Lucas Darden
23,Shannon Matzinger
24,Meghan Miller
27,Leslie Willis
31,Alex Kaja
33,Edwin Alcorn
41,Patrick Ledlee
42,Wendell Wilson
47,Andrew Ryan
49,Derrick Marcey
55,Adrien Wilkie
66,Paul Weeks
77,Graeme O'Connell
88,Christine Bookhout
89,Erica Brenner
b,r,e,a,k
Pluff Mud Panic,7
0,Miriah Stieglitz
0,Hannah Anderson
0,Tim Monahan
0,Stephanie Shealy
0,Lori Waterlander
0,Sarah Hasch
1,Robert OBrien
2,HAYDEN SEWELL
3,Brandon Shaw
8,Katie McKain
9,Emma Johnson
10,Francesca Battaglia
11,William Swan
13,Stephen (Bud) Yackey
17,Catherine Yackey
18,Asa Julien
20,Adam Bailey
21,TAYLOR NILAN
28,Ryan Saffa
28,Matthew Olivetti
29,Thomas Rivas
33,Matthew Williams
51,Justin Gaeta
53,Katherine Frantz
66,Jordan Haines
76,Alison Bender
88,Michael Cox
b,r,e,a,k
LoveShack,14
0,Victoria Thompson
0,Troy Baker
0,BEN SWANSON-HYSELL
0,Daniel Wang
0,Mary Beale
0,Rhagan Williams
0,Hailey Phillips
0,Benjamin Fincher
0,SARAH WATSON
0,Alex Waxman
0,TYLER PLUNKETT
0,Kathryn Watson
0,Justin Royston
0,AHSHA MCQUAIN
0,RHODA GAO
0,MOLLY SNIPES
0,Brian Turner
0,Cole Flournoy
7,Jarrod Sinnock
9,Tyson Puckett
21,Michael Jendzurski
23,Victor Pulizzi
44,Christopher Purvis
47,John (Jack) Curran
b,r,e,a,k
Orlando Friends,10
0,MICHAEL ANTHONY
0,DATUBO BENSON-JAJA
0,Nicole Feldman
0,Alexa Wood
0,Kyle Krumwiede
0,Chloe Baldino
0,Mieshko Debicki
0,RIE TAKANO
0,Gentry Maddox
0,Matt Helms
0,Mischa Freystaetter
1,Erin Goding
5,Quint Wharton
6,Stephanie Williams
10,Mia Griner
11,Janina Freystaetter
17,Matthew Carlson
22,Joseph Tilley
22,Charles Andrews
23,Daniel Jakob
30,Andrew McKelvey
33,John Best
34,GARRETT PELTON
93,Nathan Freystaetter
b,r,e,a,k
Charlotte Storm,3
0,June Lohner
0,Sharon Crawford
0,Eric Olson
0,ALEX VICKROY
0,Kathryn West
0,STEPHANIE WITHEY
0,Paul Grabowski
0,Andrew West
0,DAVID STILES
1,Philip Hadwiger
4,MELISSA GANNON
5,Stephen Battise
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
11,James Parks
11,Jen Brown
12,Christine Miller
13,Graham Whittington
14,Nick Crawford
21,Erik Messina
27,Zan Derby-Wright
30,Savannah Hadwiger
70,George (Mick) Stukes
73,Adam Bostian
85,Rebecca Stukes
b,r,e,a,k
Murmur,15
0,MICHELLE VAN DELLEN
0,Shannon Parsons
0,Katherine Jennings
0,Paige Howell
0,Thomas Watts
0,Oreon Jackson
0,Marvin Barge
0,Javid Aceil
0,Devin Cox
0,Desiree Garcia
0,Elizabeth Austin
0,Brianna Radl
0,Mary Rockwell
0,Erin Danzig
0,Lauren Baggett
0,Philip Smith
0,Stephen Rockwell
0,Taylor Capers
1,Jason Champ
3,Benjamin Breault
11,Thomas Nuckols
13,Robert Farrington
15,Jay Norton
21,Ben Ayres
30,Katherine Yost
33,Edward Stephens
97,CHASE MCCALLUM
b,r,e,a,k
Method,6
02,Matthew Street
03,Anthony Lowther
04,FORREST SILLIVANT
05,Rose Missildine
06,Alice Radcliffe
07,Riley Mog
08,Danny Yates
09,Hannah Yates
10,CHEZNEY MCCULLOUGH
11,Jack Missildine
11,Elijah Jaime
12,Lydia Lowther
13,Andy Sieja
14,Maggie Smallwood
16,Leah Gauldin
17,Kaitlin Daigle
18,Allyson Smith
19,Mark Daigle
21,Wesley Seat
22,Jonathan Lee
23,Ryan Manning
25,"Michael Guiles, Jr"
35,Clark Missildine
43,Erin Hunter
77,Abigail Waldron
94,James Gauldin
98,Amy Guiles
b,r,e,a,k
G-Unit,4
0,Jaime Estes
0,Alleigh Grover
0,Steven Nguy
0,Patrick Gettino
0,Joshua Layton
0,Lisa Fitton
0,Kelsea LeBeau
0,Hayley Cotton
0,Reba Havis
0,DREW WARD
0,Larissa Ferreira
0,Adam Carr
0,Tanner Repasky
0,Graham Culbertson
0,Connie Barroso
0,ERIC SIEVERS
0,Matt Thompson
0,Tori Taylor
0,Joshua Hyde
2,Bennett Wachob
3,Jose Varillas
4,Drew Magee
6,Daniel Conrad
11,Jacob Dummeldinger
18,Hayden Wachob
23,Danny Bishop
42,Megan Reeves
b,r,e,a,k
Jared Lorenzen Project,5
0,Stephanie Shane
0,Dana Bidot
0,MICHAEL PETERS
0,Gracie White
0,ROBERT STEVENS
0,Owen Roberts
0,PAMELA SHWAYRI
0,William Sloane
0,Ryan Simmons
4,Jaime Perez
6,Killian Moroney
6,Sarah Burzynski
6,Jonathan Clark
6,PRERANA  MALLA
6,Alexis Emanuel
6,Kailee Craig
6,Gabriel Bidot
6,Jacob Zirbel
6,Leah Barlow
6,Grace Clough
6,Thomas Bailey
6,Chad Borer
6,Joshua Feng
6,Rebecca Colbert
6,Max Leonard
12,Jennie Wainer
24,Justin Mattingly
b,r,e,a,k
The Hucking Dead,9
0,Jeremy Brenner
0,Deanna Zastrow
0,Vinny Losito
0,Bryan Jagemann
0,LISA GONZALEZ
0,Alicia Vogt
0,Corey McCall
0,Johnathan Schimmelpfennig
0,Josh Shepard
0,Erich Hess
0,Lindsey Brenner
0,Timothy Chafin
0,Tina Bobango
0,Drew Ladage
0,Anthony Vogt
0,ANGELA SHEPARD
0,Phillip Leung
0,Brad Clarkson
0,Carolyn Abbott
0,Alek Hartzog
0,Alicia Bender
0,Madison Dressler
0,Nulhae Sin
4,Justin Dean
13,Daniel West
22,STEPH JAMIS
30,Ryan Hoger
b,r,e,a,k
Carolina Reign,16
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Bucket,KOD,13,5,"09/10/2016, 08:00",Pool A,Final
Cahoots,Malice in Wonderland,13,6,"09/10/2016, 08:00",Pool A,Final
Bucket,Malice in Wonderland,13,5,"09/10/2016, 09:50",Pool A,Final
Cahoots,KOD,13,10,"09/10/2016, 09:50",Pool A,Final
Bucket,Cahoots,13,9,"09/10/2016, 13:30",Pool A,Final
KOD,Malice in Wonderland,9,11,"09/10/2016, 13:30",Pool A,Final
pool,Pool B
Toro,Swing State,13,14,"09/10/2016, 08:00",Pool B,Final
Pluff Mud Panic,LoveShack,13,7,"09/10/2016, 08:00",Pool B,Final
Toro,LoveShack,13,7,"09/10/2016, 11:40",Pool B,Final
Pluff Mud Panic,Swing State,10,13,"09/10/2016, 11:40",Pool B,Final
Toro,Pluff Mud Panic,12,9,"09/10/2016, 13:30",Pool B,Final
Swing State,LoveShack,13,8,"09/10/2016, 13:30",Pool B,Final
pool,Pool C
Charlotte Storm,Orlando Friends,9,12,"09/10/2016, 09:50",Pool C,Final
Method,Murmur,9,13,"09/10/2016, 09:50",Pool C,Final
Charlotte Storm,Murmur,13,10,"09/10/2016, 11:40",Pool C,Final
Method,Orlando Friends,7,12,"09/10/2016, 11:40",Pool C,Final
Charlotte Storm,Method,10,9,"09/10/2016, 13:30",Pool C,Final
Orlando Friends,Murmur,13,3,"09/10/2016, 13:30",Pool C,Final
pool,Pool D
G-Unit,The Hucking Dead,13,8,"09/10/2016, 08:00",Pool D,Final
Jared Lorenzen Project,Carolina Reign,13,5,"09/10/2016, 08:00",Pool D,Final
G-Unit,Carolina Reign,13,6,"09/10/2016, 09:50",Pool D,Final
Jared Lorenzen Project,The Hucking Dead,13,6,"09/10/2016, 09:50",Pool D,Final
G-Unit,Jared Lorenzen Project,13,7,"09/10/2016, 11:40",Pool D,Final
The Hucking Dead,Carolina Reign,11,7,"09/10/2016, 11:40",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
G-Unit,Orlando Friends,11,6,"09/11/2016, 13:00",1st Place Finals,Final
Toro,G-Unit,11,13,"09/11/2016, 11:00",1st Place Semis,Final
Orlando Friends,Swing State,13,12,"09/11/2016, 11:00",1st Place Semis,Final
Bucket,Toro,12,15,"09/11/2016, 09:00",1st Place Quarters,Final
G-Unit,Charlotte Storm,12,11,"09/11/2016, 09:00",1st Place Quarters,Final
Orlando Friends,Jared Lorenzen Project,13,12,"09/11/2016, 09:00",1st Place Quarters,Final
Swing State,Cahoots,15,8,"09/11/2016, 09:00",1st Place Quarters,Final
Toro,Murmur,13,8,"09/10/2016, 15:20",1st Place Prequarters,Final
Charlotte Storm,Pluff Mud Panic,10,6,"09/10/2016, 15:20",1st Place Prequarters,Final
Malice in Wonderland,Jared Lorenzen Project,11,13,"09/10/2016, 15:20",1st Place Prequarters,Final
The Hucking Dead,Cahoots,7,13,"09/10/2016, 15:20",1st Place Prequarters,Final
b,r,e,a,k
brackets,Placement
bracket,3rd place
Toro,Swing State,8,11,"09/11/2016, 13:00",3rd place,Final
bracket,5th place
Bucket,Charlotte Storm,10,12,"09/11/2016, 13:00",5th place,Final
Bucket,Jared Lorenzen Project,15,7,"09/11/2016, 11:00",5th Semis,Final
Charlotte Storm,Cahoots,12,8,"09/11/2016, 11:00",5th Semis,Final
bracket,7th place
Jared Lorenzen Project,Cahoots,12,13,"09/11/2016, 13:00",7th place,Final
bracket,9th Place
Murmur,Pluff Mud Panic,5,13,"09/11/2016, 13:00",9th Place,Final
Murmur,The Hucking Dead,15,14,"09/11/2016, 11:00",9th Semis,Final
Pluff Mud Panic,Malice in Wonderland,15,9,"09/11/2016, 11:00",9th Semis,Final
bracket,11th
The Hucking Dead,Malice in Wonderland,7,11,"09/11/2016, 13:00",11th,Final
bracket,13th
Carolina Reign,LoveShack,13,15,"09/11/2016, 09:00",13th,Final
KOD,Carolina Reign,6,13,"09/10/2016, 15:20",13th Semis,Final
LoveShack,Method,11,10,"09/10/2016, 15:20",13th Semis,Final
bracket,15th
KOD,Method,12,15,"09/11/2016, 09:00",15th,Final
b,r,e,a,k
