Dust Bowl 2016,College - Men ,27,2,2016
Tulsa,OK,2016-02-27,2016-02-28
https://play.usaultimate.org/events/Dust-Bowl-2016/schedule/Men/CollegeMen/
Arkansas,1
88,Duncan McHarg
99,Mason Henkes
b,r,e,a,k
Rice,4
teamInfo,Cloud 9,"Houston, Texas",cloud9.rice.edu,,@riceultimate
0,JAMES KITTLEMAN
0,Linden Shih
0,JUNY CHO
0,Nicholas Leisle
0,Avery Zaleski
0,Charles Grimes
0,Johnny Frohlichstein
0,Ronen Wdowinski
0,Patrick Kelly
0,ELI BADGIO
0,Jack Kaplan
0,Connor Stuart-Paul
3,Brian Walker
3,Abhijit  Brahme 
4,Austin Benavides
6,Alexander Heath
12,Dillan Prince
13,Alexander Jiang
19,Andrew Marshall
21,Sam Burke
42,JAMES BELLAH
b,r,e,a,k
Texas-Arlington,10
teamInfo,Yucca,"Arlington, Texas",,,
coaches,Ryan McAndrew
9,Matthew Muir
00,Greg Loftis
02,Arshad Mustafaa
04,Jonathan Conway
06,brady reeder
10,Connor Landwehr
11,cole oyer
12,DOUGLAS HAWTHORNE
13,Nathanael Summers
15,Frederick Christen
17,Darren Phillips
19,Alex Pham
21,John Cruz
23,Asher Frailey
27,Andrew Fowler
28,Nathan Dayvault
32,Ryan Buckingham
47,CRUZ SALINAS
60,Joe Sobansky
73,Vu Tran
77,Matthew McCormick
88,Andrew Harris
89,Jake Floyd
91,Tony Sanchez
b,r,e,a,k
Texas Tech,7
teamInfo,Tumbleweed,"Lubbock, Texas",,https://www.facebook.com/groups/114522038601898/618441814876582/?notif_t=group_activity,
0,Paul Yacoub 
0,Alex Southard
0,AARON AUSMUS
0,PRESTON LEWIS
0,Ricky Stanfield
0,Ryan Stomp
1,Dillon Rathman
1,Grant Golder
3,CONNOR MCNAMARA
5,Payton Ardoin
6,John Aucar
8,Sam Kuhn
9,TREY KEESEE
13,Samuel Dixon
15,Jessica Hartzer
17,Austin Ficken
33,Andrew Calvert
35,Alexander Brewster
37,Lucas Meade
44,Junaid Ramzan
49,Michael Wode
71,Brandon Fryer
78,Jace Drennan
b,r,e,a,k
Missouri State,6
teamInfo,Missouri State,"Springfield, Missouri",,https://www.facebook.com/groups/150106005018613/,
0,Cameron Yuan
0,NICHOLAS RUPEL
4,Logan Roach
01,James Engelhardt
06,Cole Wheeler
07,Aaron Parkhurst
08,Kent Mastroianni
09,Jerome Brauner
17,TJ Ridge
23,Jackson Reid
27,Gabe Olender
68,Matthew Moore
72,Devon Gibbs
77,Mitchell Weinstein
79,Zachary  Baudendistel
87,Darren Yount
90,Joshawa Ryun
91,Andrew Keim
b,r,e,a,k
Air Force,11
teamInfo,Afterburn,"USAF Academy, Colorado",http://airforceultimate.webs.com/,https://www.facebook.com/AirForceUltimate,https://twitter.com/AFU_Afterburn
0,Matthew Moshea
3,Ben Protzman
5,Trevor Browning
7,MITCHELL WILLIS
9,Justin Miller
10,John Laskodi
12,Zachary Kosin
16,Jake Johnson
18,JAMES COYNE
22,Mitchel Bie
30,Daniel VanderWeide
32,Domenic Troilo
42,Alan Villanueva
58,Gregory Howland
69,Kevin Foley
85,Conner Smith
b,r,e,a,k
Kansas State,19
teamInfo,Wizards,"Manhattan, Kansas",,,
0,Erick  Neilson
0,Darien Parr
0,Spencer Roberts
0,Ryan Irvin
0,Cole Muse
0,Brett Dare
7,Josh Manning
10,Sam Nichols
17,Clayton Smith
19,Branden Schneider
59,John Wildman
88,Matthew Price
b,r,e,a,k
Grinnell,14
teamInfo,Grinnellephants,"Grinnell, Iowa",,,
0,Jacob Friedman
0,Michael Sundby
0,Daniel Cook
0,Austin Schilling-Stumpner
0,Matthew Henzy
0,Iwan Leggins
0,Patrick Sheehan-Klenk
0,Terrel Jones
0,Jeremy Epstein
0,Jordan Hamilton
1,Jack Graen
7,Kenneth Yuhui Wee
8,Vincent Noh
9,Peter Walker
10,CALEB LEEDY
12,Mark Lewis
13,BENJAMIN BROSSEAU
14,RAY SCHROEDER
16,David Kreis
17,Sayles Kasten
23,Noah Schlager
23,Corey Alt
24,Thomas Robinson
27,Lucas Verrastro
29,Russ Haight
30,Kevin Molina
32,Noah Mozell
39,Seth Van Helten
42,Nate Tometich
72,Evan Porter
74,Henry Jantzen
84,Jon Mehlhaus
99,Jonathan Dowell
b,r,e,a,k
Missouri S&T,18
teamInfo,Miner Threat,"Rolla, Missouri",,,
0,Robert Taylor
0,Jason Jarquio
0,Steven James Richardson
0,Braedon Bockwinkel
1,Byron Erand
3,Dominic Stelzer
4,John Mauntel
7,Dillon Feely
9,Christopher Dolles
10,David Dalton
18,EVIN BARBER
21,Brody Johnson
25,Kelly Mauntel
30,Trevor Nenninger
32,Cedric Jones
40,Neil Wessling
48,Justin Flynn
51,Austin Spriggs
80,Nicholas Spitznagel
86,Matt LaFever
b,r,e,a,k
Tulsa,22
teamInfo,Party Fowl,"Tulsa, Oklahoma",,,
0,ERIK SHOOK
2,JT Stancil
3,Marshall Usrey
4,Kathleen Endicott
5,Brian Luczak
6,Jimmy Pignetti
7,Connor Lynch
9,Claire Dang
13,Henry Luepke
17,Benjamin Brown
19,Stuart Cornett
20,Jordan Anderson
21,Matthew Vuong
23,Ryan Orland
37,Joe Moran
39,William Macke
99,Ian Riley
b,r,e,a,k
Nebraska-Omaha,15
teamInfo,UNO,"Omaha, Nebraska",,,
0,Robert Gibbs
0,Samuel Sobczyk
0,Matt Reinhart
7,Michael Swanger
11,EVAN VARNER
13,COLIN SIERT
69,Nich Rush
b,r,e,a,k
Oklahoma State,12
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
00,Erin Heilman
00,Clay Furleigh
00,AUSTIN HIBBS
00,William Curtis
00,Tyler Niskanen
00,JAKE SESSLER
00,Jake Niskanen
00,Colin English
00,Li Ya Cheng
00,JUSTIN WHALEY
00,Detrick Bombarger
00,Joseph Petralia
00,John Athens
00,Drew Starkey
00,Eric Hurd
00,Andrew Newton
06,Merl Prichard
b,r,e,a,k
Texas A&M (B),17
teamInfo,Dozen Matter,"College Station, Texas",ultimatefrisbee.tamu.edu/,,
coaches,Mike Youngs
0,SAMUEL PAPPERT
0,Mark Baldauf
0,Saul Carrillo
0,Nicholas Cortes
0,Mason Dunn
0,Andrew Dorf
0,Russell Yang
0,Jonathan Casanova
0,CALEB CABLE
0,Tae Jung Yang
0,Chris Armstrong
0,Houston Fowler
0,Connor Dolan
3,Geoffrey Avila
15,Kyle Flaherty
44,William Coleman
69,Juan Valle
87,Keith Register
b,r,e,a,k
North Texas,16
teamInfo,UNT X,"Denton, Texas",,,
0,Justin Smith
0,Kenneth Cole
0,Eian Brent
0,BRANDON LOCKLEAR
0,BRIAN TU
0,David Lowell
0,Jonathan Lawrence
0,Ruben Paquian
0,VICTOR LINEROS
0,Cameron Young
0,Johnathan Kirtland
0,Louis Gingras
0,NICK LEE
0,Stewart Williamson
0,Slayter Marwitz
5,Evan Garner
6,Aramis Dixon
7,DOUGLAS FENDERSON
15,Corey Gendron
16,Andy Evans
19,Corrie williams
77,Ian Ambrose
b,r,e,a,k
Harding,13
teamInfo,Harding Apocalypse,"Searcy, Arkansas",,,
0,Zachary McCain
0,Zach Whaley
0,Dale Bourn
2,Taylor Kemp
7,Timothy Kirby
9,Benjamin Osteen
10,Jalen West
11,Brett Willimann
13,Blake Herring
14,Kendall Lowe
15,Trenton Osborne
24,Braxton Furlong
27,Jorden Sims
28,Caleb Tomlinson
35,AARON WEBB
36,Nathan Perkins
55,Brandon Melo
74,Timothy Griekspoor
b,r,e,a,k
Washington University (B),21
teamInfo,Contraband,"St. Louis, Missouri",,,https://www.twitter.com/wucontraband
0,Justin Kroll
0,Jacob Pepe
0,Tyler Reeves
0,Justin Suh
0,Josh Epstein
0,Isaac Kaufer
2,Imran Mumtaz
10,Sidharth Kamana
16,Robert Hsu
18,Avery Suter
22,Jordan Chow
22,David Lopez
28,Aaron Mermelstein
29,ADAM FRANK
31,Ben Aunins
b,r,e,a,k
Midwestern State,20
teamInfo,Cavalry,"Wichita Falls, Texas",http://msucavalry.wordpress.com/,https://www.facebook.com/groups/159145580774635/,https://twitter.com/CavalryUltimate
0,Jamal Jenkins
02,Jackson Strieby
06,Mason Wilson
08,Darin Young
10,Mark Hill
16,Mark Campbell
25,KEVIN PANIAGUA
35,Cameron Cocheu
96,Kent Ogawa
b,r,e,a,k
Denver,23
teamInfo,DU Ultimate,"Denver, Colorado",http://www.du.edu/ritchiecenter/studentprograms/clubsports/clubs/ultimatefrisbee/,https://www.facebook.com/uofdenverclubultimate,
0,ISAAC GERSHUN-HALF
0,Justus Gibson
0,John Stoszek
0,Jacques Gerber
0,Michael DeGrandis
0,Eric Silverman
0,Nick Rossiter
0,Ryan MacDonald
0,Johnny Youngs
0,Avery Cederstrand
0,John Leslie
0,Sage Bard-Gilbert
0,Matthew Heinen
0,Evan Hicks
0,ALEX KUNZER
0,Angus Kitchell
1,Mitchell Silverman
14,Mats Hanson
18,Avery Nelson
23,Josh Lucero
30,Nate Watson
37,Jae Ermer
48,JACOB BARRY
b,r,e,a,k
Air Force (B),26
teamInfo,Air Force B,"USAF Academy, Colorado",,https://www.facebook.com/AirForceUltimate,
0,Jared Helm
0,Forest Bell
0,Collin Thomet
0,Zach Arns
0,Christopher Delgado
0,Daniel Inman
0,James McMahon
0,Allan Brown
4,Kainoa Chun-Moy
38,Isaiah Butcher
99,Spencer Yacos
b,r,e,a,k
Texas A&M (C),27
teamInfo,Dozen Exist,"College Station, Texas",,,
coaches,Alexander Kalin
0,Christian Ginger
0,Nguyen Huynh
0,Duncan Brown
0,DANIEL SOBARZO
0,Nick Whitty
0,James Jasso
9,Jacob Busch
24,Shaun Seidenberger
31,Aaron Kingery
37,Connor Okonski
39,Andrew Landwermeyer
77,Reece Rose
80,Jason Wehring
b,r,e,a,k
Missouri (B),31
teamInfo,Mizzou-B,"St. Louis, Missouri",,,
0,ISAIAH VAUGHT
0,Ben Rollings
0,Thomas Hopper
0,MIKE BOYLE
0,Joshua Morris
0,Brendan Rost
0,Colin Macgregor
0,Jonathon Morris
0,BOBBY CERESIA
0,Andrew Shepherd
0,Grant Maloney
0,Nicholas Biggs
0,Jake Hiley
6,Nicholas Mihulka
16,Evan Opsal
27,Zach Seusy
33,Eric Piatchek
35,Sawyer Novak
54,Jack Carmichael
67,Greg Francis
69,Jack Martin
71,CHARLIE GRESHAM
b,r,e,a,k
Luther (B),33
teamInfo,Pound,"Decorah, Iowa",,,https://twitter.com/LutherPound
0,Tyler Johnson
0,Casey Greufe
1,Ethan Harris
2,Michael Espey
2,James Sinclair
7,Harrison Hoffman
9,JESSE HITZ GRAFF
14,DANIEL HERMAN
20,John Mai
24,Kai Hedstrom
29,Michael Vann
32,Gabriel Eide
36,Sean Krummel
45,Martin Enciso
61,Stephen Shatzer
63,Seth Warner
87,Benjamin Oanes
b,r,e,a,k
Oklahoma (B),30
teamInfo,Apes of Wrath B,"Norman, Oklahoma",http://oklahomaultimate.com/,https://www.facebook.com/OklahomaUltimate,https://twitter.com/wrathfulapes
05,Joseph Dal Santo
10,Casey Seitz
31,Sam Baskin
34,Steven Wild
40,J.D. Ingendorf
50,Nicklaus Kersey
69,Austin Gould
90,Matthew Blanchard
b,r,e,a,k
Colorado Mines,25
teamInfo,Entropy,"Golden, Colorado",,,
0,Bryan Weaver
5,Scott Jarriel
8,Andrew Liebing
00,James Miller
04,Patrick Boyker
11,Caleb Bevers
12,Clayton Howeth
15,Elliot Britvec
32,Scott Harris
40,Doug Schriner
56,John Arndt
77,Thomas Hennen
b,r,e,a,k
Creighton,24
teamInfo,Tuskers,"Omaha, Nebraska",,,
0,MITCHELL HAGEN
02,NICK BARTSCHAT
03,Aidan Campolettano
04,Jacob Buatti
08,Nathaniel Brandl
09,Jack Widmer
13,Craig Schmerbauch
20,Zach Frevert
32,David Kasper
34,ANTHONY GIGUERE
57,Michael Mimlitz
65,Wade Peyou
67,Ethan Corkery
b,r,e,a,k
Arkansas State,32
teamInfo,Impulse,"Jonesboro, Arkansas",http://redwolfultimate.weebly.com/,https://www.facebook.com/pages/Red-Wolf-Ultimate/1431214147101320,
0,Lukas Mayberry
0,Austen McDaniel
01,Anthony Farnam
02,Jeremy Anderson
04,Clayton Howard
05,Brandyn Wilcox
06,Allen Deaver
07,Patrick Leppold
12,Austin Donaldson 
20,Chase Rowan
43,Spencer Sandy
50,Lucas Hyde
78,Gunnar Etzkorn
87,Easton Adams
b,r,e,a,k
Arkansas (B),28
teamInfo,Ludicrous Speed B,"Fayetteville, Arkansas",,,
0,Ryan Richardson
11,Trent Woessner
12,Ethan Werkmeister
14,Bradley Stalder
16,Eric Wiskur
18,Slaton Guy
21,Keith Urbanski
22,John Wynne
24,Ryland Arnold
25,Collin Walbe
27,Jeffrey Bishop
31,Gardner Beaulieu
35,Austin Bryant
36,Drake Jackson
50,CHARLIE ADAMS
54,Skylar Watson
81,Jeremy Steuart
88,Michael Dasso
96,Nicholas Hamblen
b,r,e,a,k
Hendrix,29
teamInfo,Flying Squirrels,"Conway, Arkansas",,,
0,Walker Rice
0,Andy McCall
0,Kyle Christenson
0,Sheldon Raney
0,Tucker Pratt
0,Devon Davis
0,Charlie Manning
0,Brock Pluimer
0,Zane Heather
0,ADAM NICK
0,Braxton Anderson
0,Graham Harris
0,Elijah Kessler
0,Joshua Hammons
7,CHRIS WOODWARD
17,Alexander Jones
19,Frank DuBose
34,Andres Velasquez
55,JERAD FISHER
69,Jolyon Larson
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool
pool,Pool A
Arkansas,Baylor,9,7,"02/27/2016, 08:00",Pool A,Final
Oklahoma,Texas-Dallas,10,9,"02/27/2016, 08:00",Pool A,Final
Arkansas,Oklahoma,11,7,"02/27/2016, 09:50",Pool A,Final
John Brown,Texas-Dallas,11,5,"02/27/2016, 09:50",Pool A,Final
Texas-Dallas,Baylor,5,11,"02/27/2016, 11:40",Pool A,Final
John Brown,Oklahoma,11,6,"02/27/2016, 11:40",Pool A,Final
Arkansas,Texas-Dallas,11,0,"02/27/2016, 13:30",Pool A,Final
John Brown,Baylor,11,4,"02/27/2016, 13:30",Pool A,Final
Arkansas,John Brown,11,6,"02/27/2016, 15:20",Pool A,Final
Oklahoma,Baylor,9,10,"02/27/2016, 15:20",Pool A,Final
pool,Pool B
Missouri State,Texas Tech,6,11,"02/27/2016, 08:00",Pool B,Final
Texas Christian,Missouri State,11,3,"02/27/2016, 09:50",Pool B,Final
Rice,Texas Tech,9,10,"02/27/2016, 09:50",Pool B,Final
Rice,Missouri State,11,2,"02/27/2016, 11:40",Pool B,Final
Texas Christian,Texas Tech,11,5,"02/27/2016, 13:30",Pool B,Final
Texas Christian,Texas-Arlington,13,7,"02/27/2016, 15:00",Pool B,Final
Texas Christian,Rice,11,6,"02/27/2016, 15:20",Pool B,Final
Texas Tech,Texas-Arlington,8,11,"02/27/2016, 18:40",Pool B,Final
Rice,Texas-Arlington,11,8,"02/27/2016, 20:30",Pool B,Final
Missouri State,Texas-Arlington,2,11,"02/27/2016, 22:20",Pool B,Final
b,r,e,a,k
pools,Emerging
pool,Pool C
Grinnell,Kansas State,6,11,"02/27/2016, 08:00",Pool C,Final
Missouri S&T,Tulsa,11,7,"02/27/2016, 08:00",Pool C,Final
Air Force,Grinnell,11,2,"02/27/2016, 09:50",Pool C,Final
Kansas State,Tulsa,11,5,"02/27/2016, 09:50",Pool C,Final
Air Force,Missouri S&T,11,5,"02/27/2016, 11:40",Pool C,Final
Grinnell,Tulsa,7,9,"02/27/2016, 11:40",Pool C,Final
Air Force,Tulsa,11,6,"02/27/2016, 13:30",Pool C,Final
Missouri S&T,Kansas State,9,10,"02/27/2016, 13:30",Pool C,Final
Air Force,Nebraska-Omaha,11,6,"02/27/2016, 15:00",Pool C,Final
Air Force,Kansas State,11,5,"02/27/2016, 15:20",Pool C,Final
Grinnell,Missouri S&T,10,5,"02/27/2016, 15:20",Pool C,Final
Nebraska-Omaha,Missouri S&T,6,11,"02/27/2016, 16:50",Pool C,Final
Nebraska-Omaha,Kansas State,3,11,"02/27/2016, 18:40",Pool C,Final
Grinnell,Nebraska-Omaha,10,5,"02/27/2016, 20:30",Pool C,Final
Nebraska-Omaha,Tulsa,5,8,"02/27/2016, 22:20",Pool C,Final
pool,Pool D
Texas A&M (B),Washington University (B),11,5,"02/27/2016, 08:00",Pool D,Final
Oklahoma State,Harding,10,9,"02/27/2016, 09:50",Pool D,Final
Oklahoma State,Texas A&M (B),11,9,"02/27/2016, 11:40",Pool D,Final
Harding,Washington University (B),8,10,"02/27/2016, 11:40",Pool D,Final
Oklahoma State,Washington University (B),11,6,"02/27/2016, 13:30",Pool D,Final
Oklahoma State,North Texas,10,9,"02/27/2016, 15:00",Pool D,Final
Harding,Midwestern State,11,3,"02/27/2016, 15:00",Pool D,Final
Harding,Texas A&M (B),2,11,"02/27/2016, 15:20",Pool D,Final
North Texas,Texas A&M (B),3,11,"02/27/2016, 16:50",Pool D,Final
Midwestern State,Washington University (B),8,10,"02/27/2016, 16:50",Pool D,Final
North Texas,Midwestern State,10,3,"02/27/2016, 18:40",Pool D,Final
Harding,North Texas,11,9,"02/27/2016, 20:30",Pool D,Final
Texas A&M (B),Midwestern State,11,1,"02/27/2016, 20:30",Pool D,Final
Oklahoma State,Midwestern State,8,4,"02/27/2016, 22:20",Pool D,Final
North Texas,Washington University (B),9,4,"02/27/2016, 22:20",Pool D,Final
b,r,e,a,k
pools,Development
pool,Pool E
Denver,Texas A&M (C),11,5,"02/27/2016, 08:00",Pool E,Final
Air Force (B),Missouri (B),11,5,"02/27/2016, 08:00",Pool E,Final
Denver,Air Force (B),11,5,"02/27/2016, 09:50",Pool E,Final
Missouri (B),Luther (B),11,8,"02/27/2016, 09:50",Pool E,Final
Air Force (B),Luther (B),11,7,"02/27/2016, 11:40",Pool E,Final
Texas A&M (C),Missouri (B),11,5,"02/27/2016, 11:40",Pool E,Final
Denver,Luther (B),11,6,"02/27/2016, 13:30",Pool E,Final
Air Force (B),Texas A&M (C),11,5,"02/27/2016, 13:30",Pool E,Final
Oklahoma (B),Luther (B),9,11,"02/27/2016, 15:00",Pool E,Final
Denver,Missouri (B),10,4,"02/27/2016, 15:20",Pool E,Final
Texas A&M (C),Luther (B),11,0,"02/27/2016, 15:20",Pool E,Final
Texas A&M (C),Oklahoma (B),9,8,"02/27/2016, 16:50",Pool E,Final
Denver,Oklahoma (B),10,4,"02/27/2016, 18:40",Pool E,Final
Oklahoma (B),Missouri (B),5,11,"02/27/2016, 20:30",Pool E,Final
Air Force (B),Oklahoma (B),5,1,"02/27/2016, 22:20",Pool E,Final
pool,Pool F
Arkansas (B),Hendrix,11,7,"02/27/2016, 08:00",Pool F,Final
Colorado Mines,Hendrix,11,5,"02/27/2016, 09:50",Pool F,Final
Hendrix,Arkansas State,3,11,"02/27/2016, 11:40",Pool F,Final
Colorado Mines,Arkansas (B),11,1,"02/27/2016, 11:40",Pool F,Final
Colorado Mines,Arkansas State,11,1,"02/27/2016, 13:30",Pool F,Final
Creighton,Arkansas State,11,3,"02/27/2016, 15:00",Pool F,Final
Arkansas (B),Arkansas State,4,11,"02/27/2016, 15:20",Pool F,Final
Creighton,Arkansas (B),9,6,"02/27/2016, 16:50",Pool F,Final
Creighton,Hendrix,11,8,"02/27/2016, 20:30",Pool F,Final
Creighton,Colorado Mines,2,11,"02/27/2016, 22:20",Pool F,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Arkansas,Texas Christian,6,10,"02/28/2016, 14:45",1st Place Finals,Final
Arkansas,Rice,14,7,"02/28/2016, 12:30",1st Place Semis,Final
Texas Christian,John Brown,14,10,"02/28/2016, 12:30",1st Place Semis,Final
Arkansas,Texas Tech,15,6,"02/28/2016, 10:15",1st Place Quarters,Final
Rice,Baylor,13,8,"02/28/2016, 10:15",1st Place Quarters,Final
Texas Christian,Oklahoma,13,7,"02/28/2016, 10:15",1st Place Quarters,Final
John Brown,Air Force,13,12,"02/28/2016, 10:15",1st Place Quarters,Final
Arkansas,North Texas,13,6,"02/28/2016, 15:00",1st Place PreQuarters,Final
Texas-Dallas,Texas Tech,9,12,"02/28/2016, 08:00",1st Place PreQuarters,Final
Rice,Kansas State,15,9,"02/28/2016, 08:00",1st Place PreQuarters,Final
Oklahoma State,Baylor,8,15,"02/28/2016, 08:00",1st Place PreQuarters,Final
Texas Christian,Grinnell,15,7,"02/28/2016, 08:00",1st Place PreQuarters,Final
Missouri State,Oklahoma,8,15,"02/28/2016, 08:00",1st Place PreQuarters,Final
John Brown,Texas A&M (B),15,8,"02/28/2016, 08:00",1st Place PreQuarters,Final
Air Force,Texas-Arlington,15,6,"02/28/2016, 15:00",1st Place PreQuarters,Final
bracket,3rd Place Game
John Brown,Rice,1,0,"02/28/2016, 14:45",3rd place Game,Final
bracket,5th Place Bracket
Baylor,Texas Tech,10,7,"02/28/2016, 14:45",5th Place Finals,Final
Air Force,Baylor,8,13,"02/28/2016, 12:30",5th Place Semis,Final
Oklahoma,Texas Tech,8,11,"02/28/2016, 12:30",5th Place Semis,Final
bracket,7th Place Game
Oklahoma,Air Force,9,15,"02/28/2016, 14:45",7th Place Game,Final
bracket,9th Place Bracket
North Texas,Texas A&M (B),5,11,"02/28/2016, 21:45",9th Place Finals,Final
North Texas,Oklahoma State,11,6,"02/28/2016, 19:30",9th Place Semis,Final
Kansas State,Texas A&M (B),8,15,"02/28/2016, 12:30",9th Place Semis,Final
Texas-Arlington,North Texas,14,15,"02/29/2016, 12:15",9th Place Quarters,Final
Grinnell,Oklahoma State,8,14,"02/28/2016, 10:15",9th Place Quarters,Final
Missouri State,Kansas State,10,15,"02/28/2016, 10:15",9th Place Quarters,Final
Texas A&M (B),Texas-Dallas,14,5,"02/28/2016, 10:15",9th Place Quarters,Final
bracket,11th Place Game
Kansas State,Oklahoma State,5,9,"02/27/2016, 14:45",11th Place Game,Final
bracket,13th Place Bracket
Texas-Dallas,Grinnell,10,11,"02/28/2016, 14:45",13th Place Finals,Final
Texas-Dallas,Texas-Arlington,13,7,"02/28/2016, 19:30",13th Place Semis,Final
Missouri State,Grinnell,8,12,"02/28/2016, 12:30",13th Place Semis,Final
bracket,15th Place Game
Missouri State,Texas-Arlington,0,1,"02/28/2016, 21:45",15th Place Game,Final
b,r,e,a,k
brackets,Emerging Powerhouse Bracket
bracket,Emerging
Missouri S&T,Colorado Mines,6,15,"02/28/2016, 14:45",Emerging Powerhouse Finals,Final
Missouri S&T,Denver,15,6,"02/28/2016, 12:30",Emerging Semis,Final
Harding,Colorado Mines,7,13,"02/28/2016, 12:30",Emerging Semis,Final
Missouri S&T,Midwestern State,15,1,"02/28/2016, 17:15",Emerging Quarters,Final
Denver,Washington University (B),14,7,"02/28/2016, 10:15",Emerging Quarters,Final
Harding,Nebraska-Omaha,14,4,"02/28/2016, 17:15",Emerging Quarters,Final
Tulsa,Colorado Mines,2,15,"02/28/2016, 10:15",Emerging Quarters,Final
Midwestern State,Air Force (B),12,11,"02/28/2016, 15:00",Emerging Play-in,Final
Nebraska-Omaha,Creighton,9,6,"02/28/2016, 22:00",Emerging Play-in,Final
bracket,EP Play-in Consolation
Creighton,Air Force (B),0,15,"02/28/2016, 17:15",EP Play-in Consolation,Final
bracket,EP 5th Place Bracket
Tulsa,Washington University (B),1,0,"02/28/2016, 14:45",EP 5th Place Final,Final
Midwestern State,Tulsa,9,14,"02/28/2016, 19:30",EP 5th Place Semis,Final
Washington University (B),Nebraska-Omaha,1,0,"02/28/2016, 19:30",EP 5th Place Semis,Final
bracket,EP 7th Place Game
Midwestern State,Nebraska-Omaha,1,0,"02/28/2016, 21:45",EP 7th Place Game,Final
bracket,EP 3rd Place Game
Denver,Harding,6,7,"02/28/2016, 14:45",EP 3rd Place Game,Final
b,r,e,a,k
brackets,Development Bracket
bracket,Development Bracket
Texas A&M (C),Arkansas State,13,6,"02/28/2016, 12:30",Development Finals,Final
Texas A&M (C),Arkansas (B),13,5,"02/28/2016, 10:15",Development Semis,Final
