USA Ultimate National Championships,Club - Women ,29,9,2016
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2016/schedule/Women/Club-Women/
Seattle Riot,1
26,Ashley Un
29,Jackie Fane
43,Jocelyn Corey
b,r,e,a,k
Fury,4
00,Marisa Mead
01,Magon Liu
02,Katie Ryan
03,Sharon Lin
04,Alex Snyder
05,Kaela Helton
07,Stephanie Lim
08,Nancy Sun
09,Marika Austin
10,Genevieve Laroche
11,Carolyn Finney
15,Alden Fletcher
16,Michela Meister
20,Andrea Romano
21,Meeri Chang
22,Sarah Carnahan
27,Ness Fajardo
28,Lisa Couper
33,Anna Nazarov
42,Darragh Kawaoka
44,Maggie Ruden
51,Claire Desmond
66,Lakshmi Narayan
71,Manisha Daryani
b,r,e,a,k
Scandal,5
03,Amy Wickner
04,Sarah Itoh
05,Anne Price
06,Lisa Kowalski
07,Kimberly Beach
08,Kristin Franke
09,Jessica O'Connor
10,Jenny Fey
11,Nada Tramonte
12,Amy Zhou
13,Kathleen Ratcliff
14,Samantha Broaddus
15,Jesse Shofner
17,Shino Yoshen
18,Sarah Solis
19,Claire Smullen
21,Colleen Marshall
22,Theresa Hackett
23,Sarah Lord
24,Kate Chang
37,Sandra Jorgensen
42,Laura Pape
44,Keila Strick
50,Hannah Boone
55,Molly Roy
b,r,e,a,k
Schwa,16
00,Katie Weatherhead
02,Clea Poklemba
03,Emily Flock
04,Natalie Hancock
05,MARGARET WILSON-MOSES
07,Samantha Rodenberg
08,Eva Popp
09,Lillian Weaver
10,Kimber Coles
11,Emily Flanders
13,Kelly Hansen
14,JENNIFER TIBBALS
15,Sarah Read-Brown
16,Adrienne (Adie) Bovee
17,Jenica Villamor
18,Julia Sherwood
21,Nicola Bruce
25,Lauren Truxillo
29,Alice White-Cyr
33,Kendra Wahl
35,Chelsea Twohig
36,Ellen Kalenscher
43,Ella Hansen
77,Strat Stratton
b,r,e,a,k
Ozone,9
02,Emily Leonard
03,Paige Carver
04,Marissa Hannah
05,Evelina Pierce
07,Lane Siedor
08,Samantha Daugherty
09,Anraya Palmer
10,Sophie Darch
11,Caroline Pearson
12,Ashley Brown
16,Leah Tsinajinnie
19,Allison Snow
20,India Stubbs
22,Sierra Rimmer
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
31,Samantha Jones
32,Haley Reese
33,KRISTIN LLOYD
44,Mira Walker
83,Shanye Crawford
91,Hannah Leathers
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Riot,Iris,15,3,"09/29/2016, 09:00",Pool A
Nightlock,Heist,11,9,"09/29/2016, 09:00",Pool A
Seattle Riot,Heist,15,12,"09/29/2016, 11:15",Pool A
Nightlock,Iris,12,6,"09/29/2016, 11:15",Pool A
Seattle Riot,Nightlock,13,10,"09/29/2016, 13:30",Pool A
Iris,Heist,6,10,"09/29/2016, 13:30",Pool A
pool,Pool B
Brute Squad,Showdown,14,7,"09/29/2016, 11:15",Pool B
Wildfire,Rival,13,15,"09/29/2016, 11:15",Pool B
Brute Squad,Rival,15,5,"09/29/2016, 13:30",Pool B
Wildfire,Showdown,12,13,"09/29/2016, 13:30",Pool B
Brute Squad,Wildfire,15,3,"09/29/2016, 15:45",Pool B
Showdown,Rival,13,14,"09/29/2016, 15:45",Pool B
pool,Pool C
Molly Brown,Phoenix,12,9,"09/29/2016, 09:00",Pool C
Traffic,Green Means Go,15,9,"09/29/2016, 09:00",Pool C
Molly Brown,Green Means Go,15,7,"09/29/2016, 13:30",Pool C
Traffic,Phoenix,9,11,"09/29/2016, 13:30",Pool C
Molly Brown,Traffic,15,10,"09/29/2016, 15:45",Pool C
Phoenix,Green Means Go,15,10,"09/29/2016, 15:45",Pool C
pool,Pool D
Fury,Ozone,15,4,"09/29/2016, 09:00",Pool D
Scandal,Schwa,13,6,"09/29/2016, 09:00",Pool D
Fury,Schwa,15,4,"09/29/2016, 11:15",Pool D
Scandal,Ozone,15,7,"09/29/2016, 11:15",Pool D
Fury,Scandal,14,10,"09/29/2016, 15:45",Pool D
Ozone,Schwa,10,11,"09/29/2016, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Seattle Riot,Brute Squad,11,12,"10/02/2016, 15:00",1st Place Finals
Seattle Riot,Fury,15,14,"10/01/2016, 15:00",Semifinals
Molly Brown,Brute Squad,9,14,"10/01/2016, 20:00",Semifinals
Seattle Riot,Traffic,15,9,"09/30/2016, 11:45",Quarterfinals
Showdown,Fury,7,15,"09/30/2016, 11:45",Quarterfinals
Molly Brown,Scandal,15,10,"09/30/2016, 14:00",Quarterfinals
Nightlock,Brute Squad,8,15,"09/30/2016, 14:00",Quarterfinals
Rival,Traffic,11,15,"09/30/2016, 09:00",Pre-Quarters
Showdown,Phoenix,14,10,"09/30/2016, 09:00",Pre-Quarters
Scandal,Heist,14,11,"09/30/2016, 09:00",Pre-Quarters
Schwa,Nightlock,6,15,"09/30/2016, 09:00",Pre-Quarters
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,5th Place Bracket (Pro Flight)
Scandal,Traffic,16,15,"10/01/2016, 09:00",5th Place Finals
Scandal,Showdown,15,8,"09/30/2016, 16:15",5th Place Semis
Nightlock,Traffic,11,12,"09/30/2016, 16:15",5th Place Semis
bracket,Pro Flight Play-In / 7th Place Bracket (1)
Showdown,Ozone,11,15,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place
Phoenix,Ozone,7,13,"09/30/2016, 16:15",9th Semis
Phoenix,Iris,14,10,"09/30/2016, 11:45",9th Quarters
Ozone,Schwa,11,9,"09/30/2016, 11:45",9th Quarters
bracket,Pro Flight Play-In / 7th Place Bracket (2)
Heist,Nightlock,15,8,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place
Rival,Heist,10,14,"09/30/2016, 16:15",9th Semis
Rival,Green Means Go,14,10,"09/30/2016, 11:45",9th Quarters
Wildfire,Heist,5,15,"09/30/2016, 11:45",9th Quarters
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
Phoenix,Rival,15,11,"10/01/2016, 09:00",11th Place Finals
bracket,13th Place
Iris,Wildfire,15,10,"10/01/2016, 09:00",13th Place Finals
Iris,Schwa,12,9,"09/30/2016, 14:00",13th Place Semis
Green Means Go,Wildfire,7,10,"09/30/2016, 14:00",13th Place Semis
bracket,15th Place
Schwa,Green Means Go,12,13,"10/01/2016, 09:00",15th Place Finals
b,r,e,a,k
clusters,Crossover - 4 Seeds from Pool Play
cluster,Crossover - 4 Seeds from Pool Play
Wildfire,Green Means Go,7,11,"09/30/2016, 09:00",
Ozone,Iris,10,9,"09/30/2016, 09:00",
b,r,e,a,k
