Southeast D-I College Men's Regionals,College - Men ,1,5,2016
Columbus,GA,2016-04-30,2016-05-01
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2016/schedule/Men/CollegeMen/
Auburn,4
22,Nicholas Button
23,Brandon Chen
24,Stephen Burkot
24,Conor Brownell
26,Colin Tardrew
27,Evan Davies
33,Devon Rogers
56,Micah Halter
98,Michael Tillotson
b,r,e,a,k
Georgia Southern,10
0,Griffin Garris
0,Joshua Warkentine
0,DANIEL  PRICE
0,Joseph Vives
0,Cliff Lewis
0,Andrew Pineau
0,Hamilton Mebius
0,Devin Hamill
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,WILLIAM PAPLEACOS
6,Philip Long
10,Jamarious Lee
10,CARVER WESTENDORFF
12,Blaine Brown
15,Blake Michal
20,James Rink
21,Samuel Trent
25,Andrew Bogle
30,Austin Hegmon
31,Jones Durham
32,Cody Lewis
34,Christopher Clark
47,Brannon Thompson
47,Enoch Tokpa
74,JAMES NEEDHAM
95,Nathan Lovett
99,Dylan Whalen
b,r,e,a,k
Alabama,15
0,Austin Herriott
0,Joseph Green
0,Nathan Lyle
0,Michael Nazario
0,Landon Sagle
2,Tucker McMillen
6,Clayton Tylka
7,KEVIN ALLEN
9,James  Poe
14,Colin Bennett
21,Zach Griffin
28,HUNTER BONHAM
40,Matthew McCay
45,Nathan Oaks
45,Alejandro Guerrero
49,JACOB BAXTER
59,Daniel Conner
83,CRAIG LENOIR
84,Denis O'Sullivan
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play 
bracket,1st Place Bracket
Auburn,Georgia,12,15,"05/01/2016, 10:00",1st Place Finals,Final
Tulane,Auburn,10,15,"04/30/2016, 15:00",1st Place Semis,Final
Florida State,Georgia,11,15,"04/30/2016, 15:00",1st Place Semis,Final
Florida,Tulane,12,13,"04/30/2016, 11:00",1st QF,Final
Central Florida,Auburn,12,15,"04/30/2016, 11:00",1st QF,Final
Florida State,Kennesaw State,15,9,"04/30/2016, 11:00",1st QF,Final
LSU,Georgia,8,15,"04/30/2016, 11:00",1st QF,Final
Florida,Florida (B),15,8,"04/30/2016, 09:00",1st PQ,Final
Tulane,Alabama-Birmingham,13,10,"04/30/2016, 09:00",1st PQ,Final
Central Florida,Tennessee-Chattanooga,15,9,"04/30/2016, 09:00",1st PQ,Final
Auburn,Emory,15,7,"04/30/2016, 09:00",1st PQ,Final
Florida State,South Florida,15,11,"04/30/2016, 09:00",1st PQ,Final
Georgia Tech,Kennesaw State,0,1,"04/30/2016, 09:00",1st PQ,Final
LSU,Georgia Southern,14,13,"04/30/2016, 09:00",1st PQ,Final
Georgia,Alabama,15,10,"04/30/2016, 09:00",1st PQ,Final
bracket,2nd Place Bracket
Auburn,Florida State,10,15,"05/01/2016, 12:00",2nd Place Finals,Final
LSU,Florida State,11,13,"05/01/2016, 10:00",2nd Place Semis,Final
LSU,Tulane,11,10,"05/01/2016, 08:00",2nd Place Quarters,Final
Florida,Florida State,11,15,"05/01/2016, 08:00",2nd Place Quarters,Final
LSU,Tennessee-Chattanooga,13,12,"04/30/2016, 15:00",2nd Place Prequarters,Final
Georgia Tech,Florida,11,15,"04/30/2016, 15:00",2nd Place Prequarters,Final
LSU,Alabama-Birmingham,15,9,"04/30/2016, 13:00",2nd Play in R2,Final
Kennesaw State,Tennessee-Chattanooga,10,15,"04/30/2016, 13:00",2nd Play in R2,Final
Central Florida,Georgia Tech,14,15,"04/30/2016, 13:00",2nd Play in R2,Final
Florida,Georgia Southern,14,9,"04/30/2016, 13:00",2nd Play in R2,Final
Florida (B),Alabama-Birmingham,6,15,"04/30/2016, 11:00",2nd Play In R1,Final
Tennessee-Chattanooga,Emory,15,8,"04/30/2016, 11:00",2nd Play In R1,Final
South Florida,Georgia Tech,11,13,"04/30/2016, 11:00",2nd Play In R1,Final
Georgia Southern,Alabama,14,10,"04/30/2016, 11:00",2nd Play In R1,Final
bracket,3rd Place Bracket
Auburn,Florida,15,13,"05/01/2016, 14:00",3rd Place Finals,Final
LSU,Florida,12,15,"05/01/2016, 12:00",3rd Place Semis,Final
Tulane,Florida,9,15,"05/01/2016, 10:00",3rd Place Quarters,Final
bracket,13th Place Bracket
Florida (B),Emory,11,8,"04/30/2016, 13:00",13th Place Semis,Final
South Florida,Alabama,11,12,"04/30/2016, 13:00",13th Place Semis,Final
bracket,15th Place 
bracket,9th Place A
Alabama-Birmingham,Kennesaw State,0,0,"04/30/2016, 15:00",9th Place A,Final
bracket,9th Place B
Central Florida,Georgia Southern,0,0,"04/30/2016, 15:00",9th Place B,Final
b,r,e,a,k
