Boston Invite 2016,Club - Men ,25,6,2016
https://play.usaultimate.org/events/Boston-Invite-2016/schedule/Men/Club-Men/
Dig,1
0,Stephen Creaser
0,Andrew Kennedy
0,Mark Staples
0,MICHAEL THORNE
0,Luke Martelli
0,James McKenna
0,Robert Mills
5,David Archibald
8,Chris Cowper-Smith
19,Sam Cameron
22,Marcus Bordage
41,Tim MacIsaac
42,Brock Paterson
83,Garrett Jung
88,Scott Hansen
b,r,e,a,k
Westchester Magma Bears,13
0,Liam McAuliffe
0,Andrew Purugganan
0,Christopher Novielli
0,Jake Kaufman
0,Anton Boutkov
0,William Rynn
0,Elan Kane
0,Christopher Pierce
0,ALAN BRANSON
0,Nicolas Dacey
0,Alex Jayakar
1,Jeffrey Sload
2,Timothy Barbella
7,Isaiah Casiano
7,Jeremy Fischer
17,John Walsh
17,Kevin O'Brien
17,Joshua (Slater) Levey
17,Matteo Focchi
18,John Brancato
31,Aron Szanto
33,Andy Mogenson
36,Will Frolich
36,Peter-John Ferrebee
38,Chris Bonifati
87,Daniel Wekstein
88,Michael Lovisa
b,r,e,a,k
Dredge,16
0,Peter Hodge
0,Matt Duffy
0,Christopher Hummel
0,Timothy Stuitje
0,Michael Keegan
0,Alex Trass
0,Matthew Urffer
0,Josh Hite
0,Gabriel Hage
0,Peter Ko
0,Dan Priddle
0,George Dalton
0,Zachary Hilton
0,Chris Lavery
0,Colin Aldrich
4,Joseph Wagner
9,Andrew Yale
18,Graham Turner
53,Huntington Gazecki
80,Anthony Coppola
b,r,e,a,k
Deathsquad,10
0,Matt Bandes
0,BEN DAVIS
0,Brian Clarkson
0,Walker Mayerchak
0,Dan Hourigan
0,Matthew Cote
0,Noam Kahn
0,Henry Brecher
0,Alex Caulfield
20,Tom Bassett
21,Brendan Chin
24,Brendan Chambers
26,Jackson Gillenwaters
33,Jeremy Marcus
35,Dan Goldstein
36,Ian Girelli
42,James Cataldo
b,r,e,a,k
Red Tide,11
0,Alexander Rosati
0,Toby Jacobs
0,Michael Leding 
0,Evan Holliday
0,Lucas Hickok
0,Troy Goddu
0,Henry Babcock
0,Michael Pistrang
0,Daniel Butler
5,Noah Backer
7,Jonathan Gilbert
12,Walter Chacon
13,Chase Baker
19,TIMOTHY BOIT
31,Neil Franklin
31,Jared DeWolfe
34,Cameron Jack
97,CODY STACK
b,r,e,a,k
Breakers,15
02,Johann Becker
03,JUSTIN WU
05,DANIEL REED
06,Patrick Shea
07,NICHOLAS LOGLER
08,Morgan Wilbur
10,Ryan Turner
11,Emet Schwartz
13,Sam Stefanik
15,Daniel Dimascio
16,David Roussel
20,Donnelly Roberts
25,BARRY COHEN
29,Samuel Hanlon
34,Gustav Haflin
35,MICHAEL HANOLD
40,Alex Jenkins
42,Jared Perkins
44,STEPHEN KAHLER
89,Eugene L'Heureux
96,Devin Kosowan
97,Jamie Rhodes
b,r,e,a,k
Sherbrooke Gentlemen's Club,14
0,ARNAUD CHIASSON-POIRIER
6,Jorge Ramirez Ruiz
8,FRANçOIS-XAVIER HOTTE
09,Vincent Sasseville
10,FABRICE LUCIEN
11,Gabriel St-Hilaire
12,JONATHAN PROTEAU
16,Philippe St-Louis
21,Marco Plourde Grenon
23,Philippe  Payeur-Lebeuf
24,Samuel Rioux-Denis
25,Nicolas Vanasse
34,Karl Thibault
35,Gabriel Parent
66,felix landry
74,William Rodier
82,Lucas 438
87,Bruno-Pier Demers
88,Theo Laroche
99,Adam Gauvin
b,r,e,a,k
East Rock Candy Mountain,17
0,Frederic Maire
0,Thomas Kilmer
0,SAM SNOW
0,Jon-Paul Chaffiotte
0,Binli Huang
0,JOSEPH GOODELL
0,Donald Fillion
0,NOAH RICHMOND
0,Alexander Dobner
1,AUBREY WAHL
4,DANIEL  COLE
6,Matthew Johnsen
13,Elton Zhou
25,Andrew Geisel
35,Daniel Arnold
81,Matthew Kearney
b,r,e,a,k
Colorblind,21
0,Paul Savarskyy
0,Christopher Monahan
0,Ryan Mendoza
1,John Venezia
5,Kevin Tam
6,Dmitry Suvorov
12,DAVID JAEGER
13,Summer Zheng
13,Nicholas Landolfi
14,Joshua Norton
32,ALEXANDER KONG
36,Tanner Yuhas
47,Akshat Rajan
b,r,e,a,k
Xavier's School for Gifted Youngsters,25
0,Travis Bassano
0,Sean Sweeney
0,Ryan Osborn
0,Neil Gill
0,Bradford Montgomery
0,Paul DeGennaro
0,Bryan Bausinger
0,Alexander Szlamczynski 
0,Joseph  Zambito
2,Jonathan Willman
2,Alex Milliken
7,CHRISTOPHER VANLANG
12,Xavier Schafer
13,Robert Greer
16,Kevin Gordon
23,Jack Rossetti
25,WILLIAM  BYRNES
77,Brian Erwin
b,r,e,a,k
Allen's Army,20
0,Eugene Wentworth
0,Evan McLean
0,Logan Gerchman
0,Peter Strand
2,Tony Alves
3,Zach Connerty-Marin
7,Anthony Mourino
24,Steven Wilkinson
42,Mark Lessard
47,Patrick McGrath
74,Kyle Monahan
b,r,e,a,k
Diglett,24
0,Brendan Wallace
0,Luke Arnone
0,Daniel McDermott
1,EVAN RHEINGOLD
3,Gabriel Ryan
11,Charles Coburn
43,Kevin Goldberg
99,Kyle Deaver
b,r,e,a,k
BUDA,19
0,Walden Ng
0,Ryan Dinger
0,Caleb Seamon
0,Liam Hardacker
0,PRATIK MAHARJAN
1,Luke Webb
2,Amiel Hanley
2,Jacob Kaplan
3,Ben Goldman
5,Joshua Nam
8,Dustin Baglow
10,Elijah Mishkind
13,Chris Padilla
13,JAVIER POZNAR
14,Kai DeLorenzo
15,Ben Mooney
17,Noah Zobel
19,Solomon Rueschemeyer-Bailey
21,Jared Chapman
41,Oliver Fay
45,Jack Kenney
45,Matthew Cook
46,James Berger
47,Marcel Oliart
53,David O'Dea
b,r,e,a,k
G Street,18
0,Daron Byerly
0,Heng-Scheng Chuang
0,Ryan Colarusso
0,Joshua Petter
0,Neil Wacek
0,Andrew Murphy
0,Dylan Marino
3,Jason Dolan
9,Bryan Cho
21,Jack Duncan
21,Ryan Nielsen
51,Syrus Amedore
b,r,e,a,k
Caliber,22
00,Ryan Baldassario
03,John Friedman
04,Eric Renkewith
05,Vincent Buffa
06,Tyler Bruno
08,William Strauss
10,Geoffrey McCallum
15,Holland Florian
17,Kekeli Afantchao
21,Zac Sequeira
23,Daniel Conner
24,Nitesh Desai
25,Gregory Jositas
30,Bryan Pfalzgraf
34,Nick DiOrio
43,Joshua Kish
99,Adam Konwerski
b,r,e,a,k
Club M - Mephisto,23
0,JEAN-SEBASTIEN CHOUINARD
0,Francois Gagnier
0,Francis Laviolette
0,Clément Barnes
0,Martin Plasse
0,Frédéric Fortin
0,Alexandre  Richard
8,Jeremy Chiniara
18,Joshua Levin
27,Jean-François Morin
28,Scott Durocher
47,Francois Duchesneau
77,André Lafortune
84,LOUIS-PHILIPPE CAMIRAND-CONTANT
89,Antony Labrecque
b,r,e,a,k
Scubaru Outbacks,26
0,Bastien Taylor
0,Benjamin  Seaman
0,JACOB DECATUR
0,Leo Lehrer-Small
0,Isaac Avery-Padberg
0,Nigel Waring
0,Hayden Ellms
0,Cameron Smith
11,Matt Boisvert
16,Elijah Coolidge
21,Noah Robinson
33,Reed Browning
b,r,e,a,k
s,t,a,g,e,s
pools,Elite
pool,Pool A
Dig,New Amsterdam,15,6,"06/25/2016, 08:30",Pool A
Garden State Ultimate,Club M - Magma,15,9,"06/25/2016, 08:30",Pool A
Dig,Club M - Magma,15,5,"06/25/2016, 10:30",Pool A
Garden State Ultimate,New Amsterdam,15,8,"06/25/2016, 10:30",Pool A
Dig,Garden State Ultimate,16,15,"06/25/2016, 14:30",Pool A
New Amsterdam,Club M - Magma,15,7,"06/25/2016, 14:30",Pool A
pool,Pool B
Big Wrench,Colt,15,8,"06/25/2016, 08:30",Pool B
Dark or Light,Mockingbird,16,17,"06/25/2016, 08:30",Pool B
Big Wrench,Mockingbird,8,15,"06/25/2016, 10:30",Pool B
Dark or Light,Colt,14,16,"06/25/2016, 10:30",Pool B
Big Wrench,Dark or Light,15,12,"06/25/2016, 12:30",Pool B
Colt,Mockingbird,14,16,"06/25/2016, 12:30",Pool B
b,r,e,a,k
pools,Easterns I
pool,Pool C
Red Circus,Westchester Magma Bears,15,11,"06/25/2016, 08:30",Pool C
Bruises,Dredge,15,9,"06/25/2016, 08:30",Pool C
Red Circus,Dredge,15,12,"06/25/2016, 10:30",Pool C
Bruises,Westchester Magma Bears,15,11,"06/25/2016, 10:30",Pool C
Red Circus,Bruises,11,15,"06/25/2016, 14:30",Pool C
Westchester Magma Bears,Dredge,13,10,"06/25/2016, 14:30",Pool C
pool,Pool D
Deathsquad,Sherbrooke Gentlemen's Club,15,12,"06/25/2016, 08:30",Pool D
Red Tide,Breakers,15,11,"06/25/2016, 08:30",Pool D
Red Tide,Sherbrooke Gentlemen's Club,17,15,"06/25/2016, 10:30",Pool D
Deathsquad,Breakers,15,8,"06/25/2016, 10:30",Pool D
Sherbrooke Gentlemen's Club,Breakers,7,15,"06/25/2016, 12:30",Pool D
Deathsquad,Red Tide,16,14,"06/25/2016, 12:30",Pool D
b,r,e,a,k
pools,Easterns II
pool,Pool E
East Rock Candy Mountain,Xavier's School for Gifted Youngsters,15,13,"06/25/2016, 08:30",Pool E
Colorblind,Diglett,10,15,"06/25/2016, 08:30",Pool E
East Rock Candy Mountain,Colorblind,15,8,"06/25/2016, 10:30",Pool E
Allen's Army,Diglett,15,11,"06/25/2016, 10:30",Pool E
Diglett,Xavier's School for Gifted Youngsters,12,15,"06/25/2016, 12:30",Pool E
Allen's Army,Colorblind,9,15,"06/25/2016, 12:30",Pool E
East Rock Candy Mountain,Diglett,15,2,"06/25/2016, 14:30",Pool E
Allen's Army,Xavier's School for Gifted Youngsters,6,13,"06/25/2016, 14:30",Pool E
East Rock Candy Mountain,Allen's Army,15,12,"06/25/2016, 16:30",Pool E
Colorblind,Xavier's School for Gifted Youngsters,15,5,"06/25/2016, 16:30",Pool E
pool,Pool F
G Street,Scubaru Outbacks,15,5,"06/25/2016, 08:30",Pool F
Caliber,Club M - Mephisto,15,13,"06/25/2016, 08:30",Pool F
G Street,Caliber,15,12,"06/25/2016, 10:30",Pool F
BUDA,Club M - Mephisto,15,2,"06/25/2016, 10:30",Pool F
Club M - Mephisto,Scubaru Outbacks,15,13,"06/25/2016, 12:30",Pool F
BUDA,Caliber,15,12,"06/25/2016, 12:30",Pool F
G Street,Club M - Mephisto,15,10,"06/25/2016, 14:30",Pool F
Caliber,Scubaru Outbacks,15,9,"06/25/2016, 16:30",Pool F
b,r,e,a,k
brackets,Elite Bracket
bracket,Elite
Dig,Mockingbird,12,15,"06/26/2016, 14:30",1st Place
Dig,New Amsterdam,1,0,"06/26/2016, 12:30",Semis
Garden State Ultimate,Mockingbird,11,15,"06/26/2016, 12:30",Semis
Dark or Light,Deathsquad,15,9,"06/25/2016, 16:30",Elite Xovers
New Amsterdam,Red Circus,15,4,"06/25/2016, 16:30",Elite Xovers
Colt,Red Tide,15,12,"06/25/2016, 16:30",Elite Xovers
Club M - Magma,Bruises,8,13,"06/25/2016, 16:30",Elite Xovers
Dig,Dark or Light,15,12,"06/26/2016, 08:30",Quarters
Big Wrench,New Amsterdam,14,15,"06/26/2016, 08:30",Quarters
Garden State Ultimate,Colt,15,9,"06/26/2016, 08:30",Quarters
Mockingbird,Bruises,15,10,"06/26/2016, 08:30",Quarters
bracket,Elite
New Amsterdam,Garden State Ultimate,8,15,"06/26/2016, 14:30",3rd Place
bracket,Elite
b,r,e,a,k
brackets,Easterns I & II Bracket
bracket,Easterns I
Red Tide,Breakers,14,16,"06/26/2016, 14:30",13th Place
BUDA,Red Tide,8,15,"06/26/2016, 12:30",13th-16th
Breakers,Dredge,15,8,"06/26/2016, 12:30",13th-16th
bracket,Easterns I
BUDA,Dredge,9,5,"06/26/2016, 14:30",15th Place
bracket,Easterns II
G Street,Colorblind,15,13,"06/26/2016, 12:30",19th Place
b,r,e,a,k
clusters,Easterns III
cluster,E/F Crossovers
Xavier's School for Gifted Youngsters,Scubaru Outbacks,15,3,"06/26/2016, 10:30",
Allen's Army,Club M - Mephisto,16,14,"06/26/2016, 10:30",
Diglett,Caliber,6,15,"06/26/2016, 10:30",
Xavier's School for Gifted Youngsters,Club M - Mephisto,14,9,"06/26/2016, 12:30",
Allen's Army,Caliber,8,15,"06/26/2016, 12:30",
Diglett,Scubaru Outbacks,15,6,"06/26/2016, 12:30",
Xavier's School for Gifted Youngsters,Caliber,8,15,"06/26/2016, 14:30",
Allen's Army,Scubaru Outbacks,11,15,"06/26/2016, 14:30",
Diglett,Club M - Mephisto,13,4,"06/26/2016, 14:30",
b,r,e,a,k
